Date,Residuals
2018-08-31,42.58499104971651
2018-09-03,36.39523169835934
2018-09-04,20.985659518168916
2018-09-05,23.358166202853454
2018-09-06,22.14064614879993
2018-09-07,22.622992401055853
2018-09-10,17.03821968032969
2018-09-11,10.33835337402013
2018-09-12,-0.41407309445003193
2018-09-14,-7.256793689039398
2018-09-17,-19.346820427777516
2018-09-18,-31.081325761122685
2018-09-19,-41.75881907643816
2018-09-21,-69.92796343681908
2018-09-24,-98.38497545484876
2018-09-25,-83.2221746440452
2018-09-26,-69.3671880134142
2018-09-27,-80.5190797071225
2018-09-28,-100.10870536478916
2018-10-01,-94.43417329270585
2018-10-03,-99.4368671485571
2018-10-04,-106.40438720261062
2018-10-05,-114.22676019360472
2018-10-08,-114.52662649991419
2018-10-09,-122.8365997611761
2018-10-10,-105.12958774314637
2018-10-11,-114.22932035576542
2018-10-12,-101.11961448188447
2018-10-15,-102.84225486025946
2018-10-16,-89.32257572511662
2018-10-17,-102.96961448188449
2018-10-19,-105.94454763503921
2018-10-22,-110.7095075269321
2018-10-23,-118.8818805179261
2018-10-24,-111.40452089630111
2018-10-25,-116.68700084224753
2018-10-26,-115.46206768909275
2018-10-29,-96.95020273412263
2018-10-30,-89.1429233287119
2018-10-31,-83.8380703917714
2018-11-01,-81.98065729267029
2018-11-02,-81.2674554007952
2018-11-05,-65.27513588727737
2018-11-06,-66.26516262601547
2018-11-07,-59.422709418807074
2018-11-09,-59.887803004390435
2018-11-12,-66.42014925664643
2018-11-13,-66.89508240980115
2018-11-14,-62.08268268006907
2018-11-15,-64.71273615754518
2018-11-16,-63.88551022961076
2018-11-19,-73.03052359897976
2018-11-20,-75.0802562115988
2018-11-21,-68.36044338276548
2018-11-22,-67.81030968907498
2018-11-26,-66.10774952691429
2018-11-27,-66.24790995934285
2018-11-28,-71.71502893232497
2018-11-29,-73.63753561700952
2018-11-30,-69.0000690404321
2018-12-03,-63.097776265652385
2018-12-04,-67.89252224764044
2018-12-05,-71.52244203142612
2018-12-06,-78.93956100440829
2018-12-07,-83.09454763503919
2018-12-10,-93.27689388729516
2018-12-11,-84.00990860800351
2018-12-12,-70.10518936475353
2018-12-13,-74.80276289628335
2018-12-14,-64.58793669808091
2018-12-17,-64.9779634368191
2018-12-18,-62.10815060798575
2018-12-19,-60.17351158095005
2018-12-20,-62.69089794131315
2018-12-21,-64.05343136473579
2018-12-24,-63.260978157527404
2018-12-26,-60.88361853590243
2018-12-27,-54.57364527464051
2018-12-28,-56.54871212148572
2018-12-31,-57.641165328694115
2019-01-01,-54.05639260796795
2019-01-02,-54.27863190527154
2019-01-03,-54.128631905271504
2019-01-04,-43.13159314850367
2019-01-07,-45.49399287823576
2019-01-08,-40.91164662597987
2019-01-09,-42.161512932289384
2019-01-10,-30.059086463819142
2019-01-11,-31.689006247604823
2019-01-14,-41.52175358093223
2019-01-15,-47.474180049402435
2019-01-16,-41.60948754489061
2019-01-17,-37.494527652997704
2019-01-18,-48.97930037372396
2019-01-21,-55.45895277012863
2019-01-22,-59.666232175539335
2019-01-23,-72.33361853590242
2019-01-24,-83.5911653286941
2019-01-25,-89.21596478815843
2019-01-28,-82.59089794131313
2019-01-29,-86.5310583737417
2019-01-30,-76.5585516890572
2019-01-31,-74.72108511247978
2019-02-01,-80.05060381519405
2019-02-04,-81.21300354492621
2019-02-05,-80.52553696834883
2019-02-06,-82.58577761699166
2019-02-07,-82.63833777915244
2019-02-08,-97.33524284222972
2019-02-11,-106.67769604943805
2019-02-12,-108.65276289628332
2019-02-13,-107.59750887827141
2019-02-14,-100.20788322060474
2019-02-15,-106.8175890944857
2019-02-18,-117.39494871611066
2019-02-19,-118.77257572511661
2019-02-20,-116.3402294728607
2019-02-21,-100.56300354492618
2019-02-22,-94.78551022961074
2019-02-25,-101.92055033771783
2019-02-26,-107.02782974312856
2019-02-27,-111.57028295033689
2019-02-28,-107.33038990528928
2019-03-01,-85.5384714728429
2019-03-05,-56.889273634985784
2019-03-06,-43.77674021156315
2019-03-07,-34.94964797731916
2019-03-08,-38.556927382729896
2019-03-11,-34.52970145479537
2019-03-12,-54.62714129263463
2019-03-13,-61.42956776110492
2019-03-14,-61.99951428362863
2019-03-15,-54.419728193533444
2019-03-18,-55.539808409747764
2019-03-19,-49.02282313045612
2019-03-20,-41.445730896212126
2019-03-22,-47.44546350883115
2019-03-25,-54.43279639171806
2019-03-26,-38.52309051783709
2019-03-27,-34.07821084215851
2019-03-28,-29.255971544854958
2019-03-29,-21.923491598908527
2019-04-01,-11.47375898628951
2019-04-02,-13.033865941241913
2019-04-03,-18.450851220533536
2019-04-04,-26.840744265581122
2019-04-05,-20.343170734051398
2019-04-08,-21.14317073405141
2019-04-09,-21.605837851164495
2019-04-10,-28.85570415747401
2019-04-11,-13.463117256575174
2019-04-12,-0.5557041574739969
2019-04-15,0.8192289956807031
2019-04-16,1.2418693740557387
2019-04-18,-7.970262968295401
2019-04-22,-25.739808409747752
2019-04-23,-23.787381941277488
2019-04-24,-18.655035689021588
2019-04-25,-23.634821779116805
2019-04-26,-19.515008950283516
2019-04-30,-22.902074445789367
2019-05-02,-7.1922348782180165
2019-05-03,-7.464875256592961
2019-05-06,-12.90975493227154
2019-05-07,-20.62444743678344
2019-05-08,-19.62444743678344
2019-05-09,-19.5594875448906
2019-05-10,-13.95975493227155
2019-05-13,-37.80639260796795
2019-05-14,-41.374313743092955
2019-05-15,-45.78172684219413
2019-05-16,-57.49655304039652
2019-05-17,-50.38428700435486
2019-05-20,-21.605035689021577
2019-05-21,-21.192234878218017
2019-05-22,-30.11703433768224
2019-05-23,-24.211914013360797
2019-05-24,-11.087515634967986
2019-05-27,6.239843986657036
2019-05-28,0.8127517524129644
2019-05-29,-9.83415331066442
2019-05-30,-0.6491132025572028
2019-05-31,3.3609937523951317
2019-06-03,9.28080658122849
2019-06-04,8.873259788436826
2019-06-06,1.1561408154547053
2019-06-07,9.413687608246335
2019-06-10,3.4464349415737274
2019-06-11,1.7837678244606536
2019-06-12,-1.036312391753654
2019-06-13,2.364088689317839
2019-06-14,-0.0834848422119876
2019-06-17,-6.923377887259505
2019-06-18,-9.84831104041433
2019-06-19,-14.525804355729804
2019-06-20,-7.273511580950071
2019-06-21,-9.701004896265545
2019-06-24,-7.878498211580961
2019-06-25,-9.841031635003617
2019-06-26,-1.0012722836464718
2019-06-27,10.103848040674904
2019-06-28,22.956140815454717
2019-07-01,31.72096701365706
2019-07-02,30.74603386050228
2019-07-03,42.49091353618087
2019-07-04,54.38080658122851
2019-07-05,38.39334000465112
2019-07-08,4.444543247865454
2019-07-09,1.3968360226452319
2019-07-10,-2.682950067450008
2019-07-11,13.956809283907148
2019-07-12,30.07419564427022
2019-07-15,34.45195634696671
2019-07-16,40.26664885147858
2019-07-17,45.34670232895468
2019-07-18,46.264489770389275
2019-07-19,29.294543247865477
2019-07-22,31.579583355972602
2019-07-23,39.02513150010361
2019-07-24,29.515158238841707
2019-07-25,25.682945680276248
2019-07-26,28.555184977579813
2019-07-29,18.120011175782167
2019-07-30,9.750332040639364
2019-07-31,26.01502454515122
2019-08-01,16.130251824425045
2019-08-02,22.912731770371522
2019-08-05,13.035372148746433
2019-08-06,41.42769166226435
2019-08-07,37.48321306765723
2019-08-08,48.91286546406195
2019-08-09,52.50787883343099
2019-08-13,42.048039265859586
2019-08-14,40.20801252712147
2019-08-16,69.86017160821069
2019-08-19,52.220278563163106
2019-08-20,51.23550584243691
2019-08-21,50.083213067657255
2019-08-22,41.203560671252546
2019-08-23,35.43577322981798
2019-08-26,50.11798578838335
2019-08-27,82.48779861721675
2019-08-28,71.1629991577525
2019-08-29,63.63307937396678
2019-08-30,78.70059942802033
2019-09-03,44.27633474331799
2019-09-04,44.4512678964727
2019-09-05,40.36110746404415
2019-09-06,42.271080725306035
2019-09-09,46.58590692350839
2019-09-11,59.32310611270481
2019-09-12,58.50814622081202
2019-09-13,61.950599428020325
2019-09-16,58.30814622081198
2019-09-17,45.87593366224655
2019-09-18,55.67836013071678
2019-09-19,46.47849382440728
2019-09-20,87.44049247306793
2019-09-23,67.27283872532382
2019-09-24,75.7879323109072
2019-09-25,75.32081333792513
2019-09-26,85.49588018477027
2019-09-27,98.62337350008579
2019-09-30,115.17849382440721
2019-10-01,103.9414283289014
2019-10-03,99.53388153610962
2019-10-04,88.27902859916924
2019-10-07,77.4941221847526
2019-10-09,85.60396175232393
2019-10-10,83.80422913970489
2019-10-11,91.80166897754418
2019-10-14,84.47161550006797
2019-10-15,96.45153528385373
2019-10-16,112.8991088153835
2019-10-17,121.78388153610962
2019-10-18,118.14372110368112
2019-10-22,122.26865425683576
2019-10-23,120.22108072530608
2019-10-24,123.76878795052636
2019-10-25,121.34116094152034
2019-10-27,131.1286275180977
2019-10-29,124.77849382440724
2019-10-30,150.94075986044896
2019-10-31,148.8980392658596
2019-11-01,139.98779861721675
2019-11-04,123.26515823884165
2019-11-05,104.81811948207388
2019-11-06,104.84318632891916
2019-11-07,94.17849382440721
2019-11-08,80.65356067125248
2019-11-11,84.39102724782987
2019-11-13,98.97121441899651
2019-11-14,96.17121441899656
2019-11-15,91.40100050909177
2019-11-18,85.62593366224655
2019-11-19,90.33819969828824
2019-11-20,93.70073312171081
2019-11-21,106.59332002260959
2019-11-22,104.76326654513338
2019-11-25,118.07566627486551
2019-11-26,114.81582670729415
2019-11-27,103.44075986044896
2019-11-28,102.97782535595485
2019-11-29,94.83550584243693
2019-12-02,93.11798578838335
2019-12-03,101.2008668154013
2019-12-04,102.26825317576436
2019-12-05,90.82094703161556
2019-12-06,84.56622778836561
2019-12-09,83.59614757215127
2019-12-10,78.66380131989536
2019-12-11,80.40881468926437
2019-12-12,93.99614757215124
2019-12-13,109.303159590181
2019-12-16,110.59075986044894
2019-12-17,116.64062616675841
2019-12-18,118.71582670729413
2019-12-19,123.48577322981794
2019-12-20,133.61313285144297
2019-12-23,134.51326654513338
2019-12-24,143.28078659918697
2019-12-26,151.79588018477034
2019-12-27,154.09803926585954
2019-12-30,156.42566627486553
2019-12-31,146.19817295955
2020-01-01,142.49062616675843
2020-01-02,160.39035877937744
2020-01-03,152.63307937396678
2020-01-06,132.17606735593694
2020-01-07,143.72350719377636
2020-01-08,140.0736408874668
2020-01-09,147.1859069235084
2020-01-10,138.40342697756205
2020-01-13,142.6158267072941
2020-01-14,130.44588018477032
2020-01-15,134.275799968556
2020-01-16,125.09830665324057
2020-01-17,124.99332002260957
2020-01-20,111.38604061719894
2020-01-21,114.7535606712525
2020-01-22,124.35612083341323
2020-01-23,129.6460138784608
2020-01-24,122.29844034693105
2020-01-27,112.19857404062157
2020-01-28,114.08118768025844
2020-01-29,116.52862751809766
2020-01-30,109.37876121178829
2020-01-31,109.40369436494302
2020-02-01,68.90638822079416
2020-02-03,67.59910881538343
2020-02-04,73.99668234691325
2020-02-05,84.60166897754425
2020-02-06,99.26393501358581
2020-02-07,101.69641495953232
2020-02-10,90.09412218475251
2020-02-11,84.77916229285967
2020-02-12,75.93185614871089
2020-02-13,74.52686951807999
2020-02-14,68.21702995050856
2020-02-17,54.429830761312076
2020-02-18,51.25732407662758
2020-02-19,69.54223049104428
2020-02-20,64.32471043699064
2020-02-24,45.25004467121687
2020-02-25,52.802604833377586
2020-02-26,38.44020510364544
2020-02-27,42.48049922976463
2020-02-28,15.035753247776483
2020-03-02,19.571060743264525
2020-03-03,33.03332677930621
2020-03-04,38.005833463990825
2020-03-05,35.75825993246099
2020-03-06,12.201114220740692
2020-03-09,-24.928538175664016
2020-03-11,-32.34336437386639
2020-03-12,-84.97773601352105
2020-03-13,-41.42072399549136
2020-03-16,-78.45051008558659
2020-03-17,-88.97544323874132
2020-03-18,-130.77813709459252
2020-03-19,-132.1306972567532
2020-03-20,-128.81331089639013
2020-03-23,-211.37045660811037
2020-03-24,-160.07557693243183
2020-03-25,-122.17530954505088
2020-03-26,-81.32018922072945
2020-03-27,-117.64269590541392
2020-03-30,-147.54512237388417
2020-03-31,-120.0975488423544
2020-04-01,-136.39229482434246
2020-04-03,-146.03218786939004
2020-04-07,-96.81224134686624
2020-04-08,-89.564801509027
2020-04-09,-91.61992183334837
2020-04-13,-86.19741514866388
2020-04-15,-92.93488172524127
2020-04-16,-75.06237504055679
2020-04-17,-67.34997531082456
2020-04-20,-51.87261568919956
2020-04-21,-68.28488172524123
2020-04-22,-60.98488172524128
2020-04-23,-75.87989509461033
2020-04-24,-113.57976140091978
2020-04-27,-80.77733493244966
2020-04-28,-78.10240177929484
2020-04-29,-68.7250421576698
2020-04-30,-60.525042157669816
2020-05-04,-88.10725471623533
2020-05-05,-91.92962770722937
2020-05-06,-78.09714776128294
2020-05-07,-73.65469455407464
2020-05-08,-49.42962770722943
2020-05-11,-45.29957422975315
2020-05-12,-43.95456086038416
2020-05-13,-49.15981487839599
2020-05-14,-74.22464107659835
2020-05-15,-83.19957422975318
2020-05-18,-104.84688037390197
2020-05-19,-104.35928010363409
2020-05-20,-96.85928010363409
2020-05-21,-81.28933358111027
2020-05-22,-81.23178678831857
2020-05-26,-68.40429347300318
2020-05-27,-70.51440042795554
2020-05-28,-58.926800157687694
2020-05-29,-52.5268001576876
2020-06-01,-53.37962770722936
2020-06-02,-69.65213439191388
2020-06-03,-65.45226808560437
2020-06-04,-47.28986835587216
2020-06-05,-41.62773601352103
2020-06-08,-38.7600822657771
2020-06-09,-55.99997531082454
2020-06-10,-55.92274938289012
2020-06-11,-58.650109004515116
2020-06-12,-57.362642427937715
2020-06-15,-58.23272264415209
2020-06-16,-53.70765579730681
2020-06-17,-59.007655797306825
2020-06-18,-41.54525606757454
2020-06-19,-34.865336283788906
2020-06-22,-32.2505100855866
2020-06-23,-11.393230680175861
2020-06-24,-23.61560367116988
2020-06-25,-10.935683887384243
2020-06-26,-8.710617040538978
2020-06-29,-16.597949923425745
2020-06-30,-6.327869707211562
2020-07-01,-1.4705903018008257
2020-07-02,-3.5530702477472005
2020-07-03,19.881969860359845
2020-07-06,35.364316112615825
2020-07-07,32.499356220722916
2020-07-08,32.99679605856227
2020-07-09,35.864316112615825
2020-07-10,37.937090184681324
2020-07-13,44.462157031526544
2020-07-14,40.06229072521705
2020-07-15,35.00986425674671
2020-07-16,40.69733083332426
2020-07-17,56.23978404053253
2020-07-20,60.612157031526635
2020-07-21,72.12213029278848
2020-07-22,53.04719713963368
2020-07-23,66.22469045494915
2020-07-24,64.01229072521699
2020-07-27,71.87495784233022
2020-07-28,78.41498458106821
2020-07-29,77.32239768016939
2020-07-30,72.12253137385994
2020-07-31,64.63250463512179
2020-08-03,42.95487762611583
2020-08-04,53.084931103592
2020-08-05,44.189917734222945
2020-08-06,45.452451157645555
2020-08-07,46.64989099548495
2020-08-10,48.67738431080045
2020-08-11,48.577384310800426
2020-08-12,50.999757301794375
2020-08-13,40.597330833324236
2020-08-14,26.047464527014654
2020-08-17,27.90743778827664
2020-08-18,37.42738431080045
2020-08-19,46.71970382431823
2020-08-20,40.614583499996684
2020-08-21,45.067009968467005
2020-08-24,44.82455676125869
2020-08-25,45.61957013062772
2020-08-26,38.37954339188957
2020-08-27,42.124556761258646
2020-08-28,39.8868227973004
