Date,Residuals
2018-10-05,-98.83994474028697
2018-10-08,-94.54958931329656
2018-10-09,-99.00151822789849
2018-10-10,-88.10381553641344
2018-10-11,-94.77310468243263
2018-10-12,-88.70188662181152
2018-10-15,-95.52925982015142
2018-10-16,-90.0061128449284
2018-10-17,-93.30188662181149
2018-10-19,-92.28170890831632
2018-10-22,-80.40960228021919
2018-10-23,-83.9562646245783
2018-10-24,-85.58363782291826
2018-10-25,-87.52258450886967
2018-10-26,-92.19276222236493
2018-10-29,-61.95945050056929
2018-10-30,-66.88103695510341
2018-10-31,-58.39542792479284
2018-11-01,-60.17665895233665
2018-11-02,-55.539792960637044
2018-11-05,-61.339272787074094
2018-11-06,-58.03734387247215
2018-11-07,-55.49646827191884
2018-11-09,-55.06471707081204
2018-11-12,-58.7133083297731
2018-11-13,-49.79313061627795
2018-11-14,-44.6483971865207
2018-11-15,-41.544539357316864
2018-11-16,-45.51226798264719
2018-11-19,-50.73630352534627
2018-11-20,-53.755592671365434
2018-11-21,-55.942090269152004
2018-11-22,-59.9017348421616
2018-11-26,-55.26857490001589
2018-11-27,-57.85700141240443
2018-11-28,-51.396988445481725
2018-11-29,-48.23400621683129
2018-11-30,-55.4690950735789
2018-12-03,-56.266645985414016
2018-12-04,-52.40997067413224
2018-12-05,-58.515757417938005
2018-12-06,-60.15574445101538
2018-12-07,-55.53170890831632
2018-12-10,-60.530300167277346
2018-12-11,-66.93066856119037
2018-12-12,-61.33541495787023
2018-12-13,-62.142610442714954
2018-12-14,-60.75507249780247
2018-12-17,-54.35314358320056
2018-12-18,-51.58964118098709
2018-12-19,-49.338600833861165
2018-12-20,-53.059298720919344
2018-12-21,-61.19438757766693
2018-12-24,-62.90351197711357
2018-12-26,-60.58088517545349
2018-12-27,-60.92895626085158
2018-12-28,-56.19913397434675
2018-12-31,-56.540009574900125
2019-01-01,-54.19861380078379
2019-01-02,-51.90492071815248
2019-01-03,-53.254920718152505
2019-01-04,-53.859146941269444
2019-01-07,-50.803880371026594
2019-01-08,-39.2052891120656
2019-01-09,-36.36493368507519
2019-01-10,-39.52212916991988
2019-01-11,-40.02791591372562
2019-01-14,-46.597573453657844
2019-01-15,-46.790377968813175
2019-01-16,-45.943195450891096
2019-01-17,-46.86530207898818
2019-01-18,-48.206697853104515
2019-01-21,-46.5817737429295
2019-01-22,-48.01018728839534
2019-01-23,-49.030885175453534
2019-01-24,-51.89000957490009
2019-01-25,-58.37947643441453
2019-01-28,-71.65929872091931
2019-01-29,-69.24772523330779
2019-01-30,-50.16070746195834
2019-01-31,-51.795796318705925
2019-02-01,-58.93051678154052
2019-02-04,-58.475250211297634
2019-02-05,-60.560339068045266
2019-02-06,-55.24297883662797
2019-02-07,-56.2261387787737
2019-02-08,-56.481557128666395
2019-02-11,-61.27243272921976
2019-02-12,-67.39261044271495
2019-02-13,-70.53593513143318
2019-02-14,-68.40893032700632
2019-02-15,-68.58014838762745
2019-02-18,-71.20277518928754
2019-02-19,-67.40611284492837
2019-02-20,-66.30752158596738
2019-02-21,-61.725250211297634
2019-02-22,-61.01226798264719
2019-02-25,-57.68437461074427
2019-02-26,-63.86278815621017
2019-02-27,-66.2536637567635
2019-02-28,-62.245948098355825
2019-03-01,-61.36649420576407
2019-03-05,-56.80862676770647
2019-03-06,-47.923537910958885
2019-03-07,-51.33162196327953
2019-03-08,-50.310035508745386
2019-03-11,-46.577764134075665
2019-03-12,-33.89460419193006
2019-03-13,-29.78740870708532
2019-03-14,-33.491266536289174
2019-03-15,-27.275835219473777
2019-03-18,-24.970048475668023
2019-03-19,-27.470416869581072
2019-03-20,-35.2285009219018
2019-03-22,-34.84779006792098
2019-03-25,-42.222345784183005
2019-03-26,-33.251127723561865
2019-03-27,-34.81744760785324
2019-03-28,-28.9111406904845
2019-03-29,-29.07219400453306
2019-04-01,-32.80290485851384
2019-04-02,-34.49518920010621
2019-04-03,-36.69482080619309
2019-04-04,-39.452536464600826
2019-04-05,-37.245340979756065
2019-04-08,-40.695340979756054
2019-04-09,-31.570785263494145
2019-04-10,-33.780429836503686
2019-04-11,-37.44919880895992
2019-04-12,-33.38042983650365
2019-04-15,-35.60060754999887
2019-04-16,-20.573234351658982
2019-04-18,-21.13725692743543
2019-04-22,-28.520048475668034
2019-04-23,-26.927243960512783
2019-04-24,-23.178652701551698
2019-04-25,-27.694084018367107
2019-04-26,-16.93058161615363
2019-04-30,-14.22442647843485
2019-05-02,-27.062852990823274
2019-05-03,-21.590226189163218
2019-05-06,-21.423906304871878
2019-05-07,-34.521088822793956
2019-05-08,-38.82108882279397
2019-05-09,-39.84319545089113
2019-05-10,-37.623906304871866
2019-05-13,-41.64861380078378
2019-05-14,-39.88073339580359
2019-05-15,-42.74950236825981
2019-05-16,-36.33704031317228
2019-05-17,-30.432662310405476
2019-05-20,-16.578652701551732
2019-05-21,-22.462852990823308
2019-05-22,-16.152319850337676
2019-05-23,-9.985999966046336
2019-05-24,7.582400612496826
2019-05-27,10.555027414156939
2019-05-28,11.613111466477676
2019-05-29,3.9076931165849373
2019-05-30,7.029799744682009
2019-05-31,5.122084086274356
2019-06-03,3.285586488487752
2019-06-04,-0.7735379109588507
2019-06-06,-6.21352494403618
2019-06-07,-0.9044005445895777
2019-06-10,-0.03474300465728675
2019-06-11,4.289812711604668
2019-06-12,0.4955994554103995
2019-06-13,4.316665736381651
2019-06-14,2.0594702515368795
2019-06-17,-0.8982454068707852
2019-06-18,7.421932306624399
2019-06-19,5.10895007797393
2019-06-20,17.561399166138813
2019-06-21,14.998416937488344
2019-06-24,13.685434708837874
2019-06-25,17.700345852090265
2019-06-26,21.367706083507528
2019-06-27,24.33402596779888
2019-06-28,19.33647505596383
2019-07-01,20.274013000876266
2019-07-02,18.39419071437146
2019-07-03,16.92787083008011
2019-07-04,16.585586488487763
2019-07-05,16.920675345235395
2019-07-08,13.13387418814898
2019-07-09,14.586323276313863
2019-07-10,18.170891959498476
2019-07-11,12.488252190915773
2019-07-12,12.35895007797393
2019-07-15,9.052643160605214
2019-07-16,9.64982567852735
2019-07-17,10.04596784932346
2019-07-18,5.587732017352778
2019-07-19,-2.4661258118509863
2019-07-22,-1.0440191837539032
2019-07-23,2.4414380669066986
2019-07-24,-0.8604908476951891
2019-07-25,1.2312733203341395
2019-07-26,6.537580237702855
2019-07-29,19.175118182615392
2019-07-30,16.95197120739232
2019-07-31,14.499153725314443
2019-08-01,8.207757951198118
2019-08-02,1.6467046371495258
2019-08-05,-5.525922164510575
2019-08-06,1.0745980090524085
2019-08-07,2.111984174314955
2019-08-08,6.187060064139871
2019-08-09,12.011095606838921
2019-08-13,2.9995221192274357
2019-08-14,9.901451033829346
2019-08-16,9.66354469500385
2019-08-19,14.705829036596128
2019-08-20,9.464433262479815
2019-08-21,5.761984174314989
2019-08-22,-5.263091715509972
2019-08-23,-10.554855883539403
2019-08-26,4.103379948431268
2019-08-27,10.016882350644721
2019-08-28,5.47741549113033
2019-08-29,-2.6283712526754357
2019-08-30,2.7326820613731115
2019-09-03,-10.69536309017974
2019-09-04,-5.715540803674912
2019-09-05,-15.103967316063347
2019-09-06,-12.902038401461425
2019-09-09,-9.764500456549001
2019-09-11,-12.280300167277346
2019-09-12,-3.958193539180229
2019-09-13,6.4826820613731115
2019-09-16,5.49180646081976
2019-09-17,-4.416429371150912
2019-09-18,-6.123624855995615
2019-09-19,-18.133269429005168
2019-09-20,9.990397719780788
2019-09-23,37.93898897874186
2019-09-24,33.057237777635066
2019-09-25,28.46725074455776
2019-09-26,46.587428458052955
2019-09-27,43.8004106867034
2019-09-30,28.966730570994798
2019-10-01,22.272885708713602
2019-10-03,24.713761309266943
2019-10-04,12.12815227895635
2019-10-07,14.846401077849691
2019-10-09,34.557974565461166
2019-10-10,23.038685419441947
2019-10-11,27.555525477296328
2019-10-14,27.559383306500138
2019-10-15,30.11517005030595
2019-10-16,33.97236553515063
2019-10-17,38.013761309266954
2019-10-18,34.32533479687845
2019-10-22,47.30515708338322
2019-10-23,50.847961598538575
2019-10-24,51.64551251037369
2019-10-25,65.29217485473282
2019-10-27,65.55708599798521
2019-10-29,72.66673057099479
2019-10-30,65.12110857376155
2019-10-31,55.79952211922745
2019-11-01,53.6668823506447
2019-11-04,61.13950915230481
2019-11-05,61.543735375421704
2019-11-06,74.26391308891687
2019-11-07,73.81673057099482
2019-11-08,85.08690828449
2019-11-11,92.25181942774242
2019-11-13,82.23831702552894
2019-11-14,95.13831702552892
2019-11-15,95.15374834234433
2019-11-18,93.28357062884913
2019-11-19,87.13794863161593
2019-11-20,88.82303748836352
2019-11-21,92.55426851590727
2019-11-22,90.80812634511113
2019-11-25,91.25285977486834
2019-11-26,105.04128628725675
2019-11-27,99.47110857376157
2019-11-28,110.71495343604278
2019-11-29,105.16443326247986
2019-12-02,103.35337994843127
2019-12-03,103.91339291535394
2019-12-04,123.18409080241207
2019-12-05,123.10760617154818
2019-12-06,121.36235256822795
2019-12-09,122.61813931203375
2019-12-10,125.66954805307273
2019-12-11,130.5935835957717
2019-12-12,131.46813931203377
2019-12-13,130.46584200351873
2019-12-16,133.22110857376157
2019-12-17,134.38075314677116
2019-12-18,135.74128628725674
2019-12-19,134.24514411646066
2019-12-20,139.36777091812075
2019-12-23,135.30812634511108
2019-12-24,135.2191796591597
2019-12-26,133.38742845805297
2019-12-27,142.1495221192274
2019-12-30,137.40285977486838
2019-12-31,132.3898775462178
2020-01-01,129.98075314677118
2020-01-02,132.35004229279042
2020-01-03,131.8216287473246
2020-01-06,121.37392605583955
2020-01-07,118.24076611369378
2020-01-08,122.0311215406843
2020-01-09,141.08549954345096
2020-01-10,135.14655285749961
2020-01-13,132.9412862872568
2020-01-14,132.237428458053
2020-01-15,129.79321520185874
2020-01-16,131.3802329732082
2020-01-17,126.35426851590722
2020-01-20,130.37585497044142
2020-01-21,126.68690828448996
2020-01-22,118.82006822663567
2020-01-23,123.0777838850434
2020-01-24,128.82058840019863
2020-01-27,132.96094382718906
2020-01-28,124.54024594013089
2020-01-29,122.60708599798522
2020-01-30,128.94744142497564
2020-01-31,122.02726371148037
2020-02-01,102.05077908061651
2020-02-03,114.22236553515057
2020-02-04,129.87956101999532
2020-02-05,138.10552547729634
2020-02-06,139.3099034800631
2020-02-07,134.04885016601457
2020-02-10,132.6964010778497
2020-02-11,138.71850770594676
2020-02-12,149.3420230750828
2020-02-13,141.1160586177819
2020-02-14,146.80448513017035
2020-02-17,144.2702848408988
2020-02-18,143.83326706954927
2020-02-19,146.91501827065593
2020-02-20,149.00396495660743
2020-02-24,133.70485352408343
2020-02-25,135.13801346622915
2020-02-26,128.44328003647195
2020-02-27,121.72206197585075
2020-02-28,105.02873728713251
2020-03-02,115.58155476921047
2020-03-03,122.9359327719772
2020-03-04,116.57295054332678
2020-03-05,112.31575505848201
2020-03-06,96.12769694000662
2020-03-09,69.45262105018162
2020-03-11,78.31508310526914
2020-03-12,41.794753612124
2020-03-13,60.64245630360904
2020-03-16,17.527024986793663
2020-03-17,-17.75279729971112
2020-03-18,-31.026312668847197
2020-03-19,-47.85947261099284
2020-03-20,-41.338774723934705
2020-03-23,-101.07683284241017
2020-03-24,-89.24315272670151
2020-03-25,-67.36244187272075
2020-03-26,-53.34612198842933
2020-03-27,-43.78313975977886
2020-03-30,-69.82594427493416
2020-03-31,-59.068748790089444
2020-04-01,-70.26207347880768
2020-04-03,-94.16978913721539
2020-04-07,-55.01593130801149
2020-04-08,-62.49909125015722
2020-04-09,-39.41541113444856
2020-04-13,-51.428393363099076
2020-04-15,-54.54330450635143
2020-04-16,-39.8562867350019
2020-04-17,-6.8615533052446835
2020-04-20,-21.888926503584628
2020-04-21,-50.04330450635143
2020-04-22,-45.94330450635147
2020-04-23,-29.01734004905046
2020-04-24,-46.376984622060036
2020-04-27,-33.73418010690483
2020-04-28,-22.15435782039998
2020-04-29,-12.331731018739902
2020-04-30,-2.631731018739913
2020-05-04,-43.13996685071055
2020-05-05,-49.636629195069645
2020-05-06,-39.19768250911824
2020-05-07,-44.10680690856486
2020-05-08,-42.78662919506968
2020-05-11,-60.040487024273546
2020-05-12,-58.916451481574484
2020-05-13,-43.47312679285625
2020-05-14,-53.16066473776874
2020-05-15,-57.490487024273534
2020-05-18,-80.61697165513743
2020-05-19,-78.26170508489463
2020-05-20,-72.91170508489466
2020-05-21,-74.45784725569081
2020-05-22,-87.54872285624418
2020-05-26,-85.9357406275937
2020-05-27,-60.37802496918596
2020-05-28,-51.822758398943165
2020-05-29,-46.7227583989432
2020-06-01,-41.23662919506967
