Date,Residuals
2018-10-05,-351.8510992085339
2018-10-08,-298.73415326309123
2018-10-09,-294.3807640740026
2018-10-10,-268.792616774869
2018-10-11,-288.95872488398345
2018-10-12,-239.59600596395762
2018-10-15,-237.36379920667264
2018-10-16,-234.5044694757355
2018-10-17,-230.7460059639577
2018-10-19,-207.28753299123605
2018-10-22,-241.93244920760344
2018-10-23,-230.51635055943257
2018-10-24,-228.93414380214767
2018-10-25,-220.0816019103313
2018-10-26,-247.79007488305274
2018-10-29,-273.1205681239062
2018-10-30,-289.0985289338869
2018-10-31,-294.8671694738739
2018-11-01,-305.128184338412
2018-11-02,-276.1392181248368
2018-11-05,-281.26209515118467
2018-11-06,-285.61548434027327
2018-11-07,-276.97141542117834
2018-11-09,-276.43327758298847
2018-11-12,-257.11378974572904
2018-11-13,-244.4053167730076
2018-11-14,-281.1680262320897
2018-11-15,-249.2248046102668
2018-11-16,-244.95954379842487
2018-11-19,-238.41123839296893
2018-11-20,-241.6773465020833
2018-11-21,-236.35107082570335
2018-11-22,-241.43412488026047
2018-11-26,-241.02649920481122
2018-11-27,-239.24683433934274
2018-11-28,-249.64853839483044
2018-11-29,-196.99938569210258
2018-11-30,-176.25362217846327
2018-12-03,-185.67988839389977
2018-12-04,-184.5476910975583
2018-12-05,-197.73752353029272
2018-12-06,-226.08922758578046
2018-12-07,-126.587532991236
2018-12-10,-206.71804515397707
2018-12-11,-190.28328704393175
2018-12-12,-173.96887352936187
2018-12-13,-147.27819379935545
2018-12-14,-157.05022352843116
2018-12-17,-190.75361271751967
2018-12-18,-177.52733704113984
2018-12-19,-191.72309109383536
2018-12-20,-180.20868704020904
2018-12-21,-189.56292352656965
2018-12-24,-178.61885460747476
2018-12-26,-170.03664785018964
2018-12-27,-178.14003703927824
2018-12-28,-177.54851001199972
2018-12-31,-162.0425789310948
2019-01-01,-169.82138703834744
2019-01-02,-177.6883424447342
2019-01-03,-183.0383424447341
2019-01-04,-173.84680595651184
2019-01-07,-174.4340964974299
2019-01-08,-193.30358433468882
2019-01-09,-182.93663838924613
2019-01-10,-202.19595865923975
2019-01-11,-197.9357910919739
2019-01-14,-211.2671410910432
2019-01-15,-209.05782082104952
2019-01-16,-222.0467964955683
2019-01-17,-205.15188027920112
2019-01-18,-183.1730721719482
2019-01-21,-153.129012713797
2019-01-22,-127.30105190381619
2019-01-23,-141.68664785018973
2019-01-24,-150.7925789310948
2019-01-25,-150.8671600129303
2019-01-28,-156.05868704020895
2019-01-29,-166.32902217474043
2019-01-30,-195.4781748774683
2019-01-31,-162.18241136382903
2019-02-01,-158.57140596023464
2019-02-04,-141.30869650115255
2019-02-05,-134.6129329875132
2019-02-06,-136.09343568931035
2019-02-07,-131.50106136475983
2019-02-08,-112.1256519075389
2019-02-11,-109.61972082663397
2019-02-12,-113.02819379935545
2019-02-13,-111.44599650301416
2019-02-14,-125.793445150254
2019-02-15,-126.70616407027956
2019-02-18,-132.23837082756472
2019-02-19,-129.80446947573546
2019-02-20,-121.67395731299484
2019-02-21,-124.35869650115251
2019-02-22,-175.6595437984247
2019-02-25,-172.91462758205762
2019-02-26,-176.03666677207684
2019-02-27,-195.68073569117178
2019-02-28,-199.54429244752623
2019-03-01,-191.11800731020253
2019-03-05,-182.7196829828597
2019-03-06,-181.6154464964991
2019-03-07,-188.81713163009954
2019-03-08,-185.439170820119
2019-03-11,-176.87391000827688
2019-03-12,-162.61628433282772
2019-03-13,-164.15696406283405
2019-03-14,-156.05018568465675
2019-03-15,-101.47729919736526
2019-03-18,-83.58746676463102
2019-03-19,-83.40270865458615
2019-03-20,-82.65439378818678
2019-03-22,-95.97050189730112
2019-03-25,-122.29931946549732
2019-03-26,-90.23660054547167
2019-03-27,-101.25185189637045
2019-03-28,-95.33489648998398
2019-03-29,-101.7374383818003
2019-04-01,-98.87133027268601
2019-04-02,-99.63488702904033
2019-04-03,-100.96964513908529
2019-04-04,-111.45608838273097
2019-04-05,-97.84676811273744
2019-04-08,-90.54676811273748
2019-04-09,-93.61795054454092
2019-04-10,-84.15100459909809
2019-04-11,-90.18998973456041
2019-04-12,-90.60100459909813
2019-04-15,-60.70947757181966
2019-04-16,-47.09168432910451
2019-04-18,-61.04508297913662
2019-04-22,-70.53746676463106
2019-04-23,-72.44678703462478
2019-04-24,-62.216274871884025
2019-04-25,-66.93916135917539
2019-04-26,-49.512885682795286
2019-04-30,-38.90781136010605
2019-05-02,-20.328146494637622
2019-05-03,-9.945939737352546
2019-05-06,-16.430688386453767
2019-05-07,-16.341712711935315
2019-05-08,-22.29171271193536
2019-05-09,-39.29679649556829
2019-05-10,-28.680688386453767
2019-05-13,-30.921387038347575
2019-05-14,-40.524766766492576
2019-05-15,-27.01375190195472
2019-05-16,-8.341722172878917
2019-05-17,36.72862242259612
2019-05-20,73.58372512811593
2019-05-21,61.22185350536256
2019-05-22,70.09727242352665
2019-05-23,75.51252377442529
2019-05-24,82.88626701993257
2019-05-27,99.51847377721765
2019-05-28,84.2201589108181
2019-05-29,91.645568368039
2019-05-30,113.4006521516717
2019-05-31,101.01420890802615
2019-06-03,108.69048458440602
2019-06-04,108.43455350350087
2019-06-06,94.23284944801321
2019-06-07,92.138780528918
2019-06-10,84.82013052798743
2019-06-11,88.64894809618386
2019-06-12,63.83878052891805
2019-06-13,87.38961836524663
2019-06-14,56.680298095252965
2019-06-17,43.99385485160724
2019-06-18,46.00232782432886
2019-06-19,82.00317512160086
2019-06-20,100.97690890616445
2019-06-21,72.47775620343668
2019-06-24,53.32860350070882
2019-06-25,66.37436701434831
2019-06-26,71.24386431255084
2019-06-27,63.159115663449484
2019-06-28,57.08284944801312
2019-07-01,59.86081971893759
2019-07-02,50.66929269165894
2019-07-03,53.254041340760295
2019-07-04,75.24048458440598
2019-07-05,94.89472107076676
2019-07-08,62.14723457975242
2019-07-09,48.120968364315786
2019-07-10,62.74808187702456
2019-07-11,70.01757917522741
2019-07-12,67.853175121601
2019-07-15,94.28621971521443
2019-07-16,85.29724404069611
2019-07-17,118.854022418873
2019-07-18,124.69045620157522
2019-07-19,85.74723457975256
2019-07-22,41.4523183633853
2019-07-23,85.32179673970086
2019-07-24,88.72518592878964
2019-07-25,78.76161971149168
2019-07-26,103.57857511787802
2019-07-29,92.90654538880244
2019-07-30,91.54721565786531
2019-07-31,110.05823998334654
2019-08-01,88.03704809059946
2019-08-02,99.68450619878308
2019-08-05,53.25229944149805
2019-08-06,77.07942241515025
2019-08-07,72.04551160237725
2019-08-08,95.85145214422596
2019-08-09,125.30314673877024
2019-08-13,105.82348187330172
2019-08-14,86.02009268421307
2019-08-16,90.57688052333378
2019-08-19,88.79043727968792
2019-08-20,99.26924538694084
2019-08-21,101.49551160237729
2019-08-22,76.63957106052885
2019-08-23,66.40313727782677
2019-08-26,106.81670349512456
2019-08-27,94.14297917150452
2019-08-28,77.76839808966884
2019-08-29,45.578565656934416
2019-08-30,26.33110754875088
2019-09-03,14.774310248686561
2019-09-04,26.41583727596526
2019-09-05,8.89550214143378
2019-09-06,40.09211295234513
2019-09-09,68.52008322326947
2019-09-11,70.13195484602306
2019-09-12,52.787038629655854
2019-09-13,79.13110754875083
2019-09-16,70.18703862965594
2019-09-17,45.72347241235798
2019-09-18,61.614152142364446
2019-09-19,50.48109808780737
2019-09-20,132.91755079239647
2019-09-23,233.49806295513736
2019-09-24,211.70992511694726
2019-09-25,198.10822106145952
2019-09-26,223.8666940341809
2019-09-27,240.46584673690882
2019-09-30,242.3310980878075
2019-10-01,249.38617241049656
2019-10-03,216.58024132959167
2019-10-04,165.09888186957892
2019-10-07,158.31074403138882
2019-10-09,213.79040889685734
2019-10-10,188.27430078774296
2019-10-11,190.7666751122938
2019-10-14,188.10989673411655
2019-10-15,217.59972916685092
2019-10-16,208.10904943684432
2019-10-17,205.38024132959163
2019-10-18,214.85990619506015
2019-10-22,227.95143322233866
2019-10-23,212.19211295234527
2019-10-24,213.3183791677816
2019-10-25,187.75228051961085
2019-10-27,191.89804403325024
2019-10-29,173.4310980878074
2019-10-30,175.00144268328245
2019-10-31,168.92348187330163
2019-11-01,172.49297917150466
2019-11-04,162.57518592878955
2019-11-05,148.93364944056748
2019-11-06,166.59212241328873
2019-11-07,181.88109808780746
2019-11-08,198.63957106052885
2019-11-11,215.03533457416825
2019-11-13,205.35905889778792
2019-11-14,197.15905889778787
2019-11-15,220.68194538507942
2019-11-18,224.62347241235807
2019-11-19,219.4438170078331
2019-11-20,195.3480534941939
2019-11-21,191.80906835873157
2019-11-22,165.25228998055445
2019-11-25,199.03958052147254
2019-11-26,201.00991565600384
2019-11-27,214.00144268328245
2019-11-28,207.79636836059308
2019-11-29,209.36924538694097
2019-12-02,227.0167034951246
2019-12-03,243.66499943963663
2019-12-04,247.30059538601017
2019-12-05,246.82516700690235
2019-12-06,273.9607534923323
2019-12-09,258.30058592506657
2019-12-10,262.620073762326
2019-12-11,286.87176835687023
2019-12-12,314.6505859250665
2019-12-13,288.08873322420027
2019-12-16,300.0514426832824
2019-12-17,308.3844967378395
2019-12-18,320.95991565600366
2019-12-19,325.7031372778267
2019-12-20,287.8353440351118
2019-12-23,301.05228998055463
2019-12-24,307.8548318723708
2019-12-26,291.266694034181
2019-12-27,280.02348187330153
2019-12-30,285.78958052147254
2019-12-31,279.7904278187443
2020-01-01,269.1344967378395
2020-01-02,264.60060484695373
2020-01-03,251.82856565693442
2020-01-06,250.99041835780076
2020-01-07,268.8327926823515
2020-01-08,253.8497386277943
2020-01-09,262.27008322326947
2020-01-10,282.0726251150859
2020-01-13,287.70991565600366
2020-01-14,273.81669403418095
2020-01-15,272.00652646691515
2020-01-16,298.0073737641874
2020-01-17,294.6590683587315
2020-01-20,216.1370291687124
2020-01-21,223.48957106052876
2020-01-22,184.34719673597806
2020-01-23,203.8836399796237
2020-01-24,240.42431970963025
2020-01-27,216.8412656550729
2020-01-28,225.4056697086994
2020-01-29,239.3480440332503
2020-01-30,228.16498997869303
2020-01-31,291.15651700597164
2020-02-01,248.8310886268639
2020-02-03,278.80904943684436
2020-02-04,301.4183697068379
2020-02-05,292.7666751122938
2020-02-06,275.2370197077687
2020-02-07,254.13447781595232
2020-02-10,271.9607440313887
2020-02-11,280.41582781502166
2020-02-12,319.3403994359139
2020-02-13,294.34209403045793
2020-02-14,286.71242916498954
2020-02-17,299.1505575422357
2020-02-18,298.9997102449638
2020-02-19,308.3878480831536
2020-02-20,293.0853061913374
2020-02-24,287.92767105494454
2020-02-25,285.9352967303937
2020-02-26,277.39800618947584
2020-02-27,295.88528726945015
2020-02-28,235.41748456579148
2020-03-02,216.40646024031003
2020-03-03,241.9268048357851
2020-03-04,223.62765213305738
2020-03-05,266.46833186306367
2020-03-06,248.86323861848723
2020-03-09,198.6072980766387
2020-03-11,211.07932780571423
2020-03-12,91.60897374929573
2020-03-13,92.89712104842943
2020-03-16,8.174234561138064
2020-03-17,-52.31729246614054
2020-03-18,-204.54186408703276
2020-03-19,-166.0994897624821
2020-03-20,-115.46389381610857
2020-03-23,-276.86898706068496
2020-03-24,-223.13423841158328
2020-03-25,-83.85034652069771
2020-03-26,-0.13509516979911496
2020-03-27,25.964057532928564
2020-03-30,-78.87662219707772
2020-03-31,-75.96730192708424
2020-04-01,-188.43510463074267
2020-04-03,-228.42154787438858
2020-04-07,-171.62832625256578
2020-04-08,-182.48595192801486
2020-04-09,-98.1512032789135
2020-04-13,-120.10035598164131
2020-04-15,-196.9961194952807
2020-04-16,-239.84527219800862
2020-04-17,-185.2079816570906
2020-04-20,-194.77577489980558
2020-04-21,-240.59611949528062
2020-04-22,-218.59611949528062
2020-04-23,-121.19781408982476
2020-04-24,-130.2808681443821
2020-04-27,-66.79018841437573
2020-04-28,-44.248661387096945
2020-04-29,-44.1164546298121
2020-04-30,-14.76645462981196
2020-05-04,-91.98002084710993
2020-05-05,-130.46392219893937
2020-05-06,-123.01646409075556
2020-05-07,-169.52239517166072
2020-05-08,-151.36392219893924
2020-05-11,-179.95714382076198
2020-05-12,-211.10544922621784
2020-05-13,-183.53764652255927
2020-05-14,-195.8156167934835
2020-05-15,-190.10714382076208
2020-05-18,-253.28257219986995
2020-05-19,-235.71986274078768
2020-05-20,-206.0698627407878
2020-05-21,-216.32664111896497
2020-05-22,-206.02071003805986
2020-05-26,-213.07155733533205
2020-05-27,-149.5351140916864
2020-05-28,-136.87240463260423
2020-05-29,-142.32240463260428
2020-06-01,-120.41392219893919
2020-06-02,-25.964769496211375
2020-06-03,16.668284558345704
2020-06-04,-36.24442490073625
2020-06-05,-35.64102625070427
2020-06-08,-35.52153841344489
2020-06-09,-67.30798165709052
2020-06-10,-41.292720845248596
2020-06-11,-73.77492760253335
2020-06-12,-92.92916408889437
2020-06-15,-124.43933165615977
2020-06-16,-96.03085868343851
2020-06-17,-129.0308586834385
2020-06-18,-70.24356814252064
2020-06-19,-71.70373570978632
2020-06-22,-20.175765438862072
2020-06-23,12.696273751157378
2020-06-24,-32.33762760067202
2020-06-25,4.852204832062171
2020-06-26,-36.239322195216346
2020-06-29,-19.418139763412682
2020-06-30,-14.007972196146966
2020-07-01,-19.385933006127743
2020-07-02,-23.983391114311416
2020-07-03,-21.87830733067858
2020-07-06,-8.947795167937784
2020-07-07,-8.292711384304994
2020-07-08,-24.2503370597542
2020-07-09,-8.697795167937784
2020-07-10,-25.413055979779983
2020-07-13,-38.704583007058545
2020-07-14,-74.93763706161576
2020-07-15,-82.67831679162214
2020-07-16,-50.28255327798274
2020-07-17,-45.838484358887854
2020-07-20,-55.204583007058545
2020-07-21,-15.457972196147011
2020-07-22,-31.59949922342571
2020-07-23,0.04965347930215103
2020-07-24,-23.237637061615715
2020-07-27,-49.3664546298121
2020-07-28,12.28693455927646
2020-07-29,17.025919694738604
2020-07-30,13.592865640181572
2020-07-31,-5.860523548907167
2020-08-03,-64.02662219707781
2020-08-04,-48.2198438189007
2020-08-05,-38.07153841344484
2020-08-06,-31.91730192708428
2020-08-07,-29.9749276025334
2020-08-10,-12.325774899805538
2020-08-11,-7.925774899805674
2020-08-12,-38.3918735479765
2020-08-13,-36.682553277982834
2020-08-14,-64.46560733254
2020-08-17,-44.568996521628605
2020-08-18,-3.175774899805674
2020-08-19,-18.298651926153525
2020-08-20,-36.46390327705217
2020-08-21,-35.97322354704556
2020-08-24,12.232707533859411
2020-08-25,25.184402128403462
2020-08-26,61.58101293931509
2020-08-27,44.98270753385941
2020-08-28,90.30305212933422
2020-08-31,26.586944020220017
2020-09-01,56.242875101125264
2020-09-02,48.991180506580804
2020-09-03,22.49626429021373
2020-09-04,6.710668343840098
2020-09-07,-4.741873547976411
2020-09-08,-22.63933165615981
2020-09-09,-46.42662219707768
2020-09-10,-53.737637061615715
2020-09-11,-43.04017895343213
2020-09-14,-68.58848435888785
2020-09-15,-49.03340057525497
2020-09-16,-47.88848435888781
2020-09-17,-67.83255327798292
2020-09-18,-95.17153841344498
2020-09-21,-82.43849381983136
2020-09-22,-99.12832625256578
2020-09-23,-93.56646409075552
2020-09-24,-121.54443436168003
2020-09-25,-115.61138030712277
2020-09-28,-91.08002084710984
2020-09-29,-105.46222760439491
2020-09-30,-99.95290733440129
2020-10-01,-62.5435870644078
