Date,Residuals
2018-10-05,-188.71316503126332
2018-10-08,-200.354604597778
2018-10-09,-210.06289251108103
2018-10-10,-179.12413809330224
2018-10-11,-204.90701722633162
2018-10-12,-187.11585017999926
2018-10-15,-197.98483863515867
2018-10-16,-183.38538367552326
2018-10-17,-179.6658501799992
2018-10-19,-176.86156996325667
2018-10-22,-183.99900183321097
2018-10-23,-165.05086942139997
2018-10-24,-177.81985787655958
2018-10-25,-178.58857381153678
2018-10-26,-170.19285402827938
2018-10-29,-148.4335160873344
2018-10-30,-163.82764080258505
2018-10-31,-159.25705727941875
2018-11-01,-154.0426215611842
2018-11-02,-169.1976792853867
2018-11-05,-150.82923587059167
2018-11-06,-148.52094795728874
2018-11-07,-149.4439441090086
2018-11-09,-150.38993641244826
2018-11-12,-153.4000919139403
2018-11-13,-157.69581169719766
2018-11-14,-144.75223202231155
2018-11-15,-147.58565619570572
2018-11-16,-143.6132050843504
2018-11-19,-151.88406112769894
2018-11-20,-160.66694026072844
2018-11-21,-162.1089248676077
2018-11-22,-152.40036443412248
2018-11-26,-158.1565122390541
2018-11-27,-152.50678475923644
2018-11-28,-162.01238752380345
2018-11-29,-159.17281554547776
2018-11-30,-158.72495565384907
2018-12-03,-156.4482243257512
2018-12-04,-161.25195950212924
2018-12-05,-159.9768232420381
2018-12-06,-172.93242600660517
2018-12-07,-178.4615699632567
2018-12-10,-181.77172546474856
2018-12-11,-170.82468313366678
2018-12-12,-157.36266004398578
2018-12-13,-155.07736828240274
2018-12-14,-155.4484968459335
2018-12-17,-132.09020893263062
2018-12-18,-130.3821935395099
2018-12-19,-127.39530670992019
2018-12-20,-120.3680303414576
2018-12-21,-114.62017044982895
2018-12-24,-131.6931666015488
2018-12-26,-133.36215505670827
2018-12-27,-117.05386714340534
2018-12-28,-107.45814736014802
2018-12-31,-109.38515120842817
2019-01-01,-103.63970394535306
2019-01-02,-106.23301110005684
2019-01-03,-107.88301110005693
2019-01-04,-95.45254459558089
