Date,Residuals
2018-10-05,-23.50141940964255
2018-10-08,-13.587829434739717
2018-10-09,-15.885111439759157
2018-10-10,-9.359714848154567
2018-10-11,-20.832534898348854
2018-10-12,-24.762432843135116
2018-10-15,-27.951702316783155
2018-10-16,-26.88431825654999
2018-10-17,-27.36243284313514
2018-10-19,-26.155637855683665
2018-10-22,-26.151560863212865
2018-10-23,-28.46365038705514
2018-10-24,-31.052919860703128
2018-10-25,-36.825881364467705
2018-10-26,-39.53267635191915
2018-10-29,-31.67222873270771
2018-10-30,-30.569652191297394
2018-10-31,-25.084601163690593
2018-11-01,-22.21843464737742
2018-11-02,-9.572087279137406
2018-11-05,-3.3654337452562686
2018-11-06,-12.36815174023684
2018-11-07,-13.147908231452845
2018-11-09,-18.207421213884857
2018-11-12,-20.616792742746554
2018-11-13,-19.259997755295103
2018-11-14,-15.595190236472263
2018-11-15,-14.800626226433451
2018-11-16,-14.453485674984279
2018-11-19,-17.454844672474565
2018-11-20,-17.12766472266884
2018-11-21,-17.046690687532816
2018-11-22,-18.883100712629982
2018-11-26,-14.051985223923737
2018-11-27,-14.068293193807165
2018-11-28,-11.75456176533396
2018-11-29,-10.030241264079166
2018-11-30,-12.408638757804852
2018-12-03,-14.154703218904274
2018-12-04,-13.628882266588846
2018-12-05,-14.520728281647166
2018-12-06,-11.856996853173996
2018-12-07,-11.85563785568371
2018-12-10,-10.165009384545442
2018-12-11,-12.7923307879214
2018-12-12,-14.0708697352174
2018-12-13,-11.703344221413943
2018-12-14,-14.771011188787725
2018-12-17,-14.973729183768228
2018-12-18,-15.242755148632284
2018-12-19,-14.079448080870009
2018-12-20,-18.59289660220253
2018-12-21,-21.37129409592825
2018-12-24,-21.101050587144243
2018-12-26,-22.64032006079225
2018-12-27,-25.14303805577282
2018-12-28,-23.749833043224214
2018-12-31,-21.770076552008277
2019-01-01,-22.343179509343088
2019-01-02,-23.141679058282534
2019-01-03,-25.94167905828249
2019-01-04,-28.06356447169742
2019-01-07,-27.528371990520213
2019-01-08,-21.419000461658527
2019-01-09,-18.90541048675567
2019-01-10,-20.037884972952213
2019-01-11,-21.32973098801051
2019-01-14,-28.329872441580846
2019-01-15,-25.697397955384247
2019-01-16,-29.978654897660817
2019-01-17,-36.482731890131674
2019-01-18,-34.65962893279681
2019-01-21,-30.62429499804938
2019-01-22,-28.676871539459682
2019-01-23,-30.14032006079225
2019-01-24,-29.620076552008243
2019-01-25,-28.49969158965399
2019-01-28,-31.042896602202518
2019-01-29,-35.059204572085946
2019-01-30,-28.08352507334081
2019-01-31,-22.511922567066563
2019-02-01,-22.71299865741628
2019-02-04,-21.277806176239153
2019-02-05,-21.20620366996485
2019-02-06,-21.330665624789958
2019-02-07,-24.111781113496306
2019-02-08,-14.326305725178543
2019-02-11,-18.946549233962514
2019-02-12,-25.303344221413965
2019-02-13,-27.727523269098583
2019-02-14,-35.86557519882655
2019-02-15,-34.4856772540403
2019-02-18,-34.84640778039227
2019-02-19,-34.28431825655002
2019-02-20,-32.37494672768827
2019-02-21,-37.22780617623914
2019-02-22,-34.40348567498427
2019-02-25,-35.957562667455136
2019-02-26,-35.61013920886535
2019-02-27,-33.43038271764942
2019-02-28,-34.041254697571674
2019-03-01,-41.07537108839915
2019-03-05,-52.656910937816235
2019-03-06,-50.378513444090515
2019-03-07,-54.39496286754422
2019-03-08,-50.79753940895449
2019-03-11,-49.80039885750534
2019-03-12,-49.11928336879913
2019-03-13,-41.48680888260253
2019-03-14,-41.73137289264139
2019-03-15,-39.25311685248596
2019-03-18,-40.21127083742766
2019-03-19,-45.78859224080361
2019-03-20,-52.705041664257294
2019-03-22,-53.42786171445164
2019-03-25,-54.33587424582305
2019-03-26,-50.365772190609334
2019-03-27,-47.328003168021894
2019-03-28,-42.02950361908245
2019-03-29,-40.656542115317905
2019-04-01,-43.68372206512362
2019-04-02,-39.4445940450459
2019-04-03,-38.26727264166993
2019-04-04,-34.95640066174764
2019-04-05,-38.32392617555104
2019-04-08,-42.57392617555104
2019-04-09,-43.76591364417959
2019-04-10,-45.10232366927676
2019-04-11,-39.46849018558993
2019-04-12,-40.752323669276734
2019-04-15,-41.65911865672814
2019-04-16,-38.86984918308019
2019-04-18,-36.90747675209735
2019-04-22,-29.11127083742764
2019-04-23,-35.29374532362425
2019-04-24,-32.68437379476251
2019-04-25,-33.21262983491795
2019-04-26,-30.431655799781936
2019-04-30,-24.81248838134769
2019-05-02,-29.628796351231074
2019-05-03,-30.41806582487908
2019-05-06,-29.405834847466508
2019-05-07,-26.92457790518995
2019-05-08,-34.12457790518994
2019-05-09,-33.82865489766078
2019-05-10,-30.105834847466497
2019-05-13,-15.043179509343133
2019-05-14,-15.210987930287104
2019-05-15,-16.12715444660023
2019-05-16,-9.209487479226539
2019-05-17,-10.10826993530651
2019-05-20,1.2656262052374814
2019-05-21,-0.2287963512310398
2019-05-22,7.091588611123257
2019-05-23,10.453819588535737
2019-05-24,12.292664701472972
2019-05-27,16.00339522782491
2019-05-28,22.019844651278618
2019-05-29,21.805320039596324
2019-05-30,27.459397032067216
2019-05-31,28.42026901198949
2019-06-03,27.85124304712548
2019-06-04,23.92148655590944
2019-06-06,15.58521798438261
2019-06-07,21.614974475598615
2019-06-10,28.51511592916893
2019-06-11,28.17312846054034
2019-06-12,23.564974475598603
