Date,Residuals
2018-08-31,-172.93446230961467
2018-09-03,-153.60770843035175
2018-09-04,-111.53272347691677
2018-09-05,-129.41626596365177
2018-09-06,-110.34390430582835
2018-09-07,-131.02054473030194
2018-09-10,-145.54995199830591
2018-09-11,-153.79681469727802
2018-09-12,-152.75057945851154
2018-09-14,-122.346928152067
2018-09-17,-151.70057945851158
2018-09-18,-137.77898880881253
2018-09-19,-155.41467067887265
2018-09-21,-143.7634157584614
2018-09-24,-244.31581214449466
2018-09-25,-210.78050073193185
2018-09-26,-193.95400385537732
2018-09-27,-237.23942872272937
2018-09-28,-212.2229712094645
2018-10-01,-187.29016963772438
2018-10-03,-189.15939399451963
2018-10-04,-207.13112819213757
2018-10-05,-235.02411267508637
2018-10-08,-299.82887535402324
2018-10-09,-245.75274893496612
2018-10-10,-272.16352921325074
2018-10-11,-271.37385567237834
2018-10-12,-230.78164219755377
2018-10-15,-226.40865307952458
2018-10-16,-225.946330784991
2018-10-17,-214.90023909414367
2018-10-19,-292.2890582652319
2018-10-22,-291.8213458315561
2018-10-23,-248.22034791385272
2018-10-24,-193.68152874276439
2018-10-25,-220.85628678662124
2018-10-26,-208.53204274818086
2018-10-29,-276.05965099722766
2018-10-30,-319.4836380329598
2018-10-31,-248.728474803396
2018-11-01,-270.48474940545225
2018-11-02,-206.3117602874231
2018-11-05,-268.7584794384761
2018-11-06,-228.3577385234812
2018-11-07,-218.73010018130503
2018-11-09,-207.84216547313054
2018-11-12,-210.9569976084863
2018-11-13,-182.47935926630998
2018-11-14,-185.92043127551256
2018-11-15,-177.272941116335
2018-11-16,-159.60283229662582
2018-11-19,-140.38788670648046
2018-11-20,-147.78688878877733
2018-11-21,-168.0419084704222
2018-11-22,-148.46917635510113
2018-11-26,-149.4465576945695
2018-11-27,-142.06740742927354
2018-11-28,-100.1328670248356
2018-11-29,-77.79655769456963
2018-11-30,-39.4552286826588
2018-12-03,-54.636004325863496
2018-12-04,-82.235633868366
2018-12-05,-40.648954080602834
2018-12-06,-53.6426794785466
2018-12-07,-47.28677533398809
2018-12-10,-88.26843544010626
2018-12-11,-112.24493231666088
2018-12-12,-90.18939862959974
2018-12-13,-100.42796079797995
2018-12-14,-139.02268411362684
2018-12-17,-83.73976908709733
2018-12-18,-102.56652296636003
2018-12-19,-98.49427476332562
2018-12-20,-84.05722451806491
2018-12-21,-103.22644887486058
2018-12-24,-153.3836079398302
2018-12-26,-125.72958617588847
2018-12-27,-103.78235301941913
2018-12-28,-81.22493695174103
2018-12-31,-96.37091518779926
2019-01-01,-67.64829652726758
2019-01-02,-77.62368203132974
2019-01-03,-112.39755561227275
2019-01-04,-97.76224419971004
2019-01-07,-93.11036181909321
2019-01-08,-136.07291102320528
2019-01-09,-100.07291102320528
2019-01-10,-115.72881516776442
2019-01-11,-95.40268874870662
2019-01-14,-110.02718978985536
2019-01-15,-91.10671051264853
2019-01-16,-113.09213538000085
2019-01-17,-65.00634005515144
2019-01-18,-54.8084794384763
2019-01-21,-49.149437992889716
2019-01-22,-67.10748152077326
2019-01-23,-76.65246183912836
2019-01-24,-68.31552504865704
2019-01-25,-53.07294111633496
2019-01-28,-71.72319811904322
2019-01-29,-93.09958154080846
2019-01-30,-151.681355101716
2019-01-31,-135.11777788677136
2019-02-01,-66.39932453810025
2019-02-04,-47.69869707789462
2019-02-05,-47.05522868265871
2019-02-06,-54.68914162689157
2019-02-07,-67.67017427280416
2019-02-08,-88.1571110632758
2019-02-11,-66.87721988298495
2019-02-12,-93.58677533398804
2019-02-13,-44.926735970698246
2019-02-14,-71.18075773464011
2019-02-15,-83.60274893496603
2019-02-18,-73.98189920026198
2019-02-19,-104.89156810605414
2019-02-20,-103.31492768158091
2019-02-21,-83.33201265505113
2019-02-22,-96.89168156084338
2019-02-25,-87.21278829825587
2019-02-26,-115.81304530096395
2019-02-27,-132.65374685266897
2019-02-28,-136.96681006219774
2019-03-01,-131.288914717313
2019-03-05,-142.02157274113438
2019-03-06,-122.1405400952217
2019-03-07,-138.9067406057784
2019-03-08,-133.2837514877492
2019-03-11,-139.6089934438928
2019-03-12,-105.70836598368692
2019-03-13,-105.20596959765362
2019-03-14,-94.87644887486044
2019-03-15,-98.12995663338597
2019-03-18,-112.15294575141479
2019-03-19,-119.91977372217752
2019-03-20,-102.6374861558536
2019-03-22,-90.10169083100413
2019-03-25,-112.94604368915316
2019-03-26,-142.92040118238288
2019-03-27,-186.4055690470268
2019-03-28,-194.73645814502083
2019-03-29,-176.57778715693166
2019-04-01,-191.6250203134009
2019-04-02,-175.47262392736752
2019-04-03,-130.92188301237275
2019-04-04,-106.16258456407809
2019-04-05,-73.70040581746343
2019-04-08,-64.30003535996548
2019-04-09,-56.336087687523104
2019-04-10,-83.82516386131965
2019-04-11,-103.16963017425837
2019-04-12,-102.14789597664071
2019-04-15,-113.97616177902273
2019-04-16,-102.00970426575782
2019-04-18,-109.00280220349623
2019-04-22,-156.43508976982002
2019-04-23,-160.16173019429357
2019-04-24,-132.19162137458443
2019-04-25,-142.77416594361648
2019-04-26,-140.8329503864952
2019-04-30,-114.96272811199674
2019-05-02,-86.81021827117411
2019-05-03,-103.77390894090831
2019-05-06,-140.69438821811514
2019-05-07,-129.2064535099405
2019-05-08,-141.54641414665093
2019-05-09,-161.0812115537974
2019-05-10,-172.18785661335073
2019-05-13,-147.28069754838089
2019-05-14,-159.96372602969973
2019-05-15,-171.99350375520157
2019-05-16,-186.60970426575795
2019-05-17,-146.34236228957934
2019-05-20,-99.53340420565246
2019-05-21,-84.48454567127419
2019-05-22,-71.62838452400729
2019-05-23,-99.57436276006547
2019-05-24,-132.96492076385175
2019-05-27,-111.5348860356421
2019-05-28,-123.66591868155501
2019-05-29,-87.3166896896796
2019-05-30,-66.16241092302926
2019-05-31,-64.52761351588288
2019-06-03,-26.237282421675445
2019-06-04,-22.905251858059728
2019-06-06,-13.439194895421679
2019-06-07,-2.640820273330519
2019-06-10,-26.693957574358592
2019-06-11,-39.92008399341603
2019-06-12,-37.82687260088824
2019-06-13,-30.335914046474954
2019-06-14,-33.2821492852413
2019-06-17,-26.95163064474491
2019-06-18,-54.04358711686109
2019-06-19,-27.775247222979488
2019-06-20,-24.234031665857856
2019-06-21,-96.38440212335536
2019-06-24,-100.53414512064728
2019-06-25,-87.43326065773363
2019-06-26,-97.2910471829091
2019-06-27,-82.83551349584786
2019-06-28,-83.28425857543652
2019-07-01,-30.45134354890706
2019-07-02,-4.611012454699448
2019-07-03,-13.979979808786538
2019-07-04,-14.959500531580034
2019-07-05,-26.786254410842503
2019-07-08,3.746260065059687
2019-07-09,-36.94292956352592
2019-07-10,-24.90776169888204
2019-07-11,-19.77031090299397
2019-07-12,-25.15975753428802
2019-07-15,-6.165918681555013
2019-07-16,-7.827469967964134
2019-07-17,-24.62758342275356
2019-07-18,62.02906163680018
2019-07-19,45.089728460295646
2019-07-22,-54.95864616179597
2019-07-23,-75.47436276006556
