Date,Residuals
2018-10-05,-86.28153334230689
2018-10-08,-88.03902591676416
2018-10-09,-90.63078548318572
2018-10-10,-88.29127648575064
2018-10-11,-84.60700250216331
2018-10-12,-78.05456846420816
2018-10-15,-83.71009266475522
2018-10-16,-81.50241662132925
2018-10-17,-80.7897737758853
2018-10-19,-80.10391233957142
2018-10-22,-67.91599079486286
2018-10-23,-68.7950157813562
2018-10-24,-69.68087721767012
2018-10-25,-67.3199205510603
2018-10-26,-70.57993889795716
2018-10-29,-51.031067678261934
2018-10-30,-58.496518491221536
2018-10-31,-55.11365548301518
2018-11-01,-59.64118475126628
2018-11-02,-58.496708951813446
2018-11-05,-70.18210472408242
2018-11-06,-60.635660550719194
2018-11-07,-57.90738342334703
2018-11-09,-54.59052862662952
2018-11-12,-55.28921637735601
2018-11-13,-46.8109392499839
2018-11-14,-45.091558680826836
2018-11-15,-42.98257038812727
2018-11-16,-49.3773283826564
2018-11-19,-52.554949385391865
2018-11-20,-53.6839743718852
2018-11-21,-57.41599778648606
2018-11-22,-58.99605282717664
2018-11-26,-57.3497991144053
2018-11-27,-61.20148529323939
2018-11-28,-53.372925970791016
2018-11-29,-51.499799114405334
2018-11-30,-57.29464884341877
2018-12-03,-58.48669060491653
2018-12-04,-52.98846851823498
2018-12-05,-57.81711957516768
2018-12-06,-58.33959030691659
2018-12-07,-53.61028312534711
2018-12-10,-58.59960865381345
2018-12-11,-67.20607117407349
2018-12-12,-62.9249860791856
2018-12-13,-66.01459380272814
2018-12-14,-63.80803954798381
2018-12-17,-57.47320816586722
2018-12-18,-56.004201526270776
2018-12-19,-57.45616990018101
2018-12-20,-57.036598870432215
2018-12-21,-63.44455710893442
2018-12-24,-65.71937014415414
2018-12-26,-63.40832174305996
2018-12-27,-62.17386429050396
2018-12-28,-58.97452041514072
2018-12-31,-60.36347201404652
2019-01-01,-59.41721830127523
2019-01-02,-54.47901456149043
2019-01-03,-53.820774127912046
2019-01-04,-56.56862228503303
2019-01-07,-53.10036350455772
2019-01-08,-47.10542204105991
2019-01-09,-45.00542204105989
2019-01-10,-47.934729222629414
2019-01-11,-46.87648878905094
2019-01-14,-50.391001282297566
2019-01-15,-51.88753719014511
2019-01-16,-50.41338027956215
2019-01-17,-46.989315103463525
2019-01-18,-47.8321047240824
2019-01-21,-46.33903290838737
2019-01-22,-47.411129710575665
2019-01-23,-46.479106295974816
2019-01-24,-50.08322651276404
2019-01-25,-55.78257038812728
2019-01-28,-66.7071012282708
2019-01-29,-62.689872501992795
2019-01-30,-48.552889276997234
2019-01-31,-54.44970737992094
2019-02-01,-57.6153416618493
2019-02-04,-57.39258873502416
2019-02-05,-59.79464884341877
2019-02-06,-56.300455239042094
2019-02-07,-55.76702784068334
2019-02-08,-58.31290762389409
2019-02-11,-59.41814962936502
2019-02-12,-61.51028312534709
2019-02-13,-60.89623629614533
2019-02-14,-55.90728469723956
2019-02-15,-54.73078548318574
2019-02-18,-55.97909930435168
2019-02-19,-53.594924046871824
2019-02-20,-55.087621933006346
2019-02-21,-49.202790550889745
2019-02-22,-50.56861529340989
2019-02-25,-46.44483231238746
2019-02-26,-51.11936315253104
2019-02-27,-54.70176049669243
2019-02-28,-51.105880713481724
2019-03-01,-49.80307274596595
2019-03-05,-43.31337328793899
2019-03-06,-35.796800686297786
2019-03-07,-39.56468553721254
2019-03-08,-39.37020973775958
2019-03-11,-38.53116640436946
2019-03-12,-25.85841347754433
2019-03-13,-26.64109301678195
2019-03-14,-29.74455710893443
2019-03-15,-27.00654382974153
2019-03-18,-24.65101962919448
2019-03-19,-27.241657406934394
2019-03-20,-33.27957895164292
2019-03-22,-30.255513775544273
2019-03-25,-35.6507374341183
2019-03-26,-31.86441033375945
2019-03-27,-36.56572258303299
2019-03-28,-36.53145559106878
2019-03-29,-37.83660586205531
2019-04-01,-41.521063314611354
2019-04-02,-47.103742853848985
2019-04-03,-46.05729868048576
2019-04-04,-50.33969602464725
2019-04-05,-45.132859574826625
2019-04-08,-45.53463748814505
2019-04-09,-36.88323350438719
2019-04-10,-37.07190290821683
2019-04-11,-44.09081781332884
2019-04-12,-39.7918478675262
2019-04-15,-41.89287792172354
2019-04-16,-27.75046223066522
2019-04-18,-26.80018003558905
2019-04-22,-36.162258490880504
2019-04-23,-30.719560604745993
2019-04-24,-30.06431859927511
2019-04-25,-32.50092789471012
2019-04-26,-25.219468870261665
2019-04-30,-23.09053561825266
2019-05-02,-33.749523910952234
2019-05-03,-28.8263970545666
2019-05-06,-28.429861146719077
2019-05-07,-40.86300635000157
2019-05-08,-39.99895952079987
2019-05-09,-41.55204968339183
2019-05-10,-44.127801038324435
2019-05-13,-52.10298800310471
2019-05-14,-53.561510631759404
2019-05-15,-55.08257737975043
2019-05-16,-52.25046223066522
2019-05-17,-47.56076277263827
2019-05-20,-47.81423385641392
2019-05-21,-50.23604846352606
2019-05-22,-47.582210441813004
2019-05-23,-42.87116204071879
2019-05-24,-31.40271979127482
2019-05-27,-32.207122203140216
2019-05-28,-32.22369480478147
2019-05-29,-35.04728732521204
2019-05-30,-35.66170808397442
2019-05-31,-37.40861792138247
2019-06-03,-40.32444266390263
2019-06-04,-41.93689504875459
2019-06-06,-38.36984979144529
2019-06-07,-37.013577731777104
2019-06-10,-39.12734236590268
2019-06-11,-35.88558279948114
2019-06-12,-37.01217374801928
2019-06-13,-37.2052455637143
2019-06-14,-37.1187280027637
2019-06-17,-36.40121708140947
2019-06-18,-30.02912027922116
2019-06-19,-31.5184458076875
2019-06-20,-22.436986783239036
2019-06-21,-28.085208869920564
2019-06-24,-32.160678029777046
2019-06-25,-30.36339426280847
2019-06-26,-26.51096022485325
2019-06-27,-27.07987512996533
2019-06-28,-30.28436927631509
2019-07-01,-28.599537894198534
2019-07-02,-32.96536263671868
2019-07-03,-34.94879003507742
2019-07-04,-35.595325942924944
2019-07-05,-37.77631930332848
2019-07-08,-37.21685835496095
2019-07-09,-37.62921900532859
2019-07-10,-31.42790675605511
2019-07-11,-42.23296529255725
2019-07-12,-42.01985678306846
2019-07-15,-44.22369480478147
2019-07-16,-45.007778327776975
2019-07-17,-50.68146957431503
2019-07-18,-50.45571821938239
2019-07-19,-53.31891846335549
2019-07-22,-48.42519052302373
2019-07-23,-41.77116204071882
2019-07-24,-43.356367352396035
2019-07-25,-44.07565618706866
2019-07-26,-38.258053531230075
2019-07-29,-25.51872800276368
2019-07-30,-17.86376120074584
2019-07-31,-21.948874777938613
2019-08-01,-18.704582447454413
2019-08-02,-18.914692528835644
2019-08-05,-20.98341697335593
2019-08-06,-14.208230008575583
2019-08-07,-7.810099656378384
2019-08-08,-5.001767488315636
2019-08-09,2.8999186905184615
2019-08-13,-1.2622514992573883
2019-08-14,1.1974846525633325
2019-08-16,2.022671617343576
2019-08-19,9.377447958769551
2019-08-20,5.136718446545331
2019-08-21,4.805259422096867
2019-08-22,-1.7972663503426247
2019-08-23,-7.3261996023516645
2019-08-26,2.3970189885183686
2019-08-27,5.40226099398933
2019-08-28,0.32604397501171434
2019-08-29,-0.7647772716969143
2019-08-30,4.951421400383765
2019-09-03,-8.639682041400988
2019-09-04,-8.095114507463734
2019-09-05,-15.304102800163264
2019-09-06,-13.42030147224392
2019-09-09,-12.225077813669941
2019-09-11,-18.274986079185567
2019-09-12,-11.46599778648607
2019-09-13,-4.101111363678854
2019-09-16,-0.33051027973272085
2019-09-17,-4.120301472243966
2019-09-18,-10.046426756737162
2019-09-19,-18.242024344871766
2019-09-20,-7.173398626459004
2019-09-23,12.983995221890837
2019-09-24,15.58109551989071
2019-09-25,24.911157552204486
2019-09-26,41.51359159015965
2019-09-27,39.229790262240385
2019-09-30,31.188969015531768
2019-10-01,32.73981560076044
2019-10-03,36.73082730806084
2019-10-04,26.343187958428473
2019-10-07,29.15283237576483
2019-10-09,41.253671969370316
2019-10-10,33.130827308060816
2019-10-11,37.69393581754963
2019-10-14,37.348429963899434
2019-10-15,38.196743785065394
2019-10-16,43.36809272813258
2019-10-17,41.926142701119204
2019-10-18,36.113782050751524
2019-10-22,48.85413763341518
2019-10-23,49.25385543833903
2019-10-24,58.191967443639385
2019-10-25,58.878760208043104
2019-10-27,59.149453026473566
2019-10-29,67.82426606169327
2019-10-30,54.939900343621616
2019-10-31,30.702254002366203
2019-11-01,29.0774409671464
2019-11-04,36.789519422437934
2019-11-05,31.125098663675658
2019-11-06,44.658526062034355
2019-11-07,42.07818882626759
2019-11-08,54.5202305877653
2019-11-11,60.25646595363975
2019-11-13,57.418734869523064
2019-11-14,70.89251785054546
2019-11-15,60.68858110272498
2019-11-18,56.89344917863531
2019-11-19,48.242136929361834
2019-11-20,50.889702891406614
2019-11-21,52.31076963939768
2019-11-22,52.33108852826763
2019-11-25,48.45393318957707
2019-11-26,61.78427042534389
2019-11-27,50.810579178805824
2019-11-28,60.33651400270719
2019-11-29,59.12986801347847
2019-12-02,59.83258424650978
2019-12-03,59.8963488806354
2019-12-04,75.77986801347845
2019-12-05,78.6822103169493
2019-12-06,87.00131568265317
2019-12-09,91.06817047937068
2019-12-10,95.63502527608819
2019-12-11,100.91536251185488
2019-12-12,96.22444253903888
2019-12-13,90.250095167864
2019-12-16,92.95215527625862
2019-12-17,94.09906511366671
2019-12-18,98.61657603502096
2019-12-19,96.5559015634874
2019-12-20,95.49878291859056
2019-12-23,94.60767947680574
2019-12-24,95.08904676676991
2019-12-26,93.88661272881467
2019-12-27,99.22912015435736
2019-12-30,95.82322202424979
2019-12-31,91.2394206963304
2020-01-01,88.58736058793585
2020-01-02,88.95880126548741
2020-01-03,91.22528213264434
2020-01-06,88.61854440893126
2020-01-07,86.24888164469803
2020-01-08,88.29476142790884
2020-01-09,101.18558267461736
2020-01-10,93.66526378574747
2020-01-13,93.09110687516448
2020-01-14,94.06348587242906
2020-01-15,94.75309359597162
