Date,Residuals
2018-09-21,-22.169589925966605
2018-09-24,-22.544308045982646
2018-09-25,-22.185603456205826
2018-09-26,-18.68428549558392
2018-09-27,-22.714353146780084
2018-09-28,-25.747359911899693
2018-10-01,-24.184736503558256
2018-10-03,-23.461639536843762
2018-10-04,-24.73462375156467
2018-10-05,-24.42403744119804
2018-10-08,-27.702371187099033
2018-10-09,-27.136244904866217
2018-10-10,-27.24095298738594
2018-10-11,-25.86020882422828
2018-10-12,-22.762280985504177
2018-10-15,-19.291256180065588
2018-10-16,-20.453576395727367
2018-10-17,-20.840163723430848
2018-10-19,-18.879161468390976
2018-10-22,-19.664127642792906
2018-10-23,-18.079915669044965
2018-10-24,-16.44091792408483
2018-10-25,-14.187640554180604
2018-10-26,-13.768575158024333
2018-10-29,-10.675468153813512
2018-10-30,-11.980704933000055
2018-10-31,-9.846077014578881
2018-11-01,-11.586279968167332
2018-11-02,-12.615255162728758
2018-11-05,-13.577688130384104
2018-11-06,-8.50730477360591
2018-11-07,-8.229309283685666
2018-11-09,-2.103160451054123
2018-11-12,-3.986921416827741
2018-11-13,-2.00892592690748
2018-11-14,-1.8801762363332415
2018-11-15,1.6237425822313867
2018-11-16,-6.086505472154499
2018-11-19,-4.481381444961556
2018-11-20,-3.0971694712136184
2018-11-21,-2.239331834084382
2018-11-22,-6.28213564561554
2018-11-26,-4.796302518566037
2018-11-27,-5.306437820958351
2018-11-28,-13.689219082090801
2018-11-29,-14.49630251856604
2018-11-30,-19.611223592170532
2018-12-03,-9.384320558885022
2018-12-04,-8.149128880495923
2018-12-05,-12.771020638582087
2018-12-06,-14.030817684993636
2018-12-07,-14.175806409794276
2018-12-10,-19.36175228883735
2018-12-11,-17.26307024945926
2018-12-12,-21.093250652649004
2018-12-13,-20.86841978063937
2018-12-14,-16.362428800798853
2018-12-17,-15.32844233103809
2018-12-18,-11.293588908629758
2018-12-19,-13.042947459969355
2018-12-20,-9.67964753966642
2018-12-21,-9.556550572951934
2018-12-24,-7.409602438868987
2018-12-26,-8.151652049746161
2018-12-27,-7.111561848151297
2018-12-28,-3.1946813652645005
2018-12-31,-1.1867309761416749
2019-01-01,-1.950897849092172
2019-01-02,-4.046640774546802
2019-01-03,-1.5305144923139835
2019-01-04,-1.9718099025371743
2019-01-07,-1.9747490164606347
2019-01-08,-1.7051549236375507
2019-01-09,-2.3551549236375564
2019-01-10,-2.6101661988369074
2019-01-11,-2.544039916604092
2019-01-14,-2.726933929730123
2019-01-15,-1.5019903057269062
2019-01-16,-3.082057956923066
2019-01-17,-1.8667986273378148
2019-01-18,-1.0276881303841066
2019-01-21,-2.6775753783905287
2019-01-22,-6.243476156636177
2019-01-23,-4.551313793765402
2019-01-24,-2.0593769348818114
2019-01-25,-3.026257417768605
2019-01-28,-4.640086034738374
2019-01-29,-4.620040933940942
2019-01-30,-6.077349874403353
2019-01-31,-4.4916294993474395
2019-02-01,-1.7562123169711725
2019-02-04,-4.957192021612329
2019-02-05,-5.361223592170532
2019-02-06,-5.5294220356792465
2019-02-07,-1.5163476193634722
2019-02-08,-5.458284478247066
2019-02-11,-5.6480364238611855
2019-02-12,-4.275806409794271
2019-02-13,-1.8914816840527493
2019-02-14,-1.349432073175592
2019-02-15,1.91375509513378
2019-02-18,2.9238903975260797
2019-02-19,6.17475735017365
2019-02-20,6.468540866345961
2019-02-21,8.052527336106735
2019-02-22,8.153394288754313
2019-02-25,8.229430369392247
2019-02-26,9.9656017524225
2019-02-27,9.97954312138583
2019-02-28,9.521479980269433
2019-03-01,9.963304087159443
2019-03-05,12.043146234368422
2019-03-06,10.030071818052647
2019-03-07,6.876907200142014
2019-03-08,3.4979320055806085
2019-03-11,5.0946546356763776
2019-03-12,4.24367493103523
2019-03-13,3.318393051051274
2019-03-14,3.543449427048074
2019-03-15,2.813156271864756
2019-03-18,5.592131466426153
2019-03-19,10.289946553156682
2019-03-20,3.924912727558606
2019-03-22,4.090172057143846
2019-03-25,10.931354715373445
2019-03-26,8.39092625779783
2019-03-27,6.2746872235714335
2019-03-28,3.8802271954376124
2019-03-29,9.095148269042099
2019-04-01,5.45505806744724
2019-04-02,6.02977618746327
2019-04-03,5.85015954424145
2019-04-04,5.36410091320478
2019-04-05,8.509315141992602
2019-04-08,6.744506820381702
2019-04-09,7.765418873826704
2019-04-10,8.362592511896835
2019-04-11,6.382412108707086
2019-04-12,8.305396323427985
2019-04-15,8.628380538148875
2019-04-16,6.295373773029269
2019-04-18,6.934597021976558
2019-04-22,3.7996308475746474
2019-04-23,6.10584733140233
2019-04-24,7.195599277016441
2019-04-25,7.096804485644768
2019-04-26,3.0105203506209364
2019-04-30,3.971635357654378
2019-05-02,2.9677165390897784
2019-05-03,2.6606331026145114
2019-05-06,2.6356894786113116
2019-05-07,-0.038161688757170964
2019-05-08,-1.3538369630156382
2019-05-09,-0.8348843188529429
2019-05-10,-2.9602789508304994
2019-05-13,-3.7572270849134384
2019-05-14,-6.062576616093551
2019-05-15,-4.951461609060104
2019-05-16,-3.654626226970734
2019-05-17,-4.624784079761753
2019-05-20,-2.424931895056446
2019-05-21,-6.151609424354788
2019-05-22,-5.082769532185679
2019-05-23,-7.324819143062854
2019-05-24,-6.218412218549105
2019-05-27,-3.9156986086128143
2019-05-28,-4.7526241922970485
2019-05-29,0.9058899567937004
2019-05-30,1.7276689628862698
2019-05-31,3.308716318723569
2019-06-03,6.009583271371156
2019-06-04,8.68072082880333
2019-06-06,14.291419891163542
2019-06-07,15.608187622056775
2019-06-10,12.563086145262531
2019-06-11,13.596959863029724
2019-06-12,12.779099675501769
2019-06-13,13.578986923508182
2019-06-14,13.523108695661236
2019-06-17,10.882377045405988
2019-06-18,11.298277823651631
2019-06-19,12.712331944608536
2019-06-20,11.376047809584719
2019-06-21,10.19085613119563
2019-06-24,10.504684748165374
2019-06-25,12.417533660493973
2019-06-26,14.215461499218065
2019-06-27,12.735281096028345
2019-06-28,11.28332168674602
2019-07-01,6.217308156506789
2019-07-02,6.76817510915437
2019-07-03,9.50510069283861
2019-07-04,8.780044316841824
2019-07-05,6.264897739250159
2019-07-08,5.892590036490759
2019-07-09,5.8184006131415344
2019-07-10,3.5846396473679505
2019-07-11,2.8542337401910345
2019-07-12,1.2662156998720633
2019-07-15,2.397375807702943
2019-07-16,2.1511818742739877
2019-07-17,-0.22018118714534296
2019-07-18,-2.444786555167809
2019-07-19,-2.511441534067444
2019-07-22,0.27179073503934603
2019-07-23,-1.7748191430628566
2019-07-24,-6.102701880989528
2019-07-25,-6.326778552345161
2019-07-26,-6.212837183381836
2019-07-29,-9.326891304338758
2019-07-30,-6.951158416380451
2019-07-31,-6.774368135088508
2019-08-01,-6.812689368087121
2019-08-02,-3.5482969911494564
2019-08-05,-5.293927164610508
2019-08-06,-2.446979030527558
2019-08-07,-1.7664603713570557
2019-08-08,0.804338930094346
2019-08-09,1.7644742324866485
2019-08-13,-1.7251649611338848
2019-08-14,-0.9334536062374497
2019-08-16,2.263494527845509
2019-08-19,1.7546771860750994
2019-08-20,0.5478192535870363
2019-08-21,-2.465896611389141
2019-08-22,-0.8184974693318594
2019-08-23,-1.2296124763653182
2019-08-26,-0.3320228936219536
2019-08-27,-0.9422709480078453
2019-08-28,-2.8162348673699
2019-08-29,-2.8777658190765862
2019-08-30,1.1152634964417416
2019-09-03,-0.435490704212242
2019-09-04,0.6902071204449527
2019-09-05,0.4862883018803359
2019-09-06,4.793258986362005
2019-09-09,5.202076328132392
2019-09-11,4.106749347350998
2019-09-12,5.060668165915629
2019-09-13,3.6374584472075497
2019-09-16,4.27777415278959
2019-09-17,-1.3067410136379891
2019-09-18,-3.9260319137814434
2019-09-19,-4.228745523717748
2019-09-20,-7.76299256076679
2019-09-23,-6.914536025375867
2019-09-24,-5.911033151484489
2019-09-25,-4.54302514866184
2019-09-26,-5.045097309937731
2019-09-27,-5.102067994419386
2019-09-30,-3.613598946126075
2019-10-01,-3.945929199284194
2019-10-03,-4.249848017848819
2019-10-04,-3.3756585944995834
2019-10-07,-3.588620258821763
2019-10-09,-6.246154703271358
2019-10-10,-6.749848017848819
2019-10-11,-7.937866058167785
2019-10-14,-6.185906648885464
2019-10-15,-6.046041951277772
2019-10-16,-3.7679337093639305
2019-10-17,-6.686357656859798
2019-10-18,-4.660547080209028
2019-10-22,-1.4475854158868486
2019-10-23,0.4131913351658625
2019-10-24,3.262775390492621
2019-10-25,0.720916220301504
2019-10-27,0.1659049451021417
2019-10-29,1.9189568110192
2019-10-30,-0.46646037135705853
2019-10-31,-3.0174751392993215
2019-11-01,-1.320527005216391
2019-11-04,-0.18556083081445252
2019-11-05,-1.7637818247218746
2019-11-06,-2.3007074084061117
2019-11-07,-0.08273446888456704
2019-11-08,-1.909637502170085
2019-11-11,-0.6547389789643177
2019-11-13,-0.3852225748337048
2019-11-14,1.1408135058042603
2019-11-15,-3.107903596874934
2019-11-18,2.637952080573257
2019-11-19,2.321713046346872
2019-11-20,2.173785207622757
2019-11-21,-1.4373297994106906
2019-11-22,2.3637626572240436
2019-11-25,1.0674559718014933
2019-11-26,-0.45051696772004846
2019-11-27,-3.921880029139402
2019-11-28,-3.387139358724639
2019-11-29,-4.147803357783758
2019-12-02,-4.310652270112357
2019-12-03,-3.565550793318124
2019-12-04,-4.097803357783761
2019-12-05,-2.504548538278243
2019-12-06,-3.9898179053598284
2019-12-09,-1.4636690727282797
2019-12-10,-0.8875202400967623
2019-12-11,1.9445068203817044
2019-12-12,1.253098658164916
2019-12-13,-1.1013839203676241
