Date,Residuals
2018-10-05,-198.76303646332667
2018-10-08,-208.30174861442413
2018-10-09,-217.19115482752238
2018-10-10,-197.9023414183647
2018-10-11,-216.56669945983617
2018-10-12,-205.0656101952086
2018-10-15,-218.8144221299243
2018-10-16,-211.57521351813955
2018-10-17,-197.3736302502283
2018-10-19,-193.16897678974806
2018-10-22,-199.39917488254207
2018-10-23,-177.36174959738548
2018-10-24,-193.06640305786595
2018-10-25,-192.84402741877807
2018-10-26,-185.70907706484684
2018-10-29,-179.05184741508094
2018-10-30,-199.54046076552186
2018-10-31,-198.8082817447861
2018-11-01,-195.82709318802108
2018-11-02,-196.27590512273684
2018-11-05,-182.56936953497154
2018-11-06,-180.0282812533054
2018-11-07,-181.93758817426612
2018-11-09,-184.53045978256046
2018-11-12,-183.83719297163918
2018-11-13,-186.7464998926
2018-11-14,-176.41303400592312
2018-11-15,-180.53055858321727
2018-11-16,-182.7924392360601
2018-11-19,-191.08649890963864
2018-11-20,-193.849073624482
2018-11-21,-199.53412277907
2018-11-22,-186.62927171727608
2018-11-26,-191.4736277928249
2018-11-27,-189.45283542164827
2018-11-28,-190.5514497550505
2018-11-29,-188.02362779282498
2018-11-30,-188.11075667601142
2018-12-03,-190.36085547666812
2018-12-04,-189.46531133583494
2018-12-05,-186.29194523277636
2018-12-06,-190.87313378954127
2018-12-07,-196.09986648713937
2018-12-10,-196.08818343560995
2018-12-11,-196.54432136334492
2018-12-12,-189.31659820177606
2018-12-13,-188.9156077378052
2018-12-14,-192.9342215797268
2018-12-17,-170.16214234260917
2018-12-18,-172.66461727383444
2018-12-19,-177.9545174902164
2018-12-20,-167.93560724632448
2018-12-21,-162.68550844566778
2018-12-24,-180.84253803671675
2018-12-26,-185.54491416728524
2018-12-27,-169.60877574806966
2018-12-28,-161.6554091535304
2018-12-31,-162.70778528409892
2019-01-01,-162.05214135964775
2019-01-02,-158.67164686488331
2019-01-03,-160.06105307798157
2019-01-04,-157.8706564009126
2019-01-07,-158.14501296794197
2019-01-08,-148.93263585441218
2019-01-09,-118.48263585441214
2019-01-10,-126.70590315681409
2019-01-11,-122.69530936991225
2019-01-14,-140.876596727334
2019-01-15,-137.1929332393437
2019-01-16,-139.83253705375546
2019-01-17,-137.34738909851058
2019-01-18,-140.26936953497147
