Date,Residuals
2018-09-21,-81.37510858602337
2018-09-24,-103.8037823556682
2018-09-25,-77.62746402618171
2018-09-26,-62.49276566592238
2018-09-27,-67.00199755733883
2018-09-28,-79.31247952458796
2018-10-01,-84.0337605972332
2018-10-03,-100.52774524499637
2018-10-04,-105.81034166877924
2018-10-05,-117.57743734522694
2018-10-08,-128.44847415256777
2018-10-09,-134.30790515157867
2018-10-10,-110.16773436577887
2018-10-11,-118.42937609344102
2018-10-12,-111.74111737490045
2018-10-15,-115.77963883550058
2018-10-16,-104.60631022246639
2018-10-17,-117.86544256008551
2018-10-19,-119.12152154678733
2018-10-22,-122.1512370462928
2018-10-23,-129.43593540655212
2018-10-24,-118.58592616817458
2018-10-25,-119.47161186220706
2018-10-26,-121.15777788264876
2018-10-29,-113.21673779362811
2018-10-30,-105.06971827170281
2018-10-31,-96.8558206576796
2018-11-01,-90.49800203035824
2018-11-02,-71.24217654733832
2018-11-05,-59.73856179296973
2018-11-06,-65.34800203035826
2018-11-07,-58.1359980068392
2018-11-09,-59.55523153909553
2018-11-12,-64.82310620334425
2018-11-13,-64.0484731183899
2018-11-14,-58.250303074429155
2018-11-15,-59.21775180835607
2018-11-16,-66.82666656162553
2018-11-19,-78.10381827500049
2018-11-20,-78.57981946634004
2018-11-21,-76.32400322169775
2018-11-22,-77.04172393606177
2018-11-26,-80.02611439655169
2018-11-27,-84.37396730236543
2018-11-28,-78.4137932348857
2018-11-29,-74.78794599343087
2018-11-30,-73.63538220730038
2018-12-03,-70.72778116432869
2018-12-04,-72.36468101486162
2018-12-05,-77.82579725840469
2018-12-06,-80.28418652755505
2018-12-07,-85.59839204134767
2018-12-10,-93.18450366570198
2018-12-11,-86.97422080604741
2018-12-12,-77.06074912234595
2018-12-13,-81.0426117160377
2018-12-14,-73.30550351953264
2018-12-17,-71.96687326675772
2018-12-18,-72.17221842336835
2018-12-19,-67.62230873878809
2018-12-20,-68.98064361185106
2018-12-21,-79.42782632203853
2018-12-24,-79.62929398222093
2018-12-26,-77.34821037633031
2018-12-27,-70.70476045106386
2018-12-28,-74.24013824532693
2018-12-31,-72.47420232929232
2019-01-01,-74.51791499661834
2019-01-02,-74.12468265570158
2019-01-03,-79.36515210289326
2019-01-04,-75.92851499441986
2019-01-07,-74.64722304255713
2019-01-08,-70.91079428005588
2019-01-09,-67.42923958613358
2019-01-10,-59.722535561515315
2019-01-11,-59.397639734501354
2019-01-14,-76.56677371296041
2019-01-15,-78.68789159734342
2019-01-16,-78.68789159734342
2019-01-17,-80.24638965866859
2019-01-18,-89.13402333929281
2019-01-21,-91.66023287660443
2019-01-22,-94.01301424708458
2019-01-23,-105.54037430643172
