Date,Residuals
2018-09-21,-257.7989739191437
2018-09-24,-282.937319952096
2018-09-25,-258.52503001125206
2018-09-26,-275.4528254851891
2018-09-27,-292.7803624247806
2018-09-28,-293.90107110422946
2018-10-01,-310.6463250300417
2018-10-03,-319.27355380083145
2018-10-04,-347.0349642326644
2018-10-05,-356.9808044978172
2018-10-08,-279.4218836896516
2018-10-09,-279.03719532198534
2018-10-10,-280.2780563398044
2018-10-11,-294.2091366766399
2018-10-12,-241.03410435984642
2018-10-15,-238.43548593841842
2018-10-16,-240.45692522351214
2018-10-17,-223.89057481673217
2018-10-19,-201.80192061497837
2018-10-22,-238.63457643114543
2018-10-23,-225.20678095720814
2018-10-24,-234.29569369330784
2018-10-25,-233.38472069744944
2018-10-26,-257.4100461839132
2018-10-29,-280.90014659782537
2018-10-30,-304.0227885598624
2018-10-31,-319.75953947728976
2018-11-01,-341.3076361929636
2018-11-02,-327.6615523925957
2018-11-05,-329.3812372967293
2018-11-06,-325.5576361929636
2018-11-07,-319.0063192479781
2018-11-09,-319.3682663846962
2018-11-12,-297.98206717128505
2018-11-13,-285.73284741138514
2018-11-14,-327.3562049799359
2018-11-15,-300.2111945893389
2018-11-16,-287.63489496201555
2018-11-19,-277.3426327294312
2018-11-20,-275.8010861033604
2018-11-21,-267.31608956689274
2018-11-22,-266.00851570197483
2018-11-26,-254.73797092502332
2018-11-27,-249.5107767895579
2018-11-28,-270.8828174131231
2018-11-29,-229.19573869070086
2018-11-30,-202.6708206419496
2018-12-03,-212.3788665781667
2018-12-04,-209.90575254483065
2018-12-05,-217.18413435810862
2018-12-06,-243.95513620722795
2018-12-07,-141.8111345928146
2018-12-10,-222.45897277414247
2018-12-11,-215.2260387874362
2018-12-12,-199.4216008820497
2018-12-13,-176.28145083368213
2018-12-14,-186.35570291037516
2018-12-17,-224.19934672153158
2018-12-18,-210.5091320395777
2018-12-19,-240.39193212204827
2018-12-20,-227.78544666603193
2018-12-21,-220.49526661940217
2018-12-24,-208.99838757980297
2018-12-26,-204.3564981496063
2018-12-27,-213.8930551662745
2018-12-28,-212.23933286740203
2018-12-31,-200.9038642596356
2019-01-01,-204.4436565047463
2019-01-02,-205.84016274195756
2019-01-03,-200.73096376325248
2019-01-04,-190.43042705836706
2019-01-07,-195.1396756715278
2019-01-08,-216.8880009232853
2019-01-09,-211.77090027466716
2019-01-10,-224.6629686064921
2019-01-11,-221.8373995848135
2019-01-14,-228.20545937516022
2019-01-15,-231.268251385565
2019-01-16,-241.9182513855651
2019-01-17,-215.194227844956
2019-01-18,-191.57267429182025
2019-01-21,-158.97998962239285
2019-01-22,-130.26485689168726
2019-01-23,-143.52145661574582
2019-01-24,-158.7930748024678
2019-01-25,-161.7712280796618
2019-01-28,-151.61016045195493
2019-01-29,-153.4986853865355
2019-01-30,-179.77010967249817
2019-01-31,-146.3800738921725
2019-02-01,-154.24371077626392
2019-02-04,-132.24340260746249
2019-02-05,-135.96178556574182
2019-02-06,-135.6117855657419
2019-02-07,-138.62152124933232
2019-02-08,-116.57313136398807
2019-02-11,-110.64551479167949
2019-02-12,-110.19857111849365
2019-02-13,-110.5608760584687
2019-02-14,-123.09449101636437
2019-02-15,-115.19465491886149
2019-02-18,-122.0161438384107
2019-02-19,-118.13625117938773
2019-02-20,-121.15349609430996
2019-02-21,-122.86094069205501
2019-02-22,-178.61454872288573
2019-02-25,-181.84006811010886
2019-02-26,-194.12147161487678
2019-02-27,-213.93689751525267
2019-02-28,-220.26001154858864
2019-03-01,-211.75365535974493
2019-03-05,-214.2098626452223
2019-03-06,-216.226913659385
2019-03-07,-217.53369228507177
2019-03-08,-213.69263272943112
2019-03-11,-212.6527908498649
2019-03-12,-202.05207524335128
2019-03-13,-206.08395081941785
2019-03-14,-190.1396410362031
2019-03-15,-138.9354466660318
2019-03-18,-113.2616666606375
2019-03-19,-104.96568212918055
2019-03-20,-97.63338411627069
2019-03-22,-110.96537396037911
2019-03-25,-138.84838757980287
2019-03-26,-105.63122229759824
2019-03-27,-125.96893235675452
2019-03-28,-126.07944828044515
2019-03-29,-132.12026430087099
2019-04-01,-117.04407894158953
2019-04-02,-107.67923938055446
2019-04-03,-112.99076408042924
2019-04-04,-126.64100761564418
2019-04-05,-117.45475876777755
2019-04-08,-114.59684209873353
2019-04-09,-111.77018466815343
2019-04-10,-96.90931094120583
2019-04-11,-106.77168051476724
2019-04-12,-110.28699214710105
2019-04-15,-78.87798706915555
2019-04-16,-68.45674168482128
2019-04-18,-81.77366343181097
2019-04-22,-83.10780009546102
2019-04-23,-83.8425530967138
2019-04-24,-75.65414243017472
2019-04-25,-75.63018352315203
2019-04-26,-52.44884465197083
