Date,Residuals
2019-08-30,-373.912293706559
2019-09-03,-393.9763017585742
2019-09-04,-459.2442650892772
2019-09-05,-419.89330075207226
2019-09-06,-440.61871763409545
2019-09-09,-430.514919043198
2019-09-11,-439.07156494510355
2019-09-12,-444.79600443260597
2019-09-13,-444.1620586748736
2019-09-16,-405.02525907747395
2019-09-17,-435.9572892181136
2019-09-18,-516.6855795257766
2019-09-19,-518.9921274978133
2019-09-20,-251.9658311511389
2019-09-23,-17.51986477372202
2019-09-24,4.999968473468471
2019-09-25,-46.92074423837357
2019-09-26,9.381145264088445
2019-09-27,-69.90375177353371
2019-09-30,-142.68770405992382
2019-10-01,-177.4084037144503
2019-10-03,-193.21595519564016
2019-10-04,-276.7592113638648
2019-10-07,-175.78181357816902
2019-10-09,-58.04320282220306
2019-10-10,-78.86112698095849
2019-10-11,-42.83466741783559
2019-10-14,-9.247906992383832
2019-10-15,66.61716332670494
2019-10-16,67.83694434463223
2019-10-17,149.89537529047266
2019-10-18,157.74630045572985
2019-10-22,148.41991270784456
2019-10-23,201.4547836308343
2019-10-24,198.5471929776977
2019-10-25,176.00571532474942
2019-10-27,161.89254103678013
2019-10-29,240.16809502062006
2019-10-30,166.31155357724083
2019-10-31,147.61152746260905
2019-11-01,137.33517888667166
2019-11-04,101.63899053488421
2019-11-05,86.36167109308371
2019-11-06,100.39364900445935
2019-11-07,86.90219093748556
2019-11-08,29.615352168138543
2019-11-11,-12.910097357173981
2019-11-13,135.41066758393163
2019-11-14,100.08328938420982
2019-11-15,63.79178561662957
2019-11-18,8.575750960336336
2019-11-19,-19.242134026471376
2019-11-20,-27.18645246176993
2019-11-21,-68.45910690533765
2019-11-22,-120.97230077928043
2019-11-25,-102.79588691676327
2019-11-26,-86.51570710663827
2019-11-27,-37.35257199061698
2019-11-28,-19.99130679108339
2019-11-29,-69.68842683678531
2019-12-02,-61.899724679608426
2019-12-03,-84.68084924096411
2019-12-04,-87.64780906251463
2019-12-05,-56.82798234398206
2019-12-06,-75.0411631606089
2019-12-09,-84.38456948796647
2019-12-10,-93.64583468750016
2019-12-11,-111.58828973496838
2019-12-12,-75.12132991341787
2019-12-13,-89.42607325554627
2019-12-16,-97.11472971211742
2019-12-17,-77.10623347969795
2019-12-18,-46.414742769433815
2019-12-19,-30.623245530511667
2019-12-20,-18.06665838652725
2019-12-23,-43.44498786613758
2019-12-24,-17.410227930332894
2019-12-26,-57.707334918718516
2019-12-27,-76.95639669614593
2019-12-30,-70.48376183855225
2019-12-31,-93.95072166010232
2020-01-01,-80.42525907747404
2020-01-02,-63.2111269809584
2020-01-03,-78.06018222972716
2020-01-06,-96.5082861986075
2020-01-07,-86.30543235894129
2020-01-08,-107.99972467960833
2020-01-09,-123.57146048657705
2020-01-10,-132.29505968137528
2020-01-13,-66.07719428054133
2020-01-14,-1.3630687126833436
2020-01-15,10.766159817552307
2020-01-16,40.069026714535084
2020-01-17,16.32939286344299
2020-01-20,3.8237243560574825
2020-01-21,-9.685631755040049
2020-01-22,-16.283735723920472
2020-01-23,-12.89881257166735
2020-01-24,73.03605835132294
2020-01-27,48.46439435959155
2020-01-28,62.46529993887498
2020-01-29,94.2605892400361
2020-01-30,82.60969018941068
2020-01-31,76.20967060343673
2020-02-01,-19.758292727265598
2020-02-03,105.60495337594057
2020-02-04,118.83225323176748
2020-02-05,153.670870516391
2020-02-06,163.4830608811817
2020-02-07,152.65292677166235
2020-02-10,45.41902671453499
2020-02-11,21.93790868183669
2020-02-12,21.071887082859575
2020-02-13,22.007722343053956
2020-02-14,-17.69698835578447
