Stock_X,Stock_Y,Intercept,Slope,P-Value from ADF test,std_error_of_residuals,latest_residual,std_err_zscore
GRASIM,AMBUJACEM,125.86370570362485,0.1057433475082542,0.013615312752765006,10.95,22.444346190962705,2.05
SHREECEM,AMBUJACEM,203.44812689657192,0.00012224557576087078,0.03611549272031393,17.68,16.394429982957774,0.93
DRREDDY,TORNTPHARM,264.9006959438655,0.5503265894026368,4.2594660543352694e-05,105.47,37.25570403217989,0.35
DRREDDY,SUNPHARMA,408.58354400870223,0.015916286280873746,0.0325638487062149,63.85,77.54384491287175,1.21
CIPLA,LUPIN,350.12720475447793,0.8326313745157046,0.010543451361484771,44.85,2.6649482830656552,0.06
CIPLA,SUNPHARMA,166.3906567811968,0.5357688655988306,0.02291203613551146,46.16,-11.717229568481457,-0.25
TORNTPHARM,SUNPHARMA,389.97119105087756,0.03463550830762954,0.03433365873320489,63.46,71.9356309650156,1.13
AUROPHARMA,LUPIN,491.38231890568795,0.47292728261953354,0.007545164958014653,50.55,73.79116522619938,1.46
AUROPHARMA,SUNPHARMA,283.2453297351321,0.2646242895199185,0.01077211167055976,52.88,42.57262510101077,0.81
INDIGO,ADANIPORTS,230.94158758355655,0.10070247380995237,0.008209410866097003,27.87,9.896823920221834,0.36
NTPC,NHPC,15.052485701852982,0.06629475406850892,0.01734533099722424,1.25,0.9152820224899365,0.73
BERGEPAINT,MCDOWELL-N,515.5852967645415,0.16626367908240303,0.015006329392458016,44.15,-24.25789087074145,-0.55
BERGEPAINT,HINDUNILVR,1113.111314362916,1.9715241454231154,0.0076594304068114,86.71,-73.69238962518011,-0.85
BERGEPAINT,ITC,386.3104949463715,-0.3407189596493826,0.03277921968512277,26.15,1.5072139837751024,0.06
BRITANNIA,MCDOWELL-N,581.8747207748312,0.0004326796645183744,0.022773905743663156,47.15,1.6337574799357526,0.03
COLPAL,MCDOWELL-N,404.1494116674905,0.1377585571309453,0.012654482496554811,43.33,-10.511357790930674,-0.24
NESTLEIND,MCDOWELL-N,527.8868371863261,0.004188883378087951,0.01969043401126438,45.9,-10.183095677764754,-0.22
HINDUNILVR,MCDOWELL-N,459.89614930568274,0.064410521095241,0.020227237404926487,45.08,-13.354370176586599,-0.3
ITC,MCDOWELL-N,592.5653385647031,-0.03726212348333007,0.020862081387080705,47.13,-0.1287303175379293,-0.0
