Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,ABBOTINDIA,EQ,7516.65,7550.0,7598.0,7455.15,7598.0,7580.05,7553.17,968,731146865000.0,365,624,0.6446
2019-01-02,ABBOTINDIA,EQ,7580.05,7580.0,7580.0,7506.0,7517.0,7527.05,7544.95,1013,764303180000.0,359,460,0.45409999999999995
2019-01-03,ABBOTINDIA,EQ,7527.05,7520.3,7574.0,7430.0,7470.0,7471.95,7489.04,1739,1302343255000.0,630,756,0.4347
2019-01-04,ABBOTINDIA,EQ,7471.95,7510.0,7546.65,7485.1,7500.0,7504.5,7507.73,2325,1745546370000.0,476,1696,0.7295
2019-01-07,ABBOTINDIA,EQ,7504.5,7520.1,7575.0,7520.1,7575.0,7574.2,7565.74,2894,2189525810000.0002,407,2444,0.8445
2019-01-08,ABBOTINDIA,EQ,7574.2,7575.0,7798.0,7524.2,7711.0,7752.05,7644.61,6740,5152470135000.0,1089,4468,0.6629
2019-01-09,ABBOTINDIA,EQ,7752.05,7761.0,8148.0,7761.0,8080.0,8004.8,7986.98,18663,14906104510000.0,3087,10443,0.5596
2019-01-10,ABBOTINDIA,EQ,8004.8,8011.0,8200.0,8011.0,8127.0,8113.65,8128.97,6160,5007444125000.0,1364,2826,0.45880000000000004
2019-01-11,ABBOTINDIA,EQ,8113.65,8113.65,8175.85,8040.95,8060.0,8083.45,8114.83,6203,5033628915000.0,1015,4752,0.7661
2019-01-14,ABBOTINDIA,EQ,8083.45,8083.45,8100.65,7939.2,8025.0,8027.1,8030.01,1596,1281590025000.0,398,1000,0.6265999999999999
2019-01-15,ABBOTINDIA,EQ,8027.1,8025.0,8144.7,8025.0,8100.0,8111.65,8104.48,2973,2409461780000.0,523,1272,0.4279
2019-01-16,ABBOTINDIA,EQ,8111.65,8168.0,8168.0,8050.0,8100.0,8092.05,8079.68,2028,1638559030000.0,377,1654,0.8156
2019-01-17,ABBOTINDIA,EQ,8092.05,8077.0,8170.0,8075.0,8170.0,8138.4,8126.49,945,767952845000.0,460,450,0.47619999999999996
2019-01-18,ABBOTINDIA,EQ,8138.4,8177.9,8177.9,8060.75,8100.0,8098.35,8114.62,965,783061040000.0,318,576,0.5969
2019-01-21,ABBOTINDIA,EQ,8098.35,8122.45,8250.0,8086.0,8200.0,8212.9,8202.11,3174,2603349570000.0,889,1782,0.5614
2019-01-22,ABBOTINDIA,EQ,8212.9,8203.05,8241.65,8160.6,8200.05,8212.4,8205.84,1183,970750355000.0001,501,751,0.6348
2019-01-23,ABBOTINDIA,EQ,8212.4,8265.0,8265.0,8164.3,8200.0,8199.95,8200.78,1965,1611452550000.0,674,1511,0.7690000000000001
2019-01-24,ABBOTINDIA,EQ,8199.95,8205.05,8255.0,8165.2,8250.0,8242.6,8221.35,1897,1559589305000.0,607,1365,0.7195999999999999
2019-01-25,ABBOTINDIA,EQ,8242.6,8249.95,8273.5,8200.0,8205.0,8205.3,8219.23,2332,1916724630000.0,505,1978,0.8482
2019-01-28,ABBOTINDIA,EQ,8205.3,8250.0,8250.0,7950.0,8013.0,8076.3,8053.7,3864,3111950045000.0,2399,2208,0.5714
2019-01-29,ABBOTINDIA,EQ,8076.3,8059.9,8169.8,7999.0,8057.0,8048.0,8088.55,2772,2242146220000.0,445,1908,0.6883
2019-01-30,ABBOTINDIA,EQ,8048.0,8079.95,8080.9,8010.3,8074.95,8042.25,8042.24,2067,1662331145000.0,632,1219,0.5897
2019-01-31,ABBOTINDIA,EQ,8042.25,8042.25,8094.95,8012.1,8050.0,8070.1,8064.21,2640,2128951930000.0,337,2197,0.8322
2019-02-01,ABBOTINDIA,EQ,8070.1,8120.0,8193.15,8035.3,8080.1,8098.9,8109.53,2057,1668130385000.0,642,1078,0.5241
2019-02-04,ABBOTINDIA,EQ,8098.9,8070.0,8174.8,7971.4,7980.0,7993.9,8042.67,4290,3450303620000.0005,829,2985,0.6958
2019-02-05,ABBOTINDIA,EQ,7993.9,7980.0,8130.05,7963.9,8110.0,8098.0,8069.36,2492,2010883470000.0,569,1604,0.6437
2019-02-06,ABBOTINDIA,EQ,8098.0,8098.0,8139.95,8053.1,8117.5,8119.7,8101.27,46062,37316081980000.0,536,44757,0.9717
2019-02-07,ABBOTINDIA,EQ,8119.7,8129.6,8325.0,8099.1,8231.6,8238.95,8239.92,4141,3412149965000.0,943,2183,0.5272
2019-02-08,ABBOTINDIA,EQ,8238.95,8250.0,8298.8,7952.0,7965.0,8042.0,8122.29,3341,2713658080000.0,727,2024,0.6058
2019-02-11,ABBOTINDIA,EQ,8042.0,8050.0,8050.0,7600.0,7750.0,7666.4,7717.99,21425,16535790675000.0,4850,14030,0.6548
2019-02-12,ABBOTINDIA,EQ,7666.4,7700.1,7787.0,7640.0,7730.15,7754.55,7686.4,5889,4526520055000.0,1939,3707,0.6295000000000001
2019-02-13,ABBOTINDIA,EQ,7754.55,7735.0,7775.0,7600.0,7610.0,7638.15,7679.3,3915,3006445275000.0,1896,3223,0.8231999999999999
2019-02-14,ABBOTINDIA,EQ,7638.15,7684.25,7693.85,7465.35,7615.0,7644.75,7591.03,5685,4315502095000.0005,2073,2964,0.5214
2019-02-15,ABBOTINDIA,EQ,7644.75,7721.2,7721.2,7400.0,7439.95,7442.45,7502.39,5351,4014527140000.0,2226,3218,0.6014
2019-02-18,ABBOTINDIA,EQ,7442.45,7500.0,7500.0,7211.0,7211.0,7264.2,7310.42,2938,2147802310000.0002,721,1963,0.6681
2019-02-19,ABBOTINDIA,EQ,7264.2,7270.05,7371.95,7210.5,7218.0,7234.75,7285.84,2117,1542413045000.0,585,1344,0.6349
2019-02-20,ABBOTINDIA,EQ,7234.75,7250.0,7315.0,7250.0,7280.0,7295.1,7291.81,1760,1283357750000.0,458,1349,0.7665000000000001
2019-02-21,ABBOTINDIA,EQ,7295.1,7295.1,7310.0,7176.25,7200.1,7246.2,7236.66,3112,2252048495000.0,895,1917,0.616
2019-02-22,ABBOTINDIA,EQ,7246.2,7260.15,7260.25,7151.2,7248.0,7230.55,7203.52,3940,2838185810000.0,628,2363,0.5997
2019-02-25,ABBOTINDIA,EQ,7230.55,7231.0,7384.95,7220.0,7375.0,7375.0,7331.51,2228,1633460150000.0,514,1557,0.6988
2019-02-26,ABBOTINDIA,EQ,7375.0,7302.0,7380.0,7262.15,7379.0,7359.8,7324.65,1961,1436364095000.0,589,1189,0.6063000000000001
2019-02-27,ABBOTINDIA,EQ,7359.8,7359.95,7440.0,7355.0,7360.0,7372.7,7404.24,4282,3170494030000.0,686,2582,0.603
2019-02-28,ABBOTINDIA,EQ,7372.7,7370.0,7590.0,7340.0,7379.95,7437.6,7467.1,9266,6919012155000.0,2600,6138,0.6624
2019-03-01,ABBOTINDIA,EQ,7437.6,7429.8,7435.0,7313.0,7313.0,7333.4,7369.95,7366,5428708810000.0,1617,3987,0.5413
2019-03-05,ABBOTINDIA,EQ,7333.4,7400.0,7400.0,7250.0,7299.95,7297.35,7320.46,7477,5473507130000.0,1194,5552,0.7425
2019-03-06,ABBOTINDIA,EQ,7297.35,7320.0,7400.0,7310.0,7370.0,7362.7,7368.71,4894,3606245090000.0,783,4176,0.8533
2019-03-07,ABBOTINDIA,EQ,7362.7,7360.0,7400.0,7261.5,7285.0,7280.65,7328.95,2927,2145184520000.0,879,2140,0.7311
2019-03-08,ABBOTINDIA,EQ,7280.65,7345.0,7390.0,7281.4,7345.0,7363.85,7348.11,3337,2452062805000.0,501,2478,0.7426
2019-03-11,ABBOTINDIA,EQ,7363.85,7400.0,7444.0,7360.0,7400.0,7397.05,7410.19,2650,1963701125000.0,705,1693,0.6389
2019-03-12,ABBOTINDIA,EQ,7397.05,7395.15,7487.95,7345.0,7351.1,7355.45,7389.49,7505,5545814100000.0,842,4671,0.6224000000000001
2019-03-13,ABBOTINDIA,EQ,7355.45,7379.9,7385.0,7300.0,7327.05,7353.15,7343.26,7709,5660922115000.0,1890,5662,0.7345
2019-03-14,ABBOTINDIA,EQ,7353.15,7379.2,7394.3,7261.0,7352.95,7331.0,7304.82,4261,3112585055000.0,721,2200,0.5163
2019-03-15,ABBOTINDIA,EQ,7331.0,7330.0,7374.9,7275.0,7280.0,7291.5,7317.09,2273,1663175450000.0,662,1756,0.7725
2019-03-18,ABBOTINDIA,EQ,7291.5,7300.05,7404.0,7200.0,7388.0,7362.3,7262.99,16273,11819064930000.0,2884,13662,0.8395999999999999
2019-03-19,ABBOTINDIA,EQ,7362.3,7420.0,7420.0,7321.4,7350.0,7359.15,7363.75,894,658319450000.0,274,630,0.7047
2019-03-20,ABBOTINDIA,EQ,7359.15,7355.05,7370.0,7331.15,7351.0,7355.9,7357.41,784,576820980000.0,269,493,0.6288
2019-03-22,ABBOTINDIA,EQ,7355.9,7301.0,7420.0,7301.0,7395.0,7383.85,7354.42,13072,9613703235000.0,564,12136,0.9284
2019-03-25,ABBOTINDIA,EQ,7383.85,7389.0,7419.0,7317.5,7406.0,7399.8,7393.52,10833,8009395825000.0,2044,8467,0.7816
2019-03-26,ABBOTINDIA,EQ,7399.8,7341.2,7418.95,7302.0,7350.0,7346.45,7365.21,4225,3111802385000.0,616,3342,0.7909999999999999
2019-03-27,ABBOTINDIA,EQ,7346.45,7399.0,7399.0,7209.95,7230.0,7227.35,7265.87,4519,3283445675000.0,1657,3032,0.6709
2019-03-28,ABBOTINDIA,EQ,7227.35,7259.95,7331.0,7242.1,7265.0,7274.9,7265.97,26845,19505493450000.0,1161,25863,0.9634
2019-03-29,ABBOTINDIA,EQ,7274.9,7349.85,7349.85,7272.0,7310.0,7304.8,7296.33,2470,1802194610000.0002,426,1793,0.7259000000000001
2019-04-01,ABBOTINDIA,EQ,7304.8,7350.0,7396.55,7275.0,7300.0,7296.85,7344.18,37164,27293896310000.004,899,35466,0.9543
2019-04-02,ABBOTINDIA,EQ,7296.85,7293.8,7340.0,7280.7,7300.0,7309.2,7308.73,2242,1638617195000.0,409,1675,0.7471
2019-04-03,ABBOTINDIA,EQ,7309.2,7310.25,7370.0,7310.0,7330.0,7329.0,7330.42,923,676597975000.0,326,531,0.5753
2019-04-04,ABBOTINDIA,EQ,7329.0,7321.25,7330.0,7236.05,7245.0,7260.4,7278.67,3341,2431802025000.0,612,2279,0.6820999999999999
2019-04-05,ABBOTINDIA,EQ,7260.4,7275.0,7340.0,7275.0,7310.0,7302.2,7301.33,1201,876889925000.0,374,642,0.5346000000000001
2019-04-08,ABBOTINDIA,EQ,7302.2,7302.2,7330.0,7280.0,7330.0,7315.15,7302.18,1141,833178995000.0,343,651,0.5706
2019-04-09,ABBOTINDIA,EQ,7315.15,7313.0,7379.0,7300.0,7312.0,7332.3,7339.45,1381,1013577875000.0,388,788,0.5706
2019-04-10,ABBOTINDIA,EQ,7332.3,7375.0,7375.0,7309.95,7369.0,7338.25,7342.85,959,704179340000.0,284,580,0.6048
2019-04-11,ABBOTINDIA,EQ,7338.25,7355.0,7370.0,7300.0,7361.0,7367.7,7345.02,2098,1540984545000.0,442,1039,0.49520000000000003
2019-04-12,ABBOTINDIA,EQ,7367.7,7379.0,7443.7,7326.5,7438.95,7400.3,7400.23,29298,21681181120000.0,558,28573,0.9753000000000001
2019-04-15,ABBOTINDIA,EQ,7400.3,7428.0,7900.0,7428.0,7860.0,7827.1,7677.1,12336,9470472330000.0,2277,7276,0.5898
2019-04-16,ABBOTINDIA,EQ,7827.1,7898.7,8080.0,7840.0,8044.9,8030.5,7992.74,12768,10205128530000.0,2550,7719,0.6046
2019-04-18,ABBOTINDIA,EQ,8030.5,8099.0,8099.0,7796.0,7850.0,7825.1,7921.07,3456,2737521830000.0,923,2287,0.6617000000000001
2019-04-22,ABBOTINDIA,EQ,7825.1,7770.0,7813.75,7668.65,7767.0,7715.05,7728.77,2227,1721196325000.0,706,1489,0.6686
2019-04-23,ABBOTINDIA,EQ,7715.05,7747.8,7935.0,7502.0,7800.0,7789.85,7762.54,5083,3945699010000.0,1240,2576,0.5068
2019-04-24,ABBOTINDIA,EQ,7789.85,7753.15,7847.9,7740.0,7830.0,7825.75,7797.18,1391,1084588330000.0001,399,764,0.5492
2019-04-25,ABBOTINDIA,EQ,7825.75,7825.0,7890.0,7613.0,7660.0,7640.25,7711.57,3733,2878730450000.0,932,1474,0.39490000000000003
2019-04-26,ABBOTINDIA,EQ,7640.25,7694.0,7717.0,7350.0,7450.05,7467.5,7502.75,4937,3704106120000.0005,1158,3165,0.6411
2019-04-30,ABBOTINDIA,EQ,7467.5,7475.0,7550.0,7380.0,7411.0,7421.35,7426.06,3145,2335495985000.0,1704,2087,0.6636
2019-05-02,ABBOTINDIA,EQ,7421.35,7425.15,7486.1,7400.0,7425.0,7420.6,7440.5,2239,1665927000000.0,860,1299,0.5802
2019-05-03,ABBOTINDIA,EQ,7420.6,7429.95,7466.9,7361.3,7394.0,7387.95,7408.24,1278,946772540000.0,492,770,0.6025
2019-05-06,ABBOTINDIA,EQ,7387.95,7370.05,7430.0,7360.0,7373.65,7381.0,7392.41,1411,1043068665000.0,460,839,0.5946
2019-05-07,ABBOTINDIA,EQ,7381.0,7420.0,7430.0,7252.3,7280.0,7287.3,7319.74,3922,2870802535000.0,808,2538,0.6470999999999999
2019-05-08,ABBOTINDIA,EQ,7287.3,7300.0,7314.0,7260.0,7265.0,7267.9,7295.42,7624,5562030635000.0,837,7031,0.9222
2019-05-09,ABBOTINDIA,EQ,7267.9,7285.0,7319.9,7235.15,7295.0,7282.2,7273.2,2015,1465549730000.0,658,1606,0.797
2019-05-10,ABBOTINDIA,EQ,7282.2,7282.1,7310.0,7265.05,7280.0,7276.0,7283.29,1088,792422055000.0,400,805,0.7399
2019-05-13,ABBOTINDIA,EQ,7276.0,7251.0,7325.0,7241.0,7275.0,7283.85,7287.02,4122,3003711430000.0,476,3623,0.8789
