Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-13,ADANIENT,EQ,162.15,145.95,161.35,129.75,150.3,148.75,150.25,7463676,112143914575000.0,53874,1133133,0.1518
2020-03-16,ADANIENT,EQ,148.75,141.0,142.3,128.65,135.8,134.7,137.39,6582849,90443909120000.0,40424,1282227,0.1948
2020-03-17,ADANIENT,EQ,134.7,135.7,142.55,130.5,134.5,133.4,135.07,6388062,86280971385000.0,36452,1600392,0.2505
2020-03-18,ADANIENT,EQ,133.4,135.9,137.0,127.1,132.5,130.2,131.38,4255688,55909860065000.0,35656,1042913,0.2451
2020-03-19,ADANIENT,EQ,130.2,121.0,132.95,118.2,130.0,128.9,125.84,5517080,69427521600000.0,29278,1027051,0.1862
2020-03-20,ADANIENT,EQ,128.9,138.0,141.6,128.7,138.75,137.7,135.52,4496401,60936042554999.99,27480,679040,0.151
2020-03-23,ADANIENT,EQ,137.7,123.05,135.0,118.2,120.15,120.9,126.54,1456143,18426289265000.0,14699,367618,0.2525
2020-03-24,ADANIENT,EQ,120.9,125.0,132.95,116.4,131.8,130.35,125.63,5125923,64396481010000.0,19507,3210068,0.6262
2020-03-25,ADANIENT,EQ,130.35,126.0,134.9,125.0,134.0,132.3,129.7,2771318,35944469760000.0,19080,973175,0.35119999999999996
2020-03-26,ADANIENT,EQ,132.3,135.0,152.0,132.05,140.0,140.25,142.42,7980255,113654976845000.0,34716,3850624,0.4825
2020-03-27,ADANIENT,EQ,140.25,146.0,151.0,126.25,129.0,128.0,137.72,4378366,60299239990000.0,32564,1063364,0.2429
2020-03-30,ADANIENT,EQ,128.0,124.0,129.8,121.0,128.5,128.7,127.22,2397602,30502858985000.004,22668,424282,0.177
2020-03-31,ADANIENT,EQ,128.7,131.7,138.45,129.45,136.0,137.6,134.29,2200227,29546647220000.0,16220,391919,0.17809999999999998
2020-04-01,ADANIENT,EQ,137.6,138.95,138.95,131.8,133.3,133.95,134.86,1997608,26938858285000.004,15540,310886,0.15560000000000002
2020-04-03,ADANIENT,EQ,133.95,134.0,134.6,128.0,129.05,129.05,129.68,1761947,22849377415000.0,14137,313670,0.17800000000000002
2020-04-07,ADANIENT,EQ,129.05,131.0,141.5,131.0,137.0,138.15,136.09,2463525,33525609370000.0,17669,408903,0.166
2020-04-08,ADANIENT,EQ,138.15,136.85,147.15,134.9,137.5,138.1,141.01,3237290,45649227310000.0,23696,255480,0.0789
2020-04-09,ADANIENT,EQ,138.1,140.0,146.25,140.0,142.45,142.45,142.9,2359528,33718528855000.0,16405,335061,0.142
2020-04-13,ADANIENT,EQ,142.45,142.0,149.0,136.55,149.0,146.0,142.33,2204560,31377592930000.0,16097,383406,0.1739
2020-04-15,ADANIENT,EQ,146.0,148.05,150.95,143.2,145.0,145.25,147.1,3413518,50212523375000.0,29711,732664,0.2146
2020-04-16,ADANIENT,EQ,145.25,142.0,144.85,140.55,143.2,143.3,142.35,2685695,38232152795000.0,20157,618268,0.2302
2020-04-17,ADANIENT,EQ,143.3,146.95,148.55,141.55,143.95,143.9,144.54,2384033,34459485380000.0,26603,624508,0.262
2020-04-20,ADANIENT,EQ,143.9,146.0,155.45,142.6,146.9,146.7,150.36,6835268,102772955890000.0,47481,1295499,0.1895
2020-04-21,ADANIENT,EQ,146.7,143.0,143.0,134.15,135.55,135.95,136.89,3576178,48955695110000.0,29177,779896,0.2181
2020-04-22,ADANIENT,EQ,135.95,136.0,138.8,132.1,137.75,137.6,134.92,6012163,81118692100000.0,27169,354720,0.059000000000000004
2020-04-23,ADANIENT,EQ,137.6,140.5,142.5,137.5,139.6,140.5,140.85,3371275,47484893730000.0,24817,478111,0.1418
2020-04-24,ADANIENT,EQ,140.5,137.15,140.55,134.1,134.4,134.65,137.45,1823167,25060048780000.0,13960,534746,0.2933
2020-04-27,ADANIENT,EQ,134.65,136.4,138.35,134.1,134.3,134.6,135.9,2996933,40728072115000.0,20929,536169,0.1789
2020-04-28,ADANIENT,EQ,134.6,135.95,141.9,135.05,138.9,139.3,139.89,5721209,80032983580000.0,42803,1090566,0.1906
2020-04-29,ADANIENT,EQ,139.3,140.0,140.7,135.65,140.0,139.5,137.55,4774365,65672973040000.0,34981,920217,0.1927
2020-04-30,ADANIENT,EQ,139.5,141.45,147.45,140.3,141.4,141.4,143.48,4900322,70311977250000.0,42301,905350,0.18480000000000002
2020-05-04,ADANIENT,EQ,141.4,136.9,137.5,130.0,131.5,131.55,132.5,6013356,79678847640000.0,37151,1670026,0.2777
2020-05-05,ADANIENT,EQ,131.55,135.0,136.35,131.8,133.15,132.7,134.29,3112486,41798830865000.0,24886,824778,0.265
2020-05-06,ADANIENT,EQ,132.7,133.65,135.4,127.3,131.15,133.25,131.52,6688490,87966755035000.0,51885,472745,0.0707
2020-05-07,ADANIENT,EQ,133.25,131.1,135.65,130.0,135.25,134.9,134.29,2423478,32544789545000.0,21123,739436,0.30510000000000004
