Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-11-25,ADANITRANS,EQ,263.35,264.9,269.3,261.05,263.05,263.75,263.86,202027,5330736915000.0,4655,104332,0.5164
2019-11-26,ADANITRANS,EQ,263.75,265.0,285.0,262.85,278.25,275.95,273.86,612481,16773126860000.0,10315,326509,0.5331
2019-11-27,ADANITRANS,EQ,275.95,278.65,286.45,277.1,280.95,281.4,281.36,380742,10712380370000.0,9081,193007,0.5069
2019-11-28,ADANITRANS,EQ,281.4,280.1,284.4,278.15,279.9,279.85,281.03,180181,5063537140000.0,6070,80583,0.4472
2019-11-29,ADANITRANS,EQ,279.85,280.65,317.5,278.9,308.0,310.15,306.73,2083819,63916260310000.0,32496,487628,0.23399999999999999
2019-12-02,ADANITRANS,EQ,310.15,313.0,341.35,303.9,332.25,332.15,329.24,2329535,76698413285000.0,37563,486884,0.209
2019-12-03,ADANITRANS,EQ,332.15,333.0,334.0,310.5,313.0,314.3,319.45,557907,17822181210000.0,12107,141361,0.2534
2019-12-04,ADANITRANS,EQ,314.3,310.0,331.0,310.0,324.65,323.75,324.15,992295,32164898439999.996,15632,328578,0.3311
2019-12-05,ADANITRANS,EQ,323.75,323.0,333.8,320.2,322.95,323.65,326.57,488540,15954046255000.002,18712,169775,0.34750000000000003
2019-12-06,ADANITRANS,EQ,323.65,325.05,327.1,314.15,319.0,318.9,319.67,224850,7187765225000.0,6783,74151,0.3298
2019-12-09,ADANITRANS,EQ,318.9,320.6,344.7,320.6,331.65,331.7,335.65,1342315,45055223825000.0,23418,260824,0.1943
2019-12-10,ADANITRANS,EQ,331.7,334.0,342.1,329.4,336.95,336.7,336.53,710195,23899941515000.0,12656,206777,0.2912
2019-12-11,ADANITRANS,EQ,336.7,339.0,350.95,320.65,342.0,341.85,340.51,2742883,93397074340000.0,37459,546227,0.1991
2019-12-12,ADANITRANS,EQ,341.85,344.2,345.4,326.0,336.25,335.95,335.15,521152,17466251530000.002,12049,145300,0.2788
2019-12-13,ADANITRANS,EQ,335.95,334.0,339.3,330.0,331.0,331.55,333.04,220241,7334925275000.0,5858,107278,0.48710000000000003
2019-12-16,ADANITRANS,EQ,331.55,334.0,337.0,330.0,331.5,332.25,332.97,238781,7950693980000.0,5743,94153,0.3943
2019-12-17,ADANITRANS,EQ,332.25,333.25,337.55,329.05,334.5,334.05,334.1,230362,7696343834999.999,5471,118503,0.5144
2019-12-18,ADANITRANS,EQ,334.05,334.95,336.3,332.05,333.25,333.65,333.72,132743,4429942750000.0,2293,73735,0.5555
2019-12-19,ADANITRANS,EQ,333.65,333.95,334.75,329.1,333.0,333.35,333.1,112187,3736901935000.0,2632,64673,0.5765
2019-12-20,ADANITRANS,EQ,333.35,334.65,349.65,329.35,342.0,341.9,342.32,597452,20452102270000.0,12041,247404,0.41409999999999997
2019-12-23,ADANITRANS,EQ,341.9,341.95,344.9,331.25,333.0,332.4,336.38,275463,9266027855000.0,13566,107122,0.3889
2019-12-24,ADANITRANS,EQ,332.4,334.7,340.85,332.0,334.7,334.9,336.56,272503,9171284365000.0,6808,60136,0.2207
2019-12-26,ADANITRANS,EQ,334.9,334.95,337.85,329.5,332.4,331.85,333.53,154600,5156446305000.0,4221,43315,0.2802
2019-12-27,ADANITRANS,EQ,331.85,332.25,335.15,329.0,329.25,330.1,331.0,139270,4609817770000.0,3162,45667,0.3279
2019-12-30,ADANITRANS,EQ,330.1,330.0,337.25,329.9,334.5,334.1,334.24,224974,7519533515000.001,5531,89948,0.3998
2019-12-31,ADANITRANS,EQ,334.1,334.6,336.9,330.0,331.05,331.4,333.32,165013,5500264650000.0,4971,72772,0.441
2020-01-01,ADANITRANS,EQ,331.4,332.95,336.0,330.0,335.0,333.9,333.42,147701,4924707895000.0,3178,49581,0.3357
2020-01-02,ADANITRANS,EQ,333.9,335.0,366.4,332.6,352.7,356.65,353.64,1195881,42290742065000.0,16312,323618,0.2706
