Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-11,AMBUJACEM,EQ,193.7,194.1,196.45,189.8,190.05,190.45,192.48,3553048,68388474340000.0,40356,1465495,0.41250000000000003
2020-03-12,AMBUJACEM,EQ,190.45,183.0,183.75,169.1,177.35,175.5,175.05,8015858,140318706145000.0,120971,4403505,0.5493
2020-03-13,AMBUJACEM,EQ,175.5,166.0,190.7,152.05,189.25,187.75,180.83,3970888,71806516245000.0,76455,1490930,0.3755
2020-03-16,AMBUJACEM,EQ,187.75,180.0,184.05,172.15,180.0,179.45,179.02,5362750,96004722290000.0,53927,2364451,0.44090000000000007
2020-03-17,AMBUJACEM,EQ,179.45,180.5,181.75,170.1,172.1,171.4,177.07,6785874,120156533245000.0,50865,3240731,0.47759999999999997
2020-03-18,AMBUJACEM,EQ,171.4,174.4,174.85,158.15,160.45,159.65,165.06,5655132,93345510660000.0,65894,2847649,0.5036
2020-03-19,AMBUJACEM,EQ,159.65,154.0,161.15,149.4,151.2,153.95,155.84,11032807,171930563160000.0,77949,5473942,0.4962
2020-03-20,AMBUJACEM,EQ,153.95,153.95,168.55,151.4,159.1,160.4,160.58,14150719,227228100569999.97,73908,7751880,0.5478000000000001
2020-03-23,AMBUJACEM,EQ,160.4,145.0,150.9,139.55,147.25,145.85,146.15,4517269,66017837890000.0,45098,2161660,0.47850000000000004
2020-03-24,AMBUJACEM,EQ,145.85,145.1,155.8,140.1,141.0,142.15,147.56,3874329,57168372754999.99,42642,1543363,0.39840000000000003
2020-03-25,AMBUJACEM,EQ,142.15,139.0,144.45,138.0,138.7,139.35,140.7,6937627,97610263510000.0,52559,3587986,0.5172
2020-03-26,AMBUJACEM,EQ,139.35,141.25,146.6,136.55,143.3,144.05,141.5,14408540,203878674860000.0,66317,10213168,0.7088
2020-03-27,AMBUJACEM,EQ,144.05,148.55,152.0,141.0,141.4,141.55,145.11,7706575,111833951770000.0,59570,3911643,0.5075999999999999
2020-03-30,AMBUJACEM,EQ,141.55,140.0,154.7,137.4,147.6,148.25,143.7,6410821,92125044155000.0,39511,3218853,0.5021
2020-03-31,AMBUJACEM,EQ,148.25,152.0,157.0,146.7,155.7,155.7,153.2,3948069,60484858220000.01,42874,1727680,0.4376
2020-04-01,AMBUJACEM,EQ,155.7,155.4,158.4,150.7,158.2,156.65,154.61,2690175,41593332240000.0,28992,1092990,0.40630000000000005
2020-04-03,AMBUJACEM,EQ,156.65,156.6,156.65,151.55,152.4,153.0,153.8,3738943,57503892910000.0,47048,1775551,0.47490000000000004
2020-04-07,AMBUJACEM,EQ,153.0,154.0,160.5,153.5,158.9,159.0,157.47,6642891,104605554130000.0,81347,3601899,0.5422
