Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-29,BANKBARODA,EQ,94.5,94.0,96.0,91.35,92.2,91.8,93.23,28470571,265436336635000.0,67298,4505556,0.1583
2019-08-30,BANKBARODA,EQ,91.8,92.3,93.55,89.1,92.8,92.6,91.33,39229554,358267451990000.0,122898,5599644,0.1427
2019-09-03,BANKBARODA,EQ,92.6,92.0,93.45,90.3,90.9,91.45,91.85,27311759,250855160225000.0,72404,3132731,0.11470000000000001
2019-09-04,BANKBARODA,EQ,91.45,91.4,93.7,91.0,93.3,93.3,92.57,29081927,269216178060000.0,66895,3076886,0.1058
2019-09-05,BANKBARODA,EQ,93.3,93.65,96.0,91.8,94.0,93.75,93.17,23259084,216713640469999.97,58699,1716246,0.0738
2019-09-06,BANKBARODA,EQ,93.75,94.0,95.4,93.15,94.45,94.4,94.04,19983569,187920531365000.0,50051,1647904,0.0825
2019-09-09,BANKBARODA,EQ,94.4,94.0,96.25,93.3,95.45,95.55,95.1,18357251,174571621650000.0,56932,2513755,0.1369
2019-09-11,BANKBARODA,EQ,95.55,95.55,99.65,95.55,98.9,99.05,98.07,21886257,214645177800000.0,72340,2983326,0.1363
2019-09-12,BANKBARODA,EQ,99.05,99.55,102.5,98.9,100.9,101.1,101.04,37650231,380400518870000.0,97341,8374885,0.2224
2019-09-13,BANKBARODA,EQ,101.1,100.8,101.4,96.75,100.0,99.95,98.68,32807009,323732680730000.0,91335,3363330,0.10250000000000001
2019-09-16,BANKBARODA,EQ,99.95,98.95,100.25,97.5,98.55,98.85,99.12,17038914,168881603145000.0,54815,1769970,0.1039
2019-09-17,BANKBARODA,EQ,98.85,98.55,99.5,94.9,95.05,95.15,97.12,19835966,192651272820000.0,53752,2681371,0.1352
2019-09-18,BANKBARODA,EQ,95.15,95.9,96.9,94.35,96.1,95.95,95.89,20640002,197925776400000.0,48804,1740318,0.0843
2019-09-19,BANKBARODA,EQ,95.95,95.95,96.0,93.75,95.0,94.6,94.64,18279548,173004454860000.0,42303,1182055,0.0647
2019-09-20,BANKBARODA,EQ,94.6,94.7,102.75,90.75,100.1,100.3,97.35,70332391,684673358850000.0,165486,11601981,0.165
2019-09-23,BANKBARODA,EQ,100.3,102.95,103.15,98.5,100.25,100.7,100.41,48127877,483254384710000.06,109333,9107521,0.18920000000000003
2019-09-24,BANKBARODA,EQ,100.7,100.0,101.6,98.75,98.8,99.2,99.95,23331962,233194673325000.0,56904,2389154,0.1024
2019-09-25,BANKBARODA,EQ,99.2,98.15,98.4,93.0,93.25,93.5,95.43,23376094,223079707565000.0,63633,4006020,0.1714
2019-09-26,BANKBARODA,EQ,93.5,93.95,97.75,93.75,95.1,95.75,96.03,29876161,286906710785000.0,75574,2805500,0.09390000000000001
2019-09-27,BANKBARODA,EQ,95.75,94.5,96.7,93.85,95.5,95.1,95.17,23168151,220488851625000.0,58348,1875210,0.0809
2019-09-30,BANKBARODA,EQ,95.1,95.1,95.5,91.5,93.2,93.05,92.84,26815456,248949546930000.03,60735,4529334,0.16890000000000002
