Date,Open,High,Low,Close,Volume,Turnover
2020-03-13,22720.75,25670.75,21351.7,25166.45,783385213,162473700000.0
2020-03-16,24061.6,24074.15,23008.25,23101.15,481906496,95864000000.0
2020-03-17,23348.05,23449.5,22002.0,22155.15,537689478,105772099999.99998
2020-03-18,22411.85,22544.05,20267.95,20580.2,875287959,174402300000.0
2020-03-19,19428.95,21035.05,18675.65,20083.5,476621914,120189400000.0
2020-03-20,19898.3,20924.55,19265.0,20317.6,501768418,136984500000.0
2020-03-23,18311.3,18895.65,16791.05,16917.65,307639369,78073200000.0
2020-03-24,17705.85,17841.4,16116.25,17107.3,391702593,99059000000.0
2020-03-25,16759.95,18740.2,16635.5,18481.05,394556026,97915400000.00002
2020-03-26,18781.85,20409.35,18364.5,19613.9,482884243,133353600000.0
2020-03-27,20801.6,21462.4,19580.1,19969.0,539418047,149460800000.0
2020-03-30,19254.45,19716.25,18668.7,18782.4,326991879,91376500000.0
2020-03-31,19307.65,19466.3,18792.4,19144.0,309805792,82415300000.0
2020-04-01,19122.4,19154.75,18042.25,18208.35,274864724,74008700000.0
2020-04-03,18325.05,18326.1,17143.2,17249.3,342530350,84970100000.0
2020-04-07,18454.55,19190.55,17953.75,19062.5,435419014,117586100000.0
2020-04-08,18799.4,20324.1,18482.9,18946.45,508444556,137100900000.0
2020-04-09,19553.15,19988.3,19166.9,19913.6,389986610,102294000000.0
2020-04-13,19854.9,19887.05,19294.0,19488.0,288209448,76340400000.0
2020-04-15,20096.35,20184.1,18776.75,19057.05,389865463,111883900000.0
2020-04-16,18957.15,19520.3,18703.45,19400.0,350278671,104047500000.0
2020-04-17,20394.75,20866.55,19729.3,20681.45,475038288,125867099999.99998
2020-04-20,21104.7,21122.1,20444.25,20522.65,438637821,117426400000.0
2020-04-21,19812.05,19891.45,19247.95,19409.35,311922545,82485100000.0
2020-04-22,19306.95,19806.35,19051.95,19701.85,349355747,90910500000.0
2020-04-23,19871.35,20356.5,19584.4,20267.95,325385187,89945900000.0
2020-04-24,19697.65,19950.15,19515.4,19586.65,305735017,80198900000.0
2020-04-27,19870.8,20224.75,19847.65,20081.15,299864446,80823200000.0
2020-04-28,20436.6,20751.3,20260.8,20671.1,367772101,103391500000.0
2020-04-29,20440.4,21348.15,20393.65,21090.2,400629555,123319500000.0
2020-04-30,21589.2,21967.0,21353.65,21534.5,471511130,111589100000.0
2020-05-04,20514.75,20530.45,19643.6,19743.75,328804506,76351900000.0
2020-05-05,20147.3,20223.15,19212.35,19271.75,381269938,90954000000.0
2020-05-06,19302.45,19806.6,18941.0,19694.55,395557269,97973500000.0
2020-05-07,19536.05,19757.25,19332.15,19491.8,300140979,77063100000.0
2020-05-08,19844.0,19969.6,19285.05,19352.9,330610646,79837400000.0
2020-05-11,19610.45,19733.4,18900.9,18950.5,342556509,86102500000.0
2020-05-12,18751.4,18993.4,18287.0,18862.85,395412970,104022000000.0
2020-05-13,20017.75,20122.25,19429.9,19634.95,520830667,120555600000.0
2020-05-14,19197.7,19380.1,19024.75,19068.5,333038859,77581700000.0
2020-05-15,19098.8,19119.1,18683.65,18833.95,240590869,55983200000.0
2020-05-18,18795.1,18795.1,17514.2,17573.2,434763906,99805000000.0
2020-05-19,18037.15,18175.3,17390.65,17486.25,415466049,95417600000.0
2020-05-20,17486.5,18002.65,17407.7,17840.2,326225920,75252400000.0
2020-05-21,17901.95,18200.7,17658.55,17735.1,347575113,77481200000.0
2020-05-22,17554.25,17952.25,17105.0,17278.9,484792159,99919500000.0
2020-05-26,17537.65,17681.7,17311.25,17440.35,336758208,68543700000.0
2020-05-27,17603.4,18874.25,17560.35,18710.55,538003230,129058200000.0
2020-05-28,18924.45,19455.55,18818.95,19169.8,561124154,143814000000.0
2020-05-29,18962.0,19358.05,18729.9,19297.25,581732090,109227600000.0
2020-06-01,19728.9,20225.35,19632.9,19959.9,558065113,102633200000.0
2020-06-02,20120.6,20615.75,19852.55,20530.2,448324616,113345400000.00002
2020-06-03,20966.6,21619.55,20822.0,20940.7,616871764,141897700000.0
2020-06-04,20932.35,21141.8,20316.2,20390.45,587859629,118401700000.0
2020-06-05,20516.4,21198.7,20425.05,21034.5,637447046,119504200000.0
2020-06-08,21636.1,21807.4,20911.25,21187.35,748110342,147842200000.0
2020-06-09,21295.5,21568.85,20629.7,20724.9,641246103,142423200000.0
2020-06-10,20760.95,21251.45,20671.55,21100.1,582992179,121217300000.0
2020-06-11,21084.7,21244.45,20458.3,20525.15,747065326,150021400000.0
2020-06-12,19529.3,20747.7,19526.1,20654.55,599190078,139356500000.0
