Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-11,BHARTIARTL,EQ,496.25,487.0,508.5,487.0,494.0,493.8,499.14,21007587,1048581489510000.0,181749,14354217,0.6833
2020-03-12,BHARTIARTL,EQ,493.8,478.5,481.5,459.2,466.0,464.95,470.46,14204414,668257615120000.0,187976,7187092,0.506
2020-03-13,BHARTIARTL,EQ,464.95,453.8,509.05,420.0,489.8,491.85,479.37,23807651,1141274939250000.0,246728,10482202,0.4403
2020-03-16,BHARTIARTL,EQ,491.85,472.25,492.95,456.15,461.0,464.8,472.89,14661576,693335655665000.0,294260,6448377,0.43979999999999997
2020-03-17,BHARTIARTL,EQ,464.8,465.0,481.0,444.35,458.0,454.7,468.63,12396973,580962760050000.0,253082,6520338,0.526
2020-03-18,BHARTIARTL,EQ,454.7,460.0,478.8,407.45,440.0,425.55,443.55,28815241,1278087587715000.0,328964,11891828,0.41270000000000007
2020-03-19,BHARTIARTL,EQ,425.55,416.45,451.65,361.75,444.55,444.75,429.33,23574894,1012147787295000.1,258142,9894538,0.4197
2020-03-20,BHARTIARTL,EQ,444.75,445.0,472.0,436.65,461.6,462.65,455.05,19395922,882614394004999.9,207864,8881450,0.4579
2020-03-23,BHARTIARTL,EQ,462.65,416.4,445.7,399.5,417.9,407.35,420.48,14632657,615271966490000.0,173536,9838199,0.6723
2020-03-24,BHARTIARTL,EQ,407.35,410.9,437.85,400.15,411.55,404.05,413.22,12716346,525462947805000.0,180218,6544255,0.5146000000000001
2020-03-25,BHARTIARTL,EQ,404.05,406.55,438.25,405.6,424.9,429.1,423.02,13833486,585188919795000.0,181657,6770339,0.4894
2020-03-26,BHARTIARTL,EQ,429.1,426.5,493.45,420.25,465.0,470.7,453.03,21891560,991755817979999.9,274612,12134100,0.5543
2020-03-27,BHARTIARTL,EQ,470.7,470.7,474.8,437.5,450.0,448.95,451.99,16076582,726645309055000.0,260952,7815300,0.48610000000000003
2020-03-30,BHARTIARTL,EQ,448.95,443.85,449.3,428.0,432.05,431.05,438.32,10022553,439307627355000.0,127381,5150650,0.5139
2020-03-31,BHARTIARTL,EQ,431.05,441.0,447.0,424.0,440.5,440.9,436.03,16745176,730136096335000.0,223507,9524020,0.5688000000000001
2020-04-01,BHARTIARTL,EQ,440.9,440.0,440.0,412.4,422.0,421.35,425.72,9469124,403114976155000.0,194448,5113364,0.54
2020-04-03,BHARTIARTL,EQ,421.35,432.0,432.0,415.6,424.1,423.95,423.52,14153710,599440926705000.0,232505,7174853,0.5069
