Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-10-27,BIOCON,EQ,241.65,244.9,245.05,240.0,243.0,242.7,243.19,347213,8443850534999.999,3973,101086,0.2911
2019-10-29,BIOCON,EQ,242.7,243.0,246.25,240.4,244.15,244.1,243.19,3420282,83176802075000.0,23431,1144533,0.3346
2019-10-30,BIOCON,EQ,244.1,244.15,249.6,244.0,247.15,248.25,247.52,3232514,80010265215000.0,24198,1701801,0.5265
2019-10-31,BIOCON,EQ,248.25,249.2,250.0,244.35,245.2,246.1,247.81,2665863,66061775765000.0,20591,1314215,0.493
2019-11-01,BIOCON,EQ,246.1,246.75,248.5,243.0,247.0,246.25,246.05,3805645,93638539055000.0,25272,801442,0.21059999999999998
2019-11-04,BIOCON,EQ,246.25,246.5,265.0,246.05,263.4,263.6,258.18,7579244,195682069565000.0,55815,1355090,0.1788
2019-11-05,BIOCON,EQ,263.6,264.5,272.6,254.25,254.95,256.25,259.69,9080951,235820488985000.0,92461,2049413,0.2257
2019-11-06,BIOCON,EQ,256.25,256.2,262.25,255.1,260.0,260.75,259.54,3790931,98389520270000.0,36930,854154,0.22530000000000003
2019-11-07,BIOCON,EQ,260.75,260.1,264.85,256.05,263.9,263.95,261.43,5664711,148093650660000.0,38227,1494101,0.2638
2019-11-08,BIOCON,EQ,263.95,263.85,268.5,262.1,265.0,265.0,266.45,3380307,90067603875000.0,32920,1330413,0.3936
2019-11-11,BIOCON,EQ,265.0,262.1,267.5,262.1,262.25,263.5,264.7,2187838,57911908129999.99,20876,554359,0.2534
2019-11-13,BIOCON,EQ,263.5,262.25,264.15,255.05,256.5,256.7,259.65,1384512,35948552010000.0,13248,293604,0.2121
2019-11-14,BIOCON,EQ,256.7,255.1,258.35,249.65,254.35,254.7,254.26,2855539,72605863840000.0,29744,849829,0.29760000000000003
2019-11-15,BIOCON,EQ,254.7,255.0,262.0,253.1,257.3,257.25,257.67,1929705,49721889995000.0,17943,370462,0.192
2019-11-18,BIOCON,EQ,257.25,258.55,263.0,257.3,260.6,260.5,260.47,1470719,38307930115000.0,13517,267065,0.1816
2019-11-19,BIOCON,EQ,260.5,260.6,262.7,257.4,259.0,258.55,259.27,1196367,31018770414999.996,14004,316755,0.26480000000000004
