Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,COALINDIA,EQ,240.75,241.0,242.45,240.25,242.0,241.5,241.1,2227003,53693881465000.0,18131,811718,0.36450000000000005
2019-01-02,COALINDIA,EQ,241.5,240.9,241.45,236.05,236.45,236.7,238.32,3897893,92896109165000.0,35902,1889022,0.48460000000000003
2019-01-03,COALINDIA,EQ,236.7,238.7,238.7,233.2,235.05,235.0,234.81,5664136,132996766959999.98,88451,2691300,0.47509999999999997
2019-01-04,COALINDIA,EQ,235.0,234.1,237.7,233.75,236.25,236.5,235.58,2885669,67981808604999.99,40827,1215666,0.4213
2019-01-07,COALINDIA,EQ,236.5,238.0,238.0,233.5,234.1,234.5,235.28,7347326,172871115895000.0,55943,5163823,0.7028
2019-01-08,COALINDIA,EQ,234.5,234.5,235.15,232.15,233.1,233.3,233.89,4206563,98387813995000.0,25409,2953445,0.7021
2019-01-09,COALINDIA,EQ,233.3,234.2,234.85,231.8,232.45,232.65,233.2,2954253,68894379720000.01,43534,1620017,0.5484
2019-01-10,COALINDIA,EQ,232.65,233.8,233.95,232.05,233.0,233.0,233.11,2292058,53430219495000.0,42875,1271960,0.5549000000000001
2019-01-11,COALINDIA,EQ,233.0,233.7,233.75,231.5,232.0,232.25,232.72,2446815,56943492035000.0,20771,1412072,0.5771000000000001
2019-01-14,COALINDIA,EQ,232.25,232.4,232.5,229.05,231.05,230.9,230.36,2273231,52366806515000.0,20692,1071691,0.47140000000000004
2019-01-15,COALINDIA,EQ,230.9,231.5,233.6,231.05,232.7,232.65,232.6,2323323,54040814400000.0,31677,1137980,0.48979999999999996
2019-01-16,COALINDIA,EQ,232.65,232.8,233.4,231.55,232.1,232.05,232.22,2050899,47625038780000.0,27212,1197113,0.5837
2019-01-17,COALINDIA,EQ,232.05,232.75,232.75,230.4,231.85,232.05,231.75,3220136,74625905730000.0,29862,1981236,0.6153000000000001
2019-01-18,COALINDIA,EQ,232.05,232.15,232.55,229.6,229.8,230.0,230.35,2944908,67836163185000.0,37955,1639772,0.5568
2019-01-21,COALINDIA,EQ,230.0,230.45,231.25,228.15,228.2,229.0,229.66,1904575,43739655800000.0,29581,864285,0.45380000000000004
2019-01-22,COALINDIA,EQ,229.0,228.45,230.35,225.8,227.15,227.75,227.5,4564028,103831674850000.0,54087,2843077,0.6229
2019-01-23,COALINDIA,EQ,227.75,227.8,228.0,225.25,225.55,225.55,226.33,2328748,52706123860000.0,27525,1252287,0.5378000000000001
2019-01-24,COALINDIA,EQ,225.55,225.7,226.25,223.0,223.4,223.85,223.94,2838220,63558972254999.99,42628,1553925,0.5475
2019-01-25,COALINDIA,EQ,223.85,224.25,226.2,220.1,220.8,220.95,223.3,3432012,76636160010000.0,42135,1838429,0.5357000000000001
2019-01-28,COALINDIA,EQ,220.95,221.25,227.5,218.05,225.4,225.2,222.88,3917992,87324800605000.0,45172,1841587,0.47000000000000003
2019-01-29,COALINDIA,EQ,225.2,225.4,225.85,221.15,223.0,222.55,222.93,3850399,85836372245000.0,46339,2236942,0.5810000000000001
2019-01-30,COALINDIA,EQ,222.55,222.0,228.0,220.55,224.15,225.2,224.04,7349253,164651129840000.0,62688,4525119,0.6157
2019-01-31,COALINDIA,EQ,225.2,226.5,227.5,223.05,223.8,224.65,224.97,15389786,346227353190000.0,70546,12411147,0.8065000000000001
2019-02-01,COALINDIA,EQ,224.65,224.35,226.7,222.75,223.3,223.2,224.4,2820146,63284473485000.0,29252,1474750,0.5229
2019-02-04,COALINDIA,EQ,223.2,223.3,224.2,220.05,222.4,222.1,221.88,3417620,75829766455000.0,37937,1747363,0.5113000000000001
2019-02-05,COALINDIA,EQ,222.1,222.0,223.4,215.7,216.1,216.4,218.91,5557034,121650852150000.0,51818,2724845,0.4903
2019-02-06,COALINDIA,EQ,216.4,216.5,220.7,216.35,220.6,219.95,218.95,3707342,81172749395000.0,51860,1931752,0.5211
2019-02-07,COALINDIA,EQ,219.95,220.8,224.65,220.15,224.0,224.2,222.89,3111207,69345138465000.0,29723,1250899,0.4021
2019-02-08,COALINDIA,EQ,224.2,223.9,225.65,217.6,219.0,218.65,221.93,2962142,65738568460000.0,34051,1236624,0.4175
2019-02-11,COALINDIA,EQ,218.65,217.7,220.35,214.15,219.3,218.8,218.08,4580373,99887428970000.0,39271,2182530,0.4765
2019-02-12,COALINDIA,EQ,218.8,219.8,223.9,219.35,223.1,223.05,222.51,7857592,174836969385000.0,90051,4843117,0.6164000000000001
2019-02-13,COALINDIA,EQ,223.05,226.0,228.0,219.55,221.0,220.25,222.99,12051126,268722888330000.03,84491,4541027,0.3768
2019-02-14,COALINDIA,EQ,220.25,217.0,219.7,211.4,217.1,217.2,215.75,14953813,322632478110000.0,145107,6740880,0.4508
2019-02-15,COALINDIA,EQ,217.2,219.9,221.5,214.7,216.2,219.95,219.75,11511255,252958772740000.0,64985,6812709,0.5918
2019-02-18,COALINDIA,EQ,219.95,218.0,218.0,214.8,215.1,215.15,215.83,3651021,78800016515000.0,45555,1503838,0.4119
2019-02-19,COALINDIA,EQ,215.15,215.25,218.95,213.55,214.6,214.25,216.59,5288764,114547710250000.0,39892,3041247,0.5750000000000001
2019-02-20,COALINDIA,EQ,214.25,214.8,216.4,213.55,215.0,214.95,214.92,6637981,142663868760000.0,42788,4098400,0.6174000000000001
2019-02-21,COALINDIA,EQ,214.95,215.05,215.7,213.2,213.8,213.7,213.93,4081685,87319881290000.0,48406,2196153,0.5381
2019-02-22,COALINDIA,EQ,213.7,214.85,216.9,213.45,214.95,214.95,215.1,5229408,112486135725000.0,59683,2731018,0.5222
2019-02-25,COALINDIA,EQ,214.95,216.0,216.7,212.7,214.35,214.35,214.37,9386982,201225164385000.0,91987,5050683,0.5381
2019-02-26,COALINDIA,EQ,214.35,213.3,222.0,213.0,220.25,220.15,217.76,11886116,258835290815000.0,85740,6245968,0.5255
2019-02-27,COALINDIA,EQ,220.15,221.5,224.4,219.6,221.55,221.45,222.06,8604781,191079429900000.0,64290,4725606,0.5492
2019-02-28,COALINDIA,EQ,221.45,223.5,229.9,222.15,228.8,228.3,227.32,32625237,741651031460000.0,130880,24429470,0.7488
2019-03-01,COALINDIA,EQ,228.3,228.8,233.0,226.6,232.95,232.65,231.92,9526492,220934255855000.03,86950,4536559,0.47619999999999996
2019-03-05,COALINDIA,EQ,232.65,233.4,242.0,232.7,240.25,241.15,238.32,9391114,223808969665000.0,130660,4942319,0.5263
2019-03-06,COALINDIA,EQ,241.15,241.15,246.2,238.0,242.05,242.75,242.49,9535153,231219644635000.0,95649,4706881,0.4936
2019-03-07,COALINDIA,EQ,242.75,243.0,243.0,233.35,234.45,235.0,237.72,7181084,170708615645000.0,64803,3826142,0.5328
2019-03-08,COALINDIA,EQ,235.0,233.1,237.5,229.6,235.65,234.9,232.92,12803612,298223584460000.0,132981,7085533,0.5534
2019-03-11,COALINDIA,EQ,234.9,236.7,245.0,235.25,243.15,243.4,241.97,19931174,482278173955000.0,108204,12309266,0.6176
2019-03-12,COALINDIA,EQ,243.4,245.0,246.9,241.2,243.1,242.95,243.47,9766818,237792825150000.0,99214,5600046,0.5734
2019-03-13,COALINDIA,EQ,242.95,242.0,242.0,233.8,239.4,238.65,238.37,17949230,427847395205000.0,95024,11336986,0.6315999999999999
2019-03-14,COALINDIA,EQ,238.65,240.9,244.1,238.5,243.8,243.2,241.26,13627811,328790937585000.0,102772,8734756,0.6409999999999999
2019-03-15,COALINDIA,EQ,243.2,238.85,246.15,238.0,243.05,244.35,242.07,16465364,398576117315000.0,89666,9766756,0.5932000000000001
2019-03-18,COALINDIA,EQ,244.35,243.95,245.6,242.0,244.2,244.2,243.82,5518089,134543819540000.02,83272,2619689,0.4747
2019-03-19,COALINDIA,EQ,244.2,244.55,247.9,241.35,243.5,242.9,245.14,10839789,265729678219999.97,150030,5458507,0.5036
2019-03-20,COALINDIA,EQ,242.9,244.6,244.6,236.0,237.8,237.0,238.11,20268896,482628235255000.0,123185,11280006,0.5565
2019-03-22,COALINDIA,EQ,237.0,232.7,233.8,230.0,233.0,231.95,231.62,14139706,327503111450000.0,100173,5350382,0.37840000000000007
2019-03-25,COALINDIA,EQ,231.95,233.0,239.45,231.35,237.2,237.2,234.59,7458064,174960213675000.0,41736,3094469,0.41490000000000005
2019-03-26,COALINDIA,EQ,237.2,237.25,242.75,234.3,235.8,236.45,239.09,7475564,178731141600000.0,48396,3441713,0.4604
2019-03-27,COALINDIA,EQ,236.45,236.4,238.1,233.6,234.45,234.45,235.6,4777913,112567587950000.0,51018,2373390,0.49670000000000003
2019-03-28,COALINDIA,EQ,234.45,234.4,237.65,232.75,236.3,236.1,235.38,20584925,484532935270000.0,88477,9261274,0.4499
2019-03-29,COALINDIA,EQ,236.1,236.5,239.3,233.5,236.45,237.2,235.35,14086653,331531782815000.0,84752,6336652,0.4498
2019-04-01,COALINDIA,EQ,237.2,238.1,238.1,231.5,236.5,236.4,234.79,13985622,328362661305000.0,98173,7733945,0.5529999999999999
2019-04-02,COALINDIA,EQ,236.4,238.95,239.5,235.55,236.0,236.4,237.11,7356923,174441223860000.0,66614,3622764,0.4924
2019-04-03,COALINDIA,EQ,236.4,236.5,236.95,233.0,235.0,234.1,235.25,5120392,120457601870000.0,44696,3012963,0.5884
2019-04-04,COALINDIA,EQ,234.1,235.0,235.55,232.55,234.8,234.8,234.29,3948463,92507965405000.0,36363,1710816,0.4333
