Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,COLPAL,EQ,1343.55,1349.8,1350.0,1312.55,1324.0,1323.9,1325.25,534537,70839481140000.0,13947,211440,0.3956
2019-01-02,COLPAL,EQ,1323.9,1315.0,1322.75,1297.2,1302.0,1301.8,1309.36,396926,51971834100000.0,20634,175074,0.4411
2019-01-03,COLPAL,EQ,1301.8,1301.0,1320.9,1291.05,1313.85,1314.25,1310.87,407748,53450269815000.0,18174,101128,0.24800000000000003
2019-01-04,COLPAL,EQ,1314.25,1314.05,1328.3,1308.1,1311.0,1310.1,1317.33,420325,55370856820000.01,27322,201623,0.4797
2019-01-07,COLPAL,EQ,1310.1,1317.1,1319.95,1298.85,1305.9,1303.0,1311.44,416743,54653502110000.0,20042,214544,0.5147999999999999
2019-01-08,COLPAL,EQ,1303.0,1305.4,1317.55,1295.0,1311.0,1310.75,1306.6,297256,38839575090000.0,12014,105875,0.35619999999999996
2019-01-09,COLPAL,EQ,1310.75,1316.0,1322.6,1301.25,1305.8,1303.55,1306.48,373875,48846126880000.0,24413,205526,0.5497
2019-01-10,COLPAL,EQ,1303.55,1308.95,1330.95,1306.1,1327.95,1325.9,1320.62,515428,68068243775000.0,13694,270879,0.5255
2019-01-11,COLPAL,EQ,1325.9,1327.95,1332.6,1312.3,1315.8,1319.45,1319.98,180499,23825446800000.0,6860,63198,0.35009999999999997
2019-01-14,COLPAL,EQ,1319.45,1320.05,1320.05,1302.15,1304.95,1305.75,1306.19,385521,50356423380000.0,9686,276815,0.718
2019-01-15,COLPAL,EQ,1305.75,1302.1,1335.0,1302.1,1323.35,1324.25,1324.61,325514,43117877705000.0,15886,168820,0.5186
2019-01-16,COLPAL,EQ,1324.25,1325.0,1342.5,1325.0,1330.5,1330.75,1335.9,791151,105689695765000.0,23933,568636,0.7187
2019-01-17,COLPAL,EQ,1330.75,1326.55,1343.7,1321.5,1328.0,1326.6,1333.55,246007,32806353595000.0,18308,126923,0.5159
2019-01-18,COLPAL,EQ,1326.6,1330.0,1331.75,1306.15,1311.95,1310.8,1312.21,204682,26858634700000.0,9198,111143,0.543
2019-01-21,COLPAL,EQ,1310.8,1312.2,1323.55,1311.3,1313.3,1313.25,1317.51,260338,34299665155000.0,14009,178908,0.6872
2019-01-22,COLPAL,EQ,1313.25,1322.6,1322.6,1303.0,1304.05,1306.55,1310.44,198459,26006894760000.0,7805,71006,0.3578
2019-01-23,COLPAL,EQ,1306.55,1304.05,1337.1,1302.65,1310.0,1307.25,1322.2,474354,62719077375000.0,15454,124799,0.2631
2019-01-24,COLPAL,EQ,1307.25,1315.1,1330.0,1298.1,1323.5,1321.9,1317.56,1359904,179175407215000.0,43482,333716,0.2454
2019-01-25,COLPAL,EQ,1321.9,1327.3,1327.3,1278.9,1286.0,1288.3,1296.75,786966,102049822245000.0,29470,220645,0.2804
2019-01-28,COLPAL,EQ,1288.3,1291.9,1302.9,1260.55,1266.9,1264.1,1274.39,580619,73993424500000.0,26975,314198,0.5411
2019-01-29,COLPAL,EQ,1264.1,1265.0,1277.5,1254.05,1269.0,1263.75,1263.96,272817,34482988105000.0,14137,97157,0.3561
2019-01-30,COLPAL,EQ,1263.75,1269.15,1291.4,1267.05,1272.2,1272.9,1281.77,568374,72852669750000.0,32908,295579,0.52
2019-01-31,COLPAL,EQ,1272.9,1280.0,1290.0,1274.9,1281.5,1280.1,1281.64,529589,67874209204999.99,20494,358093,0.6762
2019-02-01,COLPAL,EQ,1280.1,1286.45,1310.85,1282.7,1295.0,1293.45,1299.12,481876,62601265165000.0,20619,216770,0.4498
2019-02-04,COLPAL,EQ,1293.45,1285.0,1314.0,1285.0,1291.0,1289.45,1298.03,255403,33152084775000.0,12679,91143,0.3569
2019-02-05,COLPAL,EQ,1289.45,1292.0,1310.0,1286.2,1290.0,1291.1,1297.45,276094,35821812525000.0,12748,101610,0.368
2019-02-06,COLPAL,EQ,1291.1,1295.35,1307.0,1291.1,1298.1,1294.9,1298.61,204718,26584834005000.0,11029,79429,0.38799999999999996
2019-02-07,COLPAL,EQ,1294.9,1304.0,1311.4,1295.0,1299.75,1297.65,1300.53,286386,37245290305000.0,12223,159975,0.5586
2019-02-08,COLPAL,EQ,1297.65,1296.6,1317.45,1281.0,1284.2,1291.0,1306.21,301738,39413310990000.0,19027,85924,0.2848
2019-02-11,COLPAL,EQ,1291.0,1284.0,1297.0,1271.5,1286.1,1285.8,1285.56,400561,51494466670000.0,18333,258303,0.6448999999999999
2019-02-12,COLPAL,EQ,1285.8,1292.0,1292.5,1272.4,1274.0,1274.75,1278.62,209471,26783282015000.0,12757,103805,0.49560000000000004
2019-02-13,COLPAL,EQ,1274.75,1287.0,1287.0,1243.25,1246.05,1249.0,1258.7,693744,87321747680000.0,32713,341342,0.49200000000000005
2019-02-14,COLPAL,EQ,1249.0,1243.0,1258.1,1240.1,1247.3,1248.05,1248.06,495411,61830424485000.0,25000,247232,0.499
2019-02-15,COLPAL,EQ,1248.05,1255.0,1255.0,1215.75,1231.5,1233.85,1230.69,458077,56374968729999.99,19182,228550,0.4989
2019-02-18,COLPAL,EQ,1233.85,1226.95,1245.35,1212.0,1230.4,1231.45,1231.51,223336,27504138120000.0,15879,94775,0.4244
2019-02-19,COLPAL,EQ,1231.45,1230.0,1259.5,1230.0,1253.8,1249.35,1248.77,626688,78258959725000.0,23416,287047,0.45799999999999996
2019-02-20,COLPAL,EQ,1249.35,1255.0,1268.0,1238.75,1245.2,1245.15,1255.02,482015,60493717050000.0,32204,235301,0.4882
2019-02-21,COLPAL,EQ,1245.15,1250.0,1250.95,1236.65,1240.0,1239.2,1241.89,174425,21661733940000.0,10370,68696,0.39380000000000004
2019-02-22,COLPAL,EQ,1239.2,1240.0,1259.0,1232.0,1259.0,1255.45,1252.76,215655,27016426675000.0,9449,105256,0.48810000000000003
2019-02-25,COLPAL,EQ,1255.45,1258.95,1286.5,1258.95,1264.8,1264.05,1275.91,603992,77063711375000.0,29302,216726,0.3588
2019-02-26,COLPAL,EQ,1264.05,1258.0,1263.95,1241.0,1244.95,1245.1,1251.6,552155,69107943129999.99,25224,327960,0.594
2019-02-27,COLPAL,EQ,1245.1,1241.0,1284.5,1241.0,1260.0,1262.9,1268.63,870550,110440639250000.0,59168,505242,0.5804
2019-02-28,COLPAL,EQ,1262.9,1270.0,1289.65,1247.15,1252.0,1256.45,1272.57,494334,62907537165000.0,17528,127355,0.2576
2019-03-01,COLPAL,EQ,1256.45,1256.5,1264.9,1243.1,1246.0,1245.95,1251.66,330433,41358907265000.0,8030,122300,0.3701
2019-03-05,COLPAL,EQ,1245.95,1236.1,1258.8,1235.15,1243.0,1238.2,1244.64,410588,51103508985000.0,17639,235967,0.5747
2019-03-06,COLPAL,EQ,1238.2,1247.0,1282.0,1243.05,1280.0,1275.75,1265.28,582752,73734567965000.0,34947,307100,0.527
2019-03-07,COLPAL,EQ,1275.75,1281.3,1298.0,1262.0,1267.9,1268.5,1279.75,541393,69284553879999.99,18564,159048,0.2938
