Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-16,CONCOR,EQ,388.6,378.0,387.25,352.0,357.0,354.85,364.84,1911154,69725974350000.0,44950,1018628,0.533
2020-03-17,CONCOR,EQ,354.85,357.0,367.9,338.0,338.0,341.45,352.69,1060085,37388207960000.0,39056,389853,0.3678
2020-03-18,CONCOR,EQ,341.45,341.0,345.0,291.45,314.85,298.4,310.93,2805978,87245504315000.0,65005,1372623,0.4892
2020-03-19,CONCOR,EQ,298.4,290.0,304.5,270.2,294.0,285.9,286.73,1787595,51256302065000.0,45336,844052,0.4722
2020-03-20,CONCOR,EQ,285.9,288.45,352.35,288.45,334.55,331.9,327.74,3787027,124116199105000.0,86001,1551290,0.4096
2020-03-23,CONCOR,EQ,331.9,302.0,310.45,284.5,300.0,299.15,296.98,1900207,56432154470000.01,54216,1056370,0.5559000000000001
2020-03-24,CONCOR,EQ,299.15,306.1,328.0,271.0,278.4,279.35,294.77,2463499,72616449385000.0,51353,1497712,0.608
2020-03-25,CONCOR,EQ,279.35,270.0,287.9,263.4,280.0,285.8,276.98,2323539,64357262875000.0,61879,1158258,0.4985
2020-03-26,CONCOR,EQ,285.8,284.0,314.35,275.0,314.35,305.7,297.16,2537652,75408200015000.0,51173,1197782,0.47200000000000003
2020-03-27,CONCOR,EQ,305.7,325.35,351.55,306.0,306.85,309.2,323.6,2980150,96436712200000.0,92255,1347159,0.452
2020-03-30,CONCOR,EQ,309.2,305.2,314.4,292.3,305.0,304.25,304.4,1414245,43050154755000.0,52423,762158,0.5389
2020-03-31,CONCOR,EQ,304.25,309.1,334.65,309.1,329.95,331.65,324.54,2473004,80259532225000.0,78404,1002195,0.4053
2020-04-01,CONCOR,EQ,331.65,334.0,337.7,311.3,319.0,317.5,324.66,1305776,42393509570000.0,48802,502813,0.3851
2020-04-03,CONCOR,EQ,317.5,321.0,330.0,302.0,305.0,304.5,310.86,1536089,47751082240000.0,52525,683794,0.44520000000000004
