Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-08-31,DLF,EQ,221.1,221.1,222.3,217.2,220.75,220.8,219.99,6129569,134843904584999.98,40028,564593,0.09210000000000002
2018-09-03,DLF,EQ,220.8,213.1,216.55,210.3,210.5,212.45,214.01,9075098,194212995920000.0,57717,1021158,0.1125
2018-09-04,DLF,EQ,212.45,210.5,212.35,198.4,201.65,201.85,205.3,9686643,198868517430000.0,56989,1547847,0.1598
2018-09-05,DLF,EQ,201.85,202.0,203.9,196.35,203.25,202.35,199.88,7278094,145477963180000.0,54826,1302942,0.179
2018-09-06,DLF,EQ,202.35,204.5,207.0,201.25,205.0,204.5,204.19,4795832,97927661720000.0,33220,322588,0.06730000000000001
2018-09-07,DLF,EQ,204.5,205.6,209.3,201.7,208.6,208.35,206.32,4237143,87419277600000.0,32278,552503,0.1304
2018-09-10,DLF,EQ,208.35,207.45,209.45,203.0,205.0,204.6,205.67,3767850,77491779955000.0,33449,273948,0.0727
2018-09-11,DLF,EQ,204.6,205.4,206.95,197.6,198.2,198.9,202.37,3593534,72722787945000.0,31599,280031,0.0779
2018-09-12,DLF,EQ,198.9,198.95,203.6,193.35,202.9,202.45,198.76,5717235,113635600195000.0,39348,282462,0.049400000000000006
2018-09-14,DLF,EQ,202.45,204.5,210.5,203.4,209.25,209.25,207.6,5547982,115175956334999.98,40126,1118064,0.20149999999999998
2018-09-17,DLF,EQ,209.25,207.0,214.25,206.15,212.3,213.2,211.42,7225702,152767682285000.0,50293,1243607,0.1721
2018-09-18,DLF,EQ,213.2,213.0,214.0,201.6,202.95,202.8,207.35,5891263,122158059405000.0,47203,592985,0.10070000000000001
2018-09-19,DLF,EQ,202.8,201.7,205.8,198.55,201.0,201.25,202.13,5211308,105333724720000.0,53187,427353,0.08199999999999999
2018-09-21,DLF,EQ,201.25,202.1,205.35,184.5,198.6,199.55,197.47,12303546,242959685805000.03,108572,3111496,0.2529
2018-09-24,DLF,EQ,199.55,199.85,199.85,182.05,184.65,185.1,187.41,10192254,191014065775000.0,99558,1542791,0.1514
2018-09-25,DLF,EQ,185.1,184.1,187.35,166.05,178.2,177.6,176.6,16192061,285950283905000.0,130255,2581252,0.1594
