Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-08-30,GRASIM,EQ,1075.0,1075.0,1080.8,1063.4,1075.1,1074.0,1074.29,1530536,164424094350000.0,26007,1103171,0.7208
2018-08-31,GRASIM,EQ,1074.0,1066.5,1077.0,1059.0,1071.0,1067.5,1069.19,1380945,147649437120000.0,50275,911310,0.6598999999999999
2018-09-03,GRASIM,EQ,1067.5,1078.0,1078.0,1054.0,1064.05,1065.95,1065.03,907185,96617917380000.0,27772,571477,0.6299
2018-09-04,GRASIM,EQ,1065.95,1062.0,1062.9,1017.3,1022.4,1023.15,1037.71,874011,90696774940000.0,34186,506894,0.58
2018-09-05,GRASIM,EQ,1023.15,1023.85,1031.85,1008.5,1022.1,1028.1,1019.4,692839,70628178930000.0,23903,186979,0.2699
2018-09-06,GRASIM,EQ,1028.1,1030.0,1038.75,1017.2,1024.95,1030.9,1029.33,542542,55845401079999.99,18357,234445,0.43210000000000004
2018-09-07,GRASIM,EQ,1030.9,1032.7,1035.45,1015.5,1026.0,1025.35,1025.63,410461,42098026440000.0,23015,180207,0.439
2018-09-10,GRASIM,EQ,1025.35,1024.8,1032.25,1006.2,1020.0,1016.05,1016.23,584353,59383915465000.0,16226,316792,0.5421
2018-09-11,GRASIM,EQ,1016.05,1022.5,1025.05,993.8,1007.0,1003.95,1008.11,1148975,115829868734999.98,39512,447865,0.3898
2018-09-12,GRASIM,EQ,1003.95,1014.8,1030.8,996.2,1020.0,1019.6,1016.33,998093,101439228820000.0,52566,438167,0.439
2018-09-14,GRASIM,EQ,1019.6,1025.0,1066.55,1024.1,1063.0,1063.7,1050.33,1041898,109433944270000.0,38544,578438,0.5552
2018-09-17,GRASIM,EQ,1063.7,1053.1,1079.2,1044.0,1064.35,1065.2,1064.82,742265,79037531265000.0,27020,334670,0.4509
2018-09-18,GRASIM,EQ,1065.2,1066.5,1074.0,1054.05,1061.6,1066.85,1067.08,1274920,136043575550000.0,28612,894524,0.7016
2018-09-19,GRASIM,EQ,1066.85,1061.6,1077.0,1052.0,1068.25,1068.2,1069.08,1138044,121666051509999.98,53465,702847,0.6176
2018-09-21,GRASIM,EQ,1068.2,1071.5,1082.0,998.0,1050.55,1051.15,1055.08,1442580,152203501900000.0,45975,715155,0.49570000000000003
