Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,HAVELLS,EQ,691.5,694.4,697.5,686.5,696.55,694.8,692.58,413338,28626986330000.0,12857,81116,0.1962
2019-01-02,HAVELLS,EQ,694.8,692.0,703.0,690.0,691.7,691.8,697.27,1228486,85658375930000.0,27823,417880,0.34020000000000006
2019-01-03,HAVELLS,EQ,691.8,693.0,697.45,677.8,680.3,681.4,686.83,914499,62810139300000.0,34649,316118,0.3457
2019-01-04,HAVELLS,EQ,681.4,683.2,688.9,672.95,683.0,678.55,680.86,1257221,85598743455000.0,47545,410977,0.32689999999999997
2019-01-07,HAVELLS,EQ,678.55,684.05,695.75,683.1,694.25,693.55,690.06,657814,45392822825000.0,16524,122758,0.18660000000000002
2019-01-08,HAVELLS,EQ,693.55,694.0,696.9,667.05,668.85,669.7,677.36,1686230,114218789334999.98,44413,544988,0.3232
2019-01-09,HAVELLS,EQ,669.7,672.0,684.35,672.0,683.0,681.75,677.54,877124,59428714435000.0,23258,184172,0.21
2019-01-10,HAVELLS,EQ,681.75,682.95,690.55,676.0,687.1,688.05,684.08,985376,67407497495000.01,37969,430654,0.43700000000000006
2019-01-11,HAVELLS,EQ,688.05,688.0,690.8,681.15,689.55,688.05,685.6,526760,36114543800000.0,16966,149763,0.2843
2019-01-14,HAVELLS,EQ,688.05,686.0,690.55,683.45,689.0,688.55,687.01,515604,35422603385000.0,22834,300487,0.5828
2019-01-15,HAVELLS,EQ,688.55,691.25,693.5,678.35,682.1,681.1,684.49,1044052,71463877985000.0,28762,371625,0.35590000000000005
2019-01-16,HAVELLS,EQ,681.1,682.45,689.0,680.15,682.75,683.45,683.82,676883,46286916145000.0,39408,274084,0.40490000000000004
2019-01-17,HAVELLS,EQ,683.45,684.7,685.75,674.2,676.15,676.15,676.8,969498,65615795579999.99,32699,545950,0.5631
2019-01-18,HAVELLS,EQ,676.15,677.55,686.0,671.45,679.2,677.5,676.29,1299538,87886458235000.0,21397,796950,0.6133
2019-01-21,HAVELLS,EQ,677.5,679.25,685.55,673.0,676.0,677.7,679.11,813364,55236530520000.01,20233,399723,0.4914
2019-01-22,HAVELLS,EQ,677.7,679.7,721.0,670.6,713.9,711.85,699.4,5956684,416609780425000.0,136039,831337,0.1396
2019-01-23,HAVELLS,EQ,711.85,721.0,721.05,691.0,693.55,696.2,707.17,2677472,189342382610000.0,66359,284184,0.1061
2019-01-24,HAVELLS,EQ,696.2,696.2,707.5,695.6,702.0,702.6,702.67,1172488,82387140025000.0,35753,289996,0.24730000000000002
2019-01-25,HAVELLS,EQ,702.6,700.25,724.6,700.25,711.9,708.15,715.38,1994088,142653543495000.0,44545,294034,0.1475
2019-01-28,HAVELLS,EQ,708.15,711.0,713.05,686.35,697.35,698.7,696.48,1425427,99277884050000.0,41470,535686,0.37579999999999997
2019-01-29,HAVELLS,EQ,698.7,698.0,704.2,688.55,702.0,700.95,697.24,962384,67101641260000.0,31651,292787,0.3042
2019-01-30,HAVELLS,EQ,700.95,704.9,708.15,696.0,704.5,703.35,701.72,861622,60461627635000.0,38489,320927,0.3725
2019-01-31,HAVELLS,EQ,703.35,705.4,716.25,692.1,714.0,713.45,703.2,1699328,119497395205000.0,40186,955351,0.5622
2019-02-01,HAVELLS,EQ,713.45,715.0,739.9,711.0,738.9,737.15,727.7,1938051,141031642765000.0,50437,501789,0.2589
2019-02-04,HAVELLS,EQ,737.15,740.0,746.0,726.1,734.35,735.55,737.67,2228722,164405615790000.0,45615,594305,0.26670000000000005
2019-02-05,HAVELLS,EQ,735.55,735.0,739.8,725.0,733.0,730.8,732.31,892725,65375215315000.0,23415,244887,0.2743
2019-02-06,HAVELLS,EQ,730.8,735.4,744.7,726.05,737.0,737.5,737.38,1638747,120837229880000.0,33174,531133,0.3241
2019-02-07,HAVELLS,EQ,737.5,736.9,754.25,735.1,748.2,748.15,747.01,1593897,119066276400000.0,38759,651310,0.4086
2019-02-08,HAVELLS,EQ,748.15,749.0,753.25,740.6,741.65,743.3,746.78,1323737,98853691780000.0,41994,595981,0.45020000000000004
2019-02-11,HAVELLS,EQ,743.3,741.0,743.25,718.1,727.0,723.35,725.05,968286,70205093779999.99,41951,393600,0.4065
2019-02-12,HAVELLS,EQ,723.35,726.0,733.45,705.5,708.3,708.5,713.88,1247494,89056464955000.0,40012,614526,0.4926
2019-02-13,HAVELLS,EQ,708.5,708.05,710.4,698.3,703.25,703.45,704.38,1014353,71449013500000.0,33729,423134,0.4171
2019-02-14,HAVELLS,EQ,703.45,703.45,704.8,689.25,693.5,694.15,694.95,904847,62882759604999.99,26464,359113,0.3969
