Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-09,HDFCAMC,EQ,2973.4,2900.0,2939.9,2776.75,2851.6,2848.75,2849.12,467146,133095298650000.0,49723,228381,0.4889
2020-03-11,HDFCAMC,EQ,2848.75,2860.1,2962.45,2826.0,2929.0,2921.95,2909.73,385368,112131776390000.02,53998,170931,0.4436
2020-03-12,HDFCAMC,EQ,2921.95,2820.0,2820.0,2435.5,2470.0,2477.3,2607.75,784125,204479823395000.0,83727,389282,0.4965
2020-03-13,HDFCAMC,EQ,2477.3,2166.0,2799.0,2002.1,2665.0,2680.95,2546.92,1080337,275153071030000.03,103833,444016,0.41100000000000003
2020-03-16,HDFCAMC,EQ,2680.95,2550.0,2680.0,2426.3,2528.0,2517.35,2564.28,487805,125086735900000.0,63045,202563,0.4153
2020-03-17,HDFCAMC,EQ,2517.35,2555.0,2624.0,2410.0,2429.65,2442.0,2518.07,494692,124566938334999.98,57037,214681,0.434
2020-03-18,HDFCAMC,EQ,2442.0,2429.95,2500.0,2211.55,2323.0,2305.7,2285.3,987988,225785371519999.97,81982,538222,0.5448
2020-03-19,HDFCAMC,EQ,2305.7,2189.05,2320.0,2070.0,2290.0,2299.45,2243.93,754757,169362338250000.0,92667,347601,0.46049999999999996
2020-03-20,HDFCAMC,EQ,2299.45,2313.0,2533.0,2272.3,2405.0,2423.7,2431.83,712193,173193571895000.0,77667,319702,0.4489
2020-03-23,HDFCAMC,EQ,2423.7,2050.0,2300.0,2050.0,2109.45,2111.65,2164.52,599749,129817091234999.98,97641,335558,0.5595
2020-03-24,HDFCAMC,EQ,2111.65,2190.9,2253.95,2000.0,2050.0,2026.15,2065.77,637093,131608973265000.02,75226,308641,0.48450000000000004
2020-03-25,HDFCAMC,EQ,2026.15,2026.0,2130.0,1962.0,2063.0,2038.95,2037.96,662238,134961310415000.02,63991,252281,0.381
2020-03-26,HDFCAMC,EQ,2038.95,2089.0,2250.0,2050.0,2125.25,2145.05,2150.33,818940,176099523705000.0,73943,282349,0.3448
2020-03-27,HDFCAMC,EQ,2145.05,2245.05,2249.95,2070.0,2077.2,2083.45,2160.04,676870,146206960075000.0,77618,305958,0.452
2020-03-30,HDFCAMC,EQ,2083.45,2010.0,2082.75,1970.0,2070.0,2049.1,2048.6,442972,90747225440000.0,42060,183120,0.41340000000000005
2020-03-31,HDFCAMC,EQ,2049.1,2105.0,2138.0,2051.45,2110.0,2112.8,2086.96,465985,97249436495000.0,60042,210880,0.4525
2020-04-01,HDFCAMC,EQ,2112.8,2125.0,2220.0,2115.0,2159.0,2185.75,2163.24,418689,90572417880000.0,65544,143933,0.34380000000000005
2020-04-03,HDFCAMC,EQ,2185.75,2190.0,2224.0,2135.0,2182.0,2177.15,2180.55,520257,113444427809999.98,85741,296225,0.5694
2020-04-07,HDFCAMC,EQ,2177.15,2250.0,2255.0,2181.65,2243.1,2243.05,2220.8,676845,150313532490000.0,84888,391785,0.5788000000000001
2020-04-08,HDFCAMC,EQ,2243.05,2219.0,2440.0,2214.05,2319.95,2318.75,2351.67,601036,141343647215000.0,63569,262859,0.43729999999999997
2020-04-09,HDFCAMC,EQ,2318.75,2370.0,2485.0,2353.2,2438.0,2447.25,2442.47,368968,90119354345000.0,53754,134331,0.3641
2020-04-13,HDFCAMC,EQ,2447.25,2450.0,2584.0,2362.0,2549.0,2545.55,2499.82,519331,129823220615000.02,49624,173677,0.3344
2020-04-15,HDFCAMC,EQ,2545.55,2585.4,2709.5,2585.4,2632.0,2616.1,2647.04,593405,157076901655000.0,94250,258047,0.4349
2020-04-16,HDFCAMC,EQ,2616.1,2630.0,2680.0,2562.15,2589.0,2600.5,2633.28,389140,102471560100000.0,47426,146280,0.37590000000000007
2020-04-17,HDFCAMC,EQ,2600.5,2679.0,2730.0,2650.0,2680.0,2676.95,2683.16,306746,82304745350000.0,43039,118179,0.38530000000000003
2020-04-20,HDFCAMC,EQ,2676.95,2700.0,2820.0,2700.0,2812.0,2792.85,2758.81,364235,100485648270000.0,46262,131685,0.3615
2020-04-21,HDFCAMC,EQ,2792.85,2715.0,2730.0,2610.0,2612.0,2626.4,2655.31,479894,127426770970000.0,64519,217465,0.4532
2020-04-22,HDFCAMC,EQ,2626.4,2598.0,2646.0,2575.0,2621.1,2626.25,2618.8,406672,106499414970000.0,37944,213134,0.5241
2020-04-23,HDFCAMC,EQ,2626.25,2626.9,2671.15,2575.5,2580.0,2591.2,2630.94,296130,77910012010000.0,53188,145761,0.4922
2020-04-24,HDFCAMC,EQ,2591.2,2511.0,2519.0,2362.55,2435.0,2427.75,2432.7,622782,151504047450000.0,69102,262937,0.4222
2020-04-27,HDFCAMC,EQ,2427.75,2416.0,2620.15,2100.0,2552.1,2553.45,2508.19,1131528,283808672385000.0,87103,259947,0.2297
2020-04-28,HDFCAMC,EQ,2553.45,2585.0,2638.0,2483.6,2500.0,2496.65,2532.38,414552,104980368150000.0,40616,149609,0.36090000000000005
2020-04-29,HDFCAMC,EQ,2496.65,2514.0,2549.35,2460.0,2502.0,2511.5,2512.97,416974,104784407920000.0,48159,196754,0.4719
2020-04-30,HDFCAMC,EQ,2511.5,2555.0,2575.9,2506.0,2536.0,2530.75,2544.17,459904,117007362534999.98,44056,238608,0.5188
2020-05-04,HDFCAMC,EQ,2530.75,2415.0,2574.0,2410.05,2557.0,2554.8,2517.78,648606,163304743505000.0,64659,317580,0.48960000000000004
2020-05-05,HDFCAMC,EQ,2554.8,2599.0,2599.0,2511.0,2544.0,2528.35,2553.31,257543,65758716935000.0,28712,115178,0.4472
2020-05-06,HDFCAMC,EQ,2528.35,2544.95,2600.0,2503.0,2597.5,2591.55,2574.72,231986,59729870615000.0,35683,104861,0.452
2020-05-07,HDFCAMC,EQ,2591.55,2570.05,2655.0,2570.05,2635.0,2636.35,2636.32,235736,62147447090000.0,21481,94796,0.4021
2020-05-08,HDFCAMC,EQ,2636.35,2650.2,2700.0,2558.5,2614.95,2619.25,2651.27,396561,105138913325000.0,37066,118845,0.2997
2020-05-11,HDFCAMC,EQ,2619.25,2525.0,2645.95,2501.3,2545.95,2542.75,2571.64,467224,120153277475000.0,41824,110778,0.2371
2020-05-12,HDFCAMC,EQ,2542.75,2558.0,2559.95,2474.05,2520.0,2532.85,2511.5,268965,67550496829999.99,27802,87041,0.3236
2020-05-13,HDFCAMC,EQ,2532.85,2606.0,2660.0,2530.0,2559.0,2547.65,2575.01,222380,57263146195000.01,21641,86257,0.3879
2020-05-14,HDFCAMC,EQ,2547.65,2549.8,2549.8,2490.45,2504.0,2501.25,2519.16,150083,37808249680000.0,20826,66148,0.44070000000000004
2020-05-15,HDFCAMC,EQ,2501.25,2501.0,2558.95,2456.0,2519.0,2527.8,2511.98,291578,73243860840000.0,33638,95101,0.3262
2020-05-18,HDFCAMC,EQ,2527.8,2530.0,2560.0,2472.0,2488.15,2488.1,2513.83,250803,63047497729999.99,27459,94448,0.3766
2020-05-19,HDFCAMC,EQ,2488.1,2512.0,2525.0,2475.0,2484.0,2490.3,2495.33,122755,30631425905000.0,17003,56484,0.4601
2020-05-20,HDFCAMC,EQ,2490.3,2494.0,2510.0,2440.0,2473.1,2475.3,2471.62,203078,50193169700000.0,27624,83195,0.4097
2020-05-21,HDFCAMC,EQ,2475.3,2495.0,2496.0,2450.0,2452.0,2458.8,2468.69,154126,38048914615000.0,18978,64829,0.42060000000000003
2020-05-22,HDFCAMC,EQ,2458.8,2455.0,2475.0,2415.0,2442.0,2438.55,2441.11,126561,30894968810000.004,13913,37074,0.2929
2020-05-26,HDFCAMC,EQ,2438.55,2450.0,2471.6,2432.0,2441.0,2441.4,2446.68,98366,24066986150000.0,12177,49084,0.499
2020-05-27,HDFCAMC,EQ,2441.4,2440.0,2470.0,2392.4,2450.0,2450.85,2430.4,159833,38845817795000.0,16731,58226,0.3643
2020-05-28,HDFCAMC,EQ,2450.85,2441.0,2524.15,2441.0,2501.0,2500.8,2492.54,232177,57871123460000.0,18666,98888,0.42590000000000006
2020-05-29,HDFCAMC,EQ,2500.8,2480.0,2540.0,2442.05,2539.5,2524.4,2499.53,292203,73037076105000.0,28242,150765,0.516
2020-06-01,HDFCAMC,EQ,2524.4,2573.1,2687.0,2552.6,2658.95,2654.4,2637.09,428978,113125376709999.98,40331,164567,0.3836
2020-06-02,HDFCAMC,EQ,2654.4,2675.0,2697.1,2640.0,2662.0,2662.65,2669.94,248723,66407488295000.01,21801,73722,0.2964
2020-06-03,HDFCAMC,EQ,2662.65,2674.8,2684.0,2625.0,2631.0,2643.7,2653.35,276505,73366341160000.0,21264,169308,0.6123
2020-06-04,HDFCAMC,EQ,2643.7,2640.0,2757.85,2610.1,2743.0,2743.55,2675.86,746529,199760756445000.0,32814,504600,0.6759000000000001
2020-06-05,HDFCAMC,EQ,2743.55,2760.1,2779.45,2668.7,2726.0,2729.8,2732.38,202558,55346626910000.0,21905,76467,0.3775
2020-06-08,HDFCAMC,EQ,2729.8,2770.0,2773.35,2674.0,2678.95,2685.15,2708.22,269337,72942468885000.0,18813,143965,0.5345000000000001
2020-06-09,HDFCAMC,EQ,2685.15,2685.0,2685.0,2620.0,2629.0,2634.4,2648.83,323611,85719056125000.0,15898,209688,0.648
2020-06-10,HDFCAMC,EQ,2634.4,2630.0,2654.9,2598.0,2609.0,2614.65,2622.2,203021,53236077240000.0,22707,82792,0.4078
2020-06-11,HDFCAMC,EQ,2614.65,2615.25,2660.0,2603.05,2633.0,2640.0,2638.98,237255,62611153665000.0,17735,142688,0.6014
2020-06-12,HDFCAMC,EQ,2640.0,2531.0,2675.0,2531.0,2662.0,2661.2,2630.24,264342,69528232560000.0,24942,119825,0.4533
2020-06-15,HDFCAMC,EQ,2661.2,2661.2,2681.95,2588.0,2591.0,2605.7,2642.59,275791,72880222735000.0,14138,159494,0.5783
2020-06-16,HDFCAMC,EQ,2605.7,2600.0,2621.95,2532.5,2535.0,2539.95,2566.44,658531,169008260310000.0,48818,284054,0.4313
2020-06-17,HDFCAMC,EQ,2539.95,2456.1,2489.95,2405.5,2410.0,2415.95,2445.71,2391626,584922378720000.0,150577,1385698,0.5794
2020-06-18,HDFCAMC,EQ,2415.95,2404.5,2438.9,2402.15,2428.4,2425.55,2422.08,1631978,395278623785000.0,143987,924616,0.5666
2020-06-19,HDFCAMC,EQ,2425.55,2419.8,2460.0,2410.25,2459.9,2444.7,2430.89,1024865,249133192415000.0,75018,641022,0.6255
2020-06-22,HDFCAMC,EQ,2444.7,2464.0,2511.0,2450.0,2464.45,2460.75,2487.42,1068846,265867218994999.97,54989,715602,0.6695000000000001
