Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-08-30,HDFCLIFE,EQ,466.25,469.95,475.5,465.0,465.7,466.65,469.36,1091878,51248924485000.0,35887,592349,0.5425
2018-08-31,HDFCLIFE,EQ,466.65,465.0,467.8,461.1,461.25,461.75,462.97,513771,23785829690000.0,13795,303864,0.5914
2018-09-03,HDFCLIFE,EQ,461.75,462.1,465.75,459.0,459.2,460.15,462.26,484678,22404657390000.0,16490,267544,0.552
2018-09-04,HDFCLIFE,EQ,460.15,461.95,461.95,452.0,453.55,452.9,455.74,554039,25249762045000.0,15048,338202,0.6104
2018-09-05,HDFCLIFE,EQ,452.9,450.4,462.05,441.5,462.0,455.4,449.4,951095,42742406150000.0,26600,574678,0.6042000000000001
2018-09-06,HDFCLIFE,EQ,455.4,460.0,460.0,450.8,452.9,453.8,454.96,442815,20146474105000.0,23505,237082,0.5354
2018-09-07,HDFCLIFE,EQ,453.8,454.0,455.0,447.25,454.25,451.35,450.19,710881,32003166080000.0,12694,498294,0.701
2018-09-10,HDFCLIFE,EQ,451.35,449.0,457.0,443.75,450.35,450.1,449.47,947697,42595966450000.0,32380,560779,0.5917
2018-09-11,HDFCLIFE,EQ,450.1,454.8,455.75,443.25,444.95,445.95,450.91,625164,28189107645000.0,22422,316322,0.506
2018-09-12,HDFCLIFE,EQ,445.95,447.8,447.8,429.1,434.0,436.6,435.47,1384238,60279296920000.01,51653,728220,0.5261
2018-09-14,HDFCLIFE,EQ,436.6,437.05,438.45,422.1,426.55,425.55,426.67,1870621,79812904145000.0,116322,1214158,0.6491
2018-09-17,HDFCLIFE,EQ,425.55,425.0,425.3,409.25,412.7,412.95,413.92,2753776,113983409320000.0,111264,1969843,0.7153
2018-09-18,HDFCLIFE,EQ,412.95,414.3,418.1,409.0,409.5,410.65,412.27,1284003,52935032510000.0,82899,842239,0.6559
2018-09-19,HDFCLIFE,EQ,410.65,412.0,415.0,398.85,400.65,400.1,404.86,1252296,50699840930000.0,50681,705635,0.5635
2018-09-21,HDFCLIFE,EQ,400.1,400.0,400.0,372.5,389.0,388.25,389.07,2926366,113856591300000.0,91883,1895756,0.6478
2018-09-24,HDFCLIFE,EQ,388.25,390.0,390.85,368.0,368.0,369.1,376.9,3357152,126532140930000.0,100240,2628256,0.7829
2018-09-25,HDFCLIFE,EQ,369.1,368.85,396.8,363.0,391.8,390.0,384.5,2579384,99176750380000.0,50142,1275210,0.4944
2018-09-26,HDFCLIFE,EQ,390.0,395.0,406.05,391.0,404.5,403.6,402.4,2432342,97877385105000.0,53496,1647931,0.6775
2018-09-27,HDFCLIFE,EQ,403.6,405.75,413.0,398.0,411.3,404.05,402.58,1375955,55393623045000.01,26071,1010312,0.7343000000000001
2018-09-28,HDFCLIFE,EQ,404.05,413.95,414.0,390.1,391.6,391.6,398.66,937746,37384094045000.0,39231,544097,0.5802
2018-10-01,HDFCLIFE,EQ,391.6,393.6,394.2,379.0,386.0,388.35,384.28,1561320,59998360704999.99,54566,1070813,0.6858
2018-10-03,HDFCLIFE,EQ,388.35,386.4,392.0,378.1,378.25,379.65,384.25,994487,38213499935000.0,48723,533748,0.5367000000000001
2018-10-04,HDFCLIFE,EQ,379.65,375.8,380.0,365.45,371.65,372.3,371.79,1262589,46941665285000.0,35091,558413,0.44229999999999997
2018-10-05,HDFCLIFE,EQ,372.3,370.0,377.0,365.1,366.8,366.9,370.61,652992,24200297190000.0,24099,335173,0.5133
2018-10-08,HDFCLIFE,EQ,366.9,367.5,372.8,363.0,368.0,369.15,369.22,937703,34622252364999.996,34177,508126,0.5418999999999999
2018-10-09,HDFCLIFE,EQ,369.15,371.5,374.65,357.0,360.7,361.35,368.29,1037612,38214009955000.0,23174,613261,0.5910000000000001
2018-10-10,HDFCLIFE,EQ,361.35,363.1,373.5,361.05,370.45,369.75,369.58,1199754,44340743305000.0,44983,777012,0.6476000000000001
2018-10-11,HDFCLIFE,EQ,369.75,358.0,374.0,355.0,365.0,365.75,367.17,1236817,45411747575000.0,29418,762716,0.6167
2018-10-12,HDFCLIFE,EQ,365.75,369.0,379.7,368.5,373.9,373.25,373.53,1014252,37885773905000.0,30378,523594,0.5162
2018-10-15,HDFCLIFE,EQ,373.25,377.0,377.75,366.9,367.0,368.85,370.77,799151,29630366920000.0,25089,508119,0.6358
2018-10-16,HDFCLIFE,EQ,368.85,371.25,384.95,369.0,378.05,376.25,378.69,1559187,59044266050000.0,26862,917163,0.5882000000000001
2018-10-17,HDFCLIFE,EQ,376.25,380.75,382.35,369.0,373.5,371.4,375.76,837452,31468021839999.996,21117,492522,0.5881000000000001
2018-10-19,HDFCLIFE,EQ,371.4,369.0,375.0,366.25,370.0,369.7,370.04,711888,26343048145000.0,34738,452851,0.6361
2018-10-22,HDFCLIFE,EQ,369.7,374.0,374.0,364.6,364.75,365.7,369.45,503122,18588063835000.0,13293,260422,0.5176
2018-10-23,HDFCLIFE,EQ,365.7,365.0,369.8,359.0,359.95,359.95,361.98,838685,30358708389999.996,18874,565491,0.6743000000000001
2018-10-24,HDFCLIFE,EQ,359.95,369.0,369.0,360.5,363.85,364.75,364.01,2217572,80720739535000.0,41552,1631143,0.7356
2018-10-25,HDFCLIFE,EQ,364.75,362.8,363.75,358.0,360.35,359.85,360.24,527295,18995182510000.0,17903,328094,0.6222
2018-10-26,HDFCLIFE,EQ,359.85,359.95,363.5,355.05,362.0,359.8,359.69,1787348,64288607360000.0,19833,1439497,0.8054000000000001
2018-10-29,HDFCLIFE,EQ,359.8,362.95,378.7,359.1,366.4,366.2,371.27,1755867,65189875404999.99,25029,1058940,0.6031000000000001
2018-10-30,HDFCLIFE,EQ,366.2,367.0,371.95,366.4,370.0,369.8,369.71,451965,16709553930000.002,13103,223461,0.4944
2018-10-31,HDFCLIFE,EQ,369.8,370.65,374.8,365.1,374.0,372.3,370.1,386859,14317546525000.0,11917,172680,0.4464
2018-11-01,HDFCLIFE,EQ,372.3,377.5,384.4,371.05,371.9,372.5,376.09,1073936,40389440365000.0,21819,707143,0.6585
2018-11-02,HDFCLIFE,EQ,372.5,374.7,387.9,371.75,387.4,386.6,379.32,2557300,97002322890000.0,29830,1592691,0.6228
2018-11-05,HDFCLIFE,EQ,386.6,387.9,405.45,381.3,402.0,399.15,392.53,2065266,81067337960000.0,23539,1439239,0.6969
2018-11-06,HDFCLIFE,EQ,399.15,400.0,408.0,392.35,394.7,397.65,400.37,1231518,49305812865000.0,30285,649590,0.5275
2018-11-07,HDFCLIFE,EQ,397.65,400.0,406.0,397.35,402.75,403.6,403.0,279874,11278887815000.0,5768,147681,0.5277000000000001
2018-11-09,HDFCLIFE,EQ,403.6,402.0,405.95,397.0,399.0,401.35,400.38,1078490,43180419410000.0,28204,843340,0.782
2018-11-12,HDFCLIFE,EQ,401.35,402.4,402.45,395.1,397.0,397.75,397.16,783559,31119888070000.0,11161,650043,0.8296
2018-11-13,HDFCLIFE,EQ,397.75,396.95,400.9,392.0,400.0,398.55,396.56,637189,25268458170000.0,25347,466477,0.7321
2018-11-14,HDFCLIFE,EQ,398.55,400.95,407.3,397.05,401.3,401.45,402.12,1334156,53649422170000.0,41331,910680,0.6826000000000001
2018-11-15,HDFCLIFE,EQ,401.45,402.7,402.7,395.15,397.45,397.8,397.68,570933,22705072725000.0,19487,410438,0.7189
2018-11-16,HDFCLIFE,EQ,397.8,397.0,399.6,391.7,392.0,393.4,395.09,941682,37205334905000.0,27206,788056,0.8369
2018-11-19,HDFCLIFE,EQ,393.4,392.0,392.95,380.25,383.85,384.0,383.31,1640501,62881266535000.0,67720,1220436,0.7439
2018-11-20,HDFCLIFE,EQ,384.0,382.0,388.7,380.05,385.3,387.05,384.07,1285180,49360186360000.0,23683,970545,0.7552
2018-11-21,HDFCLIFE,EQ,387.05,387.0,393.8,382.25,390.35,390.2,390.42,1527245,59627179020000.01,47341,1300507,0.8515
2018-11-22,HDFCLIFE,EQ,390.2,391.35,395.0,386.1,393.9,393.3,391.94,1025212,40182241865000.0,25292,815869,0.7958
2018-11-26,HDFCLIFE,EQ,393.3,396.0,397.0,388.7,397.0,396.15,394.73,1765005,69669767050000.0,27368,1436480,0.8139000000000001
2018-11-27,HDFCLIFE,EQ,396.15,395.95,396.8,390.0,393.5,392.95,394.31,496422,19574500085000.0,13409,361922,0.7291
2018-11-28,HDFCLIFE,EQ,392.95,393.95,396.0,390.95,392.6,394.75,394.84,1584598,62566974210000.0,16598,1412829,0.8916
2018-11-29,HDFCLIFE,EQ,394.75,395.1,396.65,392.0,393.6,392.7,393.71,566084,22287082835000.0,7100,432356,0.7637999999999999
2018-11-30,HDFCLIFE,EQ,392.7,393.3,400.0,392.55,396.9,396.7,397.47,606060,24088781150000.0,18677,377363,0.6226
2018-12-03,HDFCLIFE,EQ,396.7,396.95,400.15,392.8,399.05,398.65,397.43,828428,32924013095000.0,50799,511261,0.6171
2018-12-04,HDFCLIFE,EQ,398.65,397.1,400.0,392.55,397.2,398.7,396.87,770066,30561856610000.004,31370,449709,0.584
2018-12-05,HDFCLIFE,EQ,398.7,394.0,398.65,392.5,395.55,396.6,395.31,1331974,52654813580000.0,14862,1088378,0.8170999999999999
2018-12-06,HDFCLIFE,EQ,396.6,394.65,400.45,391.1,396.95,396.45,397.43,697313,27713425705000.0,22569,413424,0.5929
2018-12-07,HDFCLIFE,EQ,396.45,396.0,399.0,391.0,391.25,392.55,396.2,643910,25511627810000.0,30752,429367,0.6668000000000001
2018-12-10,HDFCLIFE,EQ,392.55,388.0,388.75,383.45,385.0,385.3,386.03,596400,23022932705000.0,9581,489071,0.8200000000000001
2018-12-11,HDFCLIFE,EQ,385.3,380.0,388.95,379.95,384.0,384.75,384.89,429483,16530172044999.998,19904,274677,0.6396000000000001
2018-12-12,HDFCLIFE,EQ,384.75,384.8,396.65,384.8,393.0,393.3,393.04,667544,26236955345000.0,17910,454068,0.6802
2018-12-13,HDFCLIFE,EQ,393.3,395.0,396.7,386.0,386.9,387.2,392.6,654908,25711635715000.0,19909,498262,0.7608
2018-12-14,HDFCLIFE,EQ,387.2,389.0,395.0,386.3,394.0,394.1,391.98,564640,22132483940000.0,14419,319952,0.5666
2018-12-17,HDFCLIFE,EQ,394.1,396.55,396.55,390.55,392.5,393.2,393.56,288405,11350407875000.0,7242,158333,0.549
2018-12-18,HDFCLIFE,EQ,393.2,392.05,394.4,390.55,391.6,392.5,392.15,726131,28475142214999.996,22857,573305,0.7895000000000001
2018-12-19,HDFCLIFE,EQ,392.5,394.4,394.4,387.0,387.05,387.55,389.66,641305,24989151355000.0,17095,469570,0.7322
2018-12-20,HDFCLIFE,EQ,387.55,386.8,390.55,385.7,386.9,387.2,388.7,862497,33525173635000.004,24268,511654,0.5932000000000001
2018-12-21,HDFCLIFE,EQ,387.2,388.0,388.0,381.2,385.2,385.2,385.29,1139523,43905068540000.0,22353,836278,0.7339
2018-12-24,HDFCLIFE,EQ,385.2,385.0,387.7,383.25,385.0,385.1,384.71,1142259,43944247060000.0,33609,940727,0.8236
2018-12-26,HDFCLIFE,EQ,385.1,383.0,386.05,379.55,386.0,384.8,382.97,1277067,48907811970000.0,51676,971639,0.7608
2018-12-27,HDFCLIFE,EQ,384.8,386.7,394.5,385.6,390.0,390.6,391.35,862693,33761807670000.0,32258,513696,0.5955
2018-12-28,HDFCLIFE,EQ,390.6,391.4,393.4,384.5,386.0,387.35,389.16,935219,36394997485000.0,28289,562593,0.6016
2018-12-31,HDFCLIFE,EQ,387.35,388.0,389.4,385.6,386.8,387.15,387.21,380439,14730852360000.0,8770,229517,0.6033
2019-01-01,HDFCLIFE,EQ,387.15,387.8,388.9,385.1,386.8,386.4,386.64,244225,9442785850000.0,4739,95447,0.3908
2019-01-02,HDFCLIFE,EQ,386.4,385.95,392.5,385.1,391.65,391.15,389.69,401487,15645347969999.998,14593,233016,0.5804
2019-01-03,HDFCLIFE,EQ,391.15,392.65,395.5,389.5,390.85,391.3,393.39,391423,15398372065000.0,8815,200534,0.5123
2019-01-04,HDFCLIFE,EQ,391.3,392.0,394.95,387.75,394.5,393.5,391.76,484014,18961826405000.0,6734,371060,0.7666
2019-01-07,HDFCLIFE,EQ,393.5,394.5,395.4,390.1,393.3,393.05,393.0,346567,13620009705000.002,11350,204877,0.5912
2019-01-08,HDFCLIFE,EQ,393.05,392.9,396.0,389.2,394.0,394.7,392.58,391569,15372337455000.002,11024,247323,0.6315999999999999
2019-01-09,HDFCLIFE,EQ,394.7,392.7,398.45,391.5,394.65,396.0,395.68,815426,32265141625000.0,17956,463031,0.5678
2019-01-10,HDFCLIFE,EQ,396.0,396.65,409.35,395.05,405.9,406.7,403.14,1539299,62056044065000.0,28287,649454,0.4219
