Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,HINDALCO,EQ,226.2,225.5,225.75,221.6,222.9,222.75,222.96,5015702,111830623955000.0,43810,1229337,0.2451
2019-01-02,HINDALCO,EQ,222.75,218.95,219.15,213.65,214.5,214.55,216.08,10991026,237494188035000.0,61681,3299785,0.3002
2019-01-03,HINDALCO,EQ,214.55,214.3,215.7,208.1,208.95,209.2,211.76,8656029,183303615520000.0,68525,2775195,0.32060000000000005
2019-01-04,HINDALCO,EQ,209.2,210.0,212.4,207.55,210.65,210.9,209.65,17408469,364964200930000.0,79016,9294294,0.5339
2019-01-07,HINDALCO,EQ,210.9,213.8,214.75,207.9,208.5,208.55,211.1,8143876,171919698115000.0,51236,2537638,0.3116
2019-01-08,HINDALCO,EQ,208.55,208.5,209.55,205.3,206.4,206.5,207.12,13402916,277600031430000.03,133953,7498055,0.5594
2019-01-09,HINDALCO,EQ,206.5,208.5,209.25,203.1,206.0,205.7,205.37,13253349,272186415305000.03,103148,6715113,0.5067
2019-01-10,HINDALCO,EQ,205.7,206.0,206.65,203.05,204.0,204.0,204.07,9291967,189618156445000.0,55621,4759729,0.5122
2019-01-11,HINDALCO,EQ,204.0,204.0,207.95,204.0,205.6,205.85,206.23,13314252,274585904065000.0,82997,6435029,0.4833
2019-01-14,HINDALCO,EQ,205.85,205.5,206.6,203.4,206.15,206.15,205.52,5204874,106969171280000.0,41500,1959614,0.3765
2019-01-15,HINDALCO,EQ,206.15,207.35,209.0,205.65,208.5,208.5,207.71,7173758,149009248820000.0,51179,3570945,0.4978
2019-01-16,HINDALCO,EQ,208.5,209.8,210.5,206.55,208.2,208.4,208.41,8209760,171102443070000.0,55712,3918279,0.4773
2019-01-17,HINDALCO,EQ,208.4,208.5,208.7,205.3,206.0,206.0,206.73,6537377,135148361475000.0,53144,3053554,0.4671
