Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-09,HINDPETRO,EQ,201.15,206.15,226.85,204.6,209.35,212.6,215.9,24698143,533241158470000.0,183239,8677325,0.35130000000000006
2020-03-11,HINDPETRO,EQ,212.6,208.0,214.45,203.7,210.35,211.05,208.08,8384982,174475507435000.0,95011,3545926,0.4229
2020-03-12,HINDPETRO,EQ,211.05,204.65,204.65,180.3,187.5,184.2,187.91,11874314,223134079444999.97,99784,4879120,0.41090000000000004
2020-03-13,HINDPETRO,EQ,184.2,179.4,201.9,150.0,198.55,197.6,189.68,10630895,201647501300000.0,101281,3427824,0.3224
2020-03-16,HINDPETRO,EQ,197.6,191.85,215.5,184.0,205.0,204.8,206.35,14422721,297607528815000.0,106081,4070394,0.2822
2020-03-17,HINDPETRO,EQ,204.8,206.0,221.9,200.25,218.9,217.05,217.01,11902759,258297915255000.03,159775,4779176,0.40149999999999997
2020-03-18,HINDPETRO,EQ,217.05,219.0,222.15,202.0,209.0,205.3,210.11,5328383,111954032359999.98,44670,1537438,0.28850000000000003
2020-03-19,HINDPETRO,EQ,205.3,193.1,202.5,180.0,190.6,190.1,192.14,8990449,172744525345000.0,89235,2628506,0.2924
2020-03-20,HINDPETRO,EQ,190.1,195.4,212.45,189.6,210.0,208.5,201.88,7869410,158869264835000.0,52680,2997163,0.3809
2020-03-23,HINDPETRO,EQ,208.5,195.7,197.9,177.6,184.0,183.8,188.65,5621257,106046376455000.0,67145,2875050,0.5115
2020-03-24,HINDPETRO,EQ,183.8,190.75,194.0,178.75,185.95,184.55,185.03,5913638,109419435859999.98,72089,2230095,0.3771
2020-03-25,HINDPETRO,EQ,184.55,180.0,186.55,175.0,177.6,177.4,180.31,6725194,121265038215000.02,58450,2958455,0.4399
2020-03-26,HINDPETRO,EQ,177.4,179.0,183.9,175.0,176.05,177.3,179.41,5214817,93558491290000.0,42717,1831327,0.35119999999999996
2020-03-27,HINDPETRO,EQ,177.3,179.15,183.5,167.55,170.2,170.25,173.3,6766518,117264425140000.02,71986,2166294,0.3201
2020-03-30,HINDPETRO,EQ,170.25,170.1,174.4,164.3,167.4,167.9,169.68,4393333,74544965885000.0,57871,1105950,0.25170000000000003
2020-03-31,HINDPETRO,EQ,167.9,171.0,192.0,169.95,189.5,190.1,186.09,13472821,250719958405000.03,122127,5206216,0.3864
2020-04-01,HINDPETRO,EQ,190.1,190.1,195.4,180.85,182.2,184.0,185.74,7287205,135352517825000.0,58203,2277444,0.3125
2020-04-03,HINDPETRO,EQ,184.0,184.0,192.8,175.55,182.0,184.2,184.78,9509089,175707631365000.0,90827,2975601,0.3129
2020-04-07,HINDPETRO,EQ,184.2,193.0,205.9,185.25,199.15,200.1,198.09,10294946,203928673185000.0,95122,3877453,0.3766
2020-04-08,HINDPETRO,EQ,200.1,199.9,204.7,195.45,199.35,199.5,200.54,5905379,118426328509999.98,66888,1632279,0.27640000000000003
2020-04-09,HINDPETRO,EQ,199.5,202.0,211.8,197.4,207.45,207.85,205.57,9847845,202438596135000.0,98263,3285307,0.3336
2020-04-13,HINDPETRO,EQ,207.85,209.0,211.7,199.45,204.05,205.45,204.04,4934849,100690125675000.0,46508,1012789,0.2052
2020-04-15,HINDPETRO,EQ,205.45,209.0,220.0,205.8,209.1,208.45,212.63,7486566,159188611520000.0,79285,3529964,0.4715
2020-04-16,HINDPETRO,EQ,208.45,210.8,218.2,208.3,215.0,213.85,213.98,4873925,104290296860000.0,49961,1577932,0.3237
2020-04-17,HINDPETRO,EQ,213.85,219.9,219.9,213.05,218.5,217.7,216.76,3891768,84356612340000.0,58588,1322270,0.3398
2020-04-20,HINDPETRO,EQ,217.7,220.8,228.5,218.25,227.2,227.4,224.49,5607632,125883173125000.0,48585,1777657,0.317
2020-04-21,HINDPETRO,EQ,227.4,226.95,227.45,214.5,215.65,215.85,220.25,6911751,152231445245000.0,50992,2884591,0.4173
2020-04-22,HINDPETRO,EQ,215.85,216.95,217.5,206.45,212.4,212.7,211.07,4806748,101456371235000.0,42478,1286233,0.2676
2020-04-23,HINDPETRO,EQ,212.7,212.7,218.35,207.9,209.8,209.5,211.12,5474561,115576248140000.02,45341,2466503,0.45049999999999996
2020-04-24,HINDPETRO,EQ,209.5,208.75,208.75,200.0,200.5,201.4,203.76,3619046,73742347050000.0,46632,1494256,0.4129
2020-04-27,HINDPETRO,EQ,201.4,202.4,214.1,202.4,208.15,208.25,208.28,9188353,191375426750000.0,74598,5094011,0.5544
2020-04-28,HINDPETRO,EQ,208.25,210.25,218.0,208.8,210.45,210.9,213.71,9677242,206811777690000.0,109579,5581117,0.5767
2020-04-29,HINDPETRO,EQ,210.9,211.2,212.05,206.7,208.0,208.35,209.73,6702713,140575249045000.0,88677,4193556,0.6257
2020-04-30,HINDPETRO,EQ,208.35,211.05,224.4,206.7,219.35,220.3,213.64,10064082,215009747269999.97,100448,4778415,0.4748
2020-05-04,HINDPETRO,EQ,220.3,211.0,215.25,204.75,208.55,207.8,209.73,7123341,149398988275000.0,64160,3450183,0.4843
2020-05-05,HINDPETRO,EQ,207.8,212.0,220.0,210.35,214.85,214.6,216.78,8506260,184397455625000.0,64432,2792477,0.3283
2020-05-06,HINDPETRO,EQ,214.6,200.6,205.0,186.7,201.85,202.5,198.32,20179756,400196390610000.0,153672,3679296,0.18230000000000002
2020-05-07,HINDPETRO,EQ,202.5,201.0,204.85,199.05,200.0,200.9,202.06,7455909,150653730930000.0,70069,2301403,0.30870000000000003
2020-05-08,HINDPETRO,EQ,200.9,203.0,204.95,195.55,196.8,196.95,199.05,4540370,90374454300000.0,51392,1205357,0.2655
2020-05-11,HINDPETRO,EQ,196.95,198.0,201.2,191.8,192.0,192.65,195.91,4726064,92586563360000.0,42762,1791287,0.379
2020-05-12,HINDPETRO,EQ,192.65,192.0,195.05,187.0,190.5,189.95,190.99,3897833,74444999695000.0,33675,759299,0.1948
2020-05-13,HINDPETRO,EQ,189.95,195.5,196.95,189.55,192.55,192.3,193.92,6069059,117690405080000.0,46937,1015842,0.1674
