Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-12,HINDUNILVR,EQ,2155.0,2102.4,2123.0,2031.65,2074.0,2055.95,2077.96,3655792,759660046760000.0,161111,2258833,0.6179
2020-03-13,HINDUNILVR,EQ,2055.95,1970.0,2120.0,1888.1,2045.0,2033.2,2028.73,3667035,743942736025000.0,199161,1821253,0.49670000000000003
2020-03-16,HINDUNILVR,EQ,2033.2,2000.0,2039.2,1933.9,1938.0,1941.9,1970.41,2948704,581014488740000.0,157351,1632400,0.5536
2020-03-17,HINDUNILVR,EQ,1941.9,1955.55,2088.0,1951.95,2001.95,2004.05,2029.92,3732415,757648595695000.0,216826,1935531,0.5186
2020-03-18,HINDUNILVR,EQ,2004.05,2034.05,2063.8,1909.35,1930.0,1923.8,1989.17,3911480,778060260060000.0,276097,2006314,0.5129
2020-03-19,HINDUNILVR,EQ,1923.8,1894.3,1899.0,1757.3,1855.0,1838.3,1828.49,5095023,931618114415000.0,213980,2761909,0.5421
2020-03-20,HINDUNILVR,EQ,1838.3,1850.0,2078.9,1850.0,2075.0,2051.7,1999.99,4252263,850447884130000.0,192288,2236926,0.5261
2020-03-23,HINDUNILVR,EQ,2051.7,1950.0,1985.05,1850.0,1868.85,1869.7,1897.92,3574682,678445100050000.0,207403,2186742,0.6117
2020-03-24,HINDUNILVR,EQ,1869.7,1975.0,2070.95,1930.0,2011.0,2027.85,2015.3,5789906,1166841894185000.0,231906,3384878,0.5846
2020-03-25,HINDUNILVR,EQ,2027.85,2010.05,2138.95,2001.65,2078.0,2088.15,2084.26,3959038,825167354585000.0,239780,2087424,0.5273
2020-03-26,HINDUNILVR,EQ,2088.15,2089.0,2250.0,2060.0,2179.0,2194.9,2137.27,3201566,684260451795000.0,206208,1508629,0.4712
2020-03-27,HINDUNILVR,EQ,2194.9,2239.0,2267.65,2120.5,2147.0,2140.55,2186.05,2918796,638064311795000.0,169463,1182143,0.405
2020-03-30,HINDUNILVR,EQ,2140.55,2123.0,2213.0,2102.85,2189.85,2184.35,2173.44,2809611,610653411200000.0,139369,1125255,0.40049999999999997
2020-03-31,HINDUNILVR,EQ,2184.35,2234.8,2313.0,2185.0,2298.5,2298.5,2260.32,2809285,634987903590000.0,125401,1371695,0.4883
2020-04-01,HINDUNILVR,EQ,2298.5,2293.2,2324.9,2158.05,2179.0,2179.65,2219.18,2774689,615753450845000.0,174853,1081170,0.3897
2020-04-03,HINDUNILVR,EQ,2179.65,2234.0,2254.1,2127.95,2153.0,2154.1,2183.12,4121462,899763312615000.0,217202,1569735,0.3809
2020-04-07,HINDUNILVR,EQ,2154.1,2220.0,2460.0,2220.0,2449.0,2444.9,2361.65,8510183,2009806102284999.8,356119,4512676,0.5303
2020-04-08,HINDUNILVR,EQ,2444.9,2432.0,2614.3,2417.4,2455.0,2460.85,2520.36,9791892,2467906579720000.0,415294,4893077,0.4997
2020-04-09,HINDUNILVR,EQ,2460.85,2499.95,2500.0,2345.0,2378.65,2372.25,2386.62,4770083,1138438683130000.0,282099,1750685,0.36700000000000005
2020-04-13,HINDUNILVR,EQ,2372.25,2381.0,2423.0,2315.0,2350.5,2346.45,2352.69,3249562,764520367285000.0,190144,1232563,0.3793
2020-04-15,HINDUNILVR,EQ,2346.45,2425.95,2516.6,2381.5,2473.0,2487.55,2477.16,29485532,7304032545505000.0,484212,18290423,0.6203000000000001
2020-04-16,HINDUNILVR,EQ,2487.55,2466.0,2526.15,2421.1,2443.0,2436.1,2462.6,5388258,1326911303985000.0,296531,2459817,0.4565
2020-04-17,HINDUNILVR,EQ,2436.1,2498.8,2498.8,2354.05,2387.0,2385.0,2395.27,4540967,1087685517660000.0,266225,2245797,0.49460000000000004
2020-04-20,HINDUNILVR,EQ,2385.0,2420.0,2420.0,2321.0,2344.0,2336.55,2346.54,2985278,700505978175000.0,165896,1205304,0.4037
2020-04-21,HINDUNILVR,EQ,2336.55,2283.0,2378.0,2282.0,2310.05,2317.4,2336.57,3227339,754090968515000.0,153513,1160277,0.35950000000000004
2020-04-22,HINDUNILVR,EQ,2317.4,2317.95,2399.95,2275.65,2390.0,2386.15,2344.36,2837835,665290571780000.0,160575,868376,0.306
2020-04-23,HINDUNILVR,EQ,2386.15,2389.0,2413.0,2308.05,2321.0,2317.5,2351.23,4095595,962968293704999.9,192550,1145914,0.2798
2020-04-24,HINDUNILVR,EQ,2317.5,2311.0,2338.0,2280.0,2285.0,2283.1,2298.16,2169013,498472842089999.94,100504,743815,0.3429
2020-04-27,HINDUNILVR,EQ,2283.1,2305.0,2329.4,2283.25,2321.35,2320.45,2310.29,2013737,465230890720000.0,108209,694806,0.34500000000000003
2020-04-28,HINDUNILVR,EQ,2320.45,2338.65,2338.65,2267.0,2292.5,2289.95,2289.44,2164048,495445813664999.94,126130,567932,0.26239999999999997
2020-04-29,HINDUNILVR,EQ,2289.95,2290.0,2291.7,2221.0,2234.0,2231.75,2250.39,3642216,819641631850000.0,195321,1406774,0.3862
