Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-12,HINDZINC,EQ,160.0,153.0,155.0,140.15,145.7,145.05,149.2,1359057,20276625330000.0,27290,934806,0.6878000000000001
2020-03-13,HINDZINC,EQ,145.05,129.85,150.2,116.05,140.6,141.15,139.68,1802421,25175966895000.0,44625,1169710,0.649
2020-03-16,HINDZINC,EQ,141.15,136.0,148.0,133.2,142.0,138.25,138.45,1040430,14404650210000.0,30968,623173,0.599
2020-03-17,HINDZINC,EQ,138.25,138.0,142.0,130.0,136.0,134.1,137.63,804404,11071051275000.0,16703,414149,0.5149
2020-03-18,HINDZINC,EQ,134.1,137.0,145.4,126.5,131.0,135.75,133.99,829517,11114347955000.0,19429,456734,0.5506000000000001
2020-03-19,HINDZINC,EQ,135.75,132.9,135.0,125.25,127.0,127.25,130.01,834272,10846730455000.0,13110,508182,0.6091
2020-03-20,HINDZINC,EQ,127.25,130.0,142.5,127.3,138.65,136.25,131.97,772708,10197157665000.0,24687,359449,0.46520000000000006
2020-03-23,HINDZINC,EQ,136.25,125.0,135.0,123.0,126.0,125.55,127.86,683556,8739754070000.0,12753,450356,0.6587999999999999
2020-03-24,HINDZINC,EQ,125.55,126.0,130.0,125.0,126.95,126.2,126.57,778018,9847202205000.0,14045,497176,0.639
2020-03-25,HINDZINC,EQ,126.2,125.0,139.15,123.45,138.2,137.95,134.88,823353,11105122085000.0,24244,489489,0.5945
2020-03-26,HINDZINC,EQ,137.95,142.0,145.0,138.1,140.0,139.25,141.26,494113,6980062130000.0,12629,255930,0.518
2020-03-27,HINDZINC,EQ,139.25,141.95,154.0,141.95,143.85,143.95,147.59,701050,10346660540000.0,12892,286999,0.4094
2020-03-30,HINDZINC,EQ,143.95,140.0,146.55,137.5,145.5,145.35,144.38,352686,5092147265000.0,8706,155722,0.4415
2020-03-31,HINDZINC,EQ,145.35,146.55,159.65,146.05,154.05,155.4,153.2,510402,7819453459999.999,14885,233942,0.4583
2020-04-01,HINDZINC,EQ,155.4,155.0,167.0,152.25,159.7,160.45,161.57,901577,14566480569999.998,14407,234967,0.2606
2020-04-03,HINDZINC,EQ,160.45,167.0,167.0,151.45,161.45,161.55,159.54,710426,11334167985000.0,11443,286327,0.40299999999999997
2020-04-07,HINDZINC,EQ,161.55,169.45,169.45,159.65,165.0,164.5,164.74,1136863,18728467305000.0,12241,669191,0.5886
2020-04-08,HINDZINC,EQ,164.5,167.0,169.95,164.0,166.8,165.95,166.99,382642,6389566070000.0,6920,133902,0.34990000000000004
2020-04-09,HINDZINC,EQ,165.95,168.8,171.6,163.0,167.0,165.5,167.03,368829,6160508950000.0,6771,156369,0.424
2020-04-13,HINDZINC,EQ,165.5,166.0,168.75,162.55,165.5,165.2,165.02,295051,4868830625000.0,4349,130301,0.4416
2020-04-15,HINDZINC,EQ,165.2,167.0,173.55,166.0,169.5,170.4,170.34,602904,10270144985000.0,8933,254941,0.4229
2020-04-16,HINDZINC,EQ,170.4,170.4,177.45,168.65,173.9,174.1,174.59,413836,7225316030000.0,8998,141728,0.3425
2020-04-17,HINDZINC,EQ,174.1,178.0,180.9,173.0,174.05,174.5,175.81,438775,7714234984999.999,9375,217014,0.49460000000000004
2020-04-20,HINDZINC,EQ,174.5,174.85,177.8,173.45,174.4,174.2,175.65,679839,11941450860000.0,6453,462108,0.6797
2020-04-21,HINDZINC,EQ,174.2,172.0,172.95,165.0,168.9,167.95,169.21,553443,9364963495000.0,9487,298907,0.5401
2020-04-22,HINDZINC,EQ,167.95,168.0,169.9,165.05,166.4,166.7,167.16,234022,3911983045000.0005,4617,75801,0.3239
2020-04-23,HINDZINC,EQ,166.7,168.05,172.0,167.3,171.3,171.45,170.58,201007,3428759635000.0,4785,82036,0.4081
2020-04-24,HINDZINC,EQ,171.45,174.9,181.6,170.45,170.65,171.2,175.52,611078,10725466655000.0,11293,174900,0.2862
2020-04-27,HINDZINC,EQ,171.2,173.0,173.9,164.5,166.6,165.35,167.72,470433,7890197580000.0,9733,196006,0.4167
2020-04-28,HINDZINC,EQ,165.35,167.0,168.55,164.0,165.1,165.05,166.04,168768,2802150975000.0,4162,83129,0.4926
2020-04-29,HINDZINC,EQ,165.05,167.0,172.0,164.7,171.55,171.35,168.4,539567,9086538430000.0,9861,239345,0.4436
2020-04-30,HINDZINC,EQ,171.35,174.4,176.0,172.0,174.25,174.6,174.18,715866,12468605920000.0,12129,319948,0.44689999999999996
2020-05-04,HINDZINC,EQ,174.6,167.0,169.35,165.05,165.4,165.75,166.39,461891,7685413955000.0,12071,232223,0.5028
2020-05-05,HINDZINC,EQ,165.75,168.0,172.75,166.5,168.0,167.4,169.11,554760,9381413845000.0,7602,191380,0.34500000000000003
2020-05-06,HINDZINC,EQ,167.4,172.95,172.95,167.75,169.3,169.45,169.21,374474,6336574635000.0,7591,79819,0.21309999999999998
2020-05-07,HINDZINC,EQ,169.45,169.4,178.0,167.0,176.1,176.35,174.29,873636,15227014850000.0,18644,356507,0.4081
2020-05-08,HINDZINC,EQ,176.35,178.5,179.5,174.0,176.4,175.3,176.68,440702,7786303295000.0,7283,160784,0.36479999999999996
2020-05-11,HINDZINC,EQ,175.3,178.35,185.5,178.35,183.5,181.85,182.51,1591023,29036994764999.996,22873,368012,0.2313
2020-05-12,HINDZINC,EQ,181.85,182.2,184.6,177.05,179.3,179.95,180.88,902232,16319263785000.0,24576,383374,0.42490000000000006
2020-05-13,HINDZINC,EQ,179.95,192.0,195.0,183.1,183.55,184.15,187.04,2373532,44393781340000.0,37553,1416882,0.5970000000000001
2020-05-14,HINDZINC,EQ,184.15,184.15,189.0,181.85,188.9,186.8,185.97,1136048,21126823105000.0,21106,560597,0.49350000000000005
2020-05-15,HINDZINC,EQ,186.8,190.25,195.0,189.2,192.8,192.65,192.42,2642622,50849650185000.0,36163,1112622,0.42100000000000004
2020-05-18,HINDZINC,EQ,192.65,195.5,200.4,185.6,188.8,188.25,191.18,4041183,77259822725000.0,71324,1943236,0.48090000000000005
2020-05-19,HINDZINC,EQ,188.25,176.0,176.4,172.2,174.25,174.1,174.4,1292303,22537998450000.0,21179,491613,0.3804
2020-05-20,HINDZINC,EQ,174.1,172.0,173.0,168.3,171.8,170.65,170.59,516110,8804426835000.0,9361,234203,0.45380000000000004
2020-05-21,HINDZINC,EQ,170.65,170.0,174.5,167.1,168.75,169.3,170.15,1547592,26332314690000.0,22064,466430,0.3014
2020-05-22,HINDZINC,EQ,169.3,167.0,168.8,164.05,165.55,165.25,166.34,826090,13741158105000.002,15096,408150,0.4941
2020-05-26,HINDZINC,EQ,165.25,166.5,169.0,165.3,167.0,166.65,167.26,525611,8791358475000.0,9572,201687,0.3837
2020-05-27,HINDZINC,EQ,166.65,167.3,167.95,164.2,164.45,164.75,165.54,479723,7941126375000.0,10218,292018,0.6087
2020-05-28,HINDZINC,EQ,164.75,165.95,169.0,164.5,168.95,168.65,167.14,796295,13309645255000.0,12330,399417,0.5015999999999999
2020-05-29,HINDZINC,EQ,168.65,168.65,172.3,166.65,171.9,171.55,170.21,643006,10944508455000.0,8427,244209,0.37979999999999997
2020-06-01,HINDZINC,EQ,171.55,173.5,177.8,171.0,172.1,173.05,175.4,2605929,45708070290000.0,27522,960227,0.3685
2020-06-02,HINDZINC,EQ,173.05,176.0,176.0,171.0,173.0,172.85,173.3,667832,11573537110000.0,7201,292697,0.43829999999999997
2020-06-03,HINDZINC,EQ,172.85,173.8,174.9,171.25,172.9,172.8,173.76,844549,14675212100000.0,9353,481528,0.5702
2020-06-04,HINDZINC,EQ,172.8,172.0,172.95,170.0,171.5,171.4,171.54,313234,5373193595000.0,6012,131893,0.42110000000000003
2020-06-05,HINDZINC,EQ,171.4,172.5,174.35,171.6,172.9,173.0,173.37,1082754,18772154095000.0,12704,552478,0.5103
2020-06-08,HINDZINC,EQ,173.0,175.0,176.25,172.0,172.9,172.9,174.57,944983,16496538180000.002,11969,531825,0.5628000000000001
2020-06-09,HINDZINC,EQ,172.9,173.3,174.95,171.8,173.3,173.7,173.77,856763,14888261510000.0,10635,540722,0.6311
2020-06-10,HINDZINC,EQ,173.7,174.05,174.4,171.55,172.0,172.05,173.65,604881,10504018085000.0,5364,406637,0.6723
2020-06-11,HINDZINC,EQ,172.05,172.0,174.6,170.25,172.35,172.65,173.42,581301,10080636300000.0,9801,338129,0.5817
2020-06-12,HINDZINC,EQ,172.65,168.0,176.0,166.85,174.0,174.65,172.15,1200463,20666424175000.0,10591,915881,0.7629000000000001
2020-06-15,HINDZINC,EQ,174.65,174.65,175.6,171.45,174.1,174.65,173.99,969548,16869358875000.0,15193,700404,0.7223999999999999
