Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-09-27,ICICIGI,EQ,661.0,651.1,694.0,638.65,680.1,681.2,668.29,34610637,2312980294125000.0,662982,14136337,0.40840000000000004
2017-09-28,ICICIGI,EQ,681.2,671.15,689.95,660.05,686.3,685.9,677.42,4535542,307246112765000.0,117380,2654105,0.5852
2017-09-29,ICICIGI,EQ,685.9,685.0,687.7,677.65,681.0,680.2,681.82,1367676,93251566510000.0,49088,804626,0.5883
2017-10-03,ICICIGI,EQ,680.2,677.1,688.45,674.1,685.5,684.5,682.69,1752630,119649722100000.0,113174,1089446,0.6215999999999999
2017-10-04,ICICIGI,EQ,684.5,681.5,686.85,679.75,680.3,681.7,682.74,545357,37233611460000.0,62236,410842,0.7533
2017-10-05,ICICIGI,EQ,681.7,676.1,680.95,665.15,666.1,666.2,669.66,486144,32554908850000.0,27798,295222,0.6073
2017-10-06,ICICIGI,EQ,666.2,665.0,680.5,663.0,680.0,680.0,676.14,568793,38458552550000.0,23371,458424,0.8059999999999999
2017-10-09,ICICIGI,EQ,680.0,670.0,686.0,670.0,685.9,683.95,681.3,647645,44124078920000.0,33774,515526,0.7959999999999999
2017-10-10,ICICIGI,EQ,683.95,680.0,690.0,680.0,687.0,686.45,685.38,750266,51421760420000.0,37002,586626,0.7819
2017-10-11,ICICIGI,EQ,686.45,683.6,689.9,683.6,687.5,687.45,686.52,351011,24097670485000.0,15355,277644,0.7909999999999999
2017-10-12,ICICIGI,EQ,687.45,682.2,702.0,682.2,701.1,700.35,695.36,938808,65281176229999.99,44799,590497,0.629
2017-10-13,ICICIGI,EQ,700.35,693.2,701.0,693.2,695.0,695.05,695.5,239411,16650936455000.002,11814,193140,0.8067000000000001
2017-10-16,ICICIGI,EQ,695.05,691.55,697.5,674.25,696.05,696.15,692.77,237478,16451720619999.998,17785,178221,0.7505
2017-10-17,ICICIGI,EQ,696.15,695.0,719.9,690.2,716.5,718.25,711.33,962237,68446949390000.0,46362,590859,0.614
2017-10-18,ICICIGI,EQ,718.25,711.25,720.8,703.8,713.9,715.25,713.92,338460,24163172780000.0,16529,190661,0.5633
2017-10-19,ICICIGI,EQ,715.25,709.6,723.0,708.05,715.2,722.2,720.52,154703,11146715480000.0,5955,116280,0.7515999999999999
2017-10-23,ICICIGI,EQ,722.2,710.0,715.0,690.0,693.0,693.1,699.24,450439,31496542325000.0,41724,340798,0.7565999999999999
2017-10-24,ICICIGI,EQ,693.1,693.15,705.0,685.3,704.95,696.2,695.31,643340,44731845385000.0,24227,574819,0.8935
2017-10-25,ICICIGI,EQ,696.2,696.2,699.95,675.55,678.55,683.3,687.08,1108214,76143226485000.0,33209,1029462,0.9289000000000001
2017-10-26,ICICIGI,EQ,683.3,679.1,690.0,679.1,684.0,684.95,685.6,221326,15174143705000.002,16782,155848,0.7042
2017-10-27,ICICIGI,EQ,684.95,682.0,685.0,679.05,683.0,682.9,681.7,342918,23376745340000.0,15484,310042,0.9041
2017-10-30,ICICIGI,EQ,682.9,679.9,686.0,675.75,681.0,680.2,682.44,287901,19647519580000.0,17499,250009,0.8684000000000001
2017-10-31,ICICIGI,EQ,680.2,675.15,689.0,674.5,681.0,677.0,676.24,949376,64200997140000.0,12267,910923,0.9595
2017-11-01,ICICIGI,EQ,677.0,677.0,686.0,676.9,680.0,680.6,680.23,200249,13621551960000.0,19774,165472,0.8262999999999999
2017-11-02,ICICIGI,EQ,680.6,675.15,689.0,675.0,677.0,681.0,680.28,234604,15959629869999.998,9874,197433,0.8416
2017-11-03,ICICIGI,EQ,681.0,681.0,689.5,671.0,677.0,674.6,682.36,302434,20636877855000.0,8158,251734,0.8323999999999999
2017-11-06,ICICIGI,EQ,674.6,671.0,684.25,671.0,680.5,681.15,680.89,186130,12673440780000.0,10974,157105,0.8441
2017-11-07,ICICIGI,EQ,681.15,680.0,682.95,679.2,680.1,680.3,680.3,171495,11666796005000.0,10471,143709,0.838
2017-11-08,ICICIGI,EQ,680.3,674.1,682.5,674.1,680.5,678.8,678.64,105538,7162184259999.999,9955,84035,0.7963
2017-11-09,ICICIGI,EQ,678.8,675.3,681.0,667.65,679.85,678.8,676.22,120713,8162854920000.0,8362,84560,0.7005
2017-11-10,ICICIGI,EQ,678.8,670.0,680.95,670.0,680.5,680.3,679.54,114509,7781323959999.999,7199,95848,0.8370000000000001
2017-11-13,ICICIGI,EQ,680.3,680.5,687.0,676.2,686.8,685.45,683.18,274626,18762025370000.0,11086,240495,0.8756999999999999
2017-11-14,ICICIGI,EQ,685.45,676.0,690.0,676.0,686.8,686.0,685.98,208105,14275538585000.0,7153,184597,0.887
2017-11-15,ICICIGI,EQ,686.0,677.1,688.0,677.1,686.0,686.4,686.0,439900,30177355780000.0,6991,418653,0.9517
2017-11-16,ICICIGI,EQ,686.4,682.5,685.95,670.0,679.55,677.75,675.68,164254,11098238270000.0,7548,111756,0.6804000000000001
2017-11-17,ICICIGI,EQ,677.75,681.0,689.0,676.25,686.0,685.6,683.85,212775,14550548335000.0,7540,159108,0.7478
2017-11-20,ICICIGI,EQ,685.6,683.0,692.0,680.25,684.75,689.45,689.95,189081,13045730160000.0,9642,164995,0.8726
2017-11-21,ICICIGI,EQ,689.45,684.5,707.9,684.5,695.0,699.05,699.61,337085,23582750095000.0,10601,220035,0.6528
2017-11-22,ICICIGI,EQ,699.05,696.0,701.0,690.0,699.0,695.9,694.42,68032,4724271755000.0,4524,41896,0.6158
2017-11-23,ICICIGI,EQ,695.9,694.0,708.0,685.95,696.0,701.0,696.9,91465,6374178315000.0,7156,62399,0.6822
2017-11-24,ICICIGI,EQ,701.0,693.0,702.0,693.0,700.0,700.1,699.78,163475,11439577765000.0,9883,147316,0.9012000000000001
2017-11-27,ICICIGI,EQ,700.1,692.6,703.0,692.6,700.0,700.6,698.58,66789,4665721070000.0,4358,59055,0.8842
2017-11-28,ICICIGI,EQ,700.6,695.05,713.5,695.05,706.0,706.05,706.8,229161,16197162244999.998,5490,190227,0.8301000000000001
2017-11-29,ICICIGI,EQ,706.05,700.5,726.05,697.1,712.0,718.95,719.12,405626,29169207864999.996,25962,277410,0.6839000000000001
2017-11-30,ICICIGI,EQ,718.95,711.2,717.4,706.1,714.0,714.35,711.9,73339,5221039465000.0,4799,47748,0.6511
2017-12-01,ICICIGI,EQ,714.35,710.0,723.5,710.0,721.0,719.95,719.34,143549,10326005840000.0,10866,112097,0.7809
2017-12-04,ICICIGI,EQ,719.95,712.0,724.5,712.0,717.0,720.75,720.5,120194,8660035850000.0,9305,96942,0.8065000000000001
2017-12-05,ICICIGI,EQ,720.75,715.3,729.95,708.1,728.0,727.35,723.55,157420,11390087670000.0,9129,110510,0.7020000000000001
2017-12-06,ICICIGI,EQ,727.35,725.0,729.0,715.15,725.0,726.65,722.49,101857,7359044640000.001,5297,68826,0.6757
2017-12-07,ICICIGI,EQ,726.65,726.0,745.0,718.5,735.0,735.15,731.45,174841,12788674970000.0,8940,111057,0.6352000000000001
2017-12-08,ICICIGI,EQ,735.15,731.0,769.0,731.0,766.0,765.75,759.87,727030,55244901429999.99,26603,540638,0.7436
2017-12-11,ICICIGI,EQ,765.75,762.0,770.0,750.0,766.2,764.7,766.0,157528,12066721890000.0,4638,120187,0.763
2017-12-12,ICICIGI,EQ,764.7,762.0,790.95,762.0,786.3,784.3,775.8,261948,20321870120000.0,10070,185046,0.7064
2017-12-13,ICICIGI,EQ,784.3,790.0,790.0,768.65,775.3,775.1,778.73,140986,10979066795000.0,8868,98069,0.6956
2017-12-14,ICICIGI,EQ,775.1,772.0,781.0,772.0,781.0,777.15,775.16,305401,23673536860000.0,12745,289754,0.9488
