Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-13,IGL,EQ,467.35,464.1,476.2,464.1,471.5,471.55,472.85,259407,12266007100000.0,7584,116381,0.4486
2015-10-14,IGL,EQ,471.55,471.45,481.65,469.1,477.55,478.45,476.72,311697,14859177080000.002,6105,164831,0.5288
2015-10-15,IGL,EQ,478.45,481.2,489.9,480.5,484.6,485.4,485.88,292320,14203290165000.0,8564,122592,0.4194
2015-10-16,IGL,EQ,485.4,489.9,489.9,477.15,482.05,482.2,482.33,111064,5356982220000.0,5174,22118,0.1991
2015-10-19,IGL,EQ,482.2,482.55,489.95,476.2,478.95,479.9,483.01,172332,8323763690000.001,6587,55629,0.32280000000000003
2015-10-20,IGL,EQ,479.9,480.4,484.4,475.5,478.3,479.3,478.92,229312,10982096995000.0,10320,104394,0.45520000000000005
2015-10-21,IGL,EQ,479.3,480.1,482.95,474.2,477.0,477.2,478.65,173055,8283318680000.0,3845,94036,0.5434
2015-10-23,IGL,EQ,477.2,479.05,486.45,478.4,483.5,484.3,484.0,285967,13840747980000.002,4774,188658,0.6597
2015-10-26,IGL,EQ,484.3,486.0,506.75,485.0,491.4,493.35,497.22,830134,41275632670000.0,19513,429882,0.5178
2015-10-27,IGL,EQ,493.35,492.4,508.0,487.15,495.0,493.45,497.72,395289,19674454240000.0,10079,133808,0.3385
2015-10-28,IGL,EQ,493.45,499.65,502.05,488.25,493.35,491.9,494.04,237676,11742149965000.0,6052,82649,0.34770000000000006
2015-10-29,IGL,EQ,491.9,493.05,497.35,486.55,488.7,489.95,491.54,562633,27655691539999.996,7303,375193,0.6668999999999999
2015-10-30,IGL,EQ,489.95,490.0,498.7,487.5,488.2,489.0,492.99,207417,10225368005000.0,6857,39676,0.1913
2015-11-02,IGL,EQ,489.0,491.9,496.7,482.05,485.6,486.35,488.79,173125,8462125895000.0,6398,56123,0.32420000000000004
2015-11-03,IGL,EQ,486.35,489.4,492.0,480.05,482.8,484.1,486.23,152889,7433891145000.0,4599,30995,0.2027
2015-11-04,IGL,EQ,484.1,486.9,488.8,478.25,481.0,479.85,482.77,188253,9088377855000.0,4098,96869,0.5146000000000001
2015-11-05,IGL,EQ,479.85,480.2,487.75,476.8,480.0,479.05,482.61,202401,9768074945000.0,5257,33781,0.16690000000000002
2015-11-06,IGL,EQ,479.05,480.55,482.95,474.1,477.75,476.65,478.67,138647,6636639250000.0,2310,60506,0.4364
2015-11-09,IGL,EQ,476.65,472.0,474.75,465.1,471.85,472.35,469.54,210941,9904423890000.0,3848,88111,0.4177
2015-11-10,IGL,EQ,472.35,472.0,478.05,471.2,474.3,473.8,475.11,120620,5730817995000.0,4984,46967,0.38939999999999997
2015-11-11,IGL,EQ,473.8,476.95,476.95,470.1,472.0,474.05,473.16,32391,1532614895000.0,964,3478,0.10740000000000001
2015-11-13,IGL,EQ,474.05,471.85,473.5,461.3,473.5,469.65,466.8,141200,6591223840000.0,7958,83666,0.5925
2015-11-16,IGL,EQ,469.65,470.0,471.6,465.1,467.4,468.0,468.13,102973,4820498850000.0,4631,26707,0.2594
2015-11-17,IGL,EQ,468.0,468.6,478.0,466.25,471.85,471.95,472.88,137211,6488493370000.0,4658,32661,0.23800000000000002
2015-11-18,IGL,EQ,471.95,472.0,474.9,459.1,460.8,460.0,464.1,229227,10638431720000.0,7161,103975,0.4536
2015-11-19,IGL,EQ,460.0,463.9,467.9,458.55,463.55,463.8,464.52,186054,8642646380000.0,5889,31347,0.1685
2015-11-20,IGL,EQ,463.8,466.0,495.95,466.0,480.7,481.3,486.44,767742,37346171480000.0,20041,173220,0.2256
2015-11-23,IGL,EQ,481.3,483.0,491.3,475.75,483.55,484.95,483.31,315920,15268860190000.0,9838,60661,0.192
2015-11-24,IGL,EQ,484.95,485.1,488.0,474.45,481.8,480.75,480.49,222725,10701651150000.0,6504,73134,0.3284
