Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,IOC,EQ,137.05,137.2,138.0,136.3,137.6,137.7,137.12,4059229,55658539220000.01,22525,1098048,0.2705
2019-01-02,IOC,EQ,137.7,137.3,138.2,134.1,136.7,137.25,136.51,11509773,157120720355000.0,51738,3723797,0.3235
2019-01-03,IOC,EQ,137.25,137.2,137.2,132.15,132.7,132.65,133.74,13059163,174653353425000.0,81566,5883953,0.45060000000000006
2019-01-04,IOC,EQ,132.65,132.65,134.95,132.5,133.9,133.95,134.02,7277203,97528608130000.0,52916,2674058,0.3675
2019-01-07,IOC,EQ,133.95,134.5,134.75,132.5,133.2,133.45,133.48,10623470,141806451990000.0,52165,5918003,0.5571
2019-01-08,IOC,EQ,133.45,133.6,134.2,132.7,133.95,134.0,133.42,6870682,91669281595000.0,44463,3938775,0.5733
2019-01-09,IOC,EQ,134.0,133.75,134.3,131.6,132.0,132.0,132.52,8349450,110646177005000.0,63545,3657239,0.438
2019-01-10,IOC,EQ,132.0,131.1,131.8,129.45,130.05,129.9,130.24,10687270,139186967800000.0,74702,5032866,0.47090000000000004
2019-01-11,IOC,EQ,129.9,130.5,131.55,130.35,131.05,131.2,131.12,7589370,99513504295000.0,55160,4001646,0.5273
2019-01-14,IOC,EQ,131.2,133.0,133.15,131.0,132.15,132.3,131.81,8986002,118443168859999.98,52479,4008574,0.4461
2019-01-15,IOC,EQ,132.3,132.6,134.75,132.55,134.45,134.55,133.83,6386411,85472356305000.0,41258,3423379,0.536
2019-01-16,IOC,EQ,134.55,135.0,136.0,134.15,135.9,135.8,135.4,6605251,89432795690000.0,55624,3785746,0.5731
2019-01-17,IOC,EQ,135.8,136.0,138.3,135.3,137.5,137.65,137.43,11644105,160025464900000.0,69174,5646426,0.48490000000000005
2019-01-18,IOC,EQ,137.65,137.5,138.7,137.15,137.55,137.85,137.84,7023754,96815679290000.0,45535,3602387,0.5129
2019-01-21,IOC,EQ,137.85,137.0,137.8,135.45,135.5,135.65,136.16,5191531,70689768230000.0,29661,1770121,0.341
2019-01-22,IOC,EQ,135.65,135.95,137.3,135.35,136.0,135.95,136.29,7120979,97054989360000.0,48991,4135827,0.5808
2019-01-23,IOC,EQ,135.95,136.5,136.8,135.1,135.9,136.1,135.96,5367900,72980133885000.0,43089,3004519,0.5597
2019-01-24,IOC,EQ,136.1,136.25,138.2,136.1,136.8,136.8,136.93,6161313,84366266665000.0,41008,3031861,0.49210000000000004
2019-01-25,IOC,EQ,136.8,136.8,138.8,136.8,137.45,137.75,138.12,6255229,86396461185000.0,42017,3120784,0.4989
2019-01-28,IOC,EQ,137.75,137.2,138.35,136.4,138.25,138.05,137.84,5570306,76783626840000.0,29399,3302986,0.593
2019-01-29,IOC,EQ,138.05,138.0,139.55,136.5,137.1,137.35,138.1,8366609,115539131600000.0,66396,4898192,0.5854
2019-01-30,IOC,EQ,137.35,137.15,138.0,132.65,134.1,134.55,135.3,16613250,224780331230000.03,88348,6346557,0.38200000000000006
2019-01-31,IOC,EQ,134.55,133.0,138.3,132.25,136.9,136.85,136.48,32332758,441286742330000.0,89508,20836883,0.6445000000000001
2019-02-01,IOC,EQ,136.85,137.35,138.5,136.15,137.35,137.2,137.34,5092724,69941238354999.99,28981,1711605,0.3361
2019-02-04,IOC,EQ,137.2,136.5,138.25,135.1,135.9,135.9,136.4,4992704,68101467500000.0,42874,1837954,0.36810000000000004
2019-02-05,IOC,EQ,135.9,135.95,136.2,133.3,133.95,133.75,134.49,3435563,46203212135000.0,26678,1620580,0.4717
2019-02-06,IOC,EQ,133.75,133.5,138.25,133.5,137.95,137.85,136.38,4483438,61144471950000.0,35309,2381599,0.5312
2019-02-07,IOC,EQ,137.85,137.85,138.55,136.65,138.15,138.05,137.83,3429101,47264448060000.0,29266,1841344,0.537
2019-02-08,IOC,EQ,138.05,138.15,138.2,133.1,133.45,133.8,135.5,3582567,48544668830000.0,28450,1479105,0.4129
2019-02-11,IOC,EQ,133.8,133.9,137.55,130.6,137.0,135.85,134.63,11300239,152136067975000.0,59165,6067900,0.537
