Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-08-30,ITC,EQ,312.8,313.5,320.6,313.5,318.95,319.85,318.38,24973007,795102842865000.0,159658,16360655,0.6551
2018-08-31,ITC,EQ,319.85,322.0,322.6,317.2,319.6,319.85,320.54,18084699,579678312990000.0,119433,11884175,0.6570999999999999
2018-09-03,ITC,EQ,319.85,322.95,322.95,311.05,311.5,313.2,318.71,9112998,290437285055000.0,85876,5645798,0.6195
2018-09-04,ITC,EQ,313.2,312.0,312.2,307.0,310.3,309.6,308.6,11184441,345155552365000.0,107727,7257266,0.6489
2018-09-05,ITC,EQ,309.6,310.4,314.45,309.25,310.0,310.25,311.33,10139205,315662249915000.0,91732,5132830,0.5062
2018-09-06,ITC,EQ,310.25,311.4,311.75,308.05,310.0,310.8,310.2,7609714,236054035335000.0,72864,4767106,0.6265
2018-09-07,ITC,EQ,310.8,311.6,313.2,308.1,310.65,310.45,311.02,7188478,223573717169999.97,108508,4334253,0.6029
2018-09-10,ITC,EQ,310.45,310.2,310.75,305.55,306.1,306.55,306.96,9635849,295781719820000.0,91265,5707533,0.5922999999999999
2018-09-11,ITC,EQ,306.55,306.65,306.75,295.55,296.2,297.2,298.06,26006624,775156304070000.0,178943,13786209,0.5301
2018-09-12,ITC,EQ,297.2,297.75,307.6,295.4,306.1,306.8,303.42,19423600,589349699780000.0,138154,9412549,0.48460000000000003
2018-09-14,ITC,EQ,306.8,307.0,308.65,305.05,306.95,307.15,306.62,12823479,393194012915000.0,135884,7881282,0.6146
2018-09-17,ITC,EQ,307.15,305.0,306.1,301.5,302.5,302.0,303.27,5825628,176673334410000.0,98875,3149772,0.5407000000000001
2018-09-18,ITC,EQ,302.0,302.2,304.9,299.3,304.5,303.25,302.47,8199623,248010239505000.03,70655,4400792,0.5367000000000001
2018-09-19,ITC,EQ,303.25,304.5,305.65,298.0,300.0,299.65,302.15,6150336,185830484500000.0,74564,2970120,0.4829
2018-09-21,ITC,EQ,299.65,300.4,306.6,300.4,304.1,303.95,303.82,16337218,496361317289999.94,103478,10285775,0.6296
2018-09-24,ITC,EQ,303.95,305.0,306.35,292.5,298.8,297.95,299.62,14452668,433029714635000.06,138196,9062644,0.6271
2018-09-25,ITC,EQ,297.95,296.9,302.35,292.35,301.15,301.15,297.9,13273933,395428488225000.0,170623,7471547,0.5629
2018-09-26,ITC,EQ,301.15,303.0,303.0,289.75,293.1,293.15,293.94,19891787,584701481785000.0,198806,13559149,0.6816
2018-09-27,ITC,EQ,293.15,293.5,295.1,289.5,294.15,293.3,292.28,12084852,353213376035000.0,111921,7587958,0.6279
2018-09-28,ITC,EQ,293.3,295.0,300.0,291.8,298.85,297.75,296.25,24606864,728968348035000.0,174778,16612435,0.6751
2018-10-01,ITC,EQ,297.75,300.85,302.95,293.4,297.0,297.1,296.68,9025533,267765510535000.0,95424,4657058,0.516
2018-10-03,ITC,EQ,297.1,297.0,300.0,294.65,295.25,295.2,297.16,7570160,224951862765000.0,80374,4455682,0.5886
2018-10-04,ITC,EQ,295.2,293.85,295.7,285.15,287.75,287.1,290.28,8105763,235297454990000.0,110051,3904487,0.4817
2018-10-05,ITC,EQ,287.1,285.5,286.0,275.1,276.05,276.5,280.41,17622969,494167951039999.94,156108,11659870,0.6616
2018-10-08,ITC,EQ,276.5,279.0,279.4,269.15,273.5,273.2,273.6,16430487,449539799520000.0,171056,10520337,0.6403
2018-10-09,ITC,EQ,273.2,275.5,275.5,267.75,267.95,268.5,271.27,10540674,285932744990000.0,87278,6879382,0.6527
2018-10-10,ITC,EQ,268.5,269.9,271.15,267.2,270.5,270.1,269.63,11479650,309526444120000.0,101761,7225871,0.6295000000000001
2018-10-11,ITC,EQ,270.1,265.0,269.3,263.65,265.25,265.2,265.96,10609934,282179475050000.0,135842,5807570,0.5474
2018-10-12,ITC,EQ,265.2,267.5,277.65,267.3,275.0,275.2,274.98,13425871,369190938050000.0,121517,7042066,0.5245000000000001
2018-10-15,ITC,EQ,275.2,278.95,283.6,276.0,281.65,282.5,279.8,17933322,501766540845000.0,140842,11128388,0.6204999999999999
2018-10-16,ITC,EQ,282.5,283.0,283.75,276.35,282.25,282.65,280.86,11867994,333325266220000.0,93880,6126185,0.5162
2018-10-17,ITC,EQ,282.65,283.9,291.65,281.55,286.05,286.45,287.08,15307324,439441235989999.94,209942,7129172,0.4657
2018-10-19,ITC,EQ,286.45,285.0,291.55,284.75,291.0,289.45,288.32,8032126,231578433325000.0,111649,3886783,0.4839
2018-10-22,ITC,EQ,289.45,292.0,293.1,287.3,288.7,288.5,290.63,12484871,362851082175000.0,137138,6229871,0.499
2018-10-23,ITC,EQ,288.5,286.0,291.2,283.55,286.7,286.0,287.61,10843970,311878651995000.0,99500,6378419,0.5882000000000001
2018-10-24,ITC,EQ,286.0,288.7,289.65,286.35,288.6,287.75,288.33,8690022,250561593985000.0,81397,5461765,0.6285000000000001
2018-10-25,ITC,EQ,287.75,286.0,289.5,284.5,289.4,287.55,287.25,9584217,275303873094999.97,88998,5850620,0.6104
2018-10-26,ITC,EQ,287.55,289.7,289.8,276.0,279.9,280.9,281.31,21475541,604125966770000.0,186898,8026885,0.3738
2018-10-29,ITC,EQ,280.9,281.9,285.25,278.95,282.0,283.5,282.71,11342580,320661879110000.0,112505,5949794,0.5246000000000001
2018-10-30,ITC,EQ,283.5,283.25,283.85,278.0,278.4,278.95,280.55,6847149,192093442480000.0,83135,3897466,0.5692
2018-10-31,ITC,EQ,278.95,279.55,281.0,272.85,278.9,280.1,277.1,13501859,374137419230000.0,134439,8282796,0.6135
2018-11-01,ITC,EQ,280.1,280.0,281.8,274.8,277.05,277.4,277.04,9452718,261878412394999.97,84790,4957019,0.5244
2018-11-02,ITC,EQ,277.4,278.3,285.95,278.3,283.9,283.25,282.86,11644681,329380697630000.0,92468,5434775,0.4667
2018-11-05,ITC,EQ,283.25,285.25,285.25,278.4,279.95,279.6,280.43,7381232,206993875150000.0,83445,4494785,0.6089
2018-11-06,ITC,EQ,279.6,281.1,281.85,276.1,276.7,277.3,277.91,9766345,271415741785000.0,104385,5840248,0.598
2018-11-07,ITC,EQ,277.3,281.0,281.0,278.8,280.2,280.05,279.8,957139,26780389635000.0,16784,582956,0.6091
2018-11-09,ITC,EQ,280.05,279.0,279.7,275.9,276.6,277.25,277.48,15034793,417185993305000.0,170785,11190455,0.7443000000000001
2018-11-12,ITC,EQ,277.25,277.8,278.2,273.25,274.2,273.85,275.29,7047500,194013306650000.0,108289,4270652,0.606
2018-11-13,ITC,EQ,273.85,273.95,277.9,273.15,276.65,276.85,275.13,6700755,184355732250000.0,71903,4306155,0.6426000000000001
2018-11-14,ITC,EQ,276.85,278.1,278.4,274.65,276.15,276.45,276.23,6915975,191039150430000.0,102616,4624829,0.6687000000000001
2018-11-15,ITC,EQ,276.45,276.85,279.25,273.5,274.4,274.5,276.1,12153864,335573624300000.0,105019,7628588,0.6277
2018-11-16,ITC,EQ,274.5,275.8,278.3,275.25,277.0,276.55,276.61,12635521,349512097760000.0,109489,7145490,0.5655
2018-11-19,ITC,EQ,276.55,277.35,285.0,276.5,284.5,284.5,281.29,16720100,470313786885000.06,117428,10190636,0.6095
2018-11-20,ITC,EQ,284.5,285.0,286.65,281.8,283.5,283.85,284.45,7796633,221771739830000.03,76675,2903336,0.3724
2018-11-21,ITC,EQ,283.85,284.5,284.8,280.0,282.65,281.75,281.99,5650063,159325498595000.0,52802,2643560,0.4679
2018-11-22,ITC,EQ,281.75,282.0,284.5,279.6,280.0,280.5,281.79,6680354,188243110825000.0,71016,3787396,0.5669
2018-11-26,ITC,EQ,280.5,281.25,286.35,280.7,285.5,285.65,284.26,8948042,254357782675000.0,96175,4364273,0.4877
2018-11-27,ITC,EQ,285.65,286.1,286.45,282.8,284.4,284.85,284.28,6881741,195634946100000.0,71066,3955822,0.5748
2018-11-28,ITC,EQ,284.85,285.4,287.95,280.8,282.2,282.2,283.94,8856761,251476577315000.0,95315,4940854,0.5579
2018-11-29,ITC,EQ,282.2,283.65,289.3,283.45,288.35,287.55,287.04,13657479,392023857995000.0,99598,7265354,0.532
2018-11-30,ITC,EQ,287.55,289.5,290.0,284.8,286.2,285.8,286.99,8639876,247951961300000.0,114804,5616524,0.6501
2018-12-03,ITC,EQ,285.8,287.25,289.5,282.55,283.5,282.95,285.71,8565591,244728510335000.0,122887,5465860,0.6381
2018-12-04,ITC,EQ,282.95,281.0,283.3,280.95,281.8,281.85,282.12,6305882,177901863365000.0,74805,3928514,0.623
2018-12-05,ITC,EQ,281.85,281.0,281.8,274.2,275.9,275.35,276.58,11453283,316770761995000.0,112093,7890298,0.6889000000000001
2018-12-06,ITC,EQ,275.35,274.5,274.9,271.5,272.8,273.05,273.28,9682118,264588463230000.03,110652,5065049,0.5231
2018-12-07,ITC,EQ,273.05,274.95,276.2,273.3,274.25,274.05,274.54,8103784,222484024290000.0,75302,5363771,0.6619
2018-12-10,ITC,EQ,274.05,272.0,272.3,269.15,270.5,270.45,270.45,6683094,180743351990000.0,85199,4327661,0.6476000000000001
2018-12-11,ITC,EQ,270.45,268.4,276.05,268.2,274.9,274.7,272.14,10238800,278642355590000.0,135053,6011130,0.5871000000000001
2018-12-12,ITC,EQ,274.7,275.7,277.7,272.6,277.25,276.05,274.97,10084682,277301274135000.0,147812,5798429,0.5750000000000001
2018-12-13,ITC,EQ,276.05,279.0,279.4,273.5,275.2,275.3,276.73,15821425,437830931039999.94,115314,11648030,0.7362000000000001
2018-12-14,ITC,EQ,275.3,274.35,277.25,273.9,275.85,275.75,275.73,8594764,236984839425000.0,113401,5926873,0.6896
2018-12-17,ITC,EQ,275.75,277.0,281.4,275.9,279.4,279.85,279.14,12232198,341449836025000.0,114946,8014630,0.6552
2018-12-18,ITC,EQ,279.85,279.05,280.6,277.0,278.5,278.15,278.46,8832786,245958636594999.97,117492,5750189,0.6509999999999999
2018-12-19,ITC,EQ,278.15,279.0,284.0,278.5,283.15,283.45,282.31,13133469,370772092185000.0,139093,8623283,0.6566
2018-12-20,ITC,EQ,283.45,281.0,284.4,281.0,283.1,282.65,282.65,4964496,140319329105000.0,69227,2376145,0.4786
2018-12-21,ITC,EQ,282.65,283.0,284.0,276.05,276.6,276.75,278.72,6816618,189991199490000.0,95655,3706240,0.5437
2018-12-24,ITC,EQ,276.75,278.85,280.7,275.25,276.65,276.0,278.38,8540575,237755590519999.97,94563,4490731,0.5258
2018-12-26,ITC,EQ,276.0,276.35,278.8,274.8,276.95,276.65,277.08,8494118,235351554440000.0,85780,4404334,0.5185000000000001
2018-12-27,ITC,EQ,276.65,279.0,281.65,277.3,279.2,280.75,279.93,11441104,320275760645000.0,119683,5710573,0.4991
2018-12-28,ITC,EQ,280.75,279.15,284.0,279.15,282.0,282.25,282.2,13194286,372348820770000.0,125257,7814877,0.5922999999999999
2018-12-31,ITC,EQ,282.25,282.8,283.85,281.1,281.6,281.65,282.39,5452405,153971756560000.0,48951,3032204,0.5561
2019-01-01,ITC,EQ,281.65,282.2,283.55,279.8,283.0,282.7,281.41,2490548,70086632165000.0,27385,867443,0.3483
2019-01-02,ITC,EQ,282.7,282.25,283.25,277.55,280.6,280.6,280.46,9934187,278616248815000.0,78027,6659644,0.6704000000000001
2019-01-03,ITC,EQ,280.6,280.6,282.45,277.75,278.9,278.85,279.76,6114946,171071567890000.0,69851,3429624,0.5609000000000001
2019-01-04,ITC,EQ,278.85,279.15,282.95,279.15,280.8,280.95,281.12,7805148,219418500269999.97,75534,4075809,0.5222
2019-01-07,ITC,EQ,280.95,284.3,285.25,281.0,281.55,281.65,282.6,9757529,275750304455000.03,91302,5303732,0.5436
2019-01-08,ITC,EQ,281.65,282.0,285.5,281.35,283.9,284.25,283.69,7480522,212213515515000.0,61502,4872483,0.6514
2019-01-09,ITC,EQ,284.25,285.6,291.7,284.6,291.5,290.4,288.51,12182118,351467409170000.0,97158,6554370,0.538
2019-01-10,ITC,EQ,290.4,290.75,293.7,288.9,289.5,289.6,291.17,10288580,299575926530000.0,87615,4838067,0.47020000000000006
2019-01-11,ITC,EQ,289.6,291.9,296.0,291.5,294.7,295.35,294.22,16773035,493489971889999.94,133184,8899748,0.5306000000000001
2019-01-14,ITC,EQ,295.35,294.5,294.8,290.0,294.3,294.3,292.6,6400147,187270831285000.0,67968,2959540,0.46240000000000003
2019-01-15,ITC,EQ,294.3,295.25,297.4,294.0,295.95,296.55,296.12,7213165,213598666845000.0,71341,4226921,0.5860000000000001
2019-01-16,ITC,EQ,296.55,296.0,296.55,291.7,294.5,294.05,294.08,7784035,228909030715000.0,86623,4157004,0.534
2019-01-17,ITC,EQ,294.05,294.1,295.6,290.15,292.9,293.95,292.42,10601100,309996572165000.0,74516,6900471,0.6509
2019-01-18,ITC,EQ,293.95,293.25,295.1,290.65,291.1,291.45,292.0,10994807,321048309405000.0,64900,7360439,0.6694
2019-01-21,ITC,EQ,291.45,292.85,293.2,288.7,289.85,289.9,290.9,8203333,238635024355000.03,46892,5219479,0.6363000000000001
2019-01-22,ITC,EQ,289.9,289.85,291.0,285.15,290.3,289.75,287.89,10329563,297376888250000.0,91160,5953202,0.5763
2019-01-23,ITC,EQ,289.75,291.5,294.4,275.0,276.0,277.3,284.09,40188183,1141687191470000.0,222738,16584110,0.41270000000000007
2019-01-24,ITC,EQ,277.3,279.3,283.35,277.85,279.05,278.9,280.55,28026449,786284314245000.0,228074,10907834,0.38920000000000005
2019-01-25,ITC,EQ,278.9,280.0,282.7,278.5,278.6,279.2,280.86,8897906,249906322430000.03,113187,4963608,0.5578000000000001
2019-01-28,ITC,EQ,279.2,278.9,279.45,274.2,275.05,274.75,276.75,8992136,248861533744999.97,101975,5141637,0.5718
2019-01-29,ITC,EQ,274.75,275.3,279.0,274.75,278.3,278.45,276.78,6998389,193701743670000.0,107287,4273576,0.6107
2019-01-30,ITC,EQ,278.45,280.1,280.2,274.2,274.7,275.5,275.93,10449713,288336808655000.0,95203,6803832,0.6511
2019-01-31,ITC,EQ,275.5,276.5,279.6,273.6,278.25,278.65,277.32,15346406,425580235735000.0,119095,10473776,0.6825
2019-02-01,ITC,EQ,278.65,280.65,285.2,279.1,281.3,280.85,281.39,18353829,516458073439999.94,117521,9349482,0.5094
2019-02-04,ITC,EQ,280.85,281.9,281.9,276.05,277.2,277.1,278.63,6056619,168758304940000.0,56370,3021990,0.499
2019-02-05,ITC,EQ,277.1,277.35,277.8,272.5,274.1,274.15,274.72,9827060,269967191144999.97,76063,6408179,0.6520999999999999
2019-02-06,ITC,EQ,274.15,275.0,278.4,274.55,278.0,277.7,276.88,8097580,224204578485000.0,78240,5260374,0.6496
2019-02-07,ITC,EQ,277.7,277.9,281.0,277.0,279.95,280.3,279.09,5947966,166004557625000.0,60408,3323219,0.5587
2019-02-08,ITC,EQ,280.3,279.5,281.2,274.6,275.8,275.5,277.7,4405887,122352326680000.0,52501,2320901,0.5268
2019-02-11,ITC,EQ,275.5,275.8,278.2,268.45,277.8,277.1,274.4,9952322,273094236930000.03,85491,5223993,0.5249
2019-02-12,ITC,EQ,277.1,277.05,280.5,274.6,275.6,275.3,277.85,7341352,203976197015000.0,80011,3134340,0.4269
2019-02-13,ITC,EQ,275.3,280.05,283.9,275.2,276.45,276.85,279.84,15344186,429389341655000.0,108395,6939002,0.4522
2019-02-14,ITC,EQ,276.85,277.0,280.2,277.0,278.0,277.9,278.42,9993785,278245653600000.0,89812,5910922,0.5915
2019-02-15,ITC,EQ,277.9,279.0,280.95,275.4,279.65,280.1,278.4,37552143,1045459396579999.9,157823,29592593,0.788
2019-02-18,ITC,EQ,280.1,278.8,282.45,273.9,274.25,274.7,278.1,40666405,1130944591145000.0,225859,30175180,0.742
2019-02-19,ITC,EQ,274.7,274.0,279.2,274.0,275.95,275.9,277.69,34451117,956660561100000.0,224512,28158422,0.8173
2019-02-20,ITC,EQ,275.9,277.25,277.5,274.25,275.85,275.85,275.38,5977880,164620411135000.0,78072,2552403,0.42700000000000005
2019-02-21,ITC,EQ,275.85,275.9,276.75,274.2,275.05,275.05,275.06,6995026,192407888515000.0,79871,3887778,0.5558
2019-02-22,ITC,EQ,275.05,275.6,275.95,273.1,274.8,274.3,273.97,8763445,240095175805000.03,97090,4633020,0.5287
2019-02-25,ITC,EQ,274.3,274.5,277.15,273.0,276.5,276.7,275.47,30047503,827715252600000.0,150380,22359803,0.7441
2019-02-26,ITC,EQ,276.7,274.95,277.0,274.05,275.4,275.5,275.46,11779606,324480121490000.0,95568,8210639,0.6970000000000001
2019-02-27,ITC,EQ,275.5,276.0,278.9,273.9,275.15,275.1,275.81,13128412,362096579450000.0,150144,8522232,0.6491
2019-02-28,ITC,EQ,275.1,277.3,277.3,274.25,276.5,276.05,275.78,43208896,1191604678575000.0,140246,37509994,0.8681000000000001
2019-03-01,ITC,EQ,276.05,276.45,279.0,276.25,278.3,278.2,277.46,8830848,245019555115000.0,73125,6126508,0.6938
2019-03-05,ITC,EQ,278.2,280.0,284.0,276.05,284.0,282.55,279.76,13580306,379928613640000.0,195344,8498700,0.6258
2019-03-06,ITC,EQ,282.55,285.0,289.2,284.75,285.95,285.75,286.76,20045621,574836844670000.0,168992,12250190,0.6111
2019-03-07,ITC,EQ,285.75,286.7,291.0,285.85,289.5,290.1,288.8,14287507,412627723715000.0,276711,8969023,0.6278
2019-03-08,ITC,EQ,290.1,290.3,293.0,288.4,291.7,292.0,291.53,12681454,369698059920000.0,159797,6955512,0.5485
2019-03-11,ITC,EQ,292.0,293.0,294.9,291.1,293.1,292.95,293.18,14720968,431593980360000.06,132693,9456996,0.6424
2019-03-12,ITC,EQ,292.95,294.0,295.65,293.15,294.5,294.5,294.38,14142103,416321785910000.0,129956,10880314,0.7694
2019-03-13,ITC,EQ,294.5,295.0,297.0,294.15,295.0,294.9,295.2,11070294,326799275745000.0,97884,7913812,0.7149
2019-03-14,ITC,EQ,294.9,295.4,296.0,290.45,295.5,295.5,293.62,10113962,296969684575000.0,135308,6537667,0.6464
2019-03-15,ITC,EQ,295.5,295.95,296.55,289.35,291.6,290.8,291.9,21395473,624544513530000.0,119469,16898964,0.7898000000000001
2019-03-18,ITC,EQ,290.8,292.0,294.2,291.3,293.2,293.75,292.93,9166882,268525284144999.97,112390,6748115,0.7361
2019-03-19,ITC,EQ,293.75,294.6,300.0,293.35,299.7,299.45,297.34,15756420,468504599525000.0,132436,9727267,0.6174000000000001
2019-03-20,ITC,EQ,299.45,300.0,301.95,296.6,298.55,298.9,299.02,15619922,467074712264999.94,149438,10082013,0.6455
2019-03-22,ITC,EQ,298.9,300.0,300.0,296.55,298.75,298.2,298.11,8067384,240494740665000.0,78074,4986699,0.6181
2019-03-25,ITC,EQ,298.2,297.0,297.0,293.2,294.25,295.05,294.75,8015871,236268321619999.97,69876,5092351,0.6353
2019-03-26,ITC,EQ,295.05,295.0,296.35,291.05,294.0,293.4,293.19,10763629,315581830455000.0,102964,6444668,0.5987
2019-03-27,ITC,EQ,293.4,294.0,296.7,291.6,292.7,293.1,294.27,8432517,248139965640000.0,73984,4533617,0.5376
2019-03-28,ITC,EQ,293.1,294.1,302.0,293.0,301.0,300.0,298.2,17752380,529383003539999.94,108956,12777234,0.7197
2019-03-29,ITC,EQ,300.0,302.0,303.0,295.45,296.55,297.25,297.57,11913335,354508241345000.0,87977,7220906,0.6061
2019-04-01,ITC,EQ,297.25,297.0,299.2,296.55,297.4,297.25,297.81,6203276,184742738595000.0,97253,3421087,0.5515
2019-04-02,ITC,EQ,297.25,297.4,300.0,294.65,298.1,297.9,297.74,9849417,293259062775000.0,102850,5386390,0.5468999999999999
2019-04-03,ITC,EQ,297.9,298.0,299.0,295.15,295.5,296.15,297.5,9064767,269677879925000.0,82684,6163694,0.68
2019-04-04,ITC,EQ,296.15,296.0,297.3,293.75,295.5,294.8,294.95,6965053,205434461140000.0,91968,4473299,0.6422
2019-04-05,ITC,EQ,294.8,295.05,296.4,292.65,295.45,294.55,294.04,7806991,229557186310000.0,121882,5376947,0.6887000000000001
2019-04-08,ITC,EQ,294.55,294.65,295.0,291.7,292.3,292.75,292.86,5288853,154888399100000.0,65374,3268882,0.6181
2019-04-09,ITC,EQ,292.75,292.5,296.7,292.25,296.0,296.3,295.24,6175672,182333523535000.0,93094,3955633,0.6405
2019-04-10,ITC,EQ,296.3,296.05,296.55,293.5,294.3,294.7,295.11,5334642,157429202085000.0,91950,3374246,0.6325000000000001
2019-04-11,ITC,EQ,294.7,294.55,297.45,293.0,297.45,296.4,295.33,10764968,317918800025000.0,103086,7791474,0.7238
2019-04-12,ITC,EQ,296.4,296.65,307.4,295.6,307.4,305.75,302.46,21818291,659910744865000.0,221102,11169749,0.5119
2019-04-15,ITC,EQ,305.75,307.9,310.0,304.35,305.55,305.5,306.76,12612414,386904034220000.0,120440,6859851,0.5439
2019-04-16,ITC,EQ,305.5,306.8,309.95,306.15,307.95,307.2,308.2,9746168,300373720150000.0,107799,6081524,0.624
