Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,JSWSTEEL,EQ,306.75,308.9,308.9,302.5,303.35,303.95,304.3,3622654,110238015865000.02,26579,414132,0.1143
2019-01-02,JSWSTEEL,EQ,303.95,296.05,297.95,286.6,287.4,288.7,292.58,8855139,259084054555000.03,68131,2281177,0.2576
2019-01-03,JSWSTEEL,EQ,288.7,287.5,290.6,280.3,282.7,282.65,285.02,10003388,285119143680000.0,88637,2388648,0.23879999999999998
2019-01-04,JSWSTEEL,EQ,282.65,281.9,289.45,280.7,289.4,287.95,284.46,6070751,172687772620000.0,56419,1200115,0.1977
2019-01-07,JSWSTEEL,EQ,287.95,292.3,295.25,288.15,289.8,289.85,291.91,7041362,205546334155000.0,43302,2344385,0.3329
2019-01-08,JSWSTEEL,EQ,289.85,290.1,295.85,288.1,293.45,293.9,293.18,4528899,132779366645000.0,53435,856080,0.189
2019-01-09,JSWSTEEL,EQ,293.9,295.0,296.8,286.55,290.55,290.75,291.18,5848215,170286188335000.0,74454,1449442,0.24780000000000002
2019-01-10,JSWSTEEL,EQ,290.75,290.0,292.7,287.65,289.3,289.3,290.09,4352095,126251109105000.0,39606,1403686,0.3225
2019-01-11,JSWSTEEL,EQ,289.3,289.75,294.15,286.45,288.45,288.8,290.81,4483554,130384629270000.0,44840,1267048,0.2826
2019-01-14,JSWSTEEL,EQ,288.8,288.45,288.45,282.05,283.9,283.9,283.97,3756403,106670355655000.0,32983,1092427,0.2908
2019-01-15,JSWSTEEL,EQ,283.9,285.0,293.0,282.3,291.5,292.1,287.26,6557577,188376030425000.0,47955,1576310,0.2404
2019-01-16,JSWSTEEL,EQ,292.1,292.05,293.25,285.35,286.35,286.45,288.8,3752082,108359625975000.0,35951,849150,0.2263
2019-01-17,JSWSTEEL,EQ,286.45,287.5,290.55,285.8,287.1,289.0,288.21,4817690,138851678325000.0,47324,1216550,0.2525
2019-01-18,JSWSTEEL,EQ,289.0,288.35,291.85,283.25,285.15,285.6,288.05,4210472,121284717875000.0,47788,956473,0.22719999999999999
2019-01-21,JSWSTEEL,EQ,285.6,285.9,288.95,283.95,284.4,284.6,285.91,2854706,81617786815000.0,22627,646097,0.2263
2019-01-22,JSWSTEEL,EQ,284.6,284.0,284.6,274.55,277.5,278.0,278.17,5006219,139258281155000.0,49315,1212494,0.2422
