Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-10-17,KOTAKBANK,EQ,1605.55,1610.0,1613.6,1586.5,1602.0,1604.55,1600.11,2076349,332238549155000.0,78587,720510,0.34700000000000003
2019-10-18,KOTAKBANK,EQ,1604.55,1603.8,1619.6,1591.0,1616.0,1615.25,1606.72,2357607,378800510635000.0,69717,1201242,0.5095000000000001
2019-10-22,KOTAKBANK,EQ,1615.25,1626.85,1643.0,1592.0,1626.8,1628.85,1615.55,4895082,790824271450000.0,168454,1287420,0.263
2019-10-23,KOTAKBANK,EQ,1628.85,1630.0,1638.7,1603.3,1610.95,1613.65,1619.39,3085230,499620461785000.06,119370,1238271,0.40140000000000003
2019-10-24,KOTAKBANK,EQ,1613.65,1619.9,1629.9,1597.55,1613.85,1613.2,1618.27,1600001,258924058015000.0,51232,426207,0.2664
2019-10-25,KOTAKBANK,EQ,1613.2,1613.85,1613.85,1569.15,1586.1,1588.6,1589.28,2867020,455649488745000.0,84528,1167087,0.4071
2019-10-27,KOTAKBANK,EQ,1588.6,1594.0,1601.0,1590.15,1593.15,1593.0,1594.75,197634,31517715730000.0,6555,78159,0.39549999999999996
2019-10-29,KOTAKBANK,EQ,1593.0,1597.4,1597.4,1568.0,1573.8,1575.55,1578.95,3002530,474085613789999.94,95398,1482067,0.4936
2019-10-30,KOTAKBANK,EQ,1575.55,1579.9,1588.55,1573.8,1576.25,1578.9,1581.43,1677269,265248255675000.0,55866,744712,0.444
2019-10-31,KOTAKBANK,EQ,1578.9,1583.95,1605.0,1566.0,1567.25,1574.5,1587.51,2481421,393928268555000.0,67608,1014845,0.409
2019-11-01,KOTAKBANK,EQ,1574.5,1572.0,1585.95,1563.0,1581.0,1579.9,1576.58,2219737,349960376970000.0,68609,1172655,0.5283
2019-11-04,KOTAKBANK,EQ,1579.9,1584.0,1596.8,1565.0,1568.0,1571.05,1582.78,1434393,227032789680000.03,56055,632093,0.44070000000000004
2019-11-05,KOTAKBANK,EQ,1571.05,1568.6,1569.75,1550.3,1556.45,1553.9,1557.1,2263394,352433201020000.0,68085,1143820,0.5054
2019-11-06,KOTAKBANK,EQ,1553.9,1556.45,1587.95,1541.0,1572.55,1571.05,1568.44,2247235,352465400080000.0,74825,782595,0.3482
2019-11-07,KOTAKBANK,EQ,1571.05,1577.0,1587.0,1558.95,1585.9,1584.0,1577.65,2511912,396292034560000.0,83847,1358711,0.5409
2019-11-08,KOTAKBANK,EQ,1584.0,1578.9,1606.0,1572.0,1599.7,1600.25,1591.33,3913627,622788733485000.0,101181,2343464,0.5988
2019-11-11,KOTAKBANK,EQ,1600.25,1594.9,1619.4,1592.0,1619.0,1616.9,1611.95,2923574,471266659895000.0,105551,1244336,0.42560000000000003
2019-11-13,KOTAKBANK,EQ,1616.9,1617.0,1628.0,1601.1,1606.0,1605.8,1616.06,2603834,420794692620000.0,97881,1278788,0.4911
2019-11-14,KOTAKBANK,EQ,1605.8,1606.0,1610.4,1584.05,1602.25,1597.6,1594.7,2639298,420889450620000.0,108437,1071914,0.4061
2019-11-15,KOTAKBANK,EQ,1597.6,1606.0,1629.0,1602.5,1623.25,1622.75,1617.87,2068406,334640991100000.0,66101,1014639,0.4905
2019-11-18,KOTAKBANK,EQ,1622.75,1626.65,1635.0,1616.55,1627.5,1627.2,1627.97,2014974,328032003775000.0,79095,1172917,0.5821000000000001
