Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-08-31,M&M,EQ,982.95,982.0,988.0,959.15,965.3,965.3,968.14,2243187,217172310655000.03,98835,1431334,0.6381
2018-09-03,M&M,EQ,965.3,974.9,974.95,942.0,945.6,947.8,960.64,2189450,210326424910000.0,65184,1007346,0.4601
2018-09-04,M&M,EQ,947.8,952.2,955.7,928.1,934.75,931.75,941.85,2067396,194718060685000.0,70503,970502,0.4694
2018-09-05,M&M,EQ,931.75,930.0,945.0,914.4,931.05,929.4,929.75,2133045,198319548555000.0,79639,1146114,0.5373
2018-09-06,M&M,EQ,929.4,935.0,943.7,927.5,932.2,934.95,934.56,2144816,200445097215000.0,120820,1185972,0.5529000000000001
2018-09-07,M&M,EQ,934.95,940.1,977.65,935.05,973.5,973.7,959.49,3132025,300513293195000.0,74862,1681345,0.5368
2018-09-10,M&M,EQ,973.7,970.65,976.15,934.6,939.0,937.35,955.52,2151834,205612204740000.0,67376,1267067,0.5888
2018-09-11,M&M,EQ,937.35,943.0,961.0,936.3,947.0,943.15,949.88,3909701,371373674010000.0,88297,1621351,0.4147
2018-09-12,M&M,EQ,943.15,948.45,951.0,912.4,937.0,938.15,930.96,2787531,259508853775000.0,84862,1006775,0.36119999999999997
2018-09-14,M&M,EQ,938.15,941.2,954.8,928.05,950.55,951.9,945.33,2803861,265057571769999.97,80167,1274114,0.45439999999999997
2018-09-17,M&M,EQ,951.9,947.65,956.4,936.6,952.0,950.85,950.0,1978897,187995053150000.0,65736,1299011,0.6564
2018-09-18,M&M,EQ,950.85,949.45,961.0,940.4,945.9,946.55,954.03,2227889,212546770220000.0,82145,1355614,0.6085
2018-09-19,M&M,EQ,946.55,947.0,965.65,938.2,949.25,948.9,954.05,2083160,198743526285000.0,96375,1026185,0.4926
2018-09-21,M&M,EQ,948.9,963.0,976.7,870.0,960.0,959.9,956.62,4633394,443240935364999.94,110694,2405018,0.5191
2018-09-24,M&M,EQ,959.9,955.0,958.2,885.0,898.0,896.05,904.51,4569708,413333258905000.0,141883,2330590,0.51
2018-09-25,M&M,EQ,896.05,896.0,900.0,865.25,896.0,893.0,884.14,4269089,377446280870000.0,143920,2207358,0.5171
2018-09-26,M&M,EQ,893.0,903.0,917.85,885.3,887.5,893.35,900.84,2357565,212377815185000.0,58651,1077710,0.4571
2018-09-27,M&M,EQ,893.35,888.0,895.45,866.5,874.0,877.45,880.9,2588148,227989601390000.0,86387,1208032,0.4668
2018-09-28,M&M,EQ,877.45,877.45,880.95,839.55,864.5,860.95,859.14,4188699,359869873570000.0,139848,2528819,0.6037
2018-10-01,M&M,EQ,860.95,860.5,864.45,840.95,847.15,847.6,850.0,3060818,260168888080000.03,76480,1801446,0.5886
2018-10-03,M&M,EQ,847.6,845.5,845.5,787.0,788.0,791.6,809.31,6680994,540699471810000.06,253657,3888638,0.5820000000000001
2018-10-04,M&M,EQ,791.6,780.15,800.0,765.45,791.5,794.7,787.24,5036305,396479812505000.0,201445,2395857,0.4757
2018-10-05,M&M,EQ,794.7,791.0,795.75,752.9,766.0,769.55,771.06,5157618,397684786335000.0,166975,2740187,0.5313
2018-10-08,M&M,EQ,769.55,768.75,780.95,753.3,776.05,774.85,768.34,3874262,297675897660000.0,146806,2024791,0.5226
2018-10-09,M&M,EQ,774.85,775.55,782.45,760.3,763.0,764.8,769.84,2933355,225821675805000.03,116065,1631331,0.5561
2018-10-10,M&M,EQ,764.8,768.0,774.6,750.9,764.9,764.1,762.79,7578601,578088915245000.0,149475,5320618,0.7021
2018-10-11,M&M,EQ,764.1,747.0,756.5,715.0,730.0,730.15,738.65,6199047,457889963810000.06,187876,4129950,0.6662
2018-10-12,M&M,EQ,730.15,738.5,775.9,735.55,768.5,768.5,766.79,4477653,343343665585000.0,167204,2054864,0.45890000000000003
2018-10-15,M&M,EQ,768.5,775.0,775.45,738.0,749.9,749.0,746.19,5282462,394171107535000.0,103920,3186327,0.6032000000000001
2018-10-16,M&M,EQ,749.0,753.6,780.0,750.1,779.0,777.7,770.65,4357854,335837936980000.0,126037,2010022,0.4612
2018-10-17,M&M,EQ,777.7,789.2,790.75,751.2,757.55,759.4,766.64,2634539,201975101585000.0,82100,911095,0.3458
2018-10-19,M&M,EQ,759.4,748.1,758.0,732.1,742.85,741.2,743.06,2985488,221838195630000.03,102223,1546516,0.518
2018-10-22,M&M,EQ,741.2,747.0,749.0,731.0,731.7,733.75,738.41,1842855,136077830465000.02,81763,832206,0.4516
2018-10-23,M&M,EQ,733.75,730.5,734.4,716.2,732.95,729.95,724.46,2967082,214952186480000.03,79818,1716639,0.5786
2018-10-24,M&M,EQ,729.95,740.8,749.2,725.65,735.0,736.25,736.69,3729119,274720806630000.03,101788,2112212,0.5664
2018-10-25,M&M,EQ,736.25,728.0,744.5,724.0,733.35,733.75,736.04,3966709,291967021865000.0,95313,2252456,0.5678
2018-10-26,M&M,EQ,733.75,731.0,741.8,722.7,727.0,728.2,732.04,1813847,132781052609999.98,68581,853698,0.4707
2018-10-29,M&M,EQ,728.2,728.0,752.85,728.0,745.4,749.5,744.66,1954444,145540119140000.0,50465,940989,0.4815
2018-10-30,M&M,EQ,749.5,751.0,762.75,737.0,746.35,746.3,750.79,2756355,206945443850000.0,73757,1496181,0.5428000000000001
2018-10-31,M&M,EQ,746.3,749.0,769.1,735.15,764.5,765.95,752.03,3093083,232609298435000.0,108708,1833376,0.5927
2018-11-01,M&M,EQ,765.95,770.5,778.7,751.0,756.0,756.05,764.6,4171044,318919599150000.0,101994,2127935,0.5102
2018-11-02,M&M,EQ,756.05,765.05,795.9,765.05,783.6,783.55,784.05,4117317,322817308630000.0,105060,1841461,0.4472
2018-11-05,M&M,EQ,783.55,784.0,784.65,770.0,772.9,775.45,775.02,2168486,168062852100000.0,114407,1316038,0.6069
2018-11-06,M&M,EQ,775.45,780.0,782.0,768.85,777.3,778.4,775.24,1839552,142609686145000.0,42395,1107806,0.6022
2018-11-07,M&M,EQ,778.4,788.0,794.0,783.65,793.5,792.9,792.06,731279,57921841320000.01,16440,180714,0.24710000000000001
2018-11-09,M&M,EQ,792.9,800.0,805.9,791.0,795.25,795.25,797.54,3085813,246104419869999.97,99506,1052230,0.341
2018-11-12,M&M,EQ,795.25,798.0,807.7,778.1,778.6,780.9,790.15,2101138,166021967840000.0,56802,946798,0.45060000000000006
2018-11-13,M&M,EQ,780.9,775.5,793.8,773.85,788.85,790.05,785.81,3010295,236552954810000.0,66274,1689827,0.5613
2018-11-14,M&M,EQ,790.05,793.1,797.4,765.5,772.15,769.6,779.25,4237768,330229801550000.0,81970,1793141,0.42310000000000003
2018-11-15,M&M,EQ,769.6,774.0,775.8,755.0,767.5,766.5,765.04,4315301,330136469155000.0,109133,2359480,0.5468000000000001
2018-11-16,M&M,EQ,766.5,767.65,776.5,759.75,768.2,767.6,769.7,2373384,182678899080000.0,73162,1098130,0.46270000000000006
2018-11-19,M&M,EQ,767.6,775.3,783.6,770.1,781.2,781.35,778.35,2681651,208725555955000.0,67818,1349293,0.5032
2018-11-20,M&M,EQ,781.35,780.0,792.4,773.35,782.0,782.6,786.58,2902880,228333801805000.03,82452,1527296,0.5261
2018-11-21,M&M,EQ,782.6,787.8,787.8,764.7,769.4,769.1,772.01,1851514,142938363280000.0,81516,916349,0.4949
2018-11-22,M&M,EQ,769.1,770.1,772.95,743.1,745.9,746.1,753.82,2578750,194392083085000.0,86596,1095917,0.425
2018-11-26,M&M,EQ,746.1,748.0,755.0,739.25,747.6,747.9,746.92,2676798,199934170010000.0,69774,1328691,0.4964
2018-11-27,M&M,EQ,747.9,747.0,753.9,738.1,752.5,751.75,744.91,2179714,162368472135000.0,73613,1204755,0.5527000000000001
2018-11-28,M&M,EQ,751.75,754.7,759.2,745.55,749.95,748.4,752.23,2007876,151037926630000.0,76611,1104787,0.5502
2018-11-29,M&M,EQ,748.4,756.0,780.3,752.0,775.6,773.2,769.6,5038807,387785741245000.0,98685,3150949,0.6253000000000001
2018-11-30,M&M,EQ,773.2,778.0,796.0,776.7,790.95,790.9,790.42,5214780,412188644175000.0,148027,3114205,0.5972
2018-12-03,M&M,EQ,790.9,800.0,800.8,756.6,763.45,761.05,769.18,5839713,449176550005000.0,151234,2985027,0.5112
2018-12-04,M&M,EQ,761.05,762.0,762.0,738.5,741.65,740.3,744.28,7101096,528517804985000.06,172141,4287713,0.6038
2018-12-05,M&M,EQ,740.3,740.3,740.3,715.1,718.9,718.05,726.34,4837874,351395888410000.0,186878,2685032,0.555
2018-12-06,M&M,EQ,718.05,717.5,722.0,706.5,712.45,710.95,713.49,3970063,283258124365000.0,137368,1591231,0.4008
2018-12-07,M&M,EQ,710.95,726.8,726.8,709.6,720.0,721.1,717.07,2716587,194798726085000.0,75894,810262,0.2983
2018-12-10,M&M,EQ,721.1,710.0,725.5,700.0,710.0,710.55,715.56,3150111,225410730290000.0,112237,1264857,0.40149999999999997
2018-12-11,M&M,EQ,710.55,699.9,729.9,694.0,722.35,722.35,714.15,4383980,313083301210000.0,140079,1773518,0.4045
2018-12-12,M&M,EQ,722.35,725.0,753.0,721.25,750.5,750.8,743.74,3460143,257345543294999.97,105018,1355300,0.39170000000000005
2018-12-13,M&M,EQ,750.8,755.0,765.1,746.25,758.2,759.2,757.52,3510371,265916735955000.03,119857,1667961,0.47520000000000007
2018-12-14,M&M,EQ,759.2,753.1,764.0,751.6,757.0,757.25,757.08,1760631,133294378965000.02,58677,768238,0.4363
2018-12-17,M&M,EQ,757.25,760.0,763.0,750.5,755.6,756.35,756.1,2022203,152898522665000.0,53855,1195859,0.5914
2018-12-18,M&M,EQ,756.35,755.6,772.0,752.4,772.0,770.95,767.24,3600834,276272179635000.0,112030,1437568,0.3992
2018-12-19,M&M,EQ,770.95,775.0,787.0,767.1,785.9,782.65,778.36,3361238,261626929419999.97,96963,1682898,0.5007
2018-12-20,M&M,EQ,782.65,779.7,797.0,778.5,794.95,795.45,791.12,2707144,214167311385000.0,88059,1384605,0.5115
2018-12-21,M&M,EQ,795.45,795.0,814.0,777.7,778.2,781.15,794.63,6125095,486717487210000.06,174532,2484219,0.4056
2018-12-24,M&M,EQ,781.15,782.9,792.5,775.0,788.15,788.65,786.12,2034516,159936872285000.0,68871,691308,0.3398
2018-12-26,M&M,EQ,788.65,785.65,793.5,772.0,789.0,787.7,782.92,1683700,131819493205000.0,41571,621571,0.36920000000000003
2018-12-27,M&M,EQ,787.7,794.5,802.0,788.1,793.05,795.65,795.31,3156130,251011605615000.0,101098,1393369,0.4415
2018-12-28,M&M,EQ,795.65,799.35,807.0,797.0,803.8,803.55,803.62,1820270,146280850290000.0,46993,765669,0.42060000000000003
2018-12-31,M&M,EQ,803.55,808.9,810.0,801.2,804.8,803.85,804.38,2232551,179582730840000.0,57577,1056785,0.47340000000000004
2019-01-01,M&M,EQ,803.85,805.0,805.85,771.3,773.0,773.35,779.59,3442903,268406636755000.03,77276,1174665,0.3412
2019-01-02,M&M,EQ,773.35,772.8,772.8,735.1,740.55,741.7,746.6,10596260,791121068650000.0,216753,5107791,0.48200000000000004
2019-01-03,M&M,EQ,741.7,743.4,744.85,716.2,718.0,718.3,727.46,11084172,806334604150000.0,213800,5426021,0.48950000000000005
2019-01-04,M&M,EQ,718.3,720.0,728.3,712.5,726.7,725.6,721.99,5919404,427372418725000.0,151647,1964823,0.3319
2019-01-07,M&M,EQ,725.6,734.55,735.9,723.55,730.0,729.55,729.45,2792255,203681671250000.0,78129,1223471,0.43820000000000003
