Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-13,MARUTI,EQ,4231.85,4231.0,4288.0,4229.15,4269.0,4273.85,4260.91,605082,257820093694999.97,48783,395537,0.6537000000000001
2015-10-14,MARUTI,EQ,4273.85,4270.9,4295.6,4242.0,4244.0,4249.75,4263.67,656029,279709201694999.97,41130,434350,0.6620999999999999
2015-10-15,MARUTI,EQ,4249.75,4269.9,4389.15,4261.0,4381.05,4377.4,4340.87,982419,426455513765000.0,54022,678348,0.6905
2015-10-16,MARUTI,EQ,4377.4,4410.0,4461.0,4381.05,4447.0,4450.25,4427.9,929525,411584364215000.0,57116,555618,0.5977
2015-10-19,MARUTI,EQ,4450.25,4465.0,4478.0,4408.1,4457.0,4458.95,4447.91,594941,264624373194999.97,39372,350115,0.5885
2015-10-20,MARUTI,EQ,4458.95,4467.9,4516.7,4441.65,4505.0,4508.75,4486.66,675597,303117285335000.0,46709,429948,0.6364
2015-10-21,MARUTI,EQ,4508.75,4489.0,4524.7,4450.0,4467.0,4474.7,4489.1,316565,142109268300000.0,26800,117361,0.37070000000000003
2015-10-23,MARUTI,EQ,4474.7,4500.8,4508.0,4371.1,4383.0,4380.9,4411.7,621558,274212553030000.03,68611,366238,0.5892000000000001
2015-10-26,MARUTI,EQ,4380.9,4400.0,4452.0,4375.8,4393.9,4385.15,4421.75,535165,236636350475000.0,44537,286063,0.5345000000000001
2015-10-27,MARUTI,EQ,4385.15,4409.0,4518.0,4376.6,4517.0,4497.0,4447.36,1290318,573850896390000.0,99359,317849,0.2463
2015-10-28,MARUTI,EQ,4497.0,4530.0,4559.0,4472.0,4489.95,4495.2,4515.82,989227,446717574730000.0,82001,372324,0.3764
2015-10-29,MARUTI,EQ,4495.2,4501.5,4512.55,4419.25,4446.0,4439.55,4450.42,907407,403834281950000.0,55332,499646,0.5506000000000001
2015-10-30,MARUTI,EQ,4439.55,4446.0,4467.9,4400.1,4462.0,4449.0,4430.25,738321,327094448375000.0,60428,486202,0.6585
2015-11-02,MARUTI,EQ,4449.0,4470.0,4525.05,4425.2,4482.0,4495.75,4488.12,603730,270961450744999.97,46693,256975,0.42560000000000003
2015-11-03,MARUTI,EQ,4495.75,4519.9,4521.2,4465.05,4467.0,4482.55,4486.75,320901,143980230860000.0,33034,157175,0.48979999999999996
2015-11-04,MARUTI,EQ,4482.55,4487.75,4536.55,4455.1,4521.35,4520.55,4507.91,660804,297884542110000.0,53432,354944,0.5371
2015-11-05,MARUTI,EQ,4520.55,4518.95,4555.0,4496.4,4518.0,4526.6,4534.49,406256,184216384375000.0,36538,207331,0.5103
2015-11-06,MARUTI,EQ,4526.6,4532.95,4535.35,4481.05,4533.95,4522.8,4514.81,361975,163424728330000.0,34747,190828,0.5272
2015-11-09,MARUTI,EQ,4522.8,4440.0,4639.0,4440.0,4627.0,4628.2,4595.08,729714,335309212805000.0,53824,404470,0.5543
2015-11-10,MARUTI,EQ,4628.2,4649.5,4729.95,4629.75,4715.15,4712.7,4688.92,909977,426680923525000.0,58353,552606,0.6073
2015-11-11,MARUTI,EQ,4712.7,4730.0,4757.1,4723.05,4745.0,4746.75,4742.18,86592,41063479225000.0,6232,28199,0.3257
2015-11-13,MARUTI,EQ,4746.75,4734.45,4737.25,4602.4,4620.0,4619.8,4666.97,983107,458813051350000.0,91593,588917,0.599
2015-11-16,MARUTI,EQ,4619.8,4600.0,4664.0,4572.9,4659.6,4646.9,4626.04,644299,298055356575000.0,42355,362779,0.5631
2015-11-17,MARUTI,EQ,4646.9,4645.4,4676.15,4618.0,4634.95,4632.25,4647.76,638262,296648705370000.0,67663,431694,0.6764
2015-11-18,MARUTI,EQ,4632.25,4634.5,4652.0,4525.0,4537.0,4533.25,4574.09,725994,332075931505000.0,49429,471436,0.6494
2015-11-19,MARUTI,EQ,4533.25,4580.9,4661.5,4571.05,4654.2,4650.35,4622.9,1030684,476474515780000.0,49161,706553,0.6855
2015-11-20,MARUTI,EQ,4650.35,4666.0,4766.0,4631.0,4735.0,4737.9,4722.85,917455,433299943564999.94,63851,522587,0.5696
2015-11-23,MARUTI,EQ,4737.9,4730.0,4790.0,4702.35,4737.9,4736.25,4742.25,1034126,490408284950000.0,80086,637530,0.6165
2015-11-24,MARUTI,EQ,4736.25,4724.05,4724.05,4621.0,4634.0,4639.9,4654.33,1287988,599472408095000.0,86092,875422,0.6797
2015-11-26,MARUTI,EQ,4639.9,4659.95,4659.95,4577.95,4617.3,4606.55,4610.97,1436728,662471097880000.0,71806,1036784,0.7216
2015-11-27,MARUTI,EQ,4606.55,4680.0,4680.0,4556.4,4577.85,4580.05,4584.34,1231876,564733669645000.0,79924,912598,0.7408
2015-11-30,MARUTI,EQ,4580.05,4586.0,4700.0,4492.1,4555.0,4606.9,4616.86,10567769,4878992369150000.0,220554,8238140,0.7796
2015-12-01,MARUTI,EQ,4606.9,4609.0,4616.0,4531.35,4545.0,4556.2,4568.66,1506622,688324324385000.0,100696,788104,0.5231
2015-12-02,MARUTI,EQ,4556.2,4600.0,4627.35,4556.2,4619.0,4618.8,4593.94,1123497,516127290439999.94,45553,776081,0.6908
2015-12-03,MARUTI,EQ,4618.8,4609.0,4644.7,4600.5,4630.2,4627.05,4627.85,567288,262532448040000.0,42293,348302,0.614
2015-12-04,MARUTI,EQ,4627.05,4610.0,4634.0,4579.15,4603.0,4600.35,4600.6,581041,267313686700000.0,49441,399488,0.6875
2015-12-07,MARUTI,EQ,4600.35,4622.0,4640.0,4558.0,4559.95,4564.2,4591.12,493623,226628471369999.97,48673,305720,0.6193
2015-12-08,MARUTI,EQ,4564.2,4540.0,4579.8,4520.0,4544.0,4542.55,4543.76,577670,262479178990000.0,75804,361678,0.6261
2015-12-09,MARUTI,EQ,4542.55,4538.8,4542.0,4470.0,4473.55,4479.1,4498.52,607147,273126489775000.0,56760,385711,0.6353
2015-12-10,MARUTI,EQ,4479.1,4495.0,4519.8,4406.05,4517.45,4498.1,4454.65,506406,225586008665000.0,52525,213544,0.4217
2015-12-11,MARUTI,EQ,4498.1,4519.75,4528.0,4412.0,4497.0,4480.75,4482.01,532721,238766121650000.0,38968,177481,0.3332
2015-12-14,MARUTI,EQ,4480.75,4478.9,4590.0,4471.5,4590.0,4576.8,4547.05,484617,220357574405000.03,39445,208032,0.4293
2015-12-15,MARUTI,EQ,4576.8,4605.0,4634.0,4563.1,4630.85,4620.0,4599.52,581111,267283087400000.0,45679,316185,0.5441
2015-12-16,MARUTI,EQ,4620.0,4655.0,4657.15,4604.0,4612.65,4619.4,4625.61,357572,165398984100000.0,30689,145865,0.4079
2015-12-17,MARUTI,EQ,4619.4,4650.0,4679.0,4573.85,4671.0,4666.75,4621.6,443534,204983739520000.0,32580,149139,0.33630000000000004
2015-12-18,MARUTI,EQ,4666.75,4684.7,4702.0,4611.5,4617.0,4620.45,4650.51,682206,317260829680000.0,55478,361400,0.5297999999999999
2015-12-21,MARUTI,EQ,4620.45,4626.9,4660.0,4616.25,4635.0,4639.1,4637.79,274072,127108888195000.0,22316,135206,0.4933
2015-12-22,MARUTI,EQ,4639.1,4630.0,4644.95,4602.05,4620.9,4617.2,4619.68,207127,95686069345000.0,21201,93311,0.45049999999999996
2015-12-23,MARUTI,EQ,4617.2,4635.0,4656.0,4620.0,4633.0,4634.95,4636.99,227939,105695036980000.0,24569,106144,0.4657
2015-12-24,MARUTI,EQ,4634.95,4633.25,4634.35,4586.15,4600.0,4598.4,4602.97,162732,74905060185000.0,10796,71088,0.4368
2015-12-28,MARUTI,EQ,4598.4,4598.4,4645.95,4588.0,4635.55,4640.0,4624.29,272134,125842647575000.0,18983,136589,0.5019
2015-12-29,MARUTI,EQ,4640.0,4641.95,4655.9,4612.8,4635.8,4636.9,4634.21,253128,117304848505000.0,32544,124509,0.4919
2015-12-30,MARUTI,EQ,4636.9,4637.0,4642.9,4575.0,4580.0,4587.2,4607.01,265170,122164003215000.02,19516,168306,0.6347
