Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-12,NAUKRI,EQ,2548.2,2478.0,2479.0,2350.0,2375.2,2364.15,2396.99,385192,92330279585000.0,38525,234573,0.609
2020-03-13,NAUKRI,EQ,2364.15,2132.0,2350.0,2131.55,2275.0,2292.45,2280.6,525548,119856275675000.0,53338,298645,0.5683
2020-03-16,NAUKRI,EQ,2292.45,2231.0,2272.1,2172.65,2184.25,2182.95,2209.6,257214,56834061504999.99,32150,139141,0.541
2020-03-17,NAUKRI,EQ,2182.95,2181.0,2199.95,2069.2,2079.95,2101.9,2132.08,394723,84158202085000.0,51911,226647,0.5742
2020-03-18,NAUKRI,EQ,2101.9,2101.35,2169.5,1970.0,1983.9,1983.85,2022.16,341971,69151992504999.99,31662,214184,0.6263000000000001
2020-03-19,NAUKRI,EQ,1983.85,1831.0,2069.8,1740.0,1976.95,1977.95,1884.05,409973,77240873685000.0,35984,213660,0.5212
2020-03-20,NAUKRI,EQ,1977.95,1950.5,2072.0,1856.65,1911.1,1951.6,1987.4,395592,78620100660000.0,47444,212347,0.5368
2020-03-23,NAUKRI,EQ,1951.6,1800.0,1848.4,1581.1,1714.85,1691.25,1708.13,540755,92367840515000.0,52768,355865,0.6581
2020-03-24,NAUKRI,EQ,1691.25,1676.0,1860.0,1674.35,1750.0,1772.85,1787.03,356952,63788221804999.99,34871,209890,0.588
2020-03-25,NAUKRI,EQ,1772.85,1750.0,1859.5,1700.0,1843.2,1828.3,1806.54,489231,88381631965000.0,49859,338420,0.6917
2020-03-26,NAUKRI,EQ,1828.3,1929.0,2193.95,1855.5,2060.0,2028.3,2001.03,415481,83138885575000.0,43566,203710,0.4903
2020-03-27,NAUKRI,EQ,2028.3,2149.0,2196.0,1980.0,2049.25,2050.45,2050.43,482477,98928672955000.0,37311,356367,0.7386
2020-03-30,NAUKRI,EQ,2050.45,2000.1,2160.0,1900.0,2142.0,2145.8,2072.78,512193,106166370880000.0,53292,262846,0.5132
2020-03-31,NAUKRI,EQ,2145.8,2162.0,2167.25,2017.95,2058.0,2035.05,2053.21,832574,170944885545000.0,49739,693922,0.8334999999999999
2020-04-01,NAUKRI,EQ,2035.05,2048.0,2100.6,1981.35,2012.0,2013.95,2018.16,335312,67671354615000.0,45433,215461,0.6426000000000001
2020-04-03,NAUKRI,EQ,2013.95,2028.0,2054.1,1931.0,2006.7,2006.65,1994.35,310860,61996236115000.0,32639,197766,0.6362
2020-04-07,NAUKRI,EQ,2006.65,2050.0,2407.95,2050.0,2316.5,2358.1,2188.14,285527,62477353115000.0,28356,143775,0.5035000000000001
2020-04-08,NAUKRI,EQ,2358.1,2310.0,2403.85,2202.0,2268.35,2253.85,2299.24,373732,85929990500000.0,52257,122333,0.3273
2020-04-09,NAUKRI,EQ,2253.85,2290.0,2340.55,2205.0,2230.0,2241.95,2269.33,209573,47559051250000.0,35255,88104,0.4204
2020-04-13,NAUKRI,EQ,2241.95,2222.0,2359.9,2140.5,2164.0,2161.3,2226.53,320698,71404357450000.0,28934,113177,0.3529
2020-04-15,NAUKRI,EQ,2161.3,2215.0,2418.0,2186.0,2380.0,2361.95,2313.29,691806,160034584830000.0,63970,397937,0.5752
2020-04-16,NAUKRI,EQ,2361.95,2370.3,2420.0,2326.0,2352.0,2348.45,2377.37,579119,137677791150000.0,41426,325125,0.5614
2020-04-17,NAUKRI,EQ,2348.45,2410.0,2524.0,2410.0,2500.0,2486.55,2481.47,516656,128206731234999.98,43452,218453,0.4228
2020-04-20,NAUKRI,EQ,2486.55,2495.0,2545.85,2369.0,2466.0,2444.85,2439.16,619686,151151390685000.0,52806,251187,0.4053
2020-04-21,NAUKRI,EQ,2444.85,2400.05,2461.0,2363.0,2384.95,2387.15,2406.48,227001,54627291779999.99,25129,67268,0.2963
2020-04-22,NAUKRI,EQ,2387.15,2370.0,2507.45,2370.0,2501.1,2496.65,2463.9,326276,80391278785000.0,30039,103680,0.3178
2020-04-23,NAUKRI,EQ,2496.65,2510.1,2556.0,2410.0,2434.4,2462.85,2508.03,427987,107340260760000.0,29456,207620,0.4851
2020-04-24,NAUKRI,EQ,2462.85,2420.0,2454.95,2303.0,2342.0,2327.1,2360.69,272699,64375867060000.0,25489,130750,0.47950000000000004
2020-04-27,NAUKRI,EQ,2327.1,2360.25,2404.9,2302.15,2338.2,2322.75,2350.35,193767,45542069435000.0,21193,66008,0.3407
2020-04-28,NAUKRI,EQ,2322.75,2370.0,2417.6,2289.3,2400.75,2392.25,2349.43,312743,73476915680000.0,25231,130271,0.4165
2020-04-29,NAUKRI,EQ,2392.25,2420.75,2499.75,2405.45,2418.4,2434.75,2467.34,487683,120327831100000.0,44892,195539,0.401
2020-04-30,NAUKRI,EQ,2434.75,2472.45,2577.5,2419.0,2575.95,2547.6,2497.11,334287,83475068970000.0,36692,119600,0.3578
2020-05-04,NAUKRI,EQ,2547.6,2488.0,2547.55,2461.15,2510.0,2500.75,2501.44,280623,70196226640000.0,28392,110365,0.3933
2020-05-05,NAUKRI,EQ,2500.75,2535.15,2659.0,2525.75,2590.0,2591.55,2596.61,596326,154842659230000.0,46752,145543,0.2441
2020-05-06,NAUKRI,EQ,2591.55,2608.15,2675.0,2583.0,2650.0,2646.85,2642.74,482619,127543425365000.02,52962,132380,0.2743
2020-05-07,NAUKRI,EQ,2646.85,2659.9,2680.0,2560.0,2607.4,2593.3,2618.62,358207,93800948100000.0,32249,139784,0.39020000000000005
2020-05-08,NAUKRI,EQ,2593.3,2608.0,2742.15,2583.3,2661.05,2697.95,2648.96,563873,149367722890000.0,33321,259587,0.4604
2020-05-11,NAUKRI,EQ,2697.95,2679.6,2718.65,2550.1,2574.85,2570.95,2634.73,398413,104971093265000.0,40672,134761,0.3382
2020-05-12,NAUKRI,EQ,2570.95,2570.0,2623.85,2500.0,2542.0,2525.45,2545.21,322142,81991977510000.0,31253,94120,0.2922
2020-05-13,NAUKRI,EQ,2525.45,2649.0,2650.0,2575.0,2632.85,2616.15,2612.37,315595,82445184625000.0,33577,117169,0.3713
2020-05-14,NAUKRI,EQ,2616.15,2611.3,2712.5,2577.15,2711.0,2695.8,2666.24,314207,83775022575000.0,30545,103572,0.3296
2020-05-15,NAUKRI,EQ,2695.8,2699.0,2699.0,2575.05,2586.0,2591.65,2615.65,286553,74952281945000.0,37067,119660,0.41759999999999997
2020-05-18,NAUKRI,EQ,2591.65,2590.0,2590.0,2205.0,2430.0,2403.9,2363.19,1010512,238803651969999.97,88248,307392,0.3042
2020-05-19,NAUKRI,EQ,2403.9,2449.9,2512.25,2415.0,2451.55,2462.6,2461.35,819856,201795519100000.0,53317,301258,0.3675
2020-05-20,NAUKRI,EQ,2462.6,2440.05,2456.1,2316.3,2403.0,2397.05,2363.63,771383,182326706515000.0,61740,197976,0.25670000000000004
2020-05-21,NAUKRI,EQ,2397.05,2412.05,2490.0,2405.0,2447.0,2456.05,2455.08,358529,88021746720000.0,28769,60561,0.16890000000000002
2020-05-22,NAUKRI,EQ,2456.05,2410.0,2448.1,2366.0,2421.95,2423.3,2399.02,253231,60750619640000.0,22022,58225,0.2299
2020-05-26,NAUKRI,EQ,2423.3,2423.5,2456.95,2377.0,2385.0,2395.1,2403.38,241083,57941357904999.99,16669,47406,0.1966
2020-05-27,NAUKRI,EQ,2395.1,2398.7,2440.4,2335.0,2431.05,2431.9,2398.27,343527,82387132770000.0,24476,75251,0.21910000000000002
2020-05-28,NAUKRI,EQ,2431.9,2457.25,2588.0,2434.2,2580.7,2570.9,2547.33,587301,149604706775000.0,38866,219963,0.37450000000000006
2020-05-29,NAUKRI,EQ,2570.9,2570.9,2780.0,2526.05,2685.0,2683.8,2630.36,604880,159105177385000.0,35753,219744,0.3633
2020-06-01,NAUKRI,EQ,2683.8,2705.15,2755.2,2606.05,2694.7,2681.55,2681.61,429176,115088122520000.0,27879,91422,0.21300000000000002
2020-06-02,NAUKRI,EQ,2681.55,2688.05,2704.7,2580.0,2606.0,2602.55,2636.76,352597,92971423215000.0,23569,95523,0.27090000000000003
2020-06-03,NAUKRI,EQ,2602.55,2628.0,2647.2,2532.55,2581.0,2570.95,2584.54,650421,168103681430000.0,53144,311058,0.4782
2020-06-04,NAUKRI,EQ,2570.95,2540.0,2579.3,2483.2,2524.95,2514.0,2512.81,795526,199900451565000.0,51597,312855,0.3933
2020-06-05,NAUKRI,EQ,2514.0,2540.45,2540.95,2472.9,2499.9,2500.1,2498.51,480448,120040610640000.02,27487,257687,0.5363
2020-06-08,NAUKRI,EQ,2500.1,2529.0,2679.9,2520.0,2674.0,2662.95,2608.34,638891,166644624180000.0,42070,193658,0.3031
2020-06-09,NAUKRI,EQ,2662.95,2685.2,2722.9,2640.0,2720.0,2703.15,2692.46,1519933,409235642595000.0,44752,1012711,0.6663
2020-06-10,NAUKRI,EQ,2703.15,2720.0,2778.85,2687.0,2743.0,2746.8,2746.92,730231,200588961390000.0,56368,186466,0.2554
2020-06-11,NAUKRI,EQ,2746.8,2755.0,2769.95,2680.0,2750.0,2740.1,2727.45,461148,125775881655000.0,31519,163419,0.3544
2020-06-12,NAUKRI,EQ,2740.1,2650.0,2844.75,2650.0,2819.45,2820.5,2786.27,719697,200527053445000.0,50203,166546,0.23140000000000002
2020-06-15,NAUKRI,EQ,2820.5,2799.85,2809.45,2755.1,2785.0,2786.35,2782.67,432744,120418162050000.0,25137,188113,0.4347
2020-06-16,NAUKRI,EQ,2786.35,2839.95,2875.0,2762.0,2807.0,2813.45,2820.3,518217,146152793755000.0,32456,65249,0.1259
