Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-08-31,NHPC,EQ,24.95,25.0,25.45,25.0,25.4,25.35,25.24,2893779,7304992330000.0,7218,1597156,0.5519
2018-09-03,NHPC,EQ,25.35,25.35,25.8,25.2,25.5,25.5,25.53,1957510,4998466100000.0,2845,841393,0.42979999999999996
2018-09-04,NHPC,EQ,25.5,25.75,25.75,25.0,25.0,25.1,25.27,2920106,7380256475000.0,3858,1250295,0.4282
2018-09-05,NHPC,EQ,25.1,24.9,25.15,24.55,25.05,25.0,24.81,3137652,7785921775000.0,5053,1287516,0.4103
2018-09-06,NHPC,EQ,25.0,25.0,25.5,24.9,25.3,25.4,25.22,2270387,5726560590000.0,2616,973923,0.429
2018-09-07,NHPC,EQ,25.4,25.45,27.2,25.3,26.0,25.95,26.21,6216392,16293949735000.0,8119,1452371,0.2336
2018-09-10,NHPC,EQ,25.95,26.0,26.0,25.05,25.2,25.15,25.39,3926543,9970764060000.0,4296,1718773,0.43770000000000003
2018-09-11,NHPC,EQ,25.15,25.3,25.4,24.85,24.95,24.9,25.13,1669743,4196395310000.0,2664,628467,0.3764
2018-09-12,NHPC,EQ,24.9,24.7,24.9,24.5,24.75,24.7,24.67,1474116,3636209310000.0,2140,545080,0.36979999999999996
2018-09-14,NHPC,EQ,24.7,24.75,25.05,24.6,24.9,24.85,24.81,3297508,8181888780000.0,4932,1255657,0.38079999999999997
2018-09-17,NHPC,EQ,24.85,24.85,24.85,24.55,24.55,24.6,24.68,1377740,3400421929999.9995,3054,688455,0.4997
2018-09-18,NHPC,EQ,24.6,24.6,24.8,24.25,24.3,24.3,24.43,1995840,4876547625000.0,3504,913012,0.4575
2018-09-19,NHPC,EQ,24.3,24.3,24.4,23.9,24.2,24.15,24.1,3318511,7997317130000.0,6283,2235004,0.6735
2018-09-21,NHPC,EQ,24.15,24.25,24.5,22.9,23.8,23.75,23.74,7241424,17189665994999.998,9338,4086868,0.5644
2018-09-24,NHPC,EQ,23.75,23.75,23.95,23.15,23.25,23.25,23.46,2663961,6248704390000.0,9513,1110328,0.4168
2018-09-25,NHPC,EQ,23.25,23.25,23.6,22.95,23.45,23.55,23.32,2206745,5146527150000.0,8312,845861,0.3833
2018-09-26,NHPC,EQ,23.55,23.5,23.6,23.3,23.5,23.45,23.45,1930273,4527173580000.0,2945,866750,0.449
2018-09-27,NHPC,EQ,23.45,23.4,23.55,22.8,22.9,22.9,23.08,2758395,6367212900000.0,6160,1151345,0.41740000000000005
2018-09-28,NHPC,EQ,22.9,23.1,23.15,22.25,22.7,22.6,22.53,6075801,13685793930000.002,7648,2831532,0.466
2018-10-01,NHPC,EQ,22.6,22.7,23.15,22.4,23.05,23.05,22.78,2947772,6714196355000.0,4378,1516667,0.5145000000000001
2018-10-03,NHPC,EQ,23.05,23.0,23.35,22.8,23.0,23.0,23.04,2763357,6365814110000.0,6325,991945,0.359
2018-10-04,NHPC,EQ,23.0,22.65,24.15,22.65,23.8,24.0,23.67,9695134,22948378295000.0,9230,3198623,0.3299
2018-10-05,NHPC,EQ,24.0,23.85,23.85,23.05,23.2,23.2,23.27,5142104,11967477215000.0,19587,3082673,0.5995
2018-10-08,NHPC,EQ,23.2,23.1,23.35,22.3,22.6,22.5,22.61,3187425,7207677395000.0,5196,1654316,0.519
2018-10-09,NHPC,EQ,22.5,22.6,22.75,22.1,22.65,22.6,22.49,4150490,9334020840000.0,6300,1802808,0.4344
2018-10-10,NHPC,EQ,22.6,22.7,23.95,22.65,23.8,23.7,23.48,4268084,10021956305000.0,8849,1125790,0.2638
2018-10-11,NHPC,EQ,23.7,23.25,23.95,23.0,23.6,23.55,23.5,2454483,5767770820000.0,4990,804308,0.32770000000000005
2018-10-12,NHPC,EQ,23.55,23.75,24.15,23.65,23.75,23.8,23.87,1922651,4589636575000.0,2903,547191,0.2846
2018-10-15,NHPC,EQ,23.8,23.8,24.0,23.4,23.6,23.6,23.66,2659040,6289973715000.0,2367,1474320,0.5545
2018-10-16,NHPC,EQ,23.6,23.6,24.25,23.55,24.0,24.05,23.97,2123473,5090372060000.0,3135,993344,0.4678
2018-10-17,NHPC,EQ,24.05,24.1,24.45,23.6,23.75,23.7,24.01,2420256,5810335445000.0,3539,825357,0.341
2018-10-19,NHPC,EQ,23.7,23.7,24.6,23.6,24.3,24.4,24.12,4955763,11951049800000.0,6942,2966368,0.5986
2018-10-22,NHPC,EQ,24.4,24.4,24.55,23.9,24.0,24.0,24.07,1966078,4731744820000.0,3406,864687,0.43979999999999997
2018-10-23,NHPC,EQ,24.0,23.8,24.3,23.8,24.25,24.0,23.98,3732655,8950706635000.0,3528,2093797,0.5609000000000001
2018-10-24,NHPC,EQ,24.0,24.1,24.25,23.9,24.05,24.0,24.02,1668985,4009253970000.0005,4394,852824,0.511
