Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-11-20,NMDC,EQ,100.05,100.6,104.25,100.5,101.9,101.8,102.17,4153659,42436223870000.0,16835,658773,0.1586
2019-11-21,NMDC,EQ,101.8,102.3,102.3,99.15,99.7,99.7,100.18,3127691,31332141920000.0,9857,709749,0.22690000000000002
2019-11-22,NMDC,EQ,99.7,99.6,100.8,98.45,100.7,100.25,99.49,2503954,24913028940000.0,11666,655128,0.2616
2019-11-25,NMDC,EQ,100.25,100.8,104.2,100.5,103.25,103.3,102.98,3880113,39957603750000.0,13761,781814,0.20149999999999998
2019-11-26,NMDC,EQ,103.3,103.4,104.15,100.4,101.0,100.85,102.25,3536840,36164146445000.0,14978,820242,0.23190000000000002
2019-11-27,NMDC,EQ,100.85,101.2,102.25,101.1,101.8,101.8,101.72,1500662,15264627594999.998,8389,383695,0.2557
2019-11-28,NMDC,EQ,101.8,102.4,105.9,101.8,104.6,105.0,104.66,4613828,48289398380000.0,17811,975338,0.2114
2019-11-29,NMDC,EQ,105.0,104.5,104.5,101.4,102.25,102.55,102.58,3863817,39634000020000.0,16847,611065,0.1582
2019-12-02,NMDC,EQ,102.55,102.25,106.45,101.65,106.0,105.5,105.12,4424441,46508946375000.0,18223,785843,0.1776
2019-12-03,NMDC,EQ,105.5,105.75,109.5,101.75,108.2,108.1,106.42,10977333,116825193680000.0,49989,2385349,0.21730000000000002
2019-12-04,NMDC,EQ,108.1,107.0,113.9,106.6,113.3,113.35,111.34,12803315,142546990195000.0,65868,2938116,0.2295
2019-12-05,NMDC,EQ,113.35,113.4,113.9,108.5,109.3,109.65,110.86,5526581,61266699029999.99,25662,1013406,0.1834
2019-12-06,NMDC,EQ,109.65,110.3,111.45,109.1,110.0,110.45,110.34,4403158,48586550435000.0,22851,1076624,0.2445
2019-12-09,NMDC,EQ,110.45,111.0,112.4,108.35,109.6,109.35,110.74,5150822,57038655195000.01,17466,515808,0.1001
2019-12-10,NMDC,EQ,109.35,109.85,111.35,109.15,110.05,110.0,110.29,2346123,25875408195000.0,10842,357276,0.15230000000000002
2019-12-11,NMDC,EQ,110.0,110.0,112.2,110.0,111.45,111.65,111.15,3385350,37629467850000.0,10490,1280857,0.37840000000000007
2019-12-12,NMDC,EQ,111.65,111.45,114.0,111.45,114.0,113.75,113.09,3989005,45113628840000.0,16810,1381899,0.3464
2019-12-13,NMDC,EQ,113.75,114.25,116.0,112.6,113.9,114.25,114.18,6917391,78981511180000.0,33318,2130386,0.308
2019-12-16,NMDC,EQ,114.25,115.5,117.85,114.15,114.85,114.9,115.7,7404974,85678314600000.0,29129,1187231,0.16030000000000003
2019-12-17,NMDC,EQ,114.9,114.8,117.7,114.3,117.0,117.2,116.53,4119980,48010645555000.0,18800,1217205,0.2954
2019-12-18,NMDC,EQ,117.2,118.3,120.45,117.4,120.4,119.95,119.13,12138296,144605358655000.0,48634,3379092,0.2784
2019-12-19,NMDC,EQ,119.95,120.5,124.4,120.5,123.6,123.3,123.29,17428671,214870838769999.97,76823,3793095,0.21760000000000002
2019-12-20,NMDC,EQ,123.3,124.45,124.9,122.6,124.35,124.35,123.95,9157427,113507827215000.02,27974,1994531,0.21780000000000002
2019-12-23,NMDC,EQ,124.35,123.9,125.5,122.8,123.8,123.65,124.38,5320153,66171291965000.0,21316,1785477,0.3356
2019-12-24,NMDC,EQ,123.65,123.65,125.45,123.55,124.9,124.75,124.69,4244727,52928008725000.0,15433,1486996,0.3503
2019-12-26,NMDC,EQ,124.75,124.9,127.05,124.2,126.25,126.25,126.14,5841510,73683804250000.0,22917,1407760,0.24100000000000002
2019-12-27,NMDC,EQ,126.25,126.25,126.5,123.75,126.0,126.1,125.44,5110321,64105959835000.0,23807,1611054,0.3153
2019-12-30,NMDC,EQ,126.1,126.1,128.0,126.1,127.0,126.95,127.09,4466064,56758706200000.0,22566,1574121,0.3525
2019-12-31,NMDC,EQ,126.95,127.7,130.8,125.75,129.0,128.9,128.27,7331942,94049057430000.0,34686,2662531,0.36310000000000003
2020-01-01,NMDC,EQ,128.9,129.05,129.7,127.15,128.0,128.35,128.26,2620422,33608885145000.0,13284,496912,0.18960000000000002
2020-01-02,NMDC,EQ,128.35,129.15,131.65,128.95,130.55,131.2,130.32,6159633,80272903275000.0,26008,998476,0.16210000000000002
2020-01-03,NMDC,EQ,131.2,131.5,131.5,128.4,129.3,129.25,129.52,4688896,60729498204999.99,19558,2056579,0.4386
2020-01-06,NMDC,EQ,129.25,128.4,130.0,127.35,130.0,129.4,128.98,5356734,69091812354999.99,28695,1926139,0.35960000000000003
2020-01-07,NMDC,EQ,129.4,130.0,130.9,124.25,127.55,128.05,127.2,14219999,180874295745000.0,61077,3332751,0.23440000000000003
2020-01-08,NMDC,EQ,128.05,127.4,127.4,118.1,121.6,121.8,123.35,13388244,165146926630000.0,42300,2253620,0.16829999999999998
2020-01-09,NMDC,EQ,121.8,123.8,123.9,119.45,120.7,120.75,121.22,10218493,123870134065000.02,49865,2621202,0.2565
