Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-13,NTPC,EQ,127.25,127.4,128.4,126.9,127.5,127.45,127.55,2088708,26641806425000.0,10771,1610150,0.7709
2015-10-14,NTPC,EQ,127.45,127.4,128.1,125.2,125.9,125.85,127.05,2221529,28224556855000.0,25692,1683256,0.7576999999999999
2015-10-15,NTPC,EQ,125.85,126.5,126.8,124.55,125.35,125.0,125.73,2270893,28551688875000.0,21286,1468893,0.6468
2015-10-16,NTPC,EQ,125.0,125.3,127.95,125.2,126.9,126.8,126.88,16375709,207770769720000.0,23646,14852651,0.907
2015-10-19,NTPC,EQ,126.8,127.0,127.65,126.1,126.9,127.3,126.9,3480204,44163955490000.0,10561,2793118,0.8026000000000001
2015-10-20,NTPC,EQ,127.3,127.35,129.8,126.7,127.65,127.95,128.5,4534079,58262587385000.0,16009,3711784,0.8186
2015-10-21,NTPC,EQ,127.95,127.95,131.7,127.1,130.2,129.95,129.7,3523320,45696368590000.0,25011,2077267,0.5896
2015-10-23,NTPC,EQ,129.95,131.1,133.95,131.1,132.6,132.65,133.05,3240376,43111839780000.0,28086,2042265,0.6303
2015-10-26,NTPC,EQ,132.65,133.0,133.5,131.25,132.0,132.85,132.54,2128825,28215052964999.996,23468,1320459,0.6203000000000001
2015-10-27,NTPC,EQ,132.85,132.2,133.25,131.1,132.65,132.65,132.63,7027571,93206926490000.0,37614,5305737,0.755
2015-10-28,NTPC,EQ,132.65,131.65,133.0,129.05,129.25,129.45,130.43,3707680,48358933215000.0,38745,2354977,0.6352000000000001
2015-10-29,NTPC,EQ,129.45,130.05,131.2,127.3,127.7,127.95,129.02,8183414,105585752100000.0,45332,3352510,0.4097
2015-10-30,NTPC,EQ,127.95,128.05,137.65,128.05,132.65,132.8,133.99,9124375,122260540590000.02,52383,2766640,0.3032
2015-11-02,NTPC,EQ,132.8,132.45,133.3,129.7,132.4,132.7,130.98,9551710,125109935250000.0,26973,8017516,0.8394
2015-11-03,NTPC,EQ,132.7,133.0,137.8,133.0,135.9,135.7,136.07,9327334,126917607150000.0,72327,6377698,0.6838
2015-11-04,NTPC,EQ,135.7,136.25,136.5,134.55,134.8,135.05,135.46,3595862,48708488280000.0,18580,1957820,0.5445000000000001
2015-11-05,NTPC,EQ,135.05,135.0,137.0,134.65,135.9,136.0,136.06,6411721,87236743205000.0,47300,4633862,0.7227
2015-11-06,NTPC,EQ,136.0,138.5,139.3,134.4,135.5,135.55,136.07,6038018,82161239815000.0,49426,3270321,0.5416
2015-11-09,NTPC,EQ,135.55,133.5,134.45,132.15,133.7,133.55,133.4,2502041,33378236175000.0,17440,1381025,0.552
2015-11-10,NTPC,EQ,133.55,133.4,134.75,130.35,132.0,131.35,131.6,2246276,29559998480000.0,14693,1133331,0.5045000000000001
2015-11-11,NTPC,EQ,131.35,133.45,133.85,131.25,131.7,131.9,132.19,238889,3157942785000.0,2126,99172,0.41509999999999997
2015-11-13,NTPC,EQ,131.9,130.9,132.75,129.8,131.35,130.8,131.19,1822013,23903253870000.0,41145,995494,0.5464
2015-11-16,NTPC,EQ,130.8,130.3,132.0,129.8,131.15,131.2,131.02,2557892,33513311970000.0,40231,1746464,0.6828000000000001
2015-11-17,NTPC,EQ,131.2,131.5,133.25,130.8,132.5,132.1,131.93,1692608,22330132635000.0,21915,1125075,0.6647
2015-11-18,NTPC,EQ,132.1,132.1,135.15,132.0,132.35,132.9,134.33,7362540,98899871450000.0,40723,5642618,0.7664
2015-11-19,NTPC,EQ,132.9,133.9,134.55,132.0,134.4,133.95,133.43,1414337,18871042690000.0,15625,613882,0.434
2015-11-20,NTPC,EQ,133.95,134.0,134.95,133.4,134.25,134.15,134.1,3752899,50326867615000.0,20192,2737783,0.7295
2015-11-23,NTPC,EQ,134.15,134.25,134.7,132.25,133.1,133.1,133.03,1325340,17631011255000.0,9506,705399,0.5322
2015-11-24,NTPC,EQ,133.1,132.8,133.75,130.85,131.0,131.15,131.95,1972690,26030185105000.0,9503,1191787,0.6041
2015-11-26,NTPC,EQ,131.15,131.4,133.6,130.7,132.85,132.9,132.61,4895178,64914661404999.99,25006,3192306,0.6520999999999999
2015-11-27,NTPC,EQ,132.9,133.5,134.0,132.25,133.0,132.7,133.07,3776775,50258516725000.0,35447,2491640,0.6597
2015-11-30,NTPC,EQ,132.7,133.0,133.7,130.1,130.65,130.9,131.32,7462346,97994317005000.0,47769,6105764,0.8181999999999999
2015-12-01,NTPC,EQ,130.9,131.1,132.9,131.0,132.65,132.65,132.32,1480439,19588714885000.0,11024,876067,0.5918
2015-12-02,NTPC,EQ,132.65,132.75,133.45,131.5,132.85,133.1,132.39,1296753,17168104344999.998,22269,718115,0.5538000000000001
2015-12-03,NTPC,EQ,133.1,132.85,134.9,132.4,133.65,133.5,133.87,2258527,30233954985000.004,17617,1315698,0.5825
2015-12-04,NTPC,EQ,133.5,133.1,133.35,130.0,130.9,130.4,131.53,1691296,22246133165000.0,12378,986972,0.5836
2015-12-07,NTPC,EQ,130.4,130.0,131.05,128.0,129.75,130.2,129.25,2999591,38770219600000.0,33507,1618841,0.5397
2015-12-08,NTPC,EQ,130.2,129.45,131.0,129.3,130.45,130.05,130.36,2348269,30611484935000.004,23256,1660649,0.7072
2015-12-09,NTPC,EQ,130.05,130.45,132.25,128.9,130.6,130.15,130.6,3478391,45429513715000.0,15484,2299522,0.6611
2015-12-10,NTPC,EQ,130.15,130.2,133.65,130.2,132.8,133.2,132.78,3907775,51888880180000.0,22053,2316612,0.5928
2015-12-11,NTPC,EQ,133.2,133.45,133.45,131.65,132.8,132.75,132.5,6516314,86341621635000.0,19009,5331543,0.8181999999999999
2015-12-14,NTPC,EQ,132.75,132.0,133.4,131.4,132.7,132.85,132.72,3243340,43047022545000.0,9460,2363342,0.7287
2015-12-15,NTPC,EQ,132.85,132.5,133.25,130.5,131.2,131.8,131.92,1912248,25226911560000.0,18404,1120359,0.5859000000000001
2015-12-16,NTPC,EQ,131.8,131.8,134.9,131.8,133.35,133.55,133.79,2356152,31523674020000.0,29883,1548168,0.6570999999999999
2015-12-17,NTPC,EQ,133.55,134.5,136.4,134.25,135.3,135.55,135.13,4681371,63257438085000.0,20707,3465517,0.7403000000000001
2015-12-18,NTPC,EQ,135.55,135.9,138.1,135.2,135.2,135.85,136.86,6022630,82428207010000.0,24809,4731620,0.7856000000000001
2015-12-21,NTPC,EQ,135.85,135.0,137.4,135.0,136.35,136.4,136.55,2270586,31004928880000.0,14723,1587132,0.6990000000000001
2015-12-22,NTPC,EQ,136.4,136.8,138.4,136.5,136.85,137.0,137.52,4321766,59434923400000.0,20191,3559739,0.8237000000000001
2015-12-23,NTPC,EQ,137.0,137.2,139.8,137.2,139.0,139.0,138.96,2422165,33659378514999.996,21576,1581079,0.6528
2015-12-24,NTPC,EQ,139.0,139.25,139.9,138.8,139.2,139.3,139.34,1845098,25709504060000.0,12884,1283151,0.6954000000000001
2015-12-28,NTPC,EQ,139.3,139.3,144.7,139.3,143.8,143.95,142.67,5162618,73655814750000.0,31373,3904257,0.7563
2015-12-29,NTPC,EQ,143.95,144.45,148.85,144.1,144.1,144.8,145.79,9858577,143723560125000.0,50902,7137476,0.7240000000000001
2015-12-30,NTPC,EQ,144.8,144.0,147.0,143.9,144.9,145.05,145.54,5883797,85633645710000.0,31663,4449662,0.7563
2015-12-31,NTPC,EQ,145.05,145.05,146.9,144.05,145.2,146.25,145.83,5139521,74950777860000.0,26447,3622683,0.7049
2016-01-01,NTPC,EQ,146.25,146.3,146.3,144.1,144.8,144.5,144.81,906633,13128903320000.0,10122,328776,0.3626
2016-01-04,NTPC,EQ,144.5,143.25,147.0,142.85,143.8,143.3,144.63,1383462,20009017875000.0,19873,487900,0.3527
2016-01-05,NTPC,EQ,143.3,144.7,145.65,142.0,142.25,142.25,143.45,1819511,26100422135000.0,21150,1009748,0.555
2016-01-06,NTPC,EQ,142.25,142.0,142.9,140.05,140.9,141.45,141.61,2129651,30158984100000.0,35989,1120498,0.5261
2016-01-07,NTPC,EQ,141.45,140.9,140.9,137.05,138.2,137.85,138.6,3664338,50787907200000.0,49937,2385220,0.6509
2016-01-08,NTPC,EQ,137.85,138.2,140.2,137.1,139.4,139.55,139.03,4166852,57932969454999.99,54030,3081378,0.7395
2016-01-11,NTPC,EQ,139.55,137.25,142.95,137.25,142.05,141.6,141.23,7996423,112936493859999.98,79135,5429399,0.679
2016-01-12,NTPC,EQ,141.6,143.5,145.9,142.75,145.7,145.2,144.61,4442817,64246095090000.0,57800,2372875,0.5341
2016-01-13,NTPC,EQ,145.2,145.9,146.95,141.3,144.5,144.25,144.51,5279498,76293532700000.0,30223,3310740,0.6271
2016-01-14,NTPC,EQ,144.25,142.9,144.6,140.3,143.55,143.2,142.94,2181174,31177751200000.0,14855,1128611,0.5174000000000001
2016-01-15,NTPC,EQ,143.2,143.9,144.5,135.65,136.0,136.45,138.84,4844569,67259897600000.0,44774,2800794,0.5781000000000001
2016-01-18,NTPC,EQ,136.45,135.9,138.55,133.25,136.05,134.6,135.37,5912308,80035588505000.0,42177,3944734,0.6672
2016-01-19,NTPC,EQ,134.6,135.4,138.15,134.4,135.1,135.15,136.37,2730088,37229100850000.0,41716,1453415,0.5324
2016-01-20,NTPC,EQ,135.15,134.3,134.8,130.8,132.0,132.2,132.44,4078265,54012498204999.99,37899,2381105,0.5839
2016-01-21,NTPC,EQ,132.2,132.9,135.3,132.3,134.0,133.0,133.65,3060350,40901179125000.0,22631,1541990,0.5039
2016-01-22,NTPC,EQ,133.0,135.05,139.3,134.15,138.6,138.15,137.29,3401368,46695906955000.0,24969,2155065,0.6336
2016-01-25,NTPC,EQ,138.15,139.5,139.7,136.35,137.25,137.95,137.68,2706751,37266021430000.0,47882,1530458,0.5654
2016-01-27,NTPC,EQ,137.95,139.8,144.6,138.45,144.0,143.75,141.9,5385172,76417771530000.0,51697,3544571,0.6581999999999999
2016-01-28,NTPC,EQ,143.75,143.1,145.35,143.1,144.1,144.25,144.42,9123286,131754353275000.0,46822,6552440,0.7182
2016-01-29,NTPC,EQ,144.25,144.0,146.7,140.4,141.85,142.45,143.7,8003685,115010973845000.0,40648,3468907,0.43340000000000006
2016-02-01,NTPC,EQ,142.45,142.0,144.15,139.8,140.25,140.25,141.15,3977314,56139474665000.0,50480,2180839,0.5483
2016-02-02,NTPC,EQ,140.25,140.0,140.5,132.75,133.3,134.05,136.68,4616742,63100724565000.0,43771,2255370,0.48850000000000005
2016-02-03,NTPC,EQ,134.05,131.55,133.8,127.25,130.0,128.65,130.77,4507570,58944253720000.01,27646,2401907,0.5329
2016-02-04,NTPC,EQ,128.65,130.0,131.1,124.6,126.0,125.9,126.29,7456658,94170008310000.0,41506,4715510,0.6324000000000001
2016-02-05,NTPC,EQ,125.9,124.95,126.6,124.0,125.2,124.8,125.31,2431078,30464375535000.004,24472,1166297,0.4797
