Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-08-31,OFSS,EQ,4171.9,4140.05,4185.0,4139.85,4182.4,4160.2,4176.24,214121,89422054825000.0,8111,151884,0.7093
2018-09-03,OFSS,EQ,4160.2,4200.0,4200.0,4080.0,4093.0,4113.65,4168.08,97357,40579135920000.0,8229,55852,0.5737
2018-09-04,OFSS,EQ,4113.65,4092.2,4117.95,3905.5,3966.7,3951.4,4031.33,62045,25012373365000.0,5614,31651,0.5101
2018-09-05,OFSS,EQ,3951.4,3952.1,4063.15,3939.0,4036.45,4044.85,4021.21,64147,25794830745000.0,11608,34592,0.5393
2018-09-06,OFSS,EQ,4044.85,4030.05,4083.7,4029.85,4070.0,4073.15,4066.65,78539,31939089060000.004,10836,51723,0.6586
2018-09-07,OFSS,EQ,4073.15,4060.0,4181.55,4060.0,4174.45,4165.3,4156.02,42279,17571221169999.998,11576,19726,0.46659999999999996
2018-09-10,OFSS,EQ,4165.3,4150.0,4190.0,4118.0,4175.0,4154.85,4165.36,36559,15228135805000.002,5743,20917,0.5721
2018-09-11,OFSS,EQ,4154.85,4163.75,4273.7,4132.05,4201.0,4192.55,4201.58,63114,26517871145000.0,9628,33073,0.524
2018-09-12,OFSS,EQ,4192.55,4190.0,4291.5,4185.0,4235.5,4267.55,4258.18,59642,25396629065000.0,8590,30697,0.5147
2018-09-14,OFSS,EQ,4267.55,4259.9,4340.0,4228.05,4259.0,4252.85,4276.41,37714,16128054425000.0,5823,11882,0.31510000000000005
2018-09-17,OFSS,EQ,4252.85,4249.95,4658.4,4220.0,4473.3,4489.7,4442.97,1036259,460406975550000.0,40443,727291,0.7018000000000001
2018-09-18,OFSS,EQ,4489.7,4514.95,4531.95,4230.15,4267.0,4260.15,4442.16,817369,363088731065000.0,21890,673421,0.8239000000000001
2018-09-19,OFSS,EQ,4260.15,4280.0,4385.0,4075.85,4125.0,4106.5,4281.76,769196,329351535895000.0,16731,653528,0.8495999999999999
2018-09-21,OFSS,EQ,4106.5,4116.0,4187.0,3959.0,4070.0,4011.9,4076.47,172726,70411299450000.0,20451,73904,0.4279
