Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-16,PETRONET,EQ,244.3,244.0,244.55,240.6,241.0,241.3,242.4,1306766,31676480505000.0,39944,792479,0.6064
2019-08-19,PETRONET,EQ,241.3,238.7,242.8,237.1,237.3,237.55,239.37,958454,22942686270000.0,22382,426819,0.44530000000000003
2019-08-20,PETRONET,EQ,237.55,237.3,239.75,235.5,236.0,236.5,237.4,1419787,33705627789999.996,31433,945502,0.6659
2019-08-21,PETRONET,EQ,236.5,236.5,241.5,236.0,238.5,238.9,240.02,3408819,81819459945000.0,55027,2397104,0.7031999999999999
2019-08-22,PETRONET,EQ,238.9,238.0,245.25,236.15,239.95,238.75,240.37,4591864,110374078009999.98,49576,2980659,0.6491
2019-08-23,PETRONET,EQ,238.75,238.55,242.0,237.25,238.25,238.8,239.2,2151636,51466078470000.0,51982,1428241,0.6638
2019-08-26,PETRONET,EQ,238.8,239.4,246.95,236.7,245.9,246.0,243.69,4127162,100573018045000.0,66729,2490478,0.6034
2019-08-27,PETRONET,EQ,246.0,248.25,259.55,246.15,258.95,258.5,256.06,7970944,204104973020000.0,126828,4745948,0.5954
2019-08-28,PETRONET,EQ,258.5,259.9,261.0,256.2,260.7,260.05,258.69,4536646,117356457455000.0,72991,1759736,0.3879
2019-08-29,PETRONET,EQ,260.05,259.45,264.4,258.75,261.65,262.65,261.08,1916430,50033561125000.0,34643,803584,0.4193
2019-08-30,PETRONET,EQ,262.65,262.65,267.8,262.15,266.9,266.85,265.2,3235478,85805101430000.0,58205,1757469,0.5432
2019-09-03,PETRONET,EQ,266.85,266.65,268.8,262.9,264.25,264.05,266.1,2720785,72399744175000.0,62920,1573457,0.5783
2019-09-04,PETRONET,EQ,264.05,264.3,266.7,260.55,266.0,265.65,263.52,2322199,61193928525000.0,50080,1011639,0.43560000000000004
2019-09-05,PETRONET,EQ,265.65,264.45,266.75,262.9,264.6,265.15,264.91,2584540,68467241620000.01,47386,1491795,0.5772
2019-09-06,PETRONET,EQ,265.15,267.1,267.4,261.55,264.0,264.15,263.59,3696312,97429844755000.0,64587,2033368,0.5501
2019-09-09,PETRONET,EQ,264.15,266.45,266.75,264.4,265.35,265.3,265.42,1466345,38919798920000.0,23456,797632,0.544
2019-09-11,PETRONET,EQ,265.3,266.0,269.95,263.9,264.5,265.4,266.85,2425611,64728261760000.0,54799,1021410,0.42110000000000003
2019-09-12,PETRONET,EQ,265.4,265.4,268.1,262.4,263.5,263.55,264.8,1421613,37644569305000.0,19362,818706,0.5759000000000001
2019-09-13,PETRONET,EQ,263.55,263.7,267.4,262.85,267.0,266.3,265.07,1715936,45484342085000.0,31350,946606,0.5517000000000001
2019-09-16,PETRONET,EQ,266.3,267.0,270.7,265.2,267.5,267.95,267.42,2188344,58521604029999.99,31317,1044528,0.4773
2019-09-17,PETRONET,EQ,267.95,268.0,268.35,260.05,262.0,263.0,263.66,2818310,74306840980000.0,37935,1532865,0.5439
2019-09-18,PETRONET,EQ,263.0,262.0,266.2,262.0,263.95,263.35,264.14,1227309,32418101135000.004,23257,628605,0.5122
2019-09-19,PETRONET,EQ,263.35,263.35,265.0,251.6,254.7,254.95,257.08,1995539,51301131910000.0,27925,533297,0.2672
2019-09-20,PETRONET,EQ,254.95,256.45,272.0,249.2,270.1,266.45,258.79,4176686,108087524900000.0,62018,1895807,0.4539
2019-09-23,PETRONET,EQ,266.45,293.05,299.0,246.7,251.9,252.95,260.84,33758785,880570227770000.1,290541,12034310,0.3565
2019-09-24,PETRONET,EQ,252.95,257.05,264.95,253.55,256.05,256.25,256.91,9311183,239214883069999.97,124716,3776449,0.4056
2019-09-25,PETRONET,EQ,256.25,256.25,259.65,254.5,258.45,258.5,257.45,7170881,184613165795000.0,116001,3713492,0.5179
2019-09-26,PETRONET,EQ,258.5,260.0,260.1,256.25,259.0,258.9,258.34,4644350,119983047115000.02,54519,2767045,0.5958
2019-09-27,PETRONET,EQ,258.9,258.0,263.55,257.7,260.15,260.5,261.52,3430060,89703971630000.0,43768,1465076,0.42710000000000004
2019-09-30,PETRONET,EQ,260.5,259.9,260.7,255.5,260.0,259.9,258.62,2132999,55163581865000.0,33782,1209444,0.5670000000000001
2019-10-01,PETRONET,EQ,259.9,261.0,263.8,253.4,259.0,258.65,260.72,3866087,100796460285000.0,54910,2383821,0.6165999999999999
2019-10-03,PETRONET,EQ,258.65,258.65,263.15,256.75,257.5,258.0,259.66,2753985,71509865765000.0,47391,1667629,0.6055
2019-10-04,PETRONET,EQ,258.0,258.3,261.4,255.45,255.6,255.9,258.45,1913486,49453343120000.0,36328,1100211,0.5750000000000001
2019-10-07,PETRONET,EQ,255.9,255.9,259.0,255.3,255.95,256.65,256.98,1858005,47747411910000.0,22822,1118199,0.6018
2019-10-09,PETRONET,EQ,256.65,256.65,259.35,255.1,257.25,257.55,257.44,4262340,109728880570000.0,43950,3022393,0.7091
2019-10-10,PETRONET,EQ,257.55,257.25,260.05,257.0,258.9,258.65,258.4,2069638,53478835905000.0,36538,1345348,0.65
2019-10-11,PETRONET,EQ,258.65,258.75,259.4,255.15,257.45,257.2,257.23,2670249,68687604160000.0,62384,1923543,0.7204
2019-10-14,PETRONET,EQ,257.2,258.9,261.8,257.45,258.3,258.85,259.56,1664770,43210520200000.0,28886,783422,0.4706
2019-10-15,PETRONET,EQ,258.85,258.9,260.5,257.6,259.3,259.25,259.2,1809678,46906999210000.0,52687,992248,0.5483
2019-10-16,PETRONET,EQ,259.25,261.8,262.95,258.25,261.8,261.75,260.79,2832581,73869816530000.0,47569,2164189,0.7640000000000001
2019-10-17,PETRONET,EQ,261.75,261.5,264.85,261.15,263.35,262.95,262.97,2910624,76540726905000.0,46922,1901195,0.6531999999999999
2019-10-18,PETRONET,EQ,262.95,262.95,267.95,262.6,266.95,267.3,266.26,2301727,61284760625000.0,46054,1112501,0.4833
2019-10-22,PETRONET,EQ,267.3,268.95,277.5,267.85,275.15,275.1,274.21,5498814,150780620810000.0,121053,3013113,0.5479999999999999
2019-10-23,PETRONET,EQ,275.1,276.8,277.45,268.15,269.5,269.2,271.14,2464570,66823969775000.0,55274,1003071,0.40700000000000003
2019-10-24,PETRONET,EQ,269.2,270.0,270.95,266.05,269.65,269.1,268.73,3099624,83295611260000.0,43150,2110693,0.6809999999999999
2019-10-25,PETRONET,EQ,269.1,271.65,272.9,268.5,271.1,271.25,271.02,2139789,57993499595000.01,46246,1315729,0.6149
2019-10-27,PETRONET,EQ,271.25,274.7,274.7,271.5,272.45,272.6,273.0,227254,6204021815000.0,3678,107878,0.4747
2019-10-29,PETRONET,EQ,272.6,273.55,281.4,272.0,279.0,279.15,276.64,5233555,144783450225000.0,119421,3070107,0.5866
2019-10-30,PETRONET,EQ,279.15,289.0,297.75,280.5,286.1,285.5,290.04,13204144,382978320270000.0,172948,4103792,0.31079999999999997
2019-10-31,PETRONET,EQ,285.5,287.5,289.8,285.35,286.0,286.4,286.65,4495870,128873535925000.0,102509,3054676,0.6794
2019-11-01,PETRONET,EQ,286.4,286.8,288.85,281.0,283.0,283.5,283.91,4861869,138030927540000.02,67546,3032006,0.6236
2019-11-04,PETRONET,EQ,283.5,286.7,289.0,283.65,285.75,285.2,285.47,2281184,65121403329999.99,60392,1448315,0.6349
2019-11-05,PETRONET,EQ,285.2,287.0,288.75,281.55,284.95,284.95,285.33,2960869,84482371765000.0,57749,2005836,0.6774
2019-11-06,PETRONET,EQ,284.95,287.0,289.0,284.6,288.7,288.25,287.33,1786788,51339815235000.0,44900,1008280,0.5643
2019-11-07,PETRONET,EQ,288.25,283.5,285.45,282.75,285.25,284.65,284.22,1488525,42307355830000.0,46484,800545,0.5378000000000001
2019-11-08,PETRONET,EQ,284.65,284.9,286.3,282.65,283.25,283.4,283.96,1710718,48576724285000.0,19279,1062435,0.621
2019-11-11,PETRONET,EQ,283.4,282.6,284.45,281.8,284.0,283.05,282.97,792640,22429378625000.0,18149,433779,0.5473
2019-11-13,PETRONET,EQ,283.05,284.0,285.0,278.0,278.25,278.7,280.54,2609859,73218128740000.0,31516,1868791,0.7161
2019-11-14,PETRONET,EQ,278.7,279.25,282.85,274.9,276.35,276.3,276.88,3050324,84457596885000.0,45728,2184869,0.7162999999999999
2019-11-15,PETRONET,EQ,276.3,277.45,280.55,273.55,277.95,277.95,276.39,3235494,89426767670000.0,41441,1799985,0.5563
2019-11-18,PETRONET,EQ,277.95,277.5,277.85,272.5,273.1,273.15,274.02,1521933,41704626935000.0,23678,772781,0.5078
2019-11-19,PETRONET,EQ,273.15,273.15,275.65,271.25,271.6,272.0,273.36,1635407,44705063645000.0,29719,967852,0.5918
2019-11-20,PETRONET,EQ,272.0,272.5,276.05,272.25,276.0,275.35,274.47,1283157,35218350060000.0,19412,830023,0.6469
2019-11-21,PETRONET,EQ,275.35,277.0,284.35,270.95,271.8,272.6,279.41,3088117,86284471815000.0,33817,1362915,0.4413
2019-11-22,PETRONET,EQ,272.6,271.0,273.25,263.6,264.3,264.75,266.5,2945996,78511024125000.0,31073,1511120,0.5129
2019-11-25,PETRONET,EQ,264.75,264.3,266.95,262.25,264.55,264.7,264.27,2648922,70004328640000.0,37258,1701012,0.6422
2019-11-26,PETRONET,EQ,264.7,266.85,273.3,265.25,269.0,267.05,268.39,4709143,126390784784999.98,58160,2915125,0.619
2019-11-27,PETRONET,EQ,267.05,268.35,276.25,268.05,275.25,275.25,272.95,2501403,68274836720000.01,37691,1502894,0.6008
2019-11-28,PETRONET,EQ,275.25,273.7,276.0,272.8,275.95,274.75,274.37,572760,15714887500000.0,11321,179844,0.314
2019-11-29,PETRONET,EQ,274.75,276.15,276.15,269.1,271.5,271.5,271.75,1298373,35283869225000.0,26184,705366,0.5433
2019-12-02,PETRONET,EQ,271.5,273.7,280.25,269.05,278.6,278.15,277.7,3740315,103868398150000.0,55696,2140476,0.5723
2019-12-03,PETRONET,EQ,278.15,278.15,283.25,275.2,276.2,276.2,278.85,2542459,70895854775000.0,41821,1162061,0.4571
2019-12-04,PETRONET,EQ,276.2,275.5,277.95,273.5,275.55,275.65,275.48,1337269,36839057445000.0,25313,788547,0.5897
2019-12-05,PETRONET,EQ,275.65,275.65,278.05,271.0,271.5,272.45,274.87,3001850,82510487860000.0,31544,2515529,0.838
2019-12-06,PETRONET,EQ,272.45,271.5,273.7,266.8,268.05,268.05,269.16,1552434,41784789755000.0,31817,960233,0.6185
2019-12-09,PETRONET,EQ,268.05,269.45,273.4,267.7,271.05,272.65,271.26,1934059,52462914715000.0,25929,1207097,0.6241
2019-12-10,PETRONET,EQ,272.65,272.0,274.75,270.55,270.8,271.6,272.24,1633041,44458070795000.0,24596,882707,0.5405
2019-12-11,PETRONET,EQ,271.6,270.0,276.95,269.4,276.0,275.25,273.91,1876933,51410260535000.0,37834,710725,0.3787
2019-12-12,PETRONET,EQ,275.25,278.0,283.25,270.45,272.9,271.55,276.35,4463666,123351906430000.0,58041,1940640,0.43479999999999996
2019-12-13,PETRONET,EQ,271.55,273.3,276.0,271.1,275.1,274.45,273.67,2884627,78942471530000.0,34467,1609471,0.5579
2019-12-16,PETRONET,EQ,274.45,274.5,277.3,272.95,274.95,274.75,274.88,1242559,34155899364999.996,19613,658903,0.5303
2019-12-17,PETRONET,EQ,274.75,274.65,280.3,274.05,277.75,278.15,278.29,3583308,99720954860000.0,49024,1731736,0.4833
2019-12-18,PETRONET,EQ,278.15,278.45,279.55,275.3,277.55,278.0,276.64,2684545,74265374700000.0,29983,2203195,0.8207
2019-12-19,PETRONET,EQ,278.0,278.0,279.2,276.05,276.95,276.8,276.92,946026,26197771690000.0,18387,610900,0.6458
2019-12-20,PETRONET,EQ,276.8,276.8,281.5,275.05,276.45,275.85,278.02,3099754,86179778720000.0,68113,1956181,0.6311
2019-12-23,PETRONET,EQ,275.85,275.05,275.9,272.45,275.0,275.05,273.64,1968035,53853118475000.0,30909,1375841,0.6990999999999999
2019-12-24,PETRONET,EQ,275.05,275.05,275.4,271.5,271.75,272.35,272.98,1352301,36915582785000.0,22097,837801,0.6195
2019-12-26,PETRONET,EQ,272.35,271.95,273.2,269.25,270.0,269.85,270.65,952197,25771286065000.0,16092,548505,0.5760000000000001
2019-12-27,PETRONET,EQ,269.85,270.25,272.8,268.65,271.0,271.7,271.02,1540638,41753868275000.0,25249,913544,0.593
2019-12-30,PETRONET,EQ,271.7,272.0,272.75,267.6,269.25,269.45,269.53,1364545,36777930780000.0,22571,801418,0.5872999999999999
2019-12-31,PETRONET,EQ,269.45,269.6,271.0,267.5,268.05,267.95,269.23,1028377,27687273585000.004,15453,575126,0.5593
2020-01-01,PETRONET,EQ,267.95,268.5,269.8,266.3,267.0,266.6,267.72,805652,21569113055000.0,8082,409549,0.5083
2020-01-02,PETRONET,EQ,266.6,267.0,270.5,267.0,269.4,268.95,268.19,916521,24580552400000.0,19207,430904,0.47020000000000006
2020-01-03,PETRONET,EQ,268.95,269.25,271.85,268.2,269.85,269.25,270.25,1433324,38735265085000.0,36827,656162,0.45780000000000004
2020-01-06,PETRONET,EQ,269.25,269.25,269.25,264.7,266.65,266.85,266.56,1529272,40763663070000.0,51008,977228,0.639
2020-01-07,PETRONET,EQ,266.85,268.0,272.15,266.45,270.9,270.95,270.6,1945358,52640581505000.0,22847,1160138,0.5964
2020-01-08,PETRONET,EQ,270.95,268.5,271.55,265.75,270.25,270.3,268.07,1315983,35277308965000.0,21421,762873,0.5797
2020-01-09,PETRONET,EQ,270.3,271.8,273.15,268.1,269.25,270.25,270.32,1009431,27287104270000.0,22051,535491,0.5305
2020-01-10,PETRONET,EQ,270.25,270.0,271.35,268.0,269.5,269.3,269.57,1379935,37199551250000.0,24208,743708,0.5389
2020-01-13,PETRONET,EQ,269.3,270.0,275.7,270.0,274.4,273.35,273.58,2166711,59277152904999.99,33914,1269602,0.5860000000000001
2020-01-14,PETRONET,EQ,273.35,273.35,278.6,272.85,277.5,277.7,276.25,5081856,140385469095000.0,51943,4030894,0.7931999999999999
2020-01-15,PETRONET,EQ,277.7,277.45,280.2,275.1,276.7,276.65,277.74,3201899,88930875965000.0,25988,1706095,0.5328
2020-01-16,PETRONET,EQ,276.65,277.05,277.75,272.2,274.75,274.95,274.54,2009271,55162551329999.99,34059,1368363,0.6809999999999999
2020-01-17,PETRONET,EQ,274.95,274.95,276.25,270.4,272.3,272.65,273.91,2147084,58810532685000.0,23240,1329039,0.619
2020-01-20,PETRONET,EQ,272.65,272.5,276.45,272.35,273.5,273.4,274.54,877568,24092320375000.0,17801,401706,0.45770000000000005
2020-01-21,PETRONET,EQ,273.4,272.95,274.95,269.0,273.55,274.1,272.68,1401384,38212862030000.0,31979,783569,0.5590999999999999
2020-01-22,PETRONET,EQ,274.1,273.55,274.65,270.4,270.45,270.85,272.31,677934,18460592600000.0,23960,418219,0.6169
2020-01-23,PETRONET,EQ,270.85,271.0,277.5,270.85,277.0,277.0,275.48,3160181,87057931680000.0,34474,1968316,0.6228
2020-01-24,PETRONET,EQ,277.0,277.95,279.85,275.5,276.85,276.8,276.93,1830315,50686869240000.0,30905,1214547,0.6636
2020-01-27,PETRONET,EQ,276.8,277.5,277.95,271.3,272.3,272.3,274.86,2644351,72682809030000.0,26398,1095323,0.4142
2020-01-28,PETRONET,EQ,272.3,272.3,275.5,270.95,273.3,273.3,273.5,1162509,31794464575000.0,25480,536621,0.46159999999999995
2020-01-29,PETRONET,EQ,273.3,277.6,277.6,272.5,272.65,273.85,275.55,1990054,54835887840000.0,27275,1238111,0.6221
2020-01-30,PETRONET,EQ,273.85,273.6,276.45,268.7,269.2,269.65,272.21,1940696,52828489160000.0,30363,1126375,0.5804
