Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,POWERGRID,EQ,198.65,197.45,200.5,196.1,200.5,200.0,198.11,2228415,44147093905000.0,13221,628379,0.282
2019-01-02,POWERGRID,EQ,200.0,199.1,200.0,194.0,194.65,195.25,196.18,4430566,86917527450000.0,51240,2420448,0.5463
2019-01-03,POWERGRID,EQ,195.25,194.9,195.0,192.0,193.3,193.05,193.41,4467862,86412539485000.0,53584,3451213,0.7725
2019-01-04,POWERGRID,EQ,193.05,193.3,196.75,191.4,195.25,195.9,195.03,2259867,44073791075000.0,34730,1122863,0.4969
2019-01-07,POWERGRID,EQ,195.9,196.1,198.9,195.85,197.5,198.45,197.74,2020789,39958608080000.0,26422,1111408,0.55
2019-01-08,POWERGRID,EQ,198.45,197.9,198.5,195.8,197.35,197.35,197.08,2244865,44242905180000.0,32318,1110209,0.49460000000000004
2019-01-09,POWERGRID,EQ,197.35,197.35,198.75,195.6,197.5,197.6,197.46,2299236,45401490480000.0,24640,1592494,0.6926000000000001
2019-01-10,POWERGRID,EQ,197.6,197.45,197.45,194.9,195.0,195.65,195.9,2019221,39557471355000.0,20368,969899,0.4803
2019-01-11,POWERGRID,EQ,195.65,194.9,195.9,193.25,194.0,194.35,194.38,1685132,32755361810000.004,22893,857704,0.509
2019-01-14,POWERGRID,EQ,194.35,194.05,194.35,191.0,192.05,192.5,192.21,3020885,58064450615000.0,29760,1960026,0.6487999999999999
2019-01-15,POWERGRID,EQ,192.5,199.0,199.0,190.4,192.3,192.45,191.99,6468115,124181698015000.02,36760,3837937,0.5934
2019-01-16,POWERGRID,EQ,192.45,192.5,194.15,191.6,191.6,192.0,192.85,4789937,92371725215000.0,23891,3724315,0.7775
2019-01-17,POWERGRID,EQ,192.0,192.0,194.55,192.0,194.0,193.9,193.99,2995612,58112286560000.0,28680,1528871,0.5104
2019-01-18,POWERGRID,EQ,193.9,194.0,196.7,192.5,193.45,193.6,194.78,2456405,47846237680000.0,36895,1288978,0.5246999999999999
2019-01-21,POWERGRID,EQ,193.6,193.95,194.7,190.65,191.0,191.25,191.71,2287769,43858206855000.0,17135,1422392,0.6217
2019-01-22,POWERGRID,EQ,191.25,191.0,191.25,188.5,189.3,189.7,189.74,2012319,38181055565000.0,18735,1452015,0.7216
2019-01-23,POWERGRID,EQ,189.7,189.55,191.5,185.7,187.4,186.3,187.96,3472589,65272506820000.01,45583,2184574,0.6291
2019-01-24,POWERGRID,EQ,186.3,186.7,189.1,185.55,187.4,186.75,187.02,3463363,64771466565000.0,33575,2102395,0.6070000000000001
2019-01-25,POWERGRID,EQ,186.75,187.6,189.1,185.25,185.9,185.85,187.16,2175999,40726766660000.0,28596,1329522,0.611
2019-01-28,POWERGRID,EQ,185.85,186.0,188.6,182.0,187.8,187.8,185.8,4185481,77767486670000.0,42475,2520105,0.6021
2019-01-29,POWERGRID,EQ,187.8,186.8,187.8,183.65,185.4,185.6,185.28,9826512,182064163440000.0,47411,7106000,0.7231000000000001
2019-01-30,POWERGRID,EQ,185.6,185.1,187.9,183.4,186.8,187.1,185.43,7150221,132584624165000.02,53090,4836572,0.6764
2019-01-31,POWERGRID,EQ,187.1,188.5,191.5,186.8,188.6,188.6,188.71,14498055,273593088380000.03,55523,11174813,0.7708
2019-02-01,POWERGRID,EQ,188.6,190.95,191.85,185.9,190.1,190.2,188.59,5329604,100512962800000.0,47079,2576838,0.48350000000000004
2019-02-04,POWERGRID,EQ,190.2,189.5,189.5,183.75,184.1,184.6,186.65,2069251,38623241575000.0,24259,1017994,0.49200000000000005
2019-02-05,POWERGRID,EQ,184.6,184.1,186.95,183.5,186.65,186.1,186.05,3093963,57564086815000.0,44964,1531542,0.495
2019-02-06,POWERGRID,EQ,186.1,186.25,188.75,184.75,186.65,186.8,186.97,2431491,45460664555000.0,31862,1153440,0.4744
2019-02-07,POWERGRID,EQ,186.8,186.95,187.7,184.0,184.6,184.6,186.01,2423984,45088564295000.0,32696,1661405,0.6854000000000001
2019-02-08,POWERGRID,EQ,184.6,184.6,187.95,180.5,181.4,181.0,184.67,4326833,79902757565000.0,48906,2022972,0.4675
2019-02-11,POWERGRID,EQ,181.0,179.6,183.2,177.85,183.0,182.35,180.68,4451317,80426870225000.0,38179,2497153,0.561
2019-02-12,POWERGRID,EQ,182.35,183.0,186.4,180.45,181.8,181.25,183.53,6710853,123165088345000.0,53697,3537609,0.5271
2019-02-13,POWERGRID,EQ,181.25,181.6,184.7,173.75,176.65,176.55,179.37,8525054,152914418170000.0,54670,5230999,0.6136
2019-02-14,POWERGRID,EQ,176.55,177.5,178.85,172.5,176.35,174.95,174.75,20791350,363337670875000.0,103409,11726506,0.564
2019-02-15,POWERGRID,EQ,174.95,178.4,182.2,177.6,179.8,181.5,180.8,9003158,162779026400000.0,57902,4297305,0.4773
2019-02-18,POWERGRID,EQ,181.5,181.45,183.5,179.55,181.25,180.75,180.86,4485330,81123728750000.0,40156,2451313,0.5465
2019-02-19,POWERGRID,EQ,180.75,180.25,183.0,178.9,179.05,179.45,180.69,6088733,110019047559999.98,42417,3487013,0.5727000000000001
2019-02-20,POWERGRID,EQ,179.45,180.75,182.6,178.6,181.95,181.8,180.65,5432730,98143322410000.0,49532,3608932,0.6643000000000001
2019-02-21,POWERGRID,EQ,181.8,182.7,183.0,180.85,181.2,181.8,182.0,5173777,94164932085000.0,53458,3430280,0.663
2019-02-22,POWERGRID,EQ,181.8,181.7,182.6,180.5,181.55,181.9,181.86,6852451,124618795240000.02,50580,4659788,0.68
2019-02-25,POWERGRID,EQ,181.9,181.0,182.5,178.5,181.05,181.95,181.1,16822873,304664889925000.0,115039,11774794,0.6999
2019-02-26,POWERGRID,EQ,181.95,179.5,182.7,178.85,180.7,181.2,180.91,7697140,139246688784999.98,55884,5321130,0.6912999999999999
2019-02-27,POWERGRID,EQ,181.2,181.3,184.3,179.85,181.25,181.45,181.95,7631155,138847023534999.98,71012,5211417,0.6829000000000001
2019-02-28,POWERGRID,EQ,181.45,182.9,184.75,180.6,182.25,182.85,182.97,39298476,719042050045000.0,125738,33236137,0.8456999999999999
2019-03-01,POWERGRID,EQ,182.85,183.1,183.75,182.1,183.5,183.2,182.88,4065623,74350752135000.0,49854,2364106,0.5815
2019-03-05,POWERGRID,EQ,183.2,184.0,185.45,182.6,182.85,183.0,183.97,8850207,162814661935000.0,99412,5838145,0.6597
2019-03-06,POWERGRID,EQ,183.0,183.1,186.4,181.7,186.3,184.5,183.2,11439434,209565278970000.0,46992,6718303,0.5872999999999999
2019-03-07,POWERGRID,EQ,184.5,187.0,189.5,184.6,186.95,187.15,187.29,6916242,129531329184999.98,50067,1732632,0.2505
2019-03-08,POWERGRID,EQ,187.15,188.0,188.45,185.25,186.8,187.0,186.54,3493857,65175472140000.0,28550,1856791,0.5314
2019-03-11,POWERGRID,EQ,187.0,188.5,196.0,187.75,194.5,194.3,193.06,9944379,191988593805000.0,72091,5733865,0.5766
2019-03-12,POWERGRID,EQ,194.3,194.65,202.0,194.65,196.6,196.35,199.05,14882155,296227868590000.0,74982,6785347,0.4559
2019-03-13,POWERGRID,EQ,196.35,198.1,198.25,193.1,194.75,194.75,194.52,3898251,75826851810000.0,42743,2114847,0.5425
2019-03-14,POWERGRID,EQ,194.75,188.95,189.75,187.25,187.7,187.6,188.01,4762557,89542840600000.0,39776,1838587,0.3861
2019-03-15,POWERGRID,EQ,187.6,187.1,194.2,187.1,193.0,193.25,192.54,8044829,154897669460000.0,57717,4078716,0.507
2019-03-18,POWERGRID,EQ,193.25,194.15,197.8,193.25,197.4,197.05,196.1,8014129,157159143225000.0,51288,5328969,0.6648999999999999
2019-03-19,POWERGRID,EQ,197.05,196.2,200.2,195.3,199.4,199.0,199.0,9560251,190246028155000.0,37113,7523027,0.7869
2019-03-20,POWERGRID,EQ,199.0,199.25,199.85,196.5,197.8,197.4,197.79,5096583,100803660555000.0,31113,3419103,0.6709
2019-03-22,POWERGRID,EQ,197.4,197.9,200.85,197.15,197.6,198.5,198.85,4940345,98237249245000.0,45213,3513459,0.7112
2019-03-25,POWERGRID,EQ,198.5,197.2,203.5,195.1,201.65,202.0,201.24,8159917,164210171990000.0,65653,4928550,0.604
2019-03-26,POWERGRID,EQ,202.0,202.15,203.9,199.4,203.45,202.85,201.92,4708995,95083086770000.0,43724,2422893,0.5145000000000001
2019-03-27,POWERGRID,EQ,202.85,203.0,204.7,198.5,199.6,200.2,201.93,6513687,131531608850000.0,60837,3356298,0.5153
2019-03-28,POWERGRID,EQ,200.2,200.0,200.0,196.45,197.5,198.25,197.95,9582112,189677818600000.0,55038,6830720,0.7129000000000001
2019-03-29,POWERGRID,EQ,198.25,198.0,200.6,196.75,197.7,197.9,198.33,6938849,137617798645000.0,61978,4548471,0.6555
2019-04-01,POWERGRID,EQ,197.9,198.2,199.7,195.1,195.5,195.55,197.46,5972451,117930924230000.0,72592,4244446,0.7107
2019-04-02,POWERGRID,EQ,195.55,196.0,200.8,196.0,199.95,199.8,199.32,10094645,201208524960000.0,75808,6106724,0.6049
2019-04-03,POWERGRID,EQ,199.8,200.4,202.55,200.15,201.0,200.95,201.52,8480624,170898506940000.0,55301,6658625,0.7852
2019-04-04,POWERGRID,EQ,200.95,201.45,203.25,198.5,198.7,199.35,201.13,5698269,114606865770000.0,60918,3292276,0.5778
