Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-10-22,SBILIFE,EQ,925.95,929.2,997.5,929.2,989.9,989.15,969.48,2040975,197867935760000.0,100090,930628,0.456
2019-10-23,SBILIFE,EQ,989.15,994.0,1012.3,970.15,984.0,985.95,992.03,1357514,134669422395000.0,96939,531826,0.3918
2019-10-24,SBILIFE,EQ,985.95,991.4,993.95,954.65,969.0,969.65,974.42,982596,95745856090000.0,60352,518152,0.5273
2019-10-25,SBILIFE,EQ,969.65,974.0,1000.0,965.25,979.95,982.15,985.72,975234,96130880155000.0,60895,492563,0.5051
2019-10-27,SBILIFE,EQ,982.15,990.0,999.0,977.15,998.0,993.95,990.83,150916,14953261235000.0,7303,61052,0.4045
2019-10-29,SBILIFE,EQ,993.95,998.5,1020.0,981.0,1018.0,1014.35,1004.59,880342,88438420250000.0,61519,377894,0.4293
2019-10-30,SBILIFE,EQ,1014.35,1016.0,1030.0,976.1,1000.5,999.8,983.15,7610404,748216745390000.0,99552,6298736,0.8276000000000001
2019-10-31,SBILIFE,EQ,999.8,1006.0,1013.3,987.0,993.3,991.5,997.76,849468,84756391805000.0,59507,448252,0.5277000000000001
2019-11-01,SBILIFE,EQ,991.5,993.3,1009.0,993.3,996.45,997.5,1001.01,655253,65591677645000.01,60723,422767,0.6452
2019-11-04,SBILIFE,EQ,997.5,1003.0,1003.1,989.7,1002.0,998.7,997.25,875743,87333476345000.0,65648,653279,0.746
2019-11-05,SBILIFE,EQ,998.7,1000.0,1003.0,966.1,969.65,969.8,981.52,1230007,120727688165000.02,103509,909335,0.7393000000000001
2019-11-06,SBILIFE,EQ,969.8,974.45,980.0,941.55,969.0,968.95,960.82,1420970,136529903890000.02,85551,701110,0.49340000000000006
2019-11-07,SBILIFE,EQ,968.95,973.4,991.0,968.2,987.7,986.45,982.54,1351432,132783453015000.02,71426,813911,0.6023
2019-11-08,SBILIFE,EQ,986.45,1006.0,1022.0,976.5,983.5,982.2,994.56,5656687,562592277300000.0,277773,3283140,0.5804
2019-11-11,SBILIFE,EQ,982.2,982.0,982.0,968.45,970.25,969.95,972.94,2078020,202179218670000.0,164757,1784944,0.8590000000000001
2019-11-13,SBILIFE,EQ,969.95,984.5,1000.95,966.2,992.9,988.15,982.97,4039409,397060218175000.0,169687,2375317,0.588
2019-11-14,SBILIFE,EQ,988.15,999.0,1013.0,984.9,1004.0,999.9,997.74,3441700,343392774890000.0,134100,2378036,0.6909000000000001
2019-11-15,SBILIFE,EQ,999.9,1008.2,1026.0,995.45,1002.8,1002.85,1009.46,2687762,271317645665000.0,171721,1854274,0.6899
2019-11-18,SBILIFE,EQ,1002.85,1004.9,1013.0,996.0,999.0,1000.05,1004.89,2144563,215504481705000.03,133424,1432362,0.6679
2019-11-19,SBILIFE,EQ,1000.05,954.95,970.0,930.0,936.95,936.55,941.58,60449782,5691805709850000.0,397790,30981721,0.5125
2019-11-20,SBILIFE,EQ,936.55,940.0,948.7,936.1,938.65,939.7,942.72,2976893,280638109590000.0,95009,1422879,0.478
2019-11-21,SBILIFE,EQ,939.7,942.45,945.45,916.0,929.95,929.6,932.82,2642185,246469124994999.97,85734,1506667,0.5702
2019-11-22,SBILIFE,EQ,929.6,931.0,945.75,931.0,943.9,942.65,939.1,3125980,293561554485000.0,121081,2151841,0.6884
2019-11-25,SBILIFE,EQ,942.65,943.5,954.4,943.5,949.15,951.6,949.99,3604001,342377827460000.0,224120,2707483,0.7512000000000001
2019-11-26,SBILIFE,EQ,951.6,957.4,977.95,937.85,961.1,958.95,957.57,43473998,4162942406075000.0,368973,35201037,0.8097
