Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,SHREECEM,EQ,17236.1,17260.0,17356.25,16656.7,16997.25,16973.25,16971.25,12171,20655704095000.0,3685,2709,0.22260000000000002
2019-01-02,SHREECEM,EQ,16973.25,16969.75,17198.0,16772.0,16891.3,16939.95,16923.11,13931,23575580885000.0,4433,7659,0.5498
2019-01-03,SHREECEM,EQ,16939.95,16870.0,17331.4,16800.0,16850.0,16948.4,16981.36,24843,42186797205000.0,4272,17266,0.6950000000000001
2019-01-04,SHREECEM,EQ,16948.4,16850.1,17020.0,16609.4,16730.4,16737.1,16752.55,30506,51105315585000.0,5936,19293,0.6324000000000001
2019-01-07,SHREECEM,EQ,16737.1,16950.0,16984.9,16800.1,16900.0,16921.7,16914.17,11758,19887684250000.0,3566,8415,0.7156999999999999
2019-01-08,SHREECEM,EQ,16921.7,16851.2,16898.8,16613.0,16720.0,16753.85,16718.31,10883,18194540455000.0,3083,5333,0.49
2019-01-09,SHREECEM,EQ,16753.85,16875.0,16940.5,16220.3,16350.0,16345.4,16461.45,23593,38837509640000.0,6575,13559,0.5747
2019-01-10,SHREECEM,EQ,16345.4,16470.0,16600.0,16299.8,16413.15,16496.15,16484.29,9641,15892503835000.0,5040,5258,0.5454
2019-01-11,SHREECEM,EQ,16496.15,16331.2,16359.5,15820.0,15999.9,15913.2,16012.8,47981,76831013960000.0,15222,29441,0.6136
2019-01-14,SHREECEM,EQ,15913.2,16080.0,16080.0,15401.35,15499.0,15496.55,15502.94,43144,66885867875000.0,12545,30324,0.7029000000000001
2019-01-15,SHREECEM,EQ,15496.55,15500.0,15878.0,15460.15,15725.05,15618.7,15656.16,23989,37557556370000.0,7892,8965,0.3737
2019-01-16,SHREECEM,EQ,15618.7,15760.0,15900.0,15651.6,15879.95,15822.95,15756.61,16308,25695876205000.0,5830,10132,0.6213000000000001
2019-01-17,SHREECEM,EQ,15822.95,15900.0,16240.0,15726.2,15979.0,15914.7,16022.49,16720,26789595040000.0,6881,5822,0.3482
2019-01-18,SHREECEM,EQ,15914.7,15900.0,15979.0,15475.0,15540.0,15590.25,15680.71,16832,26393773335000.0,6165,3431,0.20379999999999998
2019-01-21,SHREECEM,EQ,15590.25,15560.0,15749.0,15410.0,15620.15,15678.7,15638.22,6880,10759098390000.0,3153,2333,0.33909999999999996
2019-01-22,SHREECEM,EQ,15678.7,15620.0,16199.0,15225.0,15889.95,15917.55,15733.53,97794,153864440295000.0,21468,39287,0.4017
2019-01-23,SHREECEM,EQ,15917.55,15860.0,16638.5,15820.05,16070.0,16103.35,16290.8,50789,82739330370000.0,15928,12331,0.24280000000000002
2019-01-24,SHREECEM,EQ,16103.35,16005.45,16250.0,15611.4,16235.0,16170.55,16012.43,27535,44090227035000.0,9600,5944,0.2159
2019-01-25,SHREECEM,EQ,16170.55,16225.0,16318.3,15512.05,15713.45,15723.2,15820.48,34071,53901967054999.99,11419,14826,0.43520000000000003
2019-01-28,SHREECEM,EQ,15723.2,15710.05,15800.0,14951.1,15049.35,15052.4,15195.43,29244,44437524500000.0,10487,11016,0.37670000000000003
2019-01-29,SHREECEM,EQ,15052.4,15030.0,15525.0,14855.0,15487.85,15456.35,15279.32,29614,45248183050000.0,7836,12206,0.4122
2019-01-30,SHREECEM,EQ,15456.35,15460.0,15590.25,15175.3,15448.0,15450.35,15383.64,16654,25619906770000.0,7240,5693,0.3418
2019-01-31,SHREECEM,EQ,15450.35,15499.85,15912.25,15450.0,15782.95,15714.7,15668.4,36653,57429382050000.0,12620,20586,0.5616
2019-02-01,SHREECEM,EQ,15714.7,15802.0,16140.0,15600.0,15800.0,15782.0,15921.84,39190,62397684120000.01,16165,17531,0.4473
2019-02-04,SHREECEM,EQ,15782.0,15610.0,15988.9,15527.65,15870.0,15906.9,15802.83,13365,21120483465000.0,5607,3876,0.29
2019-02-05,SHREECEM,EQ,15906.9,15860.0,15944.0,15600.5,15610.15,15675.65,15758.42,11291,17792828240000.0,4421,3632,0.32170000000000004
2019-02-06,SHREECEM,EQ,15675.65,15800.0,16150.0,15614.05,16150.0,16031.15,15877.63,13200,20958471345000.0,6183,6491,0.4917
2019-02-07,SHREECEM,EQ,16031.15,16136.5,16388.85,15999.9,16260.0,16245.7,16218.25,15911,25804864030000.0,7511,6522,0.40990000000000004
2019-02-08,SHREECEM,EQ,16245.7,16193.5,16493.2,15850.0,16255.0,16192.8,16115.39,19404,31270293445000.0,5377,10198,0.5256000000000001
2019-02-11,SHREECEM,EQ,16192.8,16100.0,16190.0,15825.1,15920.05,15963.35,15953.54,11517,18373686755000.0,4743,3729,0.32380000000000003
2019-02-12,SHREECEM,EQ,15963.35,15950.0,16217.95,15731.0,15815.05,15821.35,15932.71,14344,22853872205000.0,6143,5557,0.3874
2019-02-13,SHREECEM,EQ,15821.35,15969.0,15969.0,15531.6,15575.0,15605.35,15662.53,17175,26900398589999.996,6625,8606,0.5011
2019-02-14,SHREECEM,EQ,15605.35,15556.0,15650.0,15250.0,15565.0,15607.65,15437.46,13582,20967159935000.0,5453,6279,0.4623
2019-02-15,SHREECEM,EQ,15607.65,15467.05,15660.0,15077.65,15588.0,15614.65,15436.7,17211,26568110095000.0,7648,6979,0.40549999999999997
