Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-08-30,SIEMENS,EQ,1026.8,1030.0,1031.95,1002.0,1005.75,1005.75,1010.23,187917,18983977295000.0,8499,82272,0.4378
2018-08-31,SIEMENS,EQ,1005.75,1006.0,1024.7,997.65,1020.0,1019.75,1013.07,304204,30817864589999.996,14770,148235,0.48729999999999996
2018-09-03,SIEMENS,EQ,1019.75,1021.75,1027.95,1004.0,1007.0,1009.35,1016.75,123309,12537385860000.0,5190,59263,0.4806
2018-09-04,SIEMENS,EQ,1009.35,1012.0,1016.0,974.05,978.95,980.45,987.47,228124,22526499695000.0,7804,101692,0.4458
2018-09-05,SIEMENS,EQ,980.45,978.0,992.5,959.0,987.0,987.7,976.3,198221,19352262480000.0,13363,76667,0.38680000000000003
2018-09-06,SIEMENS,EQ,987.7,992.7,1002.8,972.45,998.0,998.45,989.88,205689,20360811235000.0,12037,100135,0.4868
2018-09-07,SIEMENS,EQ,998.45,1003.0,1003.0,976.2,991.05,992.4,985.67,334009,32922307700000.0,16215,128597,0.385
2018-09-10,SIEMENS,EQ,992.4,990.0,990.0,970.55,976.4,977.35,978.09,163598,16001407960000.0,12295,69724,0.42619999999999997
2018-09-11,SIEMENS,EQ,977.35,980.0,990.0,950.5,951.0,954.45,969.24,513977,49816952020000.0,21683,291415,0.5670000000000001
2018-09-12,SIEMENS,EQ,954.45,951.3,962.6,940.05,947.8,944.9,946.02,746907,70658784675000.0,14654,567624,0.76
2018-09-14,SIEMENS,EQ,944.9,951.95,971.35,947.45,958.85,958.85,959.33,481713,46211964645000.0,13316,288849,0.5996
2018-09-17,SIEMENS,EQ,958.85,957.8,988.15,951.55,976.0,982.2,969.45,594921,57674864735000.0,8255,425068,0.7145
2018-09-18,SIEMENS,EQ,982.2,980.2,986.75,958.95,978.2,965.25,974.66,279012,27194305250000.0,8906,88411,0.3169
2018-09-19,SIEMENS,EQ,965.25,971.3,980.45,960.0,962.85,963.4,969.21,121448,11770856785000.0,6811,20901,0.1721
2018-09-21,SIEMENS,EQ,963.4,971.7,973.95,901.0,931.0,925.05,937.29,461508,43256575695000.0,22950,208171,0.4511
2018-09-24,SIEMENS,EQ,925.05,925.55,935.9,913.0,919.0,919.65,923.13,148684,13725488300000.0,6916,44746,0.3009
2018-09-25,SIEMENS,EQ,919.65,920.0,953.4,910.55,953.4,941.75,931.58,377939,35207917005000.0,11700,198511,0.5252
2018-09-26,SIEMENS,EQ,941.75,951.7,951.7,924.0,940.0,945.7,939.55,184750,17358219340000.0,9249,81968,0.4437
2018-09-27,SIEMENS,EQ,945.7,943.7,954.6,921.6,951.6,950.55,941.88,322185,30346093635000.004,19011,129664,0.4025
2018-09-28,SIEMENS,EQ,950.55,952.0,955.7,905.0,940.75,945.15,932.82,471259,43959905800000.0,23932,180235,0.3825
2018-10-01,SIEMENS,EQ,945.15,944.9,953.2,924.0,939.1,941.85,939.71,209647,19700651765000.0,16342,63514,0.303
2018-10-03,SIEMENS,EQ,941.85,939.0,989.0,935.55,983.0,980.3,973.12,327612,31880589239999.996,13761,81854,0.24989999999999998
2018-10-04,SIEMENS,EQ,980.3,980.0,980.0,940.55,971.0,963.4,960.88,295410,28385298610000.004,13205,85580,0.2897
2018-10-05,SIEMENS,EQ,963.4,955.0,964.55,933.5,936.3,947.35,952.16,196498,18709666625000.0,10687,36826,0.18739999999999998
2018-10-08,SIEMENS,EQ,947.35,945.0,948.0,905.0,938.0,941.5,929.13,235671,21896953590000.0,13826,69392,0.2944
2018-10-09,SIEMENS,EQ,941.5,942.9,942.9,850.25,900.0,891.85,883.78,823436,72773813155000.0,33681,260433,0.31629999999999997
2018-10-10,SIEMENS,EQ,891.85,895.0,924.75,891.7,914.35,916.1,906.59,351046,31825369460000.004,21328,117272,0.33409999999999995
2018-10-11,SIEMENS,EQ,916.1,895.55,899.0,871.1,887.0,886.65,883.56,316978,28007034189999.996,20875,75855,0.2393
2018-10-12,SIEMENS,EQ,886.65,895.5,918.55,890.55,911.0,913.7,906.38,184583,16730156780000.002,9782,48541,0.263
2018-10-15,SIEMENS,EQ,913.7,913.0,938.75,905.8,938.75,934.4,923.9,122351,11304016475000.0,6673,28107,0.2297
2018-10-16,SIEMENS,EQ,934.4,932.5,944.7,922.35,938.1,938.25,936.67,185111,17338870215000.0,11716,55761,0.3012
2018-10-17,SIEMENS,EQ,938.25,945.0,946.0,926.35,931.65,932.65,936.23,98692,9239868675000.0,6076,25567,0.2591
2018-10-19,SIEMENS,EQ,932.65,929.0,929.0,870.05,875.0,874.25,890.86,536284,47775565595000.0,23237,122055,0.22760000000000002
2018-10-22,SIEMENS,EQ,874.25,878.1,891.9,861.55,887.5,879.7,875.78,307905,26965701814999.996,14305,48317,0.1569
2018-10-23,SIEMENS,EQ,879.7,877.8,896.9,852.4,863.0,860.3,863.0,246268,21252944605000.0,14679,74151,0.3011
