Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-10-17,SUNPHARMA,EQ,399.7,401.6,402.55,396.8,400.0,401.5,399.68,2934902,117302803995000.0,54036,786561,0.268
2019-10-18,SUNPHARMA,EQ,401.5,401.0,406.5,397.5,400.95,401.65,402.57,4647037,187074518415000.0,55301,1291991,0.278
2019-10-22,SUNPHARMA,EQ,401.65,402.0,408.0,400.95,405.6,405.45,405.26,2944611,119333924115000.02,84680,1054658,0.3582
2019-10-23,SUNPHARMA,EQ,405.45,405.6,411.35,403.0,405.5,405.2,406.39,3374975,137156759005000.0,60552,1120339,0.332
2019-10-24,SUNPHARMA,EQ,405.2,405.0,407.75,398.7,406.4,405.95,404.16,3017220,121943144120000.0,74302,799222,0.26489999999999997
2019-10-25,SUNPHARMA,EQ,405.95,405.0,419.5,401.05,416.35,417.5,412.93,4845146,200072581235000.0,77514,1554096,0.3208
2019-10-27,SUNPHARMA,EQ,417.5,416.05,419.8,416.05,417.0,417.75,417.96,359082,15008351425000.0,7411,121699,0.33890000000000003
2019-10-29,SUNPHARMA,EQ,417.75,417.7,425.5,414.0,421.8,421.95,421.72,3863059,162911421675000.0,71180,1489602,0.38560000000000005
2019-10-30,SUNPHARMA,EQ,421.95,426.95,432.55,418.1,429.6,429.65,424.82,3511610,149181733250000.0,58004,758810,0.2161
2019-10-31,SUNPHARMA,EQ,429.65,429.6,440.55,428.8,434.7,433.4,435.27,6710116,292069530890000.0,97323,3192973,0.4758
2019-11-01,SUNPHARMA,EQ,433.4,434.65,440.9,433.1,438.9,437.55,437.32,3545584,155056564610000.0,58866,1042470,0.294
2019-11-04,SUNPHARMA,EQ,437.55,439.95,442.4,433.65,438.6,437.95,439.19,4646694,204079282785000.0,58805,2023989,0.43560000000000004
2019-11-05,SUNPHARMA,EQ,437.95,435.5,439.8,424.05,429.2,429.9,431.06,6719996,289672532190000.0,65433,3498644,0.5206000000000001
2019-11-06,SUNPHARMA,EQ,429.9,432.4,452.9,422.1,427.5,427.9,438.13,15917528,697387122945000.0,184052,2890919,0.1816
2019-11-07,SUNPHARMA,EQ,427.9,431.7,444.0,423.4,442.5,440.6,435.78,14294406,622916004830000.0,152916,3490801,0.24420000000000003
2019-11-08,SUNPHARMA,EQ,440.6,442.0,442.5,420.85,421.65,422.1,428.17,11902470,509622824375000.0,138582,3162515,0.2657
2019-11-11,SUNPHARMA,EQ,422.1,415.0,423.3,407.1,420.6,421.45,416.73,10249882,427142668945000.0,127922,2702993,0.2637
2019-11-13,SUNPHARMA,EQ,421.45,420.0,426.9,410.0,412.55,412.0,417.92,6033467,252149255444999.97,71449,2667612,0.4421
2019-11-14,SUNPHARMA,EQ,412.0,413.2,417.35,407.55,410.5,410.2,412.73,4750176,196051745470000.0,127361,2143285,0.4512
2019-11-15,SUNPHARMA,EQ,410.2,412.75,418.9,410.15,416.0,415.05,415.04,5416931,224825489215000.0,67389,2328614,0.4299
2019-11-18,SUNPHARMA,EQ,415.05,418.0,430.0,417.05,424.75,424.55,425.04,7710740,327734192885000.0,109161,2544570,0.33
2019-11-19,SUNPHARMA,EQ,424.55,425.0,429.9,421.6,425.2,425.9,425.91,4163853,177341471095000.0,65315,1352330,0.3248
2019-11-20,SUNPHARMA,EQ,425.9,427.2,460.6,423.85,448.5,450.0,447.15,23107507,1033245697550000.0,233907,5289320,0.22890000000000002
2019-11-21,SUNPHARMA,EQ,450.0,450.0,454.45,443.6,447.05,447.15,449.1,7480460,335948195035000.0,85370,2543785,0.3401
2019-11-22,SUNPHARMA,EQ,447.15,450.0,461.9,445.1,450.8,452.1,453.5,12114721,549402025760000.06,126896,1972013,0.16280000000000003
2019-11-25,SUNPHARMA,EQ,452.1,453.0,463.9,450.0,458.45,458.95,459.63,8251208,379246321420000.0,112128,2128537,0.258
2019-11-26,SUNPHARMA,EQ,458.95,463.8,467.4,446.5,452.0,450.75,455.67,11278843,513948479580000.0,119712,4462397,0.3956
2019-11-27,SUNPHARMA,EQ,450.75,449.95,461.0,447.55,459.25,458.75,455.44,6481012,295168197465000.0,63515,2618433,0.40399999999999997
2019-11-28,SUNPHARMA,EQ,458.75,456.2,462.4,455.15,459.5,457.35,459.08,4005893,183903643080000.0,52474,900949,0.2249
2019-11-29,SUNPHARMA,EQ,457.35,458.4,460.55,447.45,449.0,449.85,452.73,3198828,144820888665000.0,52523,1101883,0.34450000000000003
2019-12-02,SUNPHARMA,EQ,449.85,449.0,449.6,437.0,440.0,440.0,440.96,4933088,217528542105000.03,60337,2262921,0.4587
2019-12-03,SUNPHARMA,EQ,440.0,441.4,442.2,430.5,433.6,433.6,436.7,3602073,157301999990000.0,52508,1377174,0.3823
2019-12-04,SUNPHARMA,EQ,433.6,433.5,444.7,431.7,443.05,443.7,439.74,4318531,189903570920000.0,72952,1203125,0.2786
2019-12-05,SUNPHARMA,EQ,443.7,440.0,441.95,433.25,436.5,436.7,436.45,4096921,178809747870000.0,99191,1561410,0.3811
2019-12-06,SUNPHARMA,EQ,436.7,440.3,444.2,427.0,428.4,428.6,435.28,5805588,252705640300000.0,58353,1801025,0.3102
2019-12-09,SUNPHARMA,EQ,428.6,431.85,434.6,423.6,427.0,427.0,430.19,4959765,213363061665000.0,63358,1726339,0.3481
2019-12-10,SUNPHARMA,EQ,427.0,429.6,435.75,425.3,427.6,427.65,430.52,5578960,240184738075000.0,74212,1152558,0.2066
2019-12-11,SUNPHARMA,EQ,427.65,429.1,431.9,425.15,429.9,429.8,428.75,3322986,142474501590000.0,64060,972927,0.2928
2019-12-12,SUNPHARMA,EQ,429.8,430.9,437.9,430.25,433.05,434.15,434.37,2794856,121401456115000.02,51164,899140,0.32170000000000004
2019-12-13,SUNPHARMA,EQ,434.15,437.6,441.9,425.6,437.75,439.25,434.62,5386394,234105661160000.0,63305,1366940,0.25379999999999997
2019-12-16,SUNPHARMA,EQ,439.25,431.25,437.2,426.4,435.0,435.15,433.05,8290756,359029860495000.0,95443,1963584,0.2368
2019-12-17,SUNPHARMA,EQ,435.15,434.0,437.5,426.25,429.7,429.05,430.58,6407264,275884694894999.97,75881,2337177,0.36479999999999996
2019-12-18,SUNPHARMA,EQ,429.05,430.0,441.4,427.3,439.8,439.75,435.75,5341984,232779386919999.97,61223,1495478,0.2799
2019-12-19,SUNPHARMA,EQ,439.75,439.8,440.6,427.5,433.35,433.6,433.15,6465219,280043738665000.0,68937,1871303,0.28940000000000005
2019-12-20,SUNPHARMA,EQ,433.6,429.15,436.7,428.05,430.3,430.3,431.82,7157364,309068359930000.0,73641,2580724,0.36060000000000003
2019-12-23,SUNPHARMA,EQ,430.3,427.1,432.0,426.6,427.5,428.4,429.24,4534617,194643357115000.0,48100,1771162,0.39060000000000006
2019-12-24,SUNPHARMA,EQ,428.4,428.0,432.45,425.4,429.15,429.8,429.44,4210004,180795134505000.0,42944,916846,0.21780000000000002
2019-12-26,SUNPHARMA,EQ,429.8,430.9,431.4,420.65,421.9,422.15,426.69,5296867,226011755355000.03,51320,1449301,0.2736
2019-12-27,SUNPHARMA,EQ,422.15,422.0,427.15,421.4,426.0,426.0,424.73,3413181,144967434555000.0,38150,780417,0.2286
2019-12-30,SUNPHARMA,EQ,426.0,428.95,433.5,426.7,429.5,430.15,430.53,4758825,204879657055000.0,46376,757570,0.1592
2019-12-31,SUNPHARMA,EQ,430.15,430.1,435.4,428.7,432.3,432.55,432.59,2957369,127931964105000.0,30191,1168468,0.3951
2020-01-01,SUNPHARMA,EQ,432.55,432.95,436.45,431.25,433.7,434.3,434.19,2321850,100813383015000.0,26860,535495,0.2306
2020-01-02,SUNPHARMA,EQ,434.3,434.0,442.6,432.0,434.65,434.95,436.67,4555670,198933143445000.0,55381,1473154,0.3234
2020-01-03,SUNPHARMA,EQ,434.95,434.65,450.4,433.05,443.15,444.6,444.26,9457180,420147386360000.0,140147,2419437,0.25579999999999997
2020-01-06,SUNPHARMA,EQ,444.6,440.9,444.7,435.1,439.0,439.95,439.9,4794923,210927673030000.0,54273,1170220,0.2441
2020-01-07,SUNPHARMA,EQ,439.95,441.4,448.0,437.55,447.05,446.4,443.49,4504083,199749990055000.0,63835,1419164,0.31510000000000005
2020-01-08,SUNPHARMA,EQ,446.4,442.95,446.5,439.0,439.1,440.1,441.78,3881918,171494731810000.0,61787,1589497,0.40950000000000003
2020-01-09,SUNPHARMA,EQ,440.1,442.7,444.85,439.0,439.95,439.85,441.6,3934566,173750632100000.0,52598,1855620,0.47159999999999996
2020-01-10,SUNPHARMA,EQ,439.85,440.1,449.0,440.0,444.75,443.6,445.53,4334013,193093232985000.0,50131,862079,0.19890000000000002
2020-01-13,SUNPHARMA,EQ,443.6,447.0,453.65,442.55,444.8,444.6,447.4,4823348,215794376830000.03,105783,1247523,0.2586
2020-01-14,SUNPHARMA,EQ,444.6,447.0,449.5,444.4,446.6,446.0,446.99,2708589,121070908655000.0,38098,779995,0.28800000000000003
2020-01-15,SUNPHARMA,EQ,446.0,447.6,450.7,443.65,448.5,449.05,447.29,3054107,136607689459999.98,47457,1198618,0.3925
2020-01-16,SUNPHARMA,EQ,449.05,452.25,456.35,447.4,448.2,449.05,451.34,4416809,199346980495000.0,62319,996699,0.2257
2020-01-17,SUNPHARMA,EQ,449.05,448.2,456.25,446.0,454.75,454.6,451.53,3216737,145246688380000.0,49212,805184,0.2503
2020-01-20,SUNPHARMA,EQ,454.6,454.2,456.2,446.15,449.3,449.45,450.14,2824739,127153448400000.0,37371,676054,0.2393
2020-01-21,SUNPHARMA,EQ,449.45,448.0,451.75,446.0,448.0,447.4,448.84,2573651,115516844030000.0,64119,943823,0.3667
2020-01-22,SUNPHARMA,EQ,447.4,448.4,453.85,445.35,447.0,446.3,449.22,3412716,153307406460000.0,52067,1467113,0.4299
2020-01-23,SUNPHARMA,EQ,446.3,447.2,452.2,445.0,450.0,449.85,449.65,1875787,84345168435000.0,33288,591225,0.3152
2020-01-24,SUNPHARMA,EQ,449.85,450.0,452.85,446.8,447.4,447.8,450.39,2153164,96975395720000.0,51893,592641,0.2752
2020-01-27,SUNPHARMA,EQ,447.8,447.0,451.75,442.2,448.75,448.4,447.56,3530914,158029156735000.0,68219,1241630,0.35159999999999997
2020-01-28,SUNPHARMA,EQ,448.4,448.25,462.5,448.05,452.9,452.9,457.01,9487290,433577655675000.0,123740,2912794,0.307
