Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-06-20,TATASTEEL,EQ,494.1,494.1,502.8,489.85,501.0,501.0,496.22,7826356,388359355840000.0,100639,1019851,0.1303
2019-06-21,TATASTEEL,EQ,501.0,500.0,500.9,494.45,497.0,497.65,497.56,6126246,304814865495000.0,72652,1312737,0.2143
2019-06-24,TATASTEEL,EQ,497.65,497.2,499.8,481.85,485.9,486.25,489.55,7262000,355509174275000.0,91265,1270794,0.17500000000000002
2019-06-25,TATASTEEL,EQ,486.25,474.0,499.8,473.95,496.1,498.0,489.36,13649119,667933444275000.0,148439,1882336,0.1379
2019-06-26,TATASTEEL,EQ,498.0,495.0,512.3,490.3,511.35,510.6,501.6,12960084,650078220615000.0,136782,3694669,0.2851
2019-06-27,TATASTEEL,EQ,510.6,511.5,516.45,506.65,511.5,510.7,512.08,11946714,611771265960000.0,125435,3140081,0.26280000000000003
2019-06-28,TATASTEEL,EQ,510.7,511.5,515.65,499.1,504.8,504.4,505.26,8760034,442607766095000.0,122835,1947385,0.2223
2019-07-01,TATASTEEL,EQ,504.4,509.85,514.85,503.15,506.3,506.95,507.58,8544375,433694778235000.06,99067,1780844,0.2084
2019-07-02,TATASTEEL,EQ,506.95,508.55,510.9,502.1,506.75,508.8,507.07,5724004,290246278060000.0,78097,588936,0.10289999999999999
2019-07-03,TATASTEEL,EQ,508.8,507.9,514.8,504.6,511.25,510.3,510.18,6946409,354391158770000.0,79095,1013803,0.1459
2019-07-04,TATASTEEL,EQ,510.3,500.0,502.65,493.75,494.3,495.3,498.53,7263059,362086412270000.0,79142,1111954,0.1531
2019-07-05,TATASTEEL,EQ,495.3,496.5,498.5,475.3,477.5,478.35,486.82,7616348,370775499595000.0,99345,1475151,0.1937
2019-07-08,TATASTEEL,EQ,478.35,475.0,479.5,465.2,469.9,468.05,471.75,8082591,381295461400000.0,103246,1500439,0.1856
2019-07-09,TATASTEEL,EQ,468.05,469.0,472.0,462.55,468.45,468.45,468.1,6858580,321049311535000.0,82507,847664,0.1236
2019-07-10,TATASTEEL,EQ,468.45,469.5,474.35,448.05,454.15,454.8,458.54,13481344,618175516225000.0,191917,3001803,0.2227
2019-07-11,TATASTEEL,EQ,454.8,461.3,466.5,453.7,461.25,462.0,460.75,9987038,460153501639999.94,150159,1328025,0.133
2019-07-12,TATASTEEL,EQ,462.0,464.3,479.45,460.25,472.6,472.9,472.26,13244118,625465478965000.0,158367,1761782,0.133
2019-07-15,TATASTEEL,EQ,472.9,478.0,478.25,463.35,468.8,468.3,468.09,7806079,365397368145000.0,87607,1824359,0.23370000000000002
