Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-05-27,TCS,EQ,2048.0,2054.8,2068.95,2040.1,2058.0,2055.15,2054.87,2329820,478747325770000.0,85924,1377094,0.5911
2019-05-28,TCS,EQ,2055.15,2060.0,2097.5,2045.0,2068.0,2073.75,2076.46,5872979,1219498382660000.0,205972,4034671,0.687
2019-05-29,TCS,EQ,2073.75,2080.0,2123.7,2077.1,2114.2,2107.55,2109.46,3281320,692181113140000.0,177202,1508313,0.4597
2019-05-30,TCS,EQ,2107.55,2123.0,2156.55,2114.4,2146.3,2146.3,2142.62,4971725,1065253523795000.1,150672,2210404,0.4446
2019-05-31,TCS,EQ,2146.3,2160.0,2204.95,2152.25,2200.0,2196.55,2184.11,4265370,931605723195000.1,161842,2338193,0.5482
2019-06-03,TCS,EQ,2196.55,2201.0,2247.65,2185.65,2240.1,2242.3,2223.68,3682419,818853686855000.0,138425,1964140,0.5334000000000001
2019-06-04,TCS,EQ,2242.3,2224.0,2224.0,2175.0,2188.0,2183.1,2195.01,2408658,528702218805000.0,98393,973876,0.4043
2019-06-06,TCS,EQ,2183.1,2199.0,2199.0,2152.0,2166.0,2166.1,2169.63,3735467,810459559460000.0,116134,2225149,0.5957
2019-06-07,TCS,EQ,2166.1,2174.0,2189.8,2142.1,2179.8,2181.75,2161.21,2659446,574761116665000.0,79783,886597,0.33340000000000003
2019-06-10,TCS,EQ,2181.75,2196.7,2235.85,2185.5,2229.1,2231.5,2219.98,2080593,461887630955000.0,106316,814523,0.3915
2019-06-11,TCS,EQ,2231.5,2237.0,2263.95,2231.0,2252.0,2252.8,2250.89,3048937,686283549520000.0,148188,1367975,0.4487
2019-06-12,TCS,EQ,2252.8,2245.0,2266.9,2219.0,2264.0,2260.9,2241.29,2404448,538907430945000.0,141774,1036077,0.43090000000000006
2019-06-13,TCS,EQ,2260.9,2264.0,2285.0,2243.05,2244.0,2254.1,2265.77,3320916,752442105585000.0,138967,1358755,0.4092
2019-06-14,TCS,EQ,2254.1,2257.25,2263.1,2234.0,2249.8,2254.5,2250.08,2131408,479583070385000.06,130534,947049,0.44430000000000003
2019-06-17,TCS,EQ,2254.5,2256.0,2262.0,2241.45,2244.0,2249.2,2252.43,1489497,335498973870000.0,82160,649266,0.4043
2019-06-18,TCS,EQ,2249.2,2244.0,2260.0,2231.2,2253.5,2250.85,2245.75,1877447,421627160510000.0,148431,959921,0.49340000000000006
2019-06-19,TCS,EQ,2250.85,2255.0,2276.0,2243.15,2261.2,2259.9,2262.19,1652817,373899407320000.0,88350,715271,0.4328
2019-06-20,TCS,EQ,2259.9,2230.0,2284.0,2212.0,2283.3,2277.95,2248.36,2199377,494498818545000.0,123696,870081,0.3956
2019-06-21,TCS,EQ,2277.95,2285.0,2292.5,2242.0,2252.05,2249.85,2255.87,3871804,873427572879999.9,141057,2767225,0.7147
2019-06-24,TCS,EQ,2249.85,2254.15,2280.0,2250.8,2277.0,2275.5,2267.8,1382424,313506545890000.0,78153,528471,0.3823
2019-06-25,TCS,EQ,2275.5,2270.0,2274.45,2250.5,2263.0,2267.8,2264.08,1386077,313818967680000.0,99699,598681,0.4319
2019-06-26,TCS,EQ,2267.8,2265.0,2266.8,2250.0,2253.05,2254.2,2259.22,1762224,398124615175000.0,94030,931941,0.5288
2019-06-27,TCS,EQ,2254.2,2255.0,2264.0,2241.3,2261.5,2252.55,2254.5,2813464,634294327040000.0,138850,1814968,0.6451000000000001
2019-06-28,TCS,EQ,2252.55,2260.0,2261.95,2222.5,2228.0,2227.2,2234.73,2372928,530284998289999.94,115508,1468460,0.6188
2019-07-01,TCS,EQ,2227.2,2235.0,2255.0,2206.6,2233.05,2239.55,2237.15,2769940,619675893465000.0,129268,1579799,0.5703
2019-07-02,TCS,EQ,2239.55,2244.9,2257.0,2216.45,2254.3,2252.1,2237.79,1771746,396479661080000.0,97184,816451,0.4608
2019-07-03,TCS,EQ,2252.1,2252.2,2258.8,2232.0,2234.0,2237.65,2242.16,1656881,371499657045000.0,87941,739089,0.4461
2019-07-04,TCS,EQ,2237.65,2234.0,2252.0,2230.1,2241.0,2242.65,2241.04,984140,220550163225000.0,59990,352899,0.3586
2019-07-05,TCS,EQ,2242.65,2247.0,2250.0,2140.0,2166.85,2163.1,2179.39,4088470,891037471195000.1,160276,1736073,0.42460000000000003
2019-07-08,TCS,EQ,2163.1,2149.0,2188.8,2132.1,2171.1,2175.4,2168.49,2788062,604587742840000.0,109097,1186748,0.4257
2019-07-09,TCS,EQ,2175.4,2174.0,2174.4,2104.55,2120.0,2133.35,2128.96,3977224,846734196835000.0,191613,1817164,0.4569
2019-07-10,TCS,EQ,2133.35,2080.0,2127.85,2071.3,2105.3,2108.2,2102.52,6343581,1333749842065000.0,223857,1665050,0.2625
2019-07-11,TCS,EQ,2108.2,2128.0,2129.0,2086.05,2101.95,2102.55,2103.2,2400346,504840209464999.94,164280,967380,0.40299999999999997
2019-07-12,TCS,EQ,2102.55,2102.1,2119.75,2093.1,2108.0,2107.6,2108.31,1560725,329048915895000.0,94025,759972,0.4869
2019-07-15,TCS,EQ,2107.6,2125.0,2153.6,2098.0,2135.5,2145.7,2126.77,2900415,616852011170000.0,158215,1436299,0.49520000000000003
2019-07-16,TCS,EQ,2145.7,2126.0,2132.5,2100.0,2105.0,2106.0,2108.89,2735399,576865260995000.0,182859,1518786,0.5552
2019-07-17,TCS,EQ,2106.0,2108.0,2125.0,2092.1,2111.8,2117.25,2111.55,1802969,380705529655000.0,108297,639367,0.3546
2019-07-18,TCS,EQ,2117.25,2116.2,2116.2,2060.0,2075.55,2065.95,2084.29,3072096,640314257950000.0,167750,1936907,0.6305
2019-07-19,TCS,EQ,2065.95,2077.0,2097.0,2062.5,2079.9,2076.95,2080.79,1953177,406415246310000.0,108418,856415,0.4385
2019-07-22,TCS,EQ,2076.95,2077.0,2117.45,2068.8,2107.15,2109.9,2099.33,1920167,403106539920000.0,113048,889344,0.4632
2019-07-23,TCS,EQ,2109.9,2127.9,2130.0,2102.4,2119.95,2112.45,2120.71,3538588,750431483545000.0,117545,2468145,0.6975
2019-07-24,TCS,EQ,2112.45,2110.0,2120.8,2076.5,2097.55,2096.8,2097.5,2413196,506167480589999.94,112922,1199779,0.4972
2019-07-25,TCS,EQ,2096.8,2108.9,2135.0,2092.55,2128.25,2127.9,2118.42,2544464,539023689120000.0,119553,1320598,0.519
2019-07-26,TCS,EQ,2127.9,2129.8,2129.8,2095.0,2112.65,2109.05,2109.59,1720592,362973898200000.0,88967,1052092,0.6115
2019-07-29,TCS,EQ,2109.05,2110.8,2142.0,2103.3,2125.1,2130.0,2123.42,1647090,349746129640000.0,95152,670671,0.4072
2019-07-30,TCS,EQ,2130.0,2130.0,2185.0,2120.45,2176.3,2179.15,2162.72,2851672,616737432565000.0,151588,1640143,0.5752
2019-07-31,TCS,EQ,2179.15,2171.75,2211.7,2147.15,2201.0,2205.7,2180.17,3000677,654199470030000.0,132679,1406687,0.46880000000000005
2019-08-01,TCS,EQ,2205.7,2200.0,2217.5,2166.25,2178.3,2180.05,2195.1,2375236,521387056289999.94,175166,1115202,0.46950000000000003
2019-08-02,TCS,EQ,2180.05,2173.0,2210.0,2165.5,2205.0,2205.3,2185.91,2500816,546655571185000.06,154834,1184875,0.47380000000000005
2019-08-05,TCS,EQ,2205.3,2199.9,2252.25,2195.6,2240.0,2248.6,2241.19,3039682,681250710550000.0,149146,1648531,0.5423
2019-08-06,TCS,EQ,2248.6,2232.8,2251.95,2211.45,2213.75,2214.9,2232.27,2885467,644113030275000.0,181107,1254987,0.4349
2019-08-07,TCS,EQ,2214.9,2230.0,2238.5,2207.25,2218.9,2213.45,2223.14,2165362,481390624255000.0,141079,1149124,0.5307000000000001
2019-08-08,TCS,EQ,2213.45,2228.9,2281.0,2218.9,2253.8,2258.1,2247.44,2073298,465960395414999.94,139214,942856,0.4548
2019-08-09,TCS,EQ,2258.1,2260.0,2267.9,2241.35,2245.0,2246.25,2253.09,1744550,393062240415000.0,119969,708230,0.406
2019-08-13,TCS,EQ,2246.25,2245.0,2246.25,2194.3,2200.0,2199.45,2219.61,1647281,365631569130000.0,157195,893401,0.5423
2019-08-14,TCS,EQ,2199.45,2181.1,2217.85,2167.4,2205.3,2204.4,2200.61,1945002,428019891325000.0,122192,969990,0.4987
2019-08-16,TCS,EQ,2204.4,2241.4,2241.4,2143.25,2162.0,2165.1,2173.77,3755507,816359762360000.0,191781,2121016,0.5648
2019-08-19,TCS,EQ,2165.1,2180.0,2186.0,2157.7,2166.0,2163.0,2171.81,974884,211726589690000.0,80584,358199,0.3674
2019-08-20,TCS,EQ,2163.0,2172.0,2205.0,2166.5,2190.0,2186.75,2190.28,1843611,403801715725000.0,104689,608831,0.33020000000000005
2019-08-21,TCS,EQ,2186.75,2184.95,2202.0,2182.25,2183.0,2186.2,2193.43,1214408,266372247785000.0,75613,523155,0.4308
2019-08-22,TCS,EQ,2186.2,2187.0,2235.65,2170.0,2210.0,2216.0,2213.54,2131601,471838734595000.0,106338,923535,0.4333
2019-08-23,TCS,EQ,2216.0,2214.95,2259.9,2213.9,2250.0,2247.7,2244.15,2826425,634293191975000.0,142446,1480086,0.5236999999999999
2019-08-26,TCS,EQ,2247.7,2247.0,2282.0,2225.0,2267.0,2276.3,2259.83,2345475,530036569455000.0,113243,1140315,0.48619999999999997
2019-08-27,TCS,EQ,2276.3,2270.0,2274.85,2229.0,2241.5,2236.5,2241.51,3432106,769310122740000.0,182084,2396488,0.6983
2019-08-28,TCS,EQ,2236.5,2240.0,2252.15,2216.0,2238.35,2239.25,2233.18,1294621,289112523310000.0,91252,538431,0.41590000000000005
2019-08-29,TCS,EQ,2239.25,2222.2,2248.2,2222.2,2232.0,2233.45,2235.21,1670652,373426024355000.0,98341,761633,0.4559
2019-08-30,TCS,EQ,2233.45,2241.0,2266.0,2218.0,2259.0,2259.6,2241.92,2583625,579226767005000.0,117933,1472256,0.5698
2019-09-03,TCS,EQ,2259.6,2270.0,2296.2,2236.95,2246.0,2251.6,2275.88,2545060,579224961930000.0,131301,1257157,0.494
2019-09-04,TCS,EQ,2251.6,2265.0,2270.0,2233.0,2245.2,2245.4,2248.41,2228092,500966177630000.0,128138,1359618,0.6102000000000001
2019-09-05,TCS,EQ,2245.4,2242.2,2253.65,2207.3,2215.95,2215.3,2225.26,2055943,457500314335000.06,133165,1200345,0.5838
2019-09-06,TCS,EQ,2215.3,2216.0,2233.5,2192.6,2198.0,2197.5,2204.18,1890550,416710529220000.0,118713,853437,0.4514
2019-09-09,TCS,EQ,2197.5,2200.0,2202.85,2179.8,2185.0,2182.85,2188.09,1703945,372838531855000.0,121273,677662,0.39770000000000005
2019-09-11,TCS,EQ,2182.85,2186.0,2195.0,2146.55,2151.6,2154.0,2162.64,2627440,568220289800000.0,199136,1433413,0.5456000000000001
2019-09-12,TCS,EQ,2154.0,2155.0,2165.0,2120.35,2134.6,2133.6,2135.46,2118859,452474329464999.94,138766,1080259,0.5098
2019-09-13,TCS,EQ,2133.6,2135.0,2157.95,2115.55,2143.0,2141.95,2135.83,2291174,489356441170000.0,138321,873724,0.38130000000000003
2019-09-16,TCS,EQ,2141.95,2159.95,2173.4,2126.4,2150.0,2150.0,2151.17,2597948,558863142995000.0,151943,1165596,0.4487
2019-09-17,TCS,EQ,2150.0,2154.95,2156.55,2105.6,2126.4,2122.65,2123.78,2796530,593921833370000.0,121706,1594628,0.5702
2019-09-18,TCS,EQ,2122.65,2126.4,2142.95,2113.15,2141.15,2138.55,2133.02,1454663,310282074035000.0,94064,674870,0.46390000000000003
2019-09-19,TCS,EQ,2138.55,2135.0,2135.8,2091.0,2096.9,2101.95,2103.74,1652691,347682764350000.0,101537,791932,0.4792
2019-09-20,TCS,EQ,2101.95,2104.9,2129.4,2057.0,2069.0,2065.45,2083.7,6941979,1446497639350000.0,275363,4570451,0.6584000000000001
2019-09-23,TCS,EQ,2065.45,2099.0,2099.0,1975.0,2020.0,2015.8,2011.62,6323401,1272024967140000.0,293188,3672464,0.5808
2019-09-24,TCS,EQ,2015.8,2015.0,2061.0,2013.0,2047.3,2044.7,2045.07,4620978,945024127054999.9,219776,2506661,0.5425
2019-09-25,TCS,EQ,2044.7,2065.0,2092.0,2060.05,2084.0,2088.45,2077.98,4002232,831655165385000.0,205505,2508929,0.6269
2019-09-26,TCS,EQ,2088.45,2097.9,2107.0,2063.0,2089.6,2087.6,2084.45,4234281,882612762354999.9,216311,2698499,0.6373
2019-09-27,TCS,EQ,2087.6,2085.0,2085.2,2051.4,2059.0,2056.15,2065.56,2046795,422778364760000.0,125241,1044628,0.5104
2019-09-30,TCS,EQ,2056.15,2061.85,2104.0,2060.0,2097.0,2099.3,2090.07,2620039,547607678310000.06,124092,1414661,0.5399
2019-10-01,TCS,EQ,2099.3,2095.95,2095.95,2039.7,2060.3,2059.95,2059.04,3342877,688310900095000.0,170294,2098408,0.6277
2019-10-03,TCS,EQ,2059.95,2070.0,2081.15,2046.15,2056.0,2060.25,2065.47,2317618,478697522910000.06,187925,1389047,0.5993
2019-10-04,TCS,EQ,2060.25,2060.6,2087.95,2054.95,2078.0,2079.35,2079.28,2163251,449801028310000.06,128092,1442042,0.6666
2019-10-07,TCS,EQ,2079.35,2080.0,2094.5,2041.0,2046.0,2047.7,2062.27,2177916,449144631295000.0,98775,1162115,0.5336
