Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-01,UBL,EQ,1339.0,1341.0,1365.0,1341.0,1359.8,1355.2,1354.35,286172,38757826975000.0,10265,46684,0.1631
2019-07-02,UBL,EQ,1355.2,1359.9,1362.5,1341.7,1352.5,1352.45,1351.67,226081,30558751639999.996,11590,77889,0.34450000000000003
2019-07-03,UBL,EQ,1352.45,1364.75,1395.45,1351.9,1388.95,1386.6,1379.65,363740,50183430950000.0,13861,63872,0.17559999999999998
2019-07-04,UBL,EQ,1386.6,1397.35,1397.35,1362.0,1365.8,1367.85,1377.12,474606,65358995875000.0,16581,81845,0.1724
2019-07-05,UBL,EQ,1367.85,1372.0,1386.95,1362.4,1380.05,1380.8,1378.62,236502,32604563885000.004,15777,74068,0.31320000000000003
2019-07-08,UBL,EQ,1380.8,1377.9,1387.95,1357.05,1380.0,1375.5,1375.04,190231,26157611400000.0,11294,27349,0.1438
2019-07-09,UBL,EQ,1375.5,1371.3,1371.9,1346.65,1358.8,1350.9,1352.63,242864,32850479814999.996,11860,92758,0.38189999999999996
2019-07-10,UBL,EQ,1350.9,1351.0,1365.05,1348.2,1360.0,1352.7,1353.3,184388,24953199835000.0,9766,71567,0.38810000000000006
2019-07-11,UBL,EQ,1352.7,1364.2,1373.8,1348.65,1373.65,1365.35,1358.49,125358,17029784419999.998,9875,44791,0.35729999999999995
2019-07-12,UBL,EQ,1365.35,1365.35,1394.9,1351.0,1388.0,1386.0,1377.75,218224,30065912385000.004,11413,34381,0.1575
2019-07-15,UBL,EQ,1386.0,1399.0,1399.0,1359.0,1362.0,1362.6,1375.85,278282,38287370290000.0,10615,24733,0.0889
2019-07-16,UBL,EQ,1362.6,1365.1,1374.25,1355.65,1371.0,1370.25,1365.91,155359,21220600490000.0,8307,25777,0.1659
2019-07-17,UBL,EQ,1370.25,1365.0,1419.0,1363.4,1392.5,1392.9,1401.37,392527,55007598245000.01,19576,62667,0.1597
2019-07-18,UBL,EQ,1392.9,1386.0,1402.95,1381.15,1397.1,1398.55,1395.47,220570,30779876680000.0,12147,40560,0.1839
2019-07-19,UBL,EQ,1398.55,1399.5,1409.0,1368.0,1379.0,1372.6,1386.36,242634,33637761350000.0,12478,82896,0.3417
2019-07-22,UBL,EQ,1372.6,1371.8,1388.0,1358.05,1379.0,1379.05,1371.38,99056,13584320619999.998,6493,17695,0.1786
2019-07-23,UBL,EQ,1379.05,1383.6,1415.0,1366.6,1413.8,1392.4,1388.63,176710,24538559490000.0,8127,41267,0.2335
