Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-08-30,UPL,EQ,680.0,686.0,699.0,683.0,694.05,696.15,693.97,5979259,414942618580000.0,81679,1697767,0.2839
2018-08-31,UPL,EQ,696.15,695.0,721.9,689.45,713.35,715.3,704.51,5840817,411490392665000.0,91197,2532096,0.4335
2018-09-03,UPL,EQ,715.3,719.65,726.0,710.0,714.5,720.65,720.76,2229639,160703329475000.0,38882,751986,0.3373
2018-09-04,UPL,EQ,720.65,717.2,720.0,694.35,698.0,698.6,704.37,2253401,158722342360000.0,38209,590510,0.2621
2018-09-05,UPL,EQ,698.6,698.9,712.5,683.5,697.35,697.35,700.05,5272834,369126236395000.0,86641,2332672,0.4424
2018-09-06,UPL,EQ,697.35,701.4,709.45,696.75,708.0,705.05,702.93,2053405,144339427800000.0,49205,617115,0.3005
2018-09-07,UPL,EQ,705.05,708.7,718.0,701.75,715.0,714.0,712.97,1932868,137807263205000.0,49747,442413,0.22890000000000002
2018-09-10,UPL,EQ,714.0,714.95,722.8,700.6,707.0,703.25,711.57,1665735,118528976334999.98,35561,335495,0.20140000000000002
2018-09-11,UPL,EQ,703.25,707.5,715.0,682.3,686.35,687.65,691.92,2626499,181732464655000.0,54417,782564,0.2979
2018-09-12,UPL,EQ,687.65,692.2,706.0,680.1,703.9,703.65,693.45,1353322,93846773760000.0,33678,208086,0.15380000000000002
2018-09-14,UPL,EQ,703.65,710.0,738.9,709.1,738.0,736.75,730.38,3848531,281089543635000.0,75530,1057729,0.2748
2018-09-17,UPL,EQ,736.75,734.9,735.95,722.0,722.4,723.5,728.5,1600458,116593194145000.0,42155,208036,0.13
2018-09-18,UPL,EQ,723.5,727.0,738.15,704.65,708.5,709.05,726.38,2627124,190828359845000.0,54250,542337,0.2064
2018-09-19,UPL,EQ,709.05,714.0,715.75,688.0,692.5,692.3,700.31,2618411,183370830590000.0,57531,996420,0.3805
2018-09-21,UPL,EQ,692.3,692.5,709.0,588.5,666.0,665.8,665.11,5107837,339729471750000.0,64858,2012082,0.39390000000000003
2018-09-24,UPL,EQ,665.8,669.0,672.0,639.95,655.25,651.4,653.48,2641335,172606092440000.0,37558,1086984,0.4115
2018-09-25,UPL,EQ,651.4,651.3,664.9,639.95,661.15,660.95,650.38,1960748,127523824134999.98,46277,688378,0.3511
2018-09-26,UPL,EQ,660.95,664.0,705.0,653.75,701.45,697.55,681.56,3830064,261040392860000.0,66920,1134484,0.2962
2018-09-27,UPL,EQ,697.55,702.45,703.5,678.65,682.0,683.1,689.14,2626141,180978273865000.0,57882,795227,0.3028
2018-09-28,UPL,EQ,683.1,685.0,690.6,655.0,664.65,664.3,672.27,1536357,103285279415000.0,44063,410807,0.26739999999999997
2018-10-01,UPL,EQ,664.3,664.65,670.0,638.15,667.5,665.6,651.8,2029698,132295034495000.0,48791,368372,0.1815
2018-10-03,UPL,EQ,665.6,666.0,669.1,639.4,642.0,642.65,645.98,3496373,225857695844999.97,70495,1816318,0.5195000000000001
2018-10-04,UPL,EQ,642.65,630.05,645.45,621.2,629.2,628.75,635.15,2463238,156452117355000.0,44772,967073,0.3926
2018-10-05,UPL,EQ,628.75,627.8,631.95,590.65,597.5,596.65,616.42,2554877,157488735055000.0,57757,1149786,0.45
2018-10-08,UPL,EQ,596.65,598.0,625.0,582.15,619.5,619.15,610.94,3628920,221706126630000.03,113969,1347424,0.3713
2018-10-09,UPL,EQ,619.15,622.95,622.95,591.25,601.3,604.1,606.01,1699809,103009622425000.0,53949,276158,0.1625
2018-10-10,UPL,EQ,604.1,605.0,625.0,605.0,623.8,622.45,618.91,1225919,75873453725000.0,25783,189215,0.1543
2018-10-11,UPL,EQ,622.45,609.0,622.4,590.2,606.0,605.15,610.19,1592797,97190616650000.0,56951,635480,0.399
2018-10-12,UPL,EQ,605.15,609.1,635.0,609.1,630.0,627.95,628.99,1602515,100796990060000.0,42192,243443,0.1519
2018-10-15,UPL,EQ,627.95,627.95,638.5,620.75,636.9,635.95,628.83,1363957,85769537785000.0,28905,432285,0.3169
2018-10-16,UPL,EQ,635.95,640.0,648.0,633.15,640.1,642.1,642.2,1514602,97268371635000.0,39430,583558,0.38530000000000003
2018-10-17,UPL,EQ,642.1,646.15,665.0,631.7,638.15,638.25,639.47,1706506,109126216459999.98,32671,761649,0.44630000000000003
2018-10-19,UPL,EQ,638.25,637.95,648.75,627.6,645.0,644.35,634.6,2119966,134532138295000.0,59580,1256447,0.5927
2018-10-22,UPL,EQ,644.35,645.0,652.0,626.1,633.0,633.65,634.0,1083604,68700350679999.99,27137,317878,0.2934
2018-10-23,UPL,EQ,633.65,631.0,635.0,608.75,614.65,615.35,621.92,1895431,117881341734999.98,67514,932390,0.4919
2018-10-24,UPL,EQ,615.35,616.0,629.0,613.7,625.05,622.8,620.98,930010,57751826679999.99,29874,258916,0.2784
2018-10-25,UPL,EQ,622.8,617.9,618.55,595.4,598.55,599.45,602.98,1651219,99565577170000.0,58994,569072,0.3446
2018-10-26,UPL,EQ,599.45,602.9,626.4,585.0,620.0,622.7,607.66,4592411,279063950605000.03,124933,775153,0.1688
2018-10-29,UPL,EQ,622.7,620.0,634.7,613.3,630.0,631.6,625.4,2035438,127296597015000.02,53774,395686,0.19440000000000002
2018-10-30,UPL,EQ,631.6,628.0,647.9,623.5,634.15,636.8,637.67,2495380,159122504795000.0,49660,408007,0.1635
2018-10-31,UPL,EQ,636.8,639.0,677.2,637.0,671.6,674.35,657.49,3088884,203091237195000.0,78611,1027183,0.3325
2018-11-01,UPL,EQ,674.35,676.0,699.0,670.0,698.45,695.9,687.7,3202739,220253777460000.0,81672,1423154,0.44439999999999996
2018-11-02,UPL,EQ,695.9,699.0,716.5,699.0,710.7,711.45,707.7,4845338,342906186635000.0,44515,3282045,0.6774
2018-11-05,UPL,EQ,711.45,708.45,728.7,699.45,726.6,724.3,716.62,1482446,106234322005000.0,39435,269104,0.1815
2018-11-06,UPL,EQ,724.3,721.15,727.95,714.85,721.95,721.9,720.67,1456851,104991254315000.0,29009,477575,0.32780000000000004
2018-11-07,UPL,EQ,721.9,722.35,731.9,722.25,729.5,729.6,728.77,386070,28135811805000.0,6435,150906,0.3909
2018-11-09,UPL,EQ,729.6,727.45,744.9,722.5,741.0,740.0,736.65,1860293,137038215545000.0,35406,771919,0.41490000000000005
2018-11-12,UPL,EQ,740.0,740.0,751.7,730.3,736.5,733.2,741.39,1415482,104942908130000.0,58330,425272,0.3004
2018-11-13,UPL,EQ,733.2,729.0,739.95,716.4,738.2,736.55,726.23,1569155,113956822055000.0,44598,564794,0.35990000000000005
2018-11-14,UPL,EQ,736.55,738.2,761.8,736.5,759.0,760.25,753.33,2952089,222388900444999.97,62558,1236055,0.41869999999999996
2018-11-15,UPL,EQ,760.25,761.95,769.95,756.0,766.0,763.65,763.56,3199903,244332557975000.0,67859,1799894,0.5625
2018-11-16,UPL,EQ,763.65,762.0,774.65,757.85,771.45,771.85,766.87,2174834,166781667500000.0,47260,918345,0.42229999999999995
2018-11-19,UPL,EQ,771.85,773.0,777.75,767.3,775.5,775.2,773.71,2193793,169736905290000.0,40839,1200973,0.5474
2018-11-20,UPL,EQ,775.2,771.0,772.8,747.0,760.5,759.2,759.51,3285928,249569014680000.03,58489,1320598,0.4019
2018-11-21,UPL,EQ,759.2,760.0,784.5,760.0,781.0,779.25,775.69,2860585,221891766415000.0,48931,951189,0.3325
2018-11-22,UPL,EQ,779.25,779.0,784.9,771.6,779.0,778.3,778.74,1202373,93633383830000.0,39811,215587,0.1793
2018-11-26,UPL,EQ,778.3,778.3,779.95,758.0,769.9,773.1,768.56,1427107,109681438580000.0,33055,355781,0.2493
2018-11-27,UPL,EQ,773.1,766.0,773.9,754.0,765.05,768.55,762.02,2047904,156053861480000.0,34668,1142643,0.5579999999999999
2018-11-28,UPL,EQ,768.55,766.0,779.65,765.5,771.85,771.85,773.44,1050205,81227412820000.0,29994,230245,0.21920000000000003
2018-11-29,UPL,EQ,771.85,775.0,789.4,762.05,784.5,779.1,776.75,2804385,217831133219999.97,41030,1798924,0.6415000000000001
2018-11-30,UPL,EQ,779.1,780.15,785.5,755.05,759.2,757.8,764.54,2132736,163056173145000.0,62097,1026709,0.4814
2018-12-03,UPL,EQ,757.8,762.0,762.0,728.2,736.9,732.6,737.36,2846330,209877885305000.0,55653,1132962,0.39799999999999996
2018-12-04,UPL,EQ,732.6,732.7,759.5,732.7,751.5,751.45,750.15,2730131,204799447125000.0,67752,583067,0.2136
