Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-08,VEDL,EQ,163.65,163.0,165.2,160.85,162.55,161.95,162.64,5407752,87949757525000.0,46626,1202945,0.2224
2019-07-09,VEDL,EQ,161.95,161.9,163.6,160.0,161.75,161.5,161.57,5086798,82185136700000.0,32765,971078,0.19090000000000001
2019-07-10,VEDL,EQ,161.5,161.4,162.1,156.75,160.25,160.0,159.33,5831061,92907713830000.0,47406,975538,0.1673
2019-07-11,VEDL,EQ,160.0,162.5,165.2,160.8,164.3,163.65,163.05,9936532,162016608305000.0,59622,1047824,0.10550000000000001
2019-07-12,VEDL,EQ,163.65,164.1,168.65,162.35,167.6,167.65,166.25,10129958,168409052215000.0,62772,2930610,0.2893
2019-07-15,VEDL,EQ,167.65,167.75,167.75,162.65,166.95,166.75,165.1,7436769,122781195409999.98,44685,1326723,0.1784
2019-07-16,VEDL,EQ,166.75,166.65,170.2,166.0,166.7,166.9,167.77,7442937,124871112525000.0,52764,1428601,0.19190000000000002
2019-07-17,VEDL,EQ,166.9,167.6,169.1,166.8,168.35,168.65,168.16,5060979,85103843665000.0,34904,1020889,0.20170000000000002
2019-07-18,VEDL,EQ,168.65,167.55,167.7,162.1,163.6,163.05,164.32,6825281,112154144850000.0,55037,1779276,0.2607
2019-07-19,VEDL,EQ,163.05,164.05,165.85,160.6,162.0,161.25,162.85,6974005,113573174525000.0,47275,1542903,0.2212
2019-07-22,VEDL,EQ,161.25,161.3,168.75,161.3,167.85,167.25,166.85,17654993,294568462195000.0,110448,5933077,0.3361
2019-07-23,VEDL,EQ,167.25,167.35,168.4,164.75,168.1,168.1,167.18,8409760,140591997770000.0,63536,2169560,0.258
2019-07-24,VEDL,EQ,168.1,168.0,168.4,160.8,165.0,165.05,163.45,9396709,153588116680000.0,52460,1533902,0.1632
2019-07-25,VEDL,EQ,165.05,164.85,172.7,164.25,172.4,171.45,168.85,19724263,333036960640000.0,102174,8856260,0.449
2019-07-26,VEDL,EQ,171.45,175.1,175.9,162.75,164.1,164.1,167.31,23645819,395609884445000.0,120362,5126867,0.2168
2019-07-29,VEDL,EQ,164.1,165.0,165.5,155.05,155.4,155.65,157.76,14681724,231612936469999.97,93924,3096188,0.2109
2019-07-30,VEDL,EQ,155.65,155.5,159.0,149.8,151.0,150.6,153.86,15109871,232474921700000.0,95078,2618913,0.17329999999999998
2019-07-31,VEDL,EQ,150.6,150.35,154.65,148.1,153.65,154.1,151.67,13730987,208260509025000.0,81334,4781008,0.3482
2019-08-01,VEDL,EQ,154.1,152.2,152.4,144.0,145.45,145.45,146.95,17870111,262606586525000.0,105320,5377357,0.3009
2019-08-02,VEDL,EQ,145.45,141.9,145.0,139.25,142.3,143.0,142.11,16346941,232301774400000.0,110993,2907085,0.1778
