Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-10-07,YESBANK,EQ,42.15,45.95,46.8,42.8,45.35,45.65,45.0,355287494,1598714328725000.0,663192,39618385,0.1115
2019-10-09,YESBANK,EQ,45.65,45.45,45.45,41.05,43.3,43.25,42.95,343533101,1475559893730000.0,582516,27638624,0.0805
2019-10-10,YESBANK,EQ,43.25,41.7,42.7,40.15,40.9,40.95,41.31,207266038,856220611770000.0,380074,20778509,0.1003
2019-10-11,YESBANK,EQ,40.95,41.0,42.0,37.0,39.75,39.6,39.24,339478520,1332252703840000.0,538711,19708516,0.0581
2019-10-14,YESBANK,EQ,39.6,39.9,41.5,38.8,40.45,40.1,40.18,223727101,898828882504999.9,397528,13780265,0.0616
2019-10-15,YESBANK,EQ,40.1,41.1,41.45,39.0,40.8,40.6,40.34,193601940,781056724370000.0,298448,13543209,0.07
2019-10-16,YESBANK,EQ,40.6,40.6,42.05,39.8,41.7,41.05,40.69,188799876,768263144300000.0,308432,11712797,0.062000000000000006
2019-10-17,YESBANK,EQ,41.05,41.9,48.2,40.7,47.4,47.4,44.95,422749767,1900358161190000.2,749864,40787777,0.0965
2019-10-18,YESBANK,EQ,47.4,46.6,52.7,46.0,51.3,51.4,50.47,441645534,2229097298245000.0,746958,32885273,0.0745
2019-10-22,YESBANK,EQ,51.4,53.0,56.6,50.25,51.9,51.8,54.03,407437580,2201388069100000.0,718151,39985477,0.0981
2019-10-23,YESBANK,EQ,51.8,51.8,53.5,49.2,51.0,51.2,51.48,296722600,1527445353710000.0,540326,19875455,0.067
2019-10-24,YESBANK,EQ,51.2,51.2,52.55,47.45,48.45,48.3,50.33,230787323,1161576311625000.0,442813,21732738,0.0942
2019-10-25,YESBANK,EQ,48.3,48.65,54.3,45.75,53.7,52.15,48.96,346577924,1696724738605000.0,604569,37883158,0.1093
2019-10-27,YESBANK,EQ,52.15,55.2,56.45,54.15,54.95,54.75,55.08,74992659,413090396720000.0,160020,15252095,0.2034
2019-10-29,YESBANK,EQ,54.75,54.35,59.9,53.1,58.2,58.15,57.57,368611147,2122272591565000.2,664126,39259879,0.10650000000000001
2019-10-30,YESBANK,EQ,58.15,59.1,59.45,56.0,56.05,56.8,57.74,256297926,1479965689940000.0,498285,31334295,0.1223
2019-10-31,YESBANK,EQ,56.8,56.1,78.7,54.9,70.3,70.4,67.82,836967454,5676328469495000.0,1566693,101273982,0.121
2019-11-01,YESBANK,EQ,70.4,71.0,71.85,65.0,66.1,66.6,68.25,431574597,2945509832055000.0,1021293,47921230,0.111
2019-11-04,YESBANK,EQ,66.6,59.95,71.3,56.65,65.8,66.15,65.8,420997681,2770020993715000.0,946240,47988788,0.114
2019-11-05,YESBANK,EQ,66.15,70.3,72.0,67.2,68.3,68.3,68.95,294896159,2033267098995000.0,672280,41184234,0.13970000000000002
2019-11-06,YESBANK,EQ,68.3,68.55,71.15,67.55,68.55,68.7,69.24,226082900,1565323346555000.0,510083,20887199,0.09240000000000001
2019-11-07,YESBANK,EQ,68.7,68.0,69.3,66.0,66.25,66.45,67.52,189859140,1281864230150000.0,470202,29536649,0.15560000000000002
2019-11-08,YESBANK,EQ,66.45,65.9,72.3,64.3,69.65,68.95,69.45,413106980,2868957729040000.0,828730,45000694,0.10890000000000001
2019-11-11,YESBANK,EQ,68.95,70.0,73.55,69.15,72.9,73.0,71.79,263947818,1894913865695000.0,582022,32674860,0.12380000000000001
2019-11-13,YESBANK,EQ,73.0,74.4,75.3,67.1,68.85,68.2,71.72,317911123,2280100958230000.0,698567,68697797,0.2161
2019-11-14,YESBANK,EQ,68.2,68.85,70.8,67.1,68.75,68.75,69.11,195114955,1348369731705000.0,408808,25289143,0.12960000000000002
2019-11-15,YESBANK,EQ,68.75,69.2,70.2,68.3,68.95,68.7,69.04,129526064,894186224329999.9,269751,19144551,0.1478
2019-11-18,YESBANK,EQ,68.7,69.25,69.25,65.4,65.75,65.85,66.92,178150594,1192165596480000.0,428300,32794768,0.1841
2019-11-19,YESBANK,EQ,65.85,65.0,67.25,63.05,64.2,64.15,65.07,239228500,1556633464125000.0,555304,32455226,0.13570000000000002
2019-11-20,YESBANK,EQ,64.15,62.1,66.45,62.0,65.9,65.85,64.65,229215332,1481851008040000.0,488969,24617355,0.10740000000000001
2019-11-21,YESBANK,EQ,65.85,66.9,66.9,63.8,63.8,64.25,65.0,133531524,867946435220000.1,318722,22387002,0.1677
2019-11-22,YESBANK,EQ,64.25,64.25,66.15,64.0,64.95,64.8,65.26,121791625,794810229330000.0,263028,19765947,0.1623
2019-11-25,YESBANK,EQ,64.8,64.95,65.5,62.3,63.9,63.75,63.75,171923335,1095953712550000.0,388319,26436502,0.15380000000000002
2019-11-26,YESBANK,EQ,63.75,64.6,67.5,62.55,64.2,63.15,64.55,399791670,2580849955495000.0,585677,152300788,0.381
2019-11-27,YESBANK,EQ,63.15,68.1,69.0,65.65,68.4,68.25,67.31,254612192,1713680742525000.0,493732,59307987,0.2329
2019-11-28,YESBANK,EQ,68.25,69.0,70.65,68.35,70.4,70.05,69.51,223021365,1550320333950000.0,434702,35694244,0.16
2019-11-29,YESBANK,EQ,70.05,72.0,74.0,67.55,68.5,68.3,70.78,428332393,3031535207265000.0,820013,81180641,0.1895
2019-12-02,YESBANK,EQ,68.3,69.0,69.3,63.05,63.8,64.05,66.32,361756071,2399053682355000.0,712873,71938468,0.19890000000000002
2019-12-03,YESBANK,EQ,64.05,64.1,65.25,59.0,59.2,59.5,61.43,297142445,1825200425300000.0,651462,51168273,0.1722
2019-12-04,YESBANK,EQ,59.5,58.55,63.45,56.65,63.0,63.0,60.75,340845428,2070511166890000.2,709378,33556329,0.0985
2019-12-05,YESBANK,EQ,63.0,63.0,64.0,60.85,61.95,62.1,62.42,224990595,1404371042180000.0,463307,19094837,0.0849
2019-12-06,YESBANK,EQ,62.1,60.1,60.75,55.15,55.6,56.0,57.74,282441286,1630914310725000.0,607669,81120223,0.2872
2019-12-09,YESBANK,EQ,56.0,56.0,58.85,53.75,56.3,56.25,56.57,314839590,1781100712175000.0,617620,25764579,0.0818
2019-12-10,YESBANK,EQ,56.25,54.8,56.35,48.55,50.4,50.55,52.86,345518744,1826493430290000.2,720453,51610510,0.1494
2019-12-11,YESBANK,EQ,50.55,47.25,49.4,40.75,43.55,42.8,44.32,661012673,2929931318490000.0,1204069,85714570,0.1297
2019-12-12,YESBANK,EQ,42.8,43.15,48.8,42.8,45.3,45.35,45.49,398199436,1811534864705000.0,770900,37509435,0.0942
2019-12-13,YESBANK,EQ,45.35,45.5,47.65,45.4,46.7,46.65,46.7,201459985,940845680570000.1,376657,28537504,0.1417
2019-12-16,YESBANK,EQ,46.65,47.25,48.0,45.95,46.9,46.8,46.69,172273653,804350895920000.0,318446,15575762,0.0904
2019-12-17,YESBANK,EQ,46.8,47.4,48.2,46.85,47.65,47.6,47.58,130789036,622234436125000.0,275038,19696335,0.1506
2019-12-18,YESBANK,EQ,47.6,48.0,48.2,46.0,46.75,46.75,46.99,130282558,612234776595000.0,263639,18862131,0.1448
2019-12-19,YESBANK,EQ,46.75,46.0,51.4,44.95,49.8,49.9,48.32,307936405,1487959464570000.0,573267,37152409,0.12060000000000001
2019-12-20,YESBANK,EQ,49.9,49.5,53.5,48.3,50.8,51.4,51.86,359647922,1865066835600000.0,667927,52404107,0.1457
2019-12-23,YESBANK,EQ,51.4,50.75,52.3,48.7,49.45,49.65,50.66,276776855,1402227161380000.0,479271,34526048,0.1247
2019-12-24,YESBANK,EQ,49.65,50.15,52.0,50.05,51.15,51.2,51.13,242779981,1241386940715000.0,413646,32792098,0.1351
2019-12-26,YESBANK,EQ,51.2,51.0,51.6,48.25,48.95,48.65,49.84,216380349,1078369938710000.0,380728,40623753,0.1877
2019-12-27,YESBANK,EQ,48.65,49.5,49.75,47.65,47.95,48.0,48.54,154956583,752174763580000.0,290808,19719874,0.1273
2019-12-30,YESBANK,EQ,48.0,47.9,48.95,46.65,47.45,47.35,47.63,152510288,726400788545000.0,292200,14400204,0.0944
2019-12-31,YESBANK,EQ,47.35,47.3,48.05,46.35,47.0,46.95,47.2,141422188,667447206345000.0,269172,15013548,0.10619999999999999
2020-01-01,YESBANK,EQ,46.95,46.95,47.5,46.5,46.75,46.65,46.88,102291841,479569472720000.0,175825,9168235,0.08960000000000001
2020-01-02,YESBANK,EQ,46.65,46.8,48.5,46.4,47.4,47.35,47.33,122242838,578564162510000.0,217958,14122071,0.1155
2020-01-03,YESBANK,EQ,47.35,47.35,48.25,46.85,47.05,47.1,47.44,94827592,449885881955000.0,184973,13102728,0.13820000000000002
2020-01-06,YESBANK,EQ,47.1,46.75,46.75,45.0,45.3,45.15,45.67,102880221,469826838845000.0,236834,18279758,0.1777
2020-01-07,YESBANK,EQ,45.15,45.7,46.4,43.95,45.05,45.05,45.22,111094678,502369464835000.06,219523,12847274,0.11560000000000001
2020-01-08,YESBANK,EQ,45.05,46.25,47.2,45.3,46.05,46.05,45.99,140074287,644257246610000.0,248762,17317303,0.1236
2020-01-09,YESBANK,EQ,46.05,47.0,48.5,46.3,47.4,47.3,47.36,152025694,719968844165000.0,257559,21814957,0.1435
2020-01-10,YESBANK,EQ,47.3,47.95,48.35,43.8,44.95,44.75,45.69,303072426,1384656323030000.0,479220,38490273,0.127
2020-01-13,YESBANK,EQ,44.75,43.4,43.9,41.05,42.15,42.1,42.2,194734026,821730821420000.0,349447,32725365,0.1681
2020-01-14,YESBANK,EQ,42.1,41.75,41.75,36.55,38.6,38.55,39.03,314975429,1229196421265000.0,559224,52289240,0.166
2020-01-15,YESBANK,EQ,38.55,38.45,41.1,36.65,39.9,39.75,39.24,400694734,1572462488855000.0,625585,32342476,0.08070000000000001
2020-01-16,YESBANK,EQ,39.75,40.15,40.9,39.75,40.1,39.95,40.19,126354618,507852855875000.0,224735,16386557,0.1297
2020-01-17,YESBANK,EQ,39.95,37.6,39.55,37.0,39.3,39.25,38.72,125635833,486511153639999.94,227752,14550018,0.1158
2020-01-20,YESBANK,EQ,39.25,39.5,40.2,38.45,38.7,38.65,39.11,89703186,350853644805000.0,168290,12235524,0.13640000000000002
2020-01-21,YESBANK,EQ,38.65,38.6,39.2,38.1,38.35,38.35,38.56,67215936,259168966955000.03,139699,10373238,0.1543
2020-01-22,YESBANK,EQ,38.35,38.7,39.0,38.0,38.45,38.45,38.46,62400795,239973555950000.0,127519,9868182,0.15810000000000002
2020-01-23,YESBANK,EQ,38.45,38.55,41.4,38.35,41.0,40.95,40.32,178774952,720732169635000.0,305126,28545372,0.1597
2020-01-24,YESBANK,EQ,40.95,41.2,45.0,41.1,42.55,42.8,43.37,289854100,1257115480190000.0,477591,34898930,0.1204
2020-01-27,YESBANK,EQ,42.8,42.3,43.45,41.85,42.25,42.4,42.71,134241973,573316796895000.0,226392,13161804,0.098
2020-01-28,YESBANK,EQ,42.4,42.5,43.3,41.25,41.5,41.65,42.28,106167368,448895830639999.94,182227,15046307,0.1417
2020-01-29,YESBANK,EQ,41.65,41.85,42.35,41.0,41.05,41.2,41.57,141475654,588159486320000.0,187608,19690325,0.1392
2020-01-30,YESBANK,EQ,41.2,40.8,40.85,38.55,39.1,39.05,39.19,150556233,589967251710000.0,241098,20285984,0.13470000000000001
2020-01-31,YESBANK,EQ,39.05,39.3,40.2,38.7,39.25,39.25,39.42,117636393,463695688435000.06,177036,11239163,0.09550000000000002
2020-02-01,YESBANK,EQ,39.25,39.15,40.2,37.6,37.9,37.9,38.93,101654980,395747604715000.0,190991,11962488,0.1177
2020-02-03,YESBANK,EQ,37.9,37.95,38.4,35.7,36.15,36.0,36.58,148030362,541501886545000.0,247342,20386270,0.1377
2020-02-04,YESBANK,EQ,36.0,36.15,36.4,34.45,35.0,34.95,35.14,138230643,485810518045000.0,245916,18903457,0.1368
2020-02-05,YESBANK,EQ,34.95,35.1,39.7,34.05,37.95,37.6,37.2,281100614,1045652437885000.0,426598,22128526,0.0787
2020-02-06,YESBANK,EQ,37.6,37.9,39.5,37.8,38.5,38.55,38.72,135268292,523821559375000.0,233539,13629107,0.1008
2020-02-07,YESBANK,EQ,38.55,38.8,39.95,38.15,38.7,38.7,38.97,127163152,495537009350000.0,218909,12854314,0.1011
2020-02-10,YESBANK,EQ,38.7,40.0,40.75,37.1,37.55,37.55,38.64,142245961,549679676070000.0,236617,18198680,0.12789999999999999
2020-02-11,YESBANK,EQ,37.55,37.75,38.1,36.7,36.8,36.85,37.32,96791648,361215888950000.0,161061,10844197,0.11199999999999999
2020-02-12,YESBANK,EQ,36.85,36.75,36.75,35.05,35.2,35.2,35.48,101372754,359695993625000.0,182954,16974001,0.1674
2020-02-13,YESBANK,EQ,35.2,36.95,38.0,36.0,37.45,37.2,37.16,168339964,625551726200000.0,301814,20095929,0.11939999999999999
2020-02-14,YESBANK,EQ,37.2,37.5,40.2,37.5,39.2,38.9,39.22,187898337,736873398980000.0,287678,24725632,0.1316
2020-02-17,YESBANK,EQ,38.9,39.5,40.1,36.6,37.35,37.15,37.67,116075992,437275277575000.0,202087,15244704,0.1313
2020-02-18,YESBANK,EQ,37.15,37.35,37.5,33.65,34.8,35.05,34.75,229070225,796085916525000.0,345039,48241514,0.21059999999999998
2020-02-19,YESBANK,EQ,35.05,34.0,36.2,33.6,35.35,35.3,34.96,127701131,446498022470000.0,223661,11828570,0.0926
2020-02-20,YESBANK,EQ,35.3,35.3,36.5,34.65,35.55,35.45,35.82,119436898,427848995610000.0,212172,13878984,0.1162
2020-02-24,YESBANK,EQ,35.45,35.5,35.9,34.15,35.2,34.95,35.12,105851722,371705383740000.0,180344,15366992,0.1452
2020-02-25,YESBANK,EQ,34.95,35.25,36.0,34.75,35.1,35.15,35.23,88184594,310712023690000.0,150768,12651538,0.1435
2020-02-26,YESBANK,EQ,35.15,34.9,37.05,34.45,36.9,36.55,35.99,149229469,537111934464999.94,237216,23397720,0.1568
2020-02-27,YESBANK,EQ,36.55,37.3,37.95,36.0,36.45,36.8,37.25,164315370,612020409295000.0,239935,23317517,0.1419
2020-02-28,YESBANK,EQ,36.8,35.15,35.85,34.3,34.35,34.6,34.93,141720001,495034142755000.0,210153,29218118,0.20620000000000002
2020-03-02,YESBANK,EQ,34.6,35.2,35.55,29.8,32.3,31.55,33.65,127750922,429833161945000.0,213681,22542969,0.1765
2020-03-03,YESBANK,EQ,31.55,32.45,33.3,30.5,31.4,31.2,31.78,164268356,522018537905000.0,243059,20246684,0.1233
2020-03-04,YESBANK,EQ,31.2,31.5,31.7,28.7,29.3,29.3,29.77,202851281,603962453300000.0,311010,31396236,0.15480000000000002
2020-03-05,YESBANK,EQ,29.3,29.4,37.85,28.0,37.2,36.8,34.82,784703310,2732171494185000.0,1215263,64324974,0.08199999999999999
2020-03-06,YESBANK,EQ,36.8,33.15,33.15,5.65,16.6,16.15,14.75,1264917719,1865996577809999.8,1657599,240203179,0.18989999999999999
2020-03-09,YESBANK,EQ,16.15,17.0,22.8,16.2,21.35,21.25,20.24,727571816,1472465006990000.0,1070599,135724742,0.1865
2020-03-11,YESBANK,EQ,21.25,23.35,29.6,23.35,29.05,28.8,27.31,413676527,1129604842695000.0,680533,85354748,0.20629999999999998
2020-03-12,YESBANK,EQ,28.8,28.7,28.7,17.45,25.05,25.05,25.18,337812521,850743808105000.0,610137,68689979,0.20329999999999998
2020-03-13,YESBANK,EQ,25.05,22.55,27.7,21.35,25.5,25.55,25.42,276663954,703317656090000.0,466852,58928641,0.21300000000000002
2020-03-16,YESBANK,EQ,25.55,26.7,40.4,26.05,37.05,37.1,35.96,166521851,598801373740000.0,550545,29329543,0.1761
2020-03-17,YESBANK,EQ,37.1,40.8,64.9,40.8,59.1,58.65,55.38,223463025,1237613912570000.0,784729,32271544,0.1444
2020-03-18,YESBANK,EQ,58.65,64.5,87.3,49.9,61.65,60.45,68.52,364152383,2495027885710000.0,1477010,80311878,0.2205
2020-03-19,YESBANK,EQ,60.45,61.65,61.8,42.8,53.6,53.85,52.35,147327988,771211565090000.0,683223,23132996,0.157
2020-03-20,YESBANK,EQ,53.85,59.2,67.3,41.25,45.95,45.85,50.37,118192981,595309894075000.0,506135,23787617,0.2013
2020-03-23,YESBANK,EQ,45.85,41.3,49.5,39.25,39.65,39.75,43.95,93894255,412700995280000.0,338588,41095096,0.43770000000000003
2020-03-24,YESBANK,EQ,39.75,43.65,43.7,34.55,35.2,35.0,36.72,79664287,292553435485000.0,306641,26877576,0.33740000000000003
2020-03-25,YESBANK,EQ,35.0,35.3,35.5,28.5,29.45,29.6,30.54,95160537,290595140850000.0,320674,33893942,0.35619999999999996
2020-03-26,YESBANK,EQ,29.6,29.35,31.0,25.2,25.2,26.6,28.56,119575530,341546524695000.0,426188,44098950,0.3688
2020-03-27,YESBANK,EQ,26.6,29.05,33.25,26.0,26.65,26.35,28.29,118572207,335457282160000.0,529306,41015187,0.34590000000000004
2020-03-30,YESBANK,EQ,26.35,27.65,27.7,24.55,24.9,24.9,25.09,54983098,137930988955000.0,211710,18645803,0.33909999999999996
2020-03-31,YESBANK,EQ,24.9,25.55,25.55,22.05,22.3,22.45,22.99,75272601,173051674160000.0,278607,34665836,0.46049999999999996
2020-04-01,YESBANK,EQ,22.45,22.0,24.65,20.25,24.0,23.95,23.28,90387201,210379005405000.0,272183,17340659,0.1918
2020-04-03,YESBANK,EQ,23.95,24.5,24.95,22.8,24.2,24.1,24.03,45326980,108941066915000.02,169289,10964686,0.24190000000000003
2020-04-07,YESBANK,EQ,24.1,25.4,25.4,23.8,24.6,24.55,24.41,35071970,85620734145000.0,171680,10957065,0.3124
2020-04-08,YESBANK,EQ,24.55,24.5,25.5,23.3,24.85,24.75,24.76,37250348,92221837235000.0,182575,9785933,0.2627
2020-04-09,YESBANK,EQ,24.75,25.0,25.3,24.5,24.95,24.9,24.94,26334529,65683138190000.0,122722,8334873,0.3165
2020-04-13,YESBANK,EQ,24.9,25.0,25.0,23.55,24.15,24.1,24.08,26107072,62877340090000.0,135252,8738253,0.3347
2020-04-15,YESBANK,EQ,24.1,24.1,25.95,23.85,24.65,24.5,24.85,39619400,98449925370000.0,152405,9290623,0.2345
2020-04-16,YESBANK,EQ,24.5,24.3,24.95,24.05,24.7,24.6,24.56,18765964,46080455500000.0,127321,4814471,0.2566
2020-04-17,YESBANK,EQ,24.6,25.1,25.5,24.7,25.1,25.1,25.03,26605391,66592903204999.99,137991,8780847,0.33
2020-04-20,YESBANK,EQ,25.1,25.6,30.1,25.1,29.75,29.45,28.7,114977373,330028051265000.0,332695,24442623,0.2126
2020-04-21,YESBANK,EQ,29.45,29.4,30.45,27.55,29.55,29.65,29.48,76224557,224722787000000.0,239510,18191318,0.23870000000000002
2020-04-22,YESBANK,EQ,29.65,29.0,30.3,28.8,29.6,29.6,29.48,35026262,103273810680000.0,156808,9570333,0.2732
2020-04-23,YESBANK,EQ,29.6,29.6,29.9,27.85,28.3,28.3,28.92,33488476,96858967465000.0,145896,11645113,0.34770000000000006
2020-04-24,YESBANK,EQ,28.3,28.05,28.15,26.3,26.75,26.6,26.95,34135568,92011304285000.0,123302,10831230,0.3173
